ko:K02028	lli:uc509_1749
ko:K02313	lli:uc509_0001
ko:K00567	lli:uc509_0525
ko:K01992	lli:uc509_0530
ko:K03700	lli:uc509_0543
ko:K16509	lli:uc509_0545
ko:K03697	lli:uc509_0561
ko:K00784	lli:uc509_0638
ko:K03048	lli:uc509_0642
ko:K03708	lli:uc509_0649
ko:K02004	lli:uc509_0654
ko:K01092	lli:uc509_0547
ko:K00016	lli:uc509_0509
ko:K00058	lli:uc509_0605
ko:K01507	lli:uc509_0612
ko:K07652	lli:uc509_0420
ko:K07668	lli:uc509_0421
ko:K00869	lli:uc509_0431
ko:K01597	lli:uc509_0432
ko:K00938	lli:uc509_0433
ko:K01823	lli:uc509_0435
ko:K00016	lli:uc509_0395
ko:K03316	lli:uc509_0404
ko:K03693	lli:uc509_0408
ko:K01261	lli:uc509_0409
ko:K06023	lli:uc509_0624
ko:K00033	lli:uc509_0628
ko:K10947	lli:uc509_2037
ko:K07498	lli:uc509_p8047
ko:K01664	lli:uc509_p7009
ko:K22278	lli:uc509_1319
ko:K22278	lli:uc509_0289
ko:K01958	lli:uc509_0663
ko:K08153	lli:uc509_0106
ko:K11741	lli:uc509_0105
ko:K04771	lli:uc509_2116
ko:K02851	lli:uc509_1747
ko:K13677	lli:uc509_2117
ko:K03293	lli:uc509_0375
ko:K03731	lli:uc509_0463
ko:K07260	lli:uc509_0992
ko:K15580	lli:uc509_0538
ko:K16786	lli:uc509_0280
ko:K16787	lli:uc509_0281
ko:K16785	lli:uc509_0282
ko:K16788	lli:uc509_1177
ko:K16789	lli:uc509_0331
ko:K01838	lli:uc509_0464
ko:K05837	lli:uc509_0935
ko:K02470	lli:uc509_0947
ko:K01839	lli:uc509_0965
ko:K01938	lli:uc509_0971
ko:K02887	lli:uc509_1797
ko:K02916	lli:uc509_1798
ko:K02520	lli:uc509_1799
ko:K03495	lli:uc509_1805
ko:K11145	lli:uc509_1808
ko:K01883	lli:uc509_1809
ko:K00640	lli:uc509_1811
ko:K00962	lli:uc509_1813
ko:K00948	lli:uc509_1815
ko:K04487	lli:uc509_1817
ko:K02358	lli:uc509_1819
ko:K02372	lli:uc509_0573
ko:K00208	lli:uc509_0574
ko:K03217	lli:uc509_0575
ko:K01821	lli:uc509_0581
ko:K02835	lli:uc509_0596
ko:K02493	lli:uc509_0599
ko:K07566	lli:uc509_0601
ko:K00600	lli:uc509_0602
ko:K00831	lli:uc509_0604
ko:K01079	lli:uc509_0606
ko:K03437	lli:uc509_0608
ko:K01265	lli:uc509_0616
ko:K01870	lli:uc509_1822
ko:K07058	lli:uc509_0617
ko:K04074	lli:uc509_1824
ko:K02221	lli:uc509_1826
ko:K09772	lli:uc509_1827
ko:K06997	lli:uc509_1828
ko:K03531	lli:uc509_1829
ko:K03590	lli:uc509_1830
ko:K03218	lli:uc509_1832
ko:K04042	lli:uc509_1845
ko:K00286	lli:uc509_1846
ko:K02956	lli:uc509_1847
ko:K13292	lli:uc509_0625
ko:K03549	lli:uc509_0629
ko:K03549	lli:uc509_0630
ko:K01952	lli:uc509_1481
ko:K01952	lli:uc509_1482
ko:K01952	lli:uc509_1483
ko:K01923	lli:uc509_1484
ko:K01223	lli:uc509_1497
ko:K01808	lli:uc509_1498
ko:K01783	lli:uc509_1499
ko:K02529	lli:uc509_1500
ko:K15738	lli:uc509_1508
ko:K08317	lli:uc509_1511
ko:K08659	lli:uc509_1513
ko:K00215	lli:uc509_1516
ko:K00554	lli:uc509_1519
ko:K02860	lli:uc509_1520
ko:K01772	lli:uc509_1522
ko:K06960	lli:uc509_1523
ko:K02959	lli:uc509_1524
ko:K07568	lli:uc509_1530
ko:K03979	lli:uc509_1533
ko:K03589	lli:uc509_1534
ko:K00384	lli:uc509_0979
ko:K03075	lli:uc509_0980
ko:K12573	lli:uc509_0981
ko:K07166	lli:uc509_0987
ko:K09157	lli:uc509_0989
ko:K03705	lli:uc509_0994
ko:K03687	lli:uc509_0995
ko:K04043	lli:uc509_0996
ko:K02768	lli:uc509_1002
ko:K02769	lli:uc509_1002
ko:K02770	lli:uc509_1002
ko:K01534	lli:uc509_1008
ko:K06131	lli:uc509_1012
ko:K06958	lli:uc509_1013
ko:K02836	lli:uc509_1024
ko:K09812	lli:uc509_1025
ko:K09811	lli:uc509_1026
ko:K08591	lli:uc509_1031
ko:K02622	lli:uc509_1033
ko:K03500	lli:uc509_1850
ko:K00604	lli:uc509_1866
ko:K04066	lli:uc509_1871
ko:K03060	lli:uc509_1872
ko:K00942	lli:uc509_1873
ko:K00789	lli:uc509_1876
ko:K00574	lli:uc509_1877
ko:K03524	lli:uc509_1878
ko:K01624	lli:uc509_1883
ko:K01868	lli:uc509_1885
ko:K03322	lli:uc509_1889
ko:K07078	lli:uc509_1890
ko:K00761	lli:uc509_1891
ko:K00791	lli:uc509_0633
