ko:K11707	cpsm:B602_0479
ko:K01921	cpsm:B602_0918
ko:K01924	cpsm:B602_0918
ko:K00627	cpsm:B602_0519
ko:K00162	cpsm:B602_0520
ko:K00161	cpsm:B602_0521
ko:K02536	cpsm:B602_0523
ko:K06142	cpsm:B602_0524
ko:K07277	cpsm:B602_0526
ko:K06187	cpsm:B602_0527
ko:K00648	cpsm:B602_0528
ko:K00645	cpsm:B602_0529
ko:K02078	cpsm:B602_0531
ko:K03308	cpsm:B602_0536
ko:K06213	cpsm:B602_0540
ko:K02071	cpsm:B602_0545
ko:K02072	cpsm:B602_0546
ko:K02073	cpsm:B602_0547
ko:K02470	cpsm:B602_0550
ko:K02469	cpsm:B602_0551
ko:K00943	cpsm:B602_0552
ko:K02343	cpsm:B602_0553
ko:K06999	cpsm:B602_0554
ko:K07566	cpsm:B602_0555
ko:K06966	cpsm:B602_0559
ko:K03179	cpsm:B602_0560
ko:K03186	cpsm:B602_0561
ko:K03787	cpsm:B602_0565
ko:K07039	cpsm:B602_0567
ko:K01627	cpsm:B602_0025
ko:K06960	cpsm:B602_0027
ko:K06180	cpsm:B602_0028
ko:K02469	cpsm:B602_0031
ko:K02470	cpsm:B602_0032
ko:K02492	cpsm:B602_0033
ko:K03224	cpsm:B602_0041
ko:K02417	cpsm:B602_0044
ko:K03219	cpsm:B602_0046
ko:K02838	cpsm:B602_0053
ko:K09903	cpsm:B602_0054
ko:K02357	cpsm:B602_0055
ko:K02967	cpsm:B602_0056
ko:K03162	cpsm:B602_0058
ko:K09013	cpsm:B602_0062
ko:K09015	cpsm:B602_0063
ko:K11717	cpsm:B602_0064
ko:K07220	cpsm:B602_0071
ko:K03306	cpsm:B602_0072
ko:K00927	cpsm:B602_0073
ko:K09747	cpsm:B602_0364
ko:K02343	cpsm:B602_0365
ko:K07037	cpsm:B602_0366
ko:K01749	cpsm:B602_0370
ko:K04485	cpsm:B602_0371
ko:K03685	cpsm:B602_0372
ko:K04564	cpsm:B602_0375
