ko:K04047	rpr:RP806
ko:K03186	rpr:RP541
ko:K02314	rpr:RP542
ko:K02519	rpr:RP552
ko:K02600	rpr:RP553
ko:K03070	rpr:RP575
ko:K01802	rpr:RP576
ko:K00997	rpr:RP577
ko:K03060	rpr:RP578
ko:K02470	rpr:RP580
ko:K03210	rpr:RP585
ko:K03072	rpr:RP586
ko:K02197	rpr:RP588
ko:K02313	rpr:RP601
ko:K02897	rpr:RP606
ko:K02916	rpr:RP608
ko:K02887	rpr:RP609
ko:K02914	rpr:RP610
ko:K02970	rpr:RP615
ko:K01965	rpr:RP618
ko:K00568	rpr:RP622
ko:K02968	rpr:RP633
ko:K02879	rpr:RP634
ko:K03040	rpr:RP635
ko:K02948	rpr:RP636
ko:K02952	rpr:RP637
ko:K03076	rpr:RP639
ko:K02876	rpr:RP640
ko:K02907	rpr:RP641
ko:K02988	rpr:RP642
ko:K02881	rpr:RP643
ko:K02933	rpr:RP644
ko:K02994	rpr:RP645
ko:K02954	rpr:RP646
ko:K02931	rpr:RP647
ko:K02895	rpr:RP648
ko:K02874	rpr:RP649
ko:K02961	rpr:RP650
ko:K02904	rpr:RP651
ko:K02878	rpr:RP652
ko:K02982	rpr:RP653
ko:K02890	rpr:RP654
ko:K02965	rpr:RP655
ko:K02886	rpr:RP656
ko:K02892	rpr:RP657
ko:K02926	rpr:RP658
ko:K02906	rpr:RP659
ko:K02946	rpr:RP660
ko:K02358	rpr:RP661
ko:K03218	rpr:RP664
ko:K01679	rpr:RP665
ko:K02528	rpr:RP672
ko:K03183	rpr:RP680
ko:K03179	rpr:RP686
ko:K02198	rpr:RP703
ko:K02517	rpr:RP718
ko:K00912	rpr:RP719
ko:K02067	rpr:RP724
ko:K00859	rpr:RP731
ko:K02342	rpr:RP732
ko:K03116	rpr:RP749
ko:K01095	rpr:RP750
ko:K02888	rpr:RP751
ko:K02372	rpr:RP008
ko:K02536	rpr:RP009
ko:K00023	rpr:RP035
ko:K02990	rpr:RP039
ko:K02963	rpr:RP040
ko:K02939	rpr:RP041
ko:K03217	rpr:RP048
ko:K02621	rpr:RP067
ko:K03071	rpr:RP070
ko:K02483	rpr:RP071
ko:K00325	rpr:RP074
ko:K03075	rpr:RP079
ko:K01883	rpr:RP085
ko:K02967	rpr:RP086
ko:K02357	rpr:RP087
ko:K02527	rpr:RP089
ko:K02066	rpr:RP096
ko:K02065	rpr:RP097
