ko:K04042	cba:CLB_3626
ko:K09127	cba:CLB_2112
ko:K13652	cba:CLB_0742
ko:K02409	cba:CLB_2605
ko:K06147	cba:CLB_1090
ko:K06147	cba:CLB_1091
ko:K02010	cba:CLB_1187
ko:K07005	cba:CLB_1339
ko:K02029	cba:CLB_1437
ko:K08384	cba:CLB_1481
ko:K03816	cba:CLB_0360
ko:K03816	cba:CLB_1176
ko:K02475	cba:CLB_0292
ko:K02476	cba:CLB_0291
ko:K07343	cba:CLB_0756
ko:K02004	cba:CLB_0628
ko:K02340	cba:CLB_2932
ko:K03657	cba:CLB_1348
ko:K00132	cba:CLB_2045
ko:K09758	cba:CLB_1197
ko:K11358	cba:CLB_1054
ko:K01889	cba:CLB_3161
ko:K01883	cba:CLB_3561
ko:K03169	cba:CLB_1317
ko:K03168	cba:CLB_2301
ko:K02189	cba:CLB_0990
ko:K10796	cba:CLB_2344
ko:K10795	cba:CLB_2345
ko:K10794	cba:CLB_2328
ko:K10793	cba:CLB_2330
ko:K02338	cba:CLB_0002
ko:K02343	cba:CLB_0042
ko:K01223	cba:CLB_0921
ko:K02878	cba:CLB_3530
ko:K02867	cba:CLB_3549
ko:K03624	cba:CLB_3594
ko:K02782	cba:CLB_3472
ko:K02783	cba:CLB_3472
ko:K03737	cba:CLB_1223
ko:K00954	cba:CLB_2366
ko:K03660	cba:CLB_3359
ko:K05873	cba:CLB_0232
ko:K03786	cba:CLB_1835
ko:K03789	cba:CLB_3380
ko:K03091	cba:CLB_3556
ko:K01448	cba:CLB_3499
ko:K03547	cba:CLB_0513
ko:K01808	cba:CLB_0180
ko:K00609	cba:CLB_3278
ko:K03737	cba:CLB_2701
ko:K00794	cba:CLB_2829
ko:K03497	cba:CLB_3731
ko:K07455	cba:CLB_2491
ko:K01880	cba:CLB_3592
ko:K01990	cba:CLB_1236
ko:K05967	cba:CLB_1248
ko:K01273	cba:CLB_1249
ko:K02004	cba:CLB_1251
ko:K03652	cba:CLB_1293
ko:K11046	cba:CLB_0527
ko:K05366	cba:CLB_3112
ko:K00558	cba:CLB_2465
ko:K03601	cba:CLB_1822
ko:K03602	cba:CLB_1821
ko:K02863	cba:CLB_3548
ko:K10773	cba:CLB_0250
ko:K02935	cba:CLB_3546
ko:K02864	cba:CLB_3547
ko:K03310	cba:CLB_1140
ko:K03310	cba:CLB_1141
ko:K01163	cba:CLB_1150
ko:K04024	cba:CLB_2050
ko:K04029	cba:CLB_2052
ko:K04031	cba:CLB_2053
ko:K01493	cba:CLB_0182
ko:K06381	cba:CLB_0197
ko:K06283	cba:CLB_0199
ko:K00789	cba:CLB_0208
ko:K03581	cba:CLB_0209
ko:K05808	cba:CLB_0212
ko:K02836	cba:CLB_0214
ko:K06959	cba:CLB_0216
ko:K04061	cba:CLB_0219
ko:K06888	cba:CLB_1099
ko:K06897	cba:CLB_1103
ko:K00111	cba:CLB_1108
ko:K02445	cba:CLB_1111
ko:K01887	cba:CLB_1112
ko:K04759	cba:CLB_1117
ko:K04758	cba:CLB_1118
ko:K02071	cba:CLB_1124
ko:K02072	cba:CLB_1125
ko:K02073	cba:CLB_1127
ko:K01885	cba:CLB_1134
ko:K00134	cba:CLB_1135
ko:K07576	cba:CLB_1136
ko:K03411	cba:CLB_2692
ko:K02913	cba:CLB_3552
ko:K02478	cba:CLB_3365
ko:K03060	cba:CLB_2386
ko:K03665	cba:CLB_3109
ko:K03498	cba:CLB_1346
ko:K02120	cba:CLB_2565
ko:K02109	cba:CLB_0188
ko:K02118	cba:CLB_2566
ko:K02124	cba:CLB_2571
ko:K02123	cba:CLB_2572
ko:K02115	cba:CLB_0191
ko:K03498	cba:CLB_3164
ko:K05515	cba:CLB_3024
ko:K04069	cba:CLB_3251
ko:K03553	cba:CLB_2268
ko:K04075	cba:CLB_3601
ko:K01222	cba:CLB_3418
ko:K02040	cba:CLB_2402
ko:K13653	cba:CLB_0821
ko:K13653	cba:CLB_0753
ko:K07456	cba:CLB_3152
ko:K06442	cba:CLB_1817
ko:K02188	cba:CLB_0977
ko:K02895	cba:CLB_3526
ko:K02016	cba:CLB_0345
ko:K02015	cba:CLB_0346
ko:K02013	cba:CLB_0347
ko:K03110	cba:CLB_2315
ko:K09936	cba:CLB_0905
ko:K03499	cba:CLB_1345
ko:K03546	cba:CLB_0514
ko:K02835	cba:CLB_0175
ko:K07507	cba:CLB_0128
ko:K04068	cba:CLB_0130
ko:K01870	cba:CLB_0135
ko:K02529	cba:CLB_0136
ko:K06898	cba:CLB_0141
ko:K07095	cba:CLB_1037
ko:K03413	cba:CLB_1038
ko:K04068	cba:CLB_1042
ko:K03521	cba:CLB_1047
ko:K03522	cba:CLB_1048
ko:K00230	cba:CLB_1062
ko:K03152	cba:CLB_1065
ko:K04759	cba:CLB_1070
ko:K02015	cba:CLB_1085
ko:K02015	cba:CLB_1086
ko:K02013	cba:CLB_1087
ko:K02016	cba:CLB_1088
ko:K10254	cba:CLB_1984
ko:K00973	cba:CLB_1994
ko:K07129	cba:CLB_2013
ko:K07056	cba:CLB_0097
ko:K03802	cba:CLB_0156
ko:K00919	cba:CLB_0157
ko:K06387	cba:CLB_0162
ko:K01937	cba:CLB_0168
ko:K03628	cba:CLB_0170
ko:K02909	cba:CLB_0171
ko:K00857	cba:CLB_0172
ko:K02493	cba:CLB_0174
ko:K07238	cba:CLB_0177
ko:K07566	cba:CLB_0178
ko:K00761	cba:CLB_0181
ko:K06603	cba:CLB_2677
ko:K03563	cba:CLB_2678
ko:K02397	cba:CLB_2680
ko:K02398	cba:CLB_2683
ko:K03408	cba:CLB_2686
ko:K03407	cba:CLB_2689
ko:K03408	cba:CLB_2693
ko:K09749	cba:CLB_2694
ko:K07462	cba:CLB_2705
ko:K01151	cba:CLB_2706
ko:K03152	cba:CLB_2710
ko:K06911	cba:CLB_0899
ko:K06966	cba:CLB_0904
ko:K01462	cba:CLB_0915
ko:K00375	cba:CLB_0916
ko:K03488	cba:CLB_0919
ko:K10536	cba:CLB_0932
ko:K02231	cba:CLB_0950
ko:K02232	cba:CLB_0954
ko:K02227	cba:CLB_0955
ko:K02007	cba:CLB_0957
ko:K03738	cba:CLB_1874
ko:K03637	cba:CLB_1877
ko:K03639	cba:CLB_1878
ko:K03750	cba:CLB_1879
ko:K07219	cba:CLB_1879
ko:K03750	cba:CLB_1880
ko:K05773	cba:CLB_1883
ko:K05772	cba:CLB_1884
ko:K02003	cba:CLB_1888
ko:K09118	cba:CLB_0018
ko:K01875	cba:CLB_0022
ko:K01613	cba:CLB_0034
ko:K03688	cba:CLB_0035
ko:K03721	cba:CLB_0038
ko:K01761	cba:CLB_0039
ko:K06317	cba:CLB_0046
ko:K06206	cba:CLB_0047
ko:K03790	cba:CLB_0054
ko:K06180	cba:CLB_1501
ko:K07258	cba:CLB_1795
ko:K00756	cba:CLB_1799
ko:K07699	cba:CLB_1809
ko:K06399	cba:CLB_1810
ko:K00651	cba:CLB_1811
ko:K00003	cba:CLB_1812
ko:K01740	cba:CLB_1813
ko:K03631	cba:CLB_1814
ko:K06284	cba:CLB_0099
ko:K01478	cba:CLB_0101
ko:K01770	cba:CLB_0102
ko:K06373	cba:CLB_0106
ko:K06374	cba:CLB_0107
ko:K03424	cba:CLB_0113
ko:K05985	cba:CLB_0115
ko:K02003	cba:CLB_0121
ko:K03402	cba:CLB_1815
ko:K00858	cba:CLB_1816
ko:K01662	cba:CLB_1818
ko:K03625	cba:CLB_1823
ko:K06397	cba:CLB_1825
ko:K06396	cba:CLB_1826
ko:K06394	cba:CLB_1828
ko:K06393	cba:CLB_1829
ko:K06392	cba:CLB_1830
ko:K06391	cba:CLB_1831
ko:K06390	cba:CLB_1832
ko:K00891	cba:CLB_1836
ko:K02387	cba:CLB_2608
ko:K02406	cba:CLB_2609
ko:K01755	cba:CLB_2611
ko:K01940	cba:CLB_2612
ko:K06131	cba:CLB_2615
ko:K02406	cba:CLB_2636
ko:K01953	cba:CLB_2647
ko:K02653	cba:CLB_1845
ko:K01778	cba:CLB_1849
ko:K00978	cba:CLB_2659
ko:K01955	cba:CLB_2664
ko:K02406	cba:CLB_2672
ko:K03088	cba:CLB_0068
ko:K03284	cba:CLB_0085
ko:K02008	cba:CLB_0959
ko:K01749	cba:CLB_0961
ko:K01698	cba:CLB_0964
ko:K06042	cba:CLB_0966
ko:K03399	cba:CLB_0978
ko:K05936	cba:CLB_0989
ko:K05895	cba:CLB_0992
ko:K02020	cba:CLB_1003
ko:K02013	cba:CLB_1012
ko:K02015	cba:CLB_1013
ko:K02016	cba:CLB_1014
ko:K00005	cba:CLB_1016
ko:K03830	cba:CLB_1019
ko:K04079	cba:CLB_1925
ko:K01226	cba:CLB_1928
ko:K03486	cba:CLB_1929
ko:K08302	cba:CLB_1933
ko:K00005	cba:CLB_1939
ko:K00759	cba:CLB_1946
ko:K06901	cba:CLB_1947
ko:K03308	cba:CLB_1974
ko:K00943	cba:CLB_0090
ko:K06187	cba:CLB_0044
ko:K09747	cba:CLB_0043
ko:K02556	cba:CLB_2166
ko:K01624	cba:CLB_0234
ko:K06208	cba:CLB_1744
ko:K07461	cba:CLB_3403
ko:K02405	cba:CLB_2585
ko:K03977	cba:CLB_2396
ko:K07089	cba:CLB_3293
ko:K03303	cba:CLB_1045
ko:K02121	cba:CLB_2570
ko:K02837	cba:CLB_3387
ko:K03496	cba:CLB_3732
ko:K00525	cba:CLB_2757
ko:K03555	cba:CLB_1735
ko:K00648	cba:CLB_3684
ko:K03500	cba:CLB_2380
ko:K01962	cba:CLB_3674
ko:K08591	cba:CLB_2095
ko:K02400	cba:CLB_2589
ko:K01677	cba:CLB_3498
ko:K02346	cba:CLB_2761
ko:K02337	cba:CLB_3430
ko:K04562	cba:CLB_2587
ko:K09812	cba:CLB_3447
ko:K09811	cba:CLB_3446
ko:K02190	cba:CLB_0994
ko:K02160	cba:CLB_3678
ko:K02119	cba:CLB_2569
ko:K03685	cba:CLB_2319
ko:K01790	cba:CLB_2656
ko:K02003	cba:CLB_0825
ko:K03311	cba:CLB_0854
ko:K03311	cba:CLB_0855
ko:K04758	cba:CLB_0857
ko:K01737	cba:CLB_0868
ko:K00796	cba:CLB_0869
ko:K03088	cba:CLB_0877
ko:K10794	cba:CLB_2347
ko:K03778	cba:CLB_3339
ko:K03778	cba:CLB_3340
ko:K03763	cba:CLB_2287
ko:K00575	cba:CLB_2690
ko:K02528	cba:CLB_0116
ko:K02335	cba:CLB_3039
ko:K02313	cba:CLB_0001
ko:K02888	cba:CLB_3014
ko:K03666	cba:CLB_1732
ko:K03040	cba:CLB_3508
ko:K00526	cba:CLB_2756
ko:K03409	cba:CLB_1722
ko:K02933	cba:CLB_3522
ko:K03741	cba:CLB_0793
ko:K05799	cba:CLB_1131
ko:K03614	cba:CLB_0412
ko:K13038	cba:CLB_2385
ko:K01154	cba:CLB_0718
ko:K03613	cba:CLB_0414
ko:K02470	cba:CLB_0006
ko:K02469	cba:CLB_0007
ko:K03734	cba:CLB_0420
ko:K03612	cba:CLB_0413
ko:K01998	cba:CLB_0496
ko:K03617	cba:CLB_0415
ko:K09121	cba:CLB_0139
ko:K03070	cba:CLB_0213
ko:K03787	cba:CLB_0274
ko:K03703	cba:CLB_3436
ko:K02759	cba:CLB_3414
ko:K00826	cba:CLB_2697
ko:K02781	cba:CLB_3471
ko:K00385	cba:CLB_1001
ko:K03569	cba:CLB_0200
ko:K03569	cba:CLB_3027
ko:K03609	cba:CLB_3022
ko:K01990	cba:CLB_0666
ko:K07005	cba:CLB_0673
ko:K04651	cba:CLB_0475
ko:K04651	cba:CLB_2158
ko:K00537	cba:CLB_1106
ko:K02769	cba:CLB_1931
ko:K02770	cba:CLB_1931
ko:K07216	cba:CLB_0558
ko:K03317	cba:CLB_0636
ko:K01995	cba:CLB_0497
ko:K10811	cba:CLB_0812
ko:K02761	cba:CLB_3417
ko:K09931	cba:CLB_2555
