ko:K18893	babu:DK53_1501
ko:K13967	babu:DK53_2769
ko:K22617	babu:DK53_2066
ko:K21909	babu:DK53_2370
ko:K00344	babu:DK53_2642
ko:K02031	babu:DK53_2444
ko:K03297	babu:DK53_916
ko:K07492	babu:DK53_533
ko:K07492	babu:DK53_550
ko:K22616	babu:DK53_1509
ko:K07050	babu:DK53_1040
ko:K11741	babu:DK53_780
ko:K14218	babu:DK53_1791
ko:K14218	babu:DK53_2125
ko:K14218	babu:DK53_1591
ko:K14227	babu:DK53_1592
ko:K14227	babu:DK53_2124
ko:K14227	babu:DK53_1792
ko:K14218	babu:DK53_41
ko:K14225	babu:DK53_1233
ko:K14219	babu:DK53_725
ko:K14229	babu:DK53_1311
ko:K14230	babu:DK53_1439
ko:K01271	babu:DK53_1487
ko:K07005	babu:DK53_1346
ko:K21911	babu:DK53_2366
ko:K02031	babu:DK53_2144
ko:K00130	babu:DK53_567
ko:K19231	babu:DK53_2092
ko:K19233	babu:DK53_1775
ko:K19232	babu:DK53_86
ko:K11209	babu:DK53_641
ko:K00249	babu:DK53_439
ko:K00001	babu:DK53_2490
ko:K00065	babu:DK53_2261
ko:K00076	babu:DK53_1570
ko:K01144	babu:DK53_1357
ko:K11079	babu:DK53_2138
ko:K22616	babu:DK53_1508
ko:K00108	babu:DK53_568
ko:K04771	babu:DK53_626
ko:K19270	babu:DK53_856
ko:K21686	babu:DK53_1171
ko:K13010	babu:DK53_541
ko:K11077	babu:DK53_2140
ko:K14230	babu:DK53_1553
ko:K14226	babu:DK53_1555
ko:K05799	babu:DK53_2965
ko:K01161	babu:DK53_2595
ko:K09862	babu:DK53_290
ko:K06287	babu:DK53_291
ko:K02518	babu:DK53_292
ko:K00013	babu:DK53_295
ko:K00790	babu:DK53_297
ko:K03190	babu:DK53_306
ko:K01430	babu:DK53_307
ko:K01429	babu:DK53_309
ko:K01428	babu:DK53_310
ko:K03187	babu:DK53_311
ko:K03188	babu:DK53_312
ko:K03189	babu:DK53_313
ko:K01464	babu:DK53_319
ko:K06016	babu:DK53_320
ko:K17723	babu:DK53_322
ko:K01810	babu:DK53_326
ko:K06987	babu:DK53_327
ko:K01091	babu:DK53_329
ko:K01897	babu:DK53_330
ko:K03577	babu:DK53_331
ko:K03585	babu:DK53_332
ko:K18138	babu:DK53_333
ko:K02030	babu:DK53_335
ko:K09919	babu:DK53_1154
ko:K02503	babu:DK53_1155
ko:K03694	babu:DK53_1156
ko:K06891	babu:DK53_1157
ko:K01752	babu:DK53_1161
ko:K09457	babu:DK53_1168
ko:K01966	babu:DK53_1172
ko:K01965	babu:DK53_1173
ko:K01965	babu:DK53_1174
ko:K01847	babu:DK53_1175
ko:K07080	babu:DK53_1178
ko:K01776	babu:DK53_1179
ko:K02533	babu:DK53_1180
ko:K05520	babu:DK53_1181
ko:K00031	babu:DK53_1183
ko:K01077	babu:DK53_1184
ko:K01872	babu:DK53_1185
ko:K07478	babu:DK53_1189
ko:K02879	babu:DK53_1191
ko:K03040	babu:DK53_1192
ko:K02948	babu:DK53_1193
ko:K02952	babu:DK53_1194
ko:K00939	babu:DK53_1195
ko:K03076	babu:DK53_1196
ko:K02876	babu:DK53_1197
ko:K02907	babu:DK53_1198
ko:K02988	babu:DK53_1199
ko:K02881	babu:DK53_1200
ko:K02933	babu:DK53_1201
ko:K02994	babu:DK53_1202
ko:K02954	babu:DK53_1203
ko:K00859	babu:DK53_1989
ko:K02342	babu:DK53_1990
ko:K03071	babu:DK53_1991
ko:K07113	babu:DK53_1992
ko:K08304	babu:DK53_1994
ko:K03667	babu:DK53_1998
ko:K01419	babu:DK53_1999
ko:K01693	babu:DK53_2000
ko:K02501	babu:DK53_2002
ko:K01814	babu:DK53_2003
ko:K02500	babu:DK53_2004
ko:K01523	babu:DK53_2005
ko:K00867	babu:DK53_2006
ko:K15034	babu:DK53_2007
ko:K01610	babu:DK53_2009
ko:K14981	babu:DK53_2010
ko:K14980	babu:DK53_2011
ko:K02793	babu:DK53_2013
ko:K11189	babu:DK53_2014
ko:K01251	babu:DK53_2015
ko:K03671	babu:DK53_2021
ko:K11754	babu:DK53_2022
ko:K01963	babu:DK53_2023
ko:K01695	babu:DK53_2024
ko:K01696	babu:DK53_2026
ko:K01817	babu:DK53_2027
ko:K07043	babu:DK53_2029
ko:K05782	babu:DK53_2031
ko:K05782	babu:DK53_2032
ko:K02520	babu:DK53_2035
ko:K02916	babu:DK53_2037
ko:K02887	babu:DK53_2038
ko:K02053	babu:DK53_2829
ko:K02054	babu:DK53_2830
ko:K02052	babu:DK53_2831
ko:K02055	babu:DK53_2832
ko:K03608	babu:DK53_2836
ko:K03609	babu:DK53_2837
ko:K03610	babu:DK53_2838
ko:K03647	babu:DK53_2841
ko:K10111	babu:DK53_2847
ko:K10238	babu:DK53_2848
ko:K10237	babu:DK53_2849
ko:K10236	babu:DK53_2850
ko:K02529	babu:DK53_2851
ko:K02575	babu:DK53_2853
ko:K00370	babu:DK53_2854
ko:K00371	babu:DK53_2855
ko:K00373	babu:DK53_2856
ko:K00374	babu:DK53_2857
ko:K03769	babu:DK53_2858
ko:K03186	babu:DK53_2860
ko:K03182	babu:DK53_2861
ko:K03182	babu:DK53_2862
ko:K08303	babu:DK53_2864
ko:K02049	babu:DK53_2866
ko:K02050	babu:DK53_2867
ko:K02051	babu:DK53_2868
ko:K07234	babu:DK53_2869
ko:K03734	babu:DK53_2872
ko:K07218	babu:DK53_2876
ko:K01840	babu:DK53_554
ko:K00971	babu:DK53_555
ko:K12995	babu:DK53_557
ko:K10441	babu:DK53_558
ko:K10440	babu:DK53_559
ko:K10439	babu:DK53_560
ko:K01805	babu:DK53_563
ko:K00854	babu:DK53_564
ko:K02529	babu:DK53_565
ko:K02167	babu:DK53_569
ko:K07341	babu:DK53_571
ko:K03284	babu:DK53_574
ko:K03449	babu:DK53_576
ko:K03449	babu:DK53_577
ko:K06915	babu:DK53_579
ko:K01560	babu:DK53_582
ko:K04564	babu:DK53_583
ko:K01354	babu:DK53_585
ko:K02433	babu:DK53_590
ko:K02426	babu:DK53_591
ko:K11357	babu:DK53_593
ko:K05366	babu:DK53_599
ko:K05801	babu:DK53_1411
ko:K07273	babu:DK53_1413
ko:K07088	babu:DK53_1415
ko:K00297	babu:DK53_1416
ko:K00598	babu:DK53_1420
ko:K09988	babu:DK53_1425
ko:K00479	babu:DK53_1426
ko:K06193	babu:DK53_1428
ko:K08281	babu:DK53_1430
ko:K09799	babu:DK53_1429
ko:K01442	babu:DK53_1432
ko:K09807	babu:DK53_1440
ko:K09160	babu:DK53_1442
ko:K03086	babu:DK53_1444
ko:K03324	babu:DK53_1446
ko:K09117	babu:DK53_1447
ko:K01956	babu:DK53_1448
ko:K07054	babu:DK53_1449
ko:K01955	babu:DK53_1452
ko:K02471	babu:DK53_1453
ko:K03704	babu:DK53_1455
ko:K00799	babu:DK53_1456
ko:K00812	babu:DK53_1457
ko:K00384	babu:DK53_1461
ko:K03498	babu:DK53_1462
ko:K01470	babu:DK53_2255
ko:K07010	babu:DK53_2260
ko:K00324	babu:DK53_2266
ko:K00324	babu:DK53_2267
ko:K00325	babu:DK53_2268
ko:K02970	babu:DK53_2274
ko:K02072	babu:DK53_2277
ko:K02071	babu:DK53_2278
ko:K02073	babu:DK53_2279
ko:K01998	babu:DK53_2281
ko:K01997	babu:DK53_2282
ko:K01996	babu:DK53_2283
ko:K01995	babu:DK53_2284
ko:K01999	babu:DK53_2285
ko:K09969	babu:DK53_2290
ko:K01266	babu:DK53_2291
ko:K01652	babu:DK53_2293
ko:K01687	babu:DK53_2297
ko:K00883	babu:DK53_2298
ko:K01631	babu:DK53_2299
ko:K10546	babu:DK53_2300
ko:K10546	babu:DK53_2301
ko:K10548	babu:DK53_2302
ko:K10547	babu:DK53_2303
ko:K00824	babu:DK53_2304
ko:K13589	babu:DK53_3087
ko:K07507	babu:DK53_3091
ko:K01531	babu:DK53_3094
ko:K00014	babu:DK53_3095
ko:K00627	babu:DK53_3096
ko:K11381	babu:DK53_3098
ko:K00059	babu:DK53_3100
ko:K01996	babu:DK53_3102
ko:K01995	babu:DK53_3103
ko:K01998	babu:DK53_3104
ko:K01997	babu:DK53_3105
ko:K01999	babu:DK53_3106
ko:K03088	babu:DK53_3109
ko:K02364	babu:DK53_3113
ko:K02361	babu:DK53_3114
ko:K02363	babu:DK53_3115
ko:K01252	babu:DK53_3116
ko:K00216	babu:DK53_3117
ko:K02362	babu:DK53_3119
