ko:K02030	kpn:KPN_01829
ko:K10563	kpn:KPN_03975
ko:K02015	kpn:KPN_00519
ko:K11891	kpn:KPN_01342
ko:K11891	kpn:KPN_03175
ko:K00121	kpn:KPN_pKPN5p08231
ko:K00121	kpn:KPN_pKPN5p08257
ko:K03098	kpn:KPN_04734
ko:K01548	kpn:KPN_00715
ko:K01703	kpn:KPN_00078
ko:K02483	kpn:KPN_01807
ko:K10773	kpn:KPN_01970
ko:K09767	kpn:KPN_00379
ko:K07791	kpn:KPN_04528
ko:K05515	kpn:KPN_01815
ko:K03925	kpn:KPN_00085
ko:K00390	kpn:KPN_03117
ko:K03187	kpn:KPN_03468
ko:K01873	kpn:KPN_04663
ko:K01755	kpn:KPN_04249
ko:K00884	kpn:KPN_01116
ko:K11746	kpn:KPN_00043
ko:K01246	kpn:KPN_03907
ko:K03765	kpn:KPN_00498
ko:K11733	kpn:KPN_02594
ko:K02849	kpn:KPN_03968
ko:K03637	kpn:KPN_00812
ko:K00891	kpn:KPN_03761
ko:K01735	kpn:KPN_03760
ko:K00757	kpn:KPN_04327
ko:K00059	kpn:KPN_01091
ko:K02113	kpn:KPN_04140
ko:K05788	kpn:KPN_00939
ko:K03575	kpn:KPN_03393
ko:K03587	kpn:KPN_00088
ko:K09760	kpn:KPN_04328
ko:K05787	kpn:KPN_04382
ko:K04764	kpn:KPN_02174
ko:K03893	kpn:KPN_pKPN3p05921
ko:K08478	kpn:KPN_01723
ko:K00833	kpn:KPN_00799
ko:K01687	kpn:KPN_04270
ko:K02506	kpn:KPN_03721
ko:K08475	kpn:KPN_01722
ko:K03752	kpn:KPN_04167
ko:K08344	kpn:KPN_03333
ko:K08296	kpn:KPN_02722
ko:K02196	kpn:KPN_02078
ko:K01252	kpn:KPN_00613
ko:K02364	kpn:KPN_00605
ko:K03528	kpn:KPN_02759
ko:K09912	kpn:KPN_02277
ko:K01338	kpn:KPN_00401
ko:K02532	kpn:KPN_pKPN3p05870
ko:K01190	kpn:KPN_pKPN3p05871
ko:K05818	kpn:KPN_02123
ko:K05712	kpn:KPN_02122
ko:K02189	kpn:KPN_03193
ko:K01485	kpn:KPN_03751
ko:K01673	kpn:KPN_02014
ko:K03449	kpn:KPN_02734
ko:K02188	kpn:KPN_03197
ko:K10537	kpn:KPN_02396
ko:K03609	kpn:KPN_02319
ko:K03608	kpn:KPN_02320
ko:K03530	kpn:KPN_00402
ko:K03770	kpn:KPN_00403
ko:K02014	kpn:KPN_02105
ko:K05713	kpn:KPN_02121
ko:K05714	kpn:KPN_02120
ko:K01666	kpn:KPN_02117
ko:K05819	kpn:KPN_02116
ko:K08303	kpn:KPN_02532
ko:K01610	kpn:KPN_03773
ko:K01142	kpn:KPN_01220
ko:K05812	kpn:KPN_02906
ko:K05590	kpn:KPN_02901
ko:K03718	kpn:KPN_04148
ko:K01665	kpn:KPN_02328
ko:K07285	kpn:KPN_02323
ko:K09917	kpn:KPN_02327
ko:K01752	kpn:KPN_02330
ko:K00899	kpn:KPN_00626
ko:K08963	kpn:KPN_00627
ko:K07783	kpn:KPN_00629
ko:K10974	kpn:KPN_00633
ko:K03805	kpn:KPN_00649
ko:K03387	kpn:KPN_00651
ko:K06140	kpn:KPN_00653
ko:K03326	kpn:KPN_00654
ko:K03704	kpn:KPN_00656
ko:K06199	kpn:KPN_00657
ko:K03801	kpn:KPN_00662
ko:K09158	kpn:KPN_00663
ko:K00951	kpn:KPN_03126
ko:K04564	kpn:KPN_01994
ko:K04567	kpn:KPN_00502
ko:K04567	kpn:KPN_03318
ko:K00484	kpn:KPN_04779
ko:K09022	kpn:KPN_04655
ko:K00954	kpn:KPN_03974
ko:K03500	kpn:KPN_03689
ko:K04485	kpn:KPN_04844
ko:K01876	kpn:KPN_02380
ko:K05851	kpn:KPN_04305
ko:K02822	kpn:KPN_01746
ko:K07462	kpn:KPN_03320
ko:K00969	kpn:KPN_00671
ko:K03643	kpn:KPN_00673
ko:K01869	kpn:KPN_00674
ko:K00261	kpn:KPN_01492
ko:K00840	kpn:KPN_01493
ko:K00673	kpn:KPN_01494
ko:K01484	kpn:KPN_01496
ko:K05526	kpn:KPN_01497
ko:K03293	kpn:KPN_01498
ko:K00134	kpn:KPN_01502
ko:K08987	kpn:KPN_01507
ko:K07661	kpn:KPN_01521
ko:K03758	kpn:KPN_01524
ko:K03642	kpn:KPN_00665
ko:K05837	kpn:KPN_00666
ko:K09710	kpn:KPN_00669
ko:K02687	kpn:KPN_03668
ko:K03977	kpn:KPN_02841
ko:K03314	kpn:KPN_02312
ko:K03611	kpn:KPN_02313
ko:K09902	kpn:KPN_02317
ko:K03684	kpn:KPN_02321
ko:K02500	kpn:KPN_02481
ko:K05349	kpn:KPN_02568
ko:K01963	kpn:KPN_02706
ko:K03602	kpn:KPN_00374
ko:K03649	kpn:KPN_03475
ko:K03631	kpn:KPN_02938
ko:K02501	kpn:KPN_02479
ko:K03746	kpn:KPN_02201
ko:K01356	kpn:KPN_04431
ko:K01585	kpn:KPN_03374
ko:K03658	kpn:KPN_00991
ko:K01061	kpn:KPN_03421
ko:K00483	kpn:KPN_04780
ko:K01664	kpn:KPN_03746
ko:K00111	kpn:KPN_02647
ko:K03601	kpn:KPN_02835
ko:K03654	kpn:KPN_04317
ko:K03733	kpn:KPN_04310
ko:K03438	kpn:KPN_00086
ko:K03771	kpn:KPN_00050
ko:K00567	kpn:KPN_01531
ko:K03503	kpn:KPN_01438
ko:K03574	kpn:KPN_00103
ko:K02315	kpn:KPN_04811
ko:K03111	kpn:KPN_04446
ko:K09024	kpn:KPN_01033
ko:K02926	kpn:KPN_03718
ko:K07667	kpn:KPN_00713
ko:K03656	kpn:KPN_04276
ko:K03669	kpn:KPN_01064
ko:K01141	kpn:KPN_02469
ko:K03557	kpn:KPN_03670
ko:K08303	kpn:KPN_03566
ko:K03186	kpn:KPN_02701
ko:K02890	kpn:KPN_03714
ko:K02982	kpn:KPN_03713
ko:K03502	kpn:KPN_01184
ko:K02904	kpn:KPN_03711
ko:K05367	kpn:KPN_02849
ko:K00266	kpn:KPN_03625
ko:K03587	kpn:KPN_02339
ko:K08300	kpn:KPN_01083
ko:K06197	kpn:KPN_02228
ko:K01867	kpn:KPN_04752
ko:K07639	kpn:KPN_01519
ko:K07676	kpn:KPN_02637
ko:K07678	kpn:KPN_03128
ko:K07641	kpn:KPN_04854
ko:K02298	kpn:KPN_00393
ko:K02109	kpn:KPN_04141
ko:K00791	kpn:KPN_04569
ko:K02111	kpn:KPN_04139
ko:K00615	kpn:KPN_00593
ko:K03666	kpn:KPN_04570
ko:K01834	kpn:KPN_00768
ko:K02778	kpn:KPN_01099
ko:K02779	kpn:KPN_01099
ko:K01961	kpn:KPN_03665
ko:K00927	kpn:KPN_03355
ko:K02344	kpn:KPN_04828
ko:K03833	kpn:KPN_03938
ko:K03570	kpn:KPN_03658
ko:K06187	kpn:KPN_00454
ko:K03762	kpn:KPN_04503
ko:K01223	kpn:KPN_02577
ko:K07644	kpn:KPN_04741
ko:K14333	kpn:KPN_04278
ko:K00627	kpn:KPN_00119
ko:K02446	kpn:KPN_04001
ko:K01738	kpn:KPN_02761
ko:K00558	kpn:KPN_02428
ko:K00970	kpn:KPN_00143
ko:K01247	kpn:KPN_02520
ko:K02016	kpn:KPN_02149
ko:K02013	kpn:KPN_02151
ko:K00052	kpn:KPN_00079
ko:K02036	kpn:KPN_04130
ko:K03610	kpn:KPN_02318
ko:K02040	kpn:KPN_04133
ko:K03449	kpn:KPN_01176
ko:K07642	kpn:KPN_02530
ko:K01953	kpn:KPN_00695
ko:K01803	kpn:KPN_04005
ko:K04022	kpn:KPN_02787
ko:K00134	kpn:KPN_01197
ko:K01886	kpn:KPN_00701
ko:K07071	kpn:KPN_02694
ko:K02356	kpn:KPN_04545
ko:K02796	kpn:KPN_02335
ko:K02795	kpn:KPN_02334
ko:K02793	kpn:KPN_02333
ko:K02794	kpn:KPN_02333
ko:K03979	kpn:KPN_03593
ko:K01682	kpn:KPN_00124
ko:K01972	kpn:KPN_02758
ko:K11084	kpn:KPN_04060
ko:K02761	kpn:KPN_01231
ko:K01223	kpn:KPN_03052
ko:K01223	kpn:KPN_03330
ko:K03665	kpn:KPN_04571
ko:K01222	kpn:KPN_04016
ko:K03184	kpn:KPN_00687
ko:K00370	kpn:KPN_02214
ko:K07258	kpn:KPN_00664
ko:K00245	kpn:KPN_04552
ko:K04069	kpn:KPN_00930
ko:K06221	kpn:KPN_03432
ko:K02760	kpn:KPN_04054
ko:K00652	kpn:KPN_00801
ko:K08476	kpn:KPN_01721
ko:K01695	kpn:KPN_01253
ko:K02345	kpn:KPN_02359
ko:K02429	kpn:KPN_03152
ko:K05934	kpn:KPN_03192
ko:K03060	kpn:KPN_03997
ko:K02749	kpn:KPN_04086
ko:K02750	kpn:KPN_04086
ko:K01448	kpn:KPN_03225
ko:K00765	kpn:KPN_02475
ko:K10545	kpn:KPN_03931
ko:K01823	kpn:KPN_03317
ko:K10555	kpn:KPN_03504
ko:K10540	kpn:KPN_02588
ko:K10541	kpn:KPN_02586
ko:K10542	kpn:KPN_02587
ko:K10543	kpn:KPN_03930
ko:K10559	kpn:KPN_04210
ko:K10560	kpn:KPN_04208
ko:K10561	kpn:KPN_04207
ko:K10544	kpn:KPN_03932
ko:K10556	kpn:KPN_03506
ko:K10557	kpn:KPN_03505
ko:K10558	kpn:KPN_03507
ko:K03596	kpn:KPN_02894
ko:K10539	kpn:KPN_02395
ko:K10857	kpn:KPN_02360
ko:K10538	kpn:KPN_02394
ko:K00382	kpn:KPN_00120
ko:K01222	kpn:KPN_04649
ko:K01222	kpn:KPN_01234
ko:K02337	kpn:KPN_00197
ko:K00610	kpn:KPN_04656
ko:K05366	kpn:KPN_03767
ko:K02007	kpn:KPN_03188
ko:K07277	kpn:KPN_00190
ko:K10762	kpn:KPN_01391
ko:K03074	kpn:KPN_00360
ko:K01744	kpn:KPN_04529
ko:K10441	kpn:KPN_04154
ko:K10441	kpn:KPN_04489
ko:K03274	kpn:KPN_03963
ko:K03273	kpn:KPN_00214
ko:K10763	kpn:KPN_02819
ko:K01031	kpn:KPN_01538
ko:K04073	kpn:KPN_02118
ko:K01878	kpn:KPN_03923
ko:K02518	kpn:KPN_00916
ko:K06204	kpn:KPN_00145
ko:K05365	kpn:KPN_00164
ko:K02028	kpn:KPN_02097
ko:K07390	kpn:KPN_01992
ko:K05515	kpn:KPN_00667
ko:K01069	kpn:KPN_00227
ko:K04758	kpn:KPN_03778
ko:K03583	kpn:KPN_03231
ko:K03582	kpn:KPN_03229
ko:K01881	kpn:KPN_00208
ko:K02533	kpn:KPN_04857
ko:K09936	kpn:KPN_01817
ko:K00963	kpn:KPN_02202
ko:K06183	kpn:KPN_02616
ko:K03974	kpn:KPN_01296
ko:K09017	kpn:KPN_01039
ko:K07042	kpn:KPN_00684
ko:K00242	kpn:KPN_00729
ko:K02015	kpn:KPN_02150
ko:K03973	kpn:KPN_01299
ko:K02493	kpn:KPN_02233
ko:K02314	kpn:KPN_04439
ko:K03773	kpn:KPN_04600
ko:K02523	kpn:KPN_03597
ko:K05589	kpn:KPN_03110
ko:K02863	kpn:KPN_04361
ko:K02867	kpn:KPN_04360
ko:K02041	kpn:KPN_pKPN3p05889
ko:K03316	kpn:KPN_04466
ko:K04761	kpn:KPN_04250
ko:K00945	kpn:KPN_00937
ko:K00228	kpn:KPN_02779
ko:K02990	kpn:KPN_04594
ko:K02963	kpn:KPN_04596
ko:K06206	kpn:KPN_00146
ko:K01151	kpn:KPN_02597
ko:K02622	kpn:KPN_03444
ko:K02469	kpn:KPN_02640
ko:K02621	kpn:KPN_03437
ko:K03089	kpn:KPN_03827
ko:K03070	kpn:KPN_00102
ko:K03624	kpn:KPN_03591
ko:K02834	kpn:KPN_03575
ko:K02519	kpn:KPN_03576
ko:K02342	kpn:KPN_00230
ko:K00350	kpn:KPN_00243
ko:K00351	kpn:KPN_00244
ko:K02600	kpn:KPN_03577
ko:K01810	kpn:KPN_04413
ko:K00322	kpn:KPN_04251
ko:K03667	kpn:KPN_04226
ko:K01419	kpn:KPN_04227
ko:K03169	kpn:KPN_01208
ko:K03168	kpn:KPN_01270
ko:K01955	kpn:KPN_00041
ko:K02888	kpn:KPN_03596
ko:K03701	kpn:KPN_04445
ko:K03723	kpn:KPN_01112
ko:K06916	kpn:KPN_03631
ko:K01126	kpn:KPN_02645
ko:K00060	kpn:KPN_03961
ko:K00991	kpn:KPN_03109
ko:K02601	kpn:KPN_04359
ko:K00799	kpn:KPN_01973
ko:K03501	kpn:KPN_04145
ko:K04088	kpn:KPN_04572
ko:K02358	kpn:KPN_03724
ko:K03442	kpn:KPN_03353
ko:K03736	kpn:KPN_00306
ko:K00325	kpn:KPN_01527
ko:K00957	kpn:KPN_03114
ko:K02071	kpn:KPN_00213
ko:K08591	kpn:KPN_03463
ko:K00773	kpn:KPN_00357
ko:K10110	kpn:KPN_04421
ko:K10109	kpn:KPN_04422
ko:K10108	kpn:KPN_04423
ko:K02841	kpn:KPN_03965
ko:K09979	kpn:KPN_03562
ko:K03685	kpn:KPN_02892
ko:K00826	kpn:KPN_04269
ko:K02876	kpn:KPN_03700
ko:K02994	kpn:KPN_03705
ko:K02895	kpn:KPN_03708
ko:K02933	kpn:KPN_03704
ko:K02798	kpn:KPN_03942
ko:K02799	kpn:KPN_03942
ko:K02800	kpn:KPN_03942
ko:K10823	kpn:KPN_02193
ko:K02361	kpn:KPN_00611
ko:K03075	kpn:KPN_03585
ko:K07461	kpn:KPN_03563
ko:K03569	kpn:KPN_03659
ko:K02472	kpn:KPN_04287
ko:K15770	kpn:KPN_00427
ko:K03546	kpn:KPN_00338
ko:K10805	kpn:KPN_00415
