ko:K18816	cln:UPTC3659_1111
ko:K18139	cln:UPTC3659_1771
ko:K11014	cln:UPTC3659_1587
ko:K17248	cln:UPTC3659_1472
ko:K11013	cln:UPTC3659_1588
ko:K02482	cln:UPTC3659_0633
ko:K01174	cln:UPTC3659_0598
ko:K04753	cln:UPTC3659_0369
ko:K06148	cln:UPTC3659_1470
ko:K04042	cln:UPTC3659_1193
ko:K02419	cln:UPTC3659_1195
ko:K07088	cln:UPTC3659_1196
ko:K03342	cln:UPTC3659_1197
ko:K01664	cln:UPTC3659_1198
ko:K01626	cln:UPTC3659_1201
ko:K02884	cln:UPTC3659_1203
ko:K00554	cln:UPTC3659_1204
ko:K02860	cln:UPTC3659_1205
ko:K06960	cln:UPTC3659_1206
ko:K02959	cln:UPTC3659_1207
ko:K03106	cln:UPTC3659_1208
ko:K06180	cln:UPTC3659_1209
ko:K02527	cln:UPTC3659_1210
ko:K07164	cln:UPTC3659_1211
ko:K01878	cln:UPTC3659_1213
ko:K01588	cln:UPTC3659_1215
ko:K08303	cln:UPTC3659_1216
ko:K01915	cln:UPTC3659_1218
ko:K01433	cln:UPTC3659_1219
ko:K00974	cln:UPTC3659_1220
ko:K03406	cln:UPTC3659_1604
ko:K13051	cln:UPTC3659_1605
ko:K01955	cln:UPTC3659_1609
ko:K03570	cln:UPTC3659_1610
ko:K03569	cln:UPTC3659_1611
ko:K03544	cln:UPTC3659_1612
ko:K00677	cln:UPTC3659_1613
ko:K02372	cln:UPTC3659_1614
ko:K09765	cln:UPTC3659_1615
ko:K03564	cln:UPTC3659_1616
ko:K01821	cln:UPTC3659_1617
ko:K00826	cln:UPTC3659_1618
ko:K00764	cln:UPTC3659_1622
ko:K00215	cln:UPTC3659_1623
ko:K00384	cln:UPTC3659_1624
ko:K03671	cln:UPTC3659_1625
ko:K07460	cln:UPTC3659_1626
ko:K00003	cln:UPTC3659_1627
ko:K14261	cln:UPTC3659_1628
ko:K03218	cln:UPTC3659_1631
ko:K07056	cln:UPTC3659_1632
ko:K02909	cln:UPTC3659_1633
ko:K09761	cln:UPTC3659_1634
ko:K01737	cln:UPTC3659_1637
ko:K03639	cln:UPTC3659_1639
ko:K03179	cln:UPTC3659_1642
ko:K00791	cln:UPTC3659_1643
ko:K00343	cln:UPTC3659_1645
ko:K00342	cln:UPTC3659_1646
ko:K00341	cln:UPTC3659_1647
ko:K00340	cln:UPTC3659_1648
ko:K00339	cln:UPTC3659_1649
ko:K00338	cln:UPTC3659_1650
ko:K07812	cln:UPTC3659_0450
ko:K09861	cln:UPTC3659_0455
ko:K02358	cln:UPTC3659_0460
ko:K02913	cln:UPTC3659_0461
ko:K03073	cln:UPTC3659_0463
ko:K02601	cln:UPTC3659_0464
ko:K02867	cln:UPTC3659_0465
ko:K02863	cln:UPTC3659_0466
ko:K02864	cln:UPTC3659_0467
ko:K02935	cln:UPTC3659_0468
ko:K03043	cln:UPTC3659_0469
ko:K02950	cln:UPTC3659_0471
ko:K02992	cln:UPTC3659_0472
ko:K02355	cln:UPTC3659_0473
ko:K17938	cln:UPTC3659_0475
ko:K11928	cln:UPTC3659_0476
