ko:K00105	stz:SPYALAB49_001423
ko:K16786	stz:SPYALAB49_001513
ko:K02028	stz:SPYALAB49_001219
ko:K03293	stz:SPYALAB49_001401
ko:K03790	stz:SPYALAB49_001103
ko:K15771	stz:SPYALAB49_001056
ko:K16787	stz:SPYALAB49_001513
ko:K13677	stz:SPYALAB49_000466
ko:K00767	stz:SPYALAB49_001084
ko:K07707	stz:SPYALAB49_000433
ko:K00859	stz:SPYALAB49_000451
ko:K06915	stz:SPYALAB49_000452
ko:K03075	stz:SPYALAB49_000454
ko:K12573	stz:SPYALAB49_000455
ko:K03664	stz:SPYALAB49_000456
ko:K01304	stz:SPYALAB49_000458
ko:K02529	stz:SPYALAB49_000465
ko:K01868	stz:SPYALAB49_000468
ko:K01870	stz:SPYALAB49_001225
ko:K04074	stz:SPYALAB49_001226
ko:K02221	stz:SPYALAB49_001228
ko:K09772	stz:SPYALAB49_001229
ko:K06997	stz:SPYALAB49_001230
ko:K03531	stz:SPYALAB49_001231
ko:K03590	stz:SPYALAB49_001232
ko:K03589	stz:SPYALAB49_001233
ko:K02563	stz:SPYALAB49_001234
ko:K01925	stz:SPYALAB49_001235
ko:K06207	stz:SPYALAB49_001237
ko:K04047	stz:SPYALAB49_001241
ko:K06941	stz:SPYALAB49_001243
ko:K02529	stz:SPYALAB49_001246
ko:K00954	stz:SPYALAB49_001248
ko:K01914	stz:SPYALAB49_001250
ko:K00926	stz:SPYALAB49_001251
ko:K00611	stz:SPYALAB49_001254
ko:K03402	stz:SPYALAB49_001258
ko:K07718	stz:SPYALAB49_001261
ko:K12267	stz:SPYALAB49_001263
ko:K01873	stz:SPYALAB49_001269
ko:K04072	stz:SPYALAB49_000069
ko:K02946	stz:SPYALAB49_000072
ko:K02906	stz:SPYALAB49_000073
ko:K02926	stz:SPYALAB49_000074
ko:K02892	stz:SPYALAB49_000075
ko:K02886	stz:SPYALAB49_000076
ko:K02965	stz:SPYALAB49_000077
ko:K02890	stz:SPYALAB49_000078
ko:K02982	stz:SPYALAB49_000079
ko:K02878	stz:SPYALAB49_000080
ko:K02904	stz:SPYALAB49_000081
ko:K02961	stz:SPYALAB49_000082
ko:K02874	stz:SPYALAB49_000083
ko:K02895	stz:SPYALAB49_000084
ko:K02931	stz:SPYALAB49_000085
ko:K02954	stz:SPYALAB49_000086
ko:K02994	stz:SPYALAB49_000087
ko:K02933	stz:SPYALAB49_000088
ko:K02881	stz:SPYALAB49_000089
ko:K02988	stz:SPYALAB49_000090
ko:K02907	stz:SPYALAB49_000091
ko:K02876	stz:SPYALAB49_000092
ko:K03076	stz:SPYALAB49_000093
ko:K02518	stz:SPYALAB49_000095
ko:K02919	stz:SPYALAB49_000096
ko:K02948	stz:SPYALAB49_000099
ko:K03040	stz:SPYALAB49_000100
ko:K02879	stz:SPYALAB49_000101
ko:K00919	stz:SPYALAB49_000116
ko:K00919	stz:SPYALAB49_000117
ko:K09817	stz:SPYALAB49_000119
ko:K09816	stz:SPYALAB49_000120
ko:K01866	stz:SPYALAB49_000122
ko:K03470	stz:SPYALAB49_000880
ko:K04096	stz:SPYALAB49_000881
ko:K03168	stz:SPYALAB49_000882
ko:K04094	stz:SPYALAB49_000884
ko:K03300	stz:SPYALAB49_000891
ko:K01646	stz:SPYALAB49_000896
ko:K01644	stz:SPYALAB49_000897
ko:K01643	stz:SPYALAB49_000898
ko:K05964	stz:SPYALAB49_000899
ko:K01910	stz:SPYALAB49_000901
ko:K03106	stz:SPYALAB49_000905
ko:K03710	stz:SPYALAB49_000907
ko:K01951	stz:SPYALAB49_000909
ko:K00868	stz:SPYALAB49_000914
ko:K06131	stz:SPYALAB49_000917
ko:K01938	stz:SPYALAB49_000918
ko:K03800	stz:SPYALAB49_000919
ko:K03763	stz:SPYALAB49_001659
ko:K01881	stz:SPYALAB49_001660
ko:K11749	stz:SPYALAB49_001661
ko:K00981	stz:SPYALAB49_001662
ko:K00806	stz:SPYALAB49_001663
ko:K03210	stz:SPYALAB49_001664
ko:K07560	stz:SPYALAB49_001672
ko:K09761	stz:SPYALAB49_001679
ko:K02687	stz:SPYALAB49_001680
ko:K07478	stz:SPYALAB49_001685
ko:K02034	stz:SPYALAB49_001690
ko:K03086	stz:SPYALAB49_000629
ko:K00067	stz:SPYALAB49_000631
ko:K00945	stz:SPYALAB49_000647
ko:K02520	stz:SPYALAB49_000648
ko:K02916	stz:SPYALAB49_000649
ko:K02887	stz:SPYALAB49_000650
ko:K06969	stz:SPYALAB49_000652
ko:K03785	stz:SPYALAB49_000653
ko:K01736	stz:SPYALAB49_000654
ko:K11754	stz:SPYALAB49_000657
ko:K04487	stz:SPYALAB49_000659
ko:K03151	stz:SPYALAB49_000660
ko:K07282	stz:SPYALAB49_000661
ko:K02888	stz:SPYALAB49_000662
ko:K02899	stz:SPYALAB49_000664
ko:K03101	stz:SPYALAB49_000666
ko:K06180	stz:SPYALAB49_000667
ko:K02825	stz:SPYALAB49_000668
ko:K00609	stz:SPYALAB49_000670
ko:K01956	stz:SPYALAB49_000671
ko:K01955	stz:SPYALAB49_000672
ko:K02003	stz:SPYALAB49_000674
ko:K01126	stz:SPYALAB49_000676
ko:K02959	stz:SPYALAB49_000677
ko:K06960	stz:SPYALAB49_000678
ko:K02440	stz:SPYALAB49_001422
ko:K00864	stz:SPYALAB49_001424
ko:K01879	stz:SPYALAB49_001428
ko:K01878	stz:SPYALAB49_001429
ko:K01443	stz:SPYALAB49_001432
ko:K03324	stz:SPYALAB49_001433
ko:K09013	stz:SPYALAB49_000275
ko:K09015	stz:SPYALAB49_000276
ko:K11717	stz:SPYALAB49_000277
