ko:K19743	apw:APA42C_08140
ko:K07062	apw:APA42C_43880
ko:K03560	apw:APA42C_26220
ko:K09690	apw:APA42C_23040
ko:K00254	apw:APA42C_02520
ko:K22617	apw:APA42C_10790
ko:K17103	apw:APA42C_07820
ko:K14232	apw:APA42C_26730
ko:K14226	apw:APA42C_06280
ko:K14232	apw:APA42C_17630
ko:K14218	apw:APA42C_04780
ko:K22474	apw:APA42C_00860
ko:K22473	apw:APA42C_00870
ko:K19689	apw:APA42C_03660
ko:K16013	apw:APA42C_15410
ko:K16013	apw:APA42C_12620
ko:K16012	apw:APA42C_12610
ko:K13409	apw:APA42C_03260
ko:K13408	apw:APA42C_03270
ko:K12340	apw:APA42C_12430
ko:K15726	apw:APA42C_15930
ko:K22475	apw:APA42C_07070
ko:K03297	apw:APA42C_13370
ko:K03297	apw:APA42C_21110
ko:K00135	apw:APA42C_00240
ko:K13953	apw:APA42C_00250
ko:K00241	apw:APA42C_00310
ko:K02428	apw:APA42C_00620
ko:K16012	apw:APA42C_15400
ko:K02083	apw:APA42C_12830
ko:K03446	apw:APA42C_42510
ko:K07267	apw:APA42C_22080
ko:K01093	apw:APA42C_03230
ko:K00145	apw:APA42C_03310
ko:K04079	apw:APA42C_03340
ko:K03664	apw:APA42C_11850
ko:K01714	apw:APA42C_11860
ko:K00979	apw:APA42C_11880
ko:K07391	apw:APA42C_11920
ko:K06131	apw:APA42C_11980
ko:K07460	apw:APA42C_11970
ko:K07390	apw:APA42C_12000
ko:K01952	apw:APA42C_12020
ko:K01952	apw:APA42C_12030
ko:K01952	apw:APA42C_12050
ko:K01923	apw:APA42C_12060
ko:K01756	apw:APA42C_12070
ko:K08309	apw:APA42C_12090
ko:K01095	apw:APA42C_12100
ko:K03644	apw:APA42C_12140
ko:K00382	apw:APA42C_12150
ko:K00627	apw:APA42C_12160
ko:K00162	apw:APA42C_12170
ko:K00161	apw:APA42C_12180
ko:K03637	apw:APA42C_12190
ko:K01609	apw:APA42C_12200
