ko:K12978	ftz:CH68_1842
ko:K01977	ftz:CH68_121
ko:K01977	ftz:CH68_474
ko:K01977	ftz:CH68_1263
ko:K14228	ftz:CH68_664
ko:K14227	ftz:CH68_122
ko:K14227	ftz:CH68_475
ko:K14227	ftz:CH68_1264
ko:K14235	ftz:CH68_1896
ko:K03602	ftz:CH68_816
ko:K19416	ftz:CH68_987
ko:K02650	ftz:CH68_415
ko:K02650	ftz:CH68_416
ko:K19561	ftz:CH68_1371
ko:K01990	ftz:CH68_1639
ko:K03565	ftz:CH68_1
ko:K03111	ftz:CH68_2
ko:K00925	ftz:CH68_3
ko:K13788	ftz:CH68_4
ko:K00135	ftz:CH68_5
ko:K00135	ftz:CH68_7
ko:K01876	ftz:CH68_10
ko:K00135	ftz:CH68_13
ko:K03837	ftz:CH68_16
ko:K00609	ftz:CH68_20
ko:K01955	ftz:CH68_21
ko:K01956	ftz:CH68_22
ko:K00569	ftz:CH68_25
ko:K01465	ftz:CH68_26
ko:K09941	ftz:CH68_29
ko:K01591	ftz:CH68_38
ko:K00254	ftz:CH68_39
ko:K04517	ftz:CH68_41
ko:K07560	ftz:CH68_42
ko:K01193	ftz:CH68_45
ko:K03834	ftz:CH68_51
ko:K03501	ftz:CH68_53
ko:K06997	ftz:CH68_55
ko:K00122	ftz:CH68_127
ko:K01649	ftz:CH68_130
ko:K01649	ftz:CH68_131
ko:K00826	ftz:CH68_132
ko:K01006	ftz:CH68_133
ko:K04759	ftz:CH68_135
ko:K01147	ftz:CH68_142
ko:K06999	ftz:CH68_143
ko:K01749	ftz:CH68_144
ko:K06199	ftz:CH68_145
ko:K02050	ftz:CH68_150
ko:K02049	ftz:CH68_151
ko:K02494	ftz:CH68_155
ko:K00919	ftz:CH68_156
ko:K12262	ftz:CH68_162
ko:K03306	ftz:CH68_164
ko:K07220	ftz:CH68_165
ko:K01114	ftz:CH68_166
ko:K07160	ftz:CH68_168
ko:K07460	ftz:CH68_444
ko:K01414	ftz:CH68_445
ko:K03168	ftz:CH68_451
ko:K03496	ftz:CH68_452
ko:K03497	ftz:CH68_453
ko:K07023	ftz:CH68_456
ko:K02427	ftz:CH68_457
ko:K03101	ftz:CH68_458
ko:K01870	ftz:CH68_460
ko:K11753	ftz:CH68_461
ko:K00027	ftz:CH68_462
ko:K01874	ftz:CH68_470
ko:K01613	ftz:CH68_484
ko:K04042	ftz:CH68_488
ko:K00820	ftz:CH68_489
ko:K02970	ftz:CH68_490
ko:K03704	ftz:CH68_492
ko:K01265	ftz:CH68_494
ko:K02621	ftz:CH68_497
ko:K18284	ftz:CH68_499
ko:K07337	ftz:CH68_617
ko:K09859	ftz:CH68_620
ko:K09794	ftz:CH68_627
ko:K07516	ftz:CH68_631
ko:K01897	ftz:CH68_633
ko:K00537	ftz:CH68_634
ko:K00031	ftz:CH68_635
ko:K03578	ftz:CH68_637
ko:K13012	ftz:CH68_640
ko:K01784	ftz:CH68_641
ko:K02474	ftz:CH68_643
ko:K02473	ftz:CH68_644
ko:K01953	ftz:CH68_647
ko:K00973	ftz:CH68_652
ko:K01710	ftz:CH68_653
ko:K00971	ftz:CH68_656
ko:K01840	ftz:CH68_657
ko:K03628	ftz:CH68_658
ko:K03671	ftz:CH68_659
ko:K01524	ftz:CH68_661
