ko:K16697	bsl:A7A1_1167
ko:K02030	bsl:A7A1_3645
ko:K21900	bsl:A7A1_0184
ko:K01218	bsl:A7A1_1392
ko:K21613	bsl:A7A1_0751
ko:K02015	bsl:A7A1_0281
ko:K14205	bsl:A7A1_0278
ko:K02016	bsl:A7A1_0279
ko:K07104	bsl:A7A1_0594
ko:K02749	bsl:A7A1_0598
ko:K02750	bsl:A7A1_0598
ko:K03481	bsl:A7A1_0599
ko:K01232	bsl:A7A1_0600
ko:K09771	bsl:A7A1_0605
ko:K06425	bsl:A7A1_0606
ko:K06979	bsl:A7A1_1948
ko:K16961	bsl:A7A1_1992
ko:K00382	bsl:A7A1_0608
ko:K02946	bsl:A7A1_0091
ko:K02358	bsl:A7A1_0093
ko:K02355	bsl:A7A1_0094
ko:K02992	bsl:A7A1_0095
ko:K02950	bsl:A7A1_0096
ko:K07590	bsl:A7A1_0097
ko:K03046	bsl:A7A1_0098
ko:K03043	bsl:A7A1_0099
ko:K00564	bsl:A7A1_0100
ko:K02935	bsl:A7A1_0101
ko:K02864	bsl:A7A1_0102
ko:K02863	bsl:A7A1_0103
ko:K02867	bsl:A7A1_0104
ko:K02601	bsl:A7A1_0105
ko:K04083	bsl:A7A1_0883
ko:K03525	bsl:A7A1_0882
ko:K03798	bsl:A7A1_0881
ko:K00760	bsl:A7A1_0880
ko:K04075	bsl:A7A1_0879
ko:K07114	bsl:A7A1_0877
ko:K06382	bsl:A7A1_0876
ko:K07571	bsl:A7A1_1836
ko:K02499	bsl:A7A1_1831
ko:K04769	bsl:A7A1_1829
ko:K03723	bsl:A7A1_1828
ko:K06317	bsl:A7A1_1238
ko:K06187	bsl:A7A1_1236
ko:K09747	bsl:A7A1_1235
ko:K02343	bsl:A7A1_1234
ko:K06306	bsl:A7A1_1231
ko:K15518	bsl:A7A1_1230
ko:K15519	bsl:A7A1_1229
ko:K01875	bsl:A7A1_1228
ko:K08681	bsl:A7A1_1227
ko:K06215	bsl:A7A1_1226
ko:K00943	bsl:A7A1_1803
ko:K07258	bsl:A7A1_1225
ko:K00088	bsl:A7A1_1224
ko:K02469	bsl:A7A1_1296
ko:K02470	bsl:A7A1_1295
ko:K03629	bsl:A7A1_1293
ko:K02338	bsl:A7A1_1291
ko:K02313	bsl:A7A1_1290
ko:K01056	bsl:A7A1_1826
ko:K02897	bsl:A7A1_1825
ko:K06412	bsl:A7A1_1824
ko:K09685	bsl:A7A1_1822
ko:K00919	bsl:A7A1_1821
ko:K06423	bsl:A7A1_1820
ko:K06436	bsl:A7A1_1818
ko:K02528	bsl:A7A1_1817
ko:K05985	bsl:A7A1_1816
ko:K19551	bsl:A7A1_2716
ko:K22044	bsl:A7A1_2355
ko:K03218	bsl:A7A1_0110
ko:K11145	bsl:A7A1_0111
ko:K01883	bsl:A7A1_0112
ko:K00640	bsl:A7A1_0113
ko:K09698	bsl:A7A1_0114
ko:K01770	bsl:A7A1_0115
ko:K00991	bsl:A7A1_0116
ko:K07067	bsl:A7A1_0118
ko:K03073	bsl:A7A1_0106
ko:K02913	bsl:A7A1_0107
ko:K03091	bsl:A7A1_0108
ko:K06962	bsl:A7A1_0109
ko:K03424	bsl:A7A1_1814
ko:K01874	bsl:A7A1_1813
ko:K06284	bsl:A7A1_1812
ko:K07056	bsl:A7A1_1811
ko:K07461	bsl:A7A1_1810
ko:K02341	bsl:A7A1_1806
ko:K09770	bsl:A7A1_1805
ko:K04485	bsl:A7A1_0119
ko:K03696	bsl:A7A1_0120
ko:K03708	bsl:A7A1_0123
ko:K04567	bsl:A7A1_0894
