ko:K11720	sys:SYNPCCN_2878
ko:K07495	sys:SYNPCCN_1469
ko:K07495	sys:SYNPCCN_2102
ko:K07495	sys:SYNPCCN_2198
ko:K07495	sys:SYNPCCN_2234
ko:K06998	sys:SYNPCCN_0576
ko:K19003	sys:SYNPCCN_1678
ko:K17892	sys:SYNPCCN_2514
ko:K01897	sys:SYNPCCN_0448
ko:K02659	sys:SYNPCCN_0625
ko:K09012	sys:SYNPCCN_2577
ko:K03320	sys:SYNPCCN_2667
ko:K05566	sys:SYNPCCN_0683
ko:K06147	sys:SYNPCCN_0690
ko:K17686	sys:SYNPCCN_0692
ko:K00645	sys:SYNPCCN_0693
ko:K00969	sys:SYNPCCN_0697
ko:K00796	sys:SYNPCCN_0699
ko:K03574	sys:SYNPCCN_0709
ko:K12573	sys:SYNPCCN_0705
ko:K07315	sys:SYNPCCN_0707
ko:K01755	sys:SYNPCCN_0708
ko:K02016	sys:SYNPCCN_0032
ko:K02016	sys:SYNPCCN_0033
ko:K08903	sys:SYNPCCN_0040
ko:K04654	sys:SYNPCCN_0044
ko:K00067	sys:SYNPCCN_0045
ko:K07304	sys:SYNPCCN_0046
ko:K00703	sys:SYNPCCN_0047
ko:K15256	sys:SYNPCCN_0052
ko:K05946	sys:SYNPCCN_0056
ko:K09118	sys:SYNPCCN_0061
ko:K02275	sys:SYNPCCN_0712
ko:K02274	sys:SYNPCCN_0713
ko:K02276	sys:SYNPCCN_0714
ko:K03671	sys:SYNPCCN_0715
ko:K02049	sys:SYNPCCN_0717
ko:K02050	sys:SYNPCCN_0718
ko:K02051	sys:SYNPCCN_0719
ko:K04652	sys:SYNPCCN_0720
ko:K04651	sys:SYNPCCN_0721
ko:K01480	sys:SYNPCCN_0722
ko:K01869	sys:SYNPCCN_0726
ko:K03312	sys:SYNPCCN_0727
ko:K00615	sys:SYNPCCN_0735
ko:K00791	sys:SYNPCCN_1539
ko:K02275	sys:SYNPCCN_1543
ko:K03525	sys:SYNPCCN_1544
ko:K00720	sys:SYNPCCN_1545
ko:K05583	sys:SYNPCCN_1547
ko:K07040	sys:SYNPCCN_1549
ko:K03800	sys:SYNPCCN_1552
ko:K02552	sys:SYNPCCN_1553
ko:K03820	sys:SYNPCCN_1555
ko:K01783	sys:SYNPCCN_1561
ko:K06883	sys:SYNPCCN_1564
