ko:K01139	kph:KPNIH24_25705
ko:K00086	kph:KPNIH24_05785
ko:K02487	kph:KPNIH24_06300
ko:K16238	kph:KPNIH24_23570
ko:K02345	kph:KPNIH24_27895
ko:K18922	kph:KPNIH24_07940
ko:K19586	kph:KPNIH24_08580
ko:K06120	kph:KPNIH24_05795
ko:K06884	kph:KPNIH24_18985
ko:K19278	kph:KPNIH24_27070
ko:K21908	kph:KPNIH24_05825
ko:K19271	kph:KPNIH24_27420
ko:K09690	kph:KPNIH24_10850
ko:K19162	kph:KPNIH24_22875
ko:K02345	kph:KPNIH24_11685
ko:K06122	kph:KPNIH24_05805
ko:K06121	kph:KPNIH24_05800
ko:K15634	kph:KPNIH24_14630
ko:K03585	kph:KPNIH24_25910
ko:K07481	kph:KPNIH24_00675
ko:K00130	kph:KPNIH24_06745
ko:K18138	kph:KPNIH24_25915
ko:K18139	kph:KPNIH24_25920
ko:K03553	kph:KPNIH24_08260
ko:K03111	kph:KPNIH24_27925
ko:K04772	kph:KPNIH24_05050
ko:K00042	kph:KPNIH24_05535
ko:K00146	kph:KPNIH24_16395
ko:K02615	kph:KPNIH24_16325
ko:K19611	kph:KPNIH24_17910
ko:K03293	kph:KPNIH24_16220
ko:K00526	kph:KPNIH24_10105
ko:K03111	kph:KPNIH24_01520
ko:K01990	kph:KPNIH24_20520
ko:K01990	kph:KPNIH24_25650
ko:K19227	kph:KPNIH24_17210
ko:K19230	kph:KPNIH24_17665
ko:K18590	kph:KPNIH24_26865
ko:K18768	kph:KPNIH24_26630
ko:K18828	kph:KPNIH24_26740
ko:K00984	kph:KPNIH24_26870
ko:K18817	kph:KPNIH24_26570
ko:K08348	kph:KPNIH24_14220
ko:K19611	kph:KPNIH24_01530
ko:K01582	kph:KPNIH24_04670
ko:K19789	kph:KPNIH24_10235
ko:K19745	kph:KPNIH24_11260
ko:K00108	kph:KPNIH24_21715
ko:K21364	kph:KPNIH24_10795
ko:K03446	kph:KPNIH24_14695
ko:K04103	kph:KPNIH24_09625
ko:K00001	kph:KPNIH24_00305
ko:K21430	kph:KPNIH24_20255
ko:K01007	kph:KPNIH24_12725
ko:K08156	kph:KPNIH24_14255
ko:K14219	kph:KPNIH24_08285
ko:K14219	kph:KPNIH24_08295
ko:K14219	kph:KPNIH24_08290
ko:K14219	kph:KPNIH24_08300
ko:K14219	kph:KPNIH24_00770
ko:K01977	kph:KPNIH24_00565
ko:K01977	kph:KPNIH24_01230
ko:K01977	kph:KPNIH24_24075
ko:K01977	kph:KPNIH24_08750
ko:K01977	kph:KPNIH24_01015
ko:K01977	kph:KPNIH24_00075
ko:K01977	kph:KPNIH24_04750
ko:K01977	kph:KPNIH24_03035
ko:K14393	kph:KPNIH24_01675
ko:K01895	kph:KPNIH24_01685
ko:K11102	kph:KPNIH24_01690
ko:K07126	kph:KPNIH24_01695
ko:K10439	kph:KPNIH24_01725
ko:K10440	kph:KPNIH24_01730
ko:K10441	kph:KPNIH24_01735
ko:K06167	kph:KPNIH24_01750
ko:K05774	kph:KPNIH24_01755
ko:K06162	kph:KPNIH24_01760
ko:K05780	kph:KPNIH24_01765
ko:K05781	kph:KPNIH24_01770
ko:K06163	kph:KPNIH24_01775
ko:K06164	kph:KPNIH24_01780
ko:K06165	kph:KPNIH24_01785
ko:K06166	kph:KPNIH24_01790
ko:K02043	kph:KPNIH24_01795
ko:K04750	kph:KPNIH24_01800
ko:K06193	kph:KPNIH24_01805
ko:K03762	kph:KPNIH24_01815
ko:K07406	kph:KPNIH24_01825
ko:K11104	kph:KPNIH24_01830
ko:K05516	kph:KPNIH24_01860
ko:K11937	kph:KPNIH24_01875
ko:K11936	kph:KPNIH24_01880
ko:K11931	kph:KPNIH24_01885
ko:K11935	kph:KPNIH24_01890
ko:K04084	kph:KPNIH24_01930
ko:K03926	kph:KPNIH24_01935
ko:K07791	kph:KPNIH24_01940
ko:K08325	kph:KPNIH24_06095
ko:K01760	kph:KPNIH24_06110
ko:K03561	kph:KPNIH24_06120
ko:K03559	kph:KPNIH24_06125
ko:K01061	kph:KPNIH24_06145
ko:K11209	kph:KPNIH24_06155
ko:K01460	kph:KPNIH24_06165
ko:K01758	kph:KPNIH24_06200
ko:K01697	kph:KPNIH24_06205
ko:K02478	kph:KPNIH24_10505
ko:K02477	kph:KPNIH24_10510
ko:K01874	kph:KPNIH24_10520
ko:K03593	kph:KPNIH24_10525
ko:K06901	kph:KPNIH24_10545
ko:K01486	kph:KPNIH24_10550
ko:K00878	kph:KPNIH24_10565
ko:K00941	kph:KPNIH24_10570
ko:K00039	kph:KPNIH24_10590
ko:K03435	kph:KPNIH24_10595
ko:K00007	kph:KPNIH24_10605
ko:K00854	kph:KPNIH24_10610
ko:K02035	kph:KPNIH24_10630
ko:K02033	kph:KPNIH24_10635
ko:K02034	kph:KPNIH24_10640
ko:K08303	kph:KPNIH24_10660
ko:K07664	kph:KPNIH24_10665
ko:K07642	kph:KPNIH24_10670
ko:K18326	kph:KPNIH24_10675
ko:K07789	kph:KPNIH24_10680
ko:K07788	kph:KPNIH24_10685
ko:K07799	kph:KPNIH24_10690
ko:K07660	kph:KPNIH24_10705
ko:K04046	kph:KPNIH24_10715
ko:K01247	kph:KPNIH24_10720
ko:K00876	kph:KPNIH24_10725
ko:K01494	kph:KPNIH24_10730
ko:K07289	kph:KPNIH24_10735
ko:K00963	kph:KPNIH24_10745
ko:K01991	kph:KPNIH24_10765
ko:K01104	kph:KPNIH24_10770
ko:K16692	kph:KPNIH24_10775
ko:K02352	kph:KPNIH24_15020
ko:K00134	kph:KPNIH24_15050
ko:K06889	kph:KPNIH24_15065
ko:K03436	kph:KPNIH24_15080
ko:K01619	kph:KPNIH24_15090
