ko:K16238	kpi:D364_01565
ko:K18922	kpi:D364_15780
ko:K15634	kpi:D364_09150
ko:K08348	kpi:D364_09575
ko:K06884	kpi:D364_05355
ko:K02554	kpi:D364_10860
ko:K18141	kpi:D364_18795
ko:K09690	kpi:D364_12715
ko:K04065	kpi:D364_24655
ko:K21908	kpi:D364_16870
ko:K19162	kpi:D364_02260
ko:K02345	kpi:D364_11995
ko:K11932	kpi:D364_04105
ko:K02532	kpi:D364_04550
ko:K07347	kpi:D364_08555
ko:K19271	kpi:D364_10390
ko:K03585	kpi:D364_20645
ko:K18138	kpi:D364_20650
ko:K18139	kpi:D364_20655
ko:K03553	kpi:D364_15450
ko:K19611	kpi:D364_06445
ko:K03293	kpi:D364_07345
ko:K00526	kpi:D364_13465
ko:K18138	kpi:D364_02265
ko:K01096	kpi:D364_06625
ko:K03111	kpi:D364_22640
ko:K01652	kpi:D364_17295
ko:K01990	kpi:D364_04305
ko:K01990	kpi:D364_20375
ko:K16234	kpi:D364_04155
ko:K01271	kpi:D364_22115
ko:K07274	kpi:D364_06195
ko:K19227	kpi:D364_06705
ko:K19230	kpi:D364_06690
ko:K00254	kpi:D364_05075
ko:K15772	kpi:D364_02195
ko:K01224	kpi:D364_02200
ko:K12308	kpi:D364_02205
ko:K02024	kpi:D364_02215
ko:K02909	kpi:D364_02225
ko:K02919	kpi:D364_02230
ko:K00375	kpi:D364_02240
ko:K01358	kpi:D364_02040
ko:K00677	kpi:D364_00935
ko:K01845	kpi:D364_00810
ko:K03281	kpi:D364_00815
ko:K15724	kpi:D364_00820
ko:K06858	kpi:D364_00830
ko:K01243	kpi:D364_00835
ko:K01129	kpi:D364_00840
ko:K02647	kpi:D364_00850
ko:K00674	kpi:D364_00860
ko:K00990	kpi:D364_00865
ko:K01265	kpi:D364_00870
ko:K02967	kpi:D364_00875
ko:K02357	kpi:D364_00880
ko:K09903	kpi:D364_00885
ko:K02838	kpi:D364_00890
ko:K00099	kpi:D364_00895
ko:K00806	kpi:D364_00900
ko:K00981	kpi:D364_00905
ko:K11749	kpi:D364_00910
ko:K07277	kpi:D364_00915
ko:K06142	kpi:D364_00920
ko:K02536	kpi:D364_00925
ko:K02372	kpi:D364_00930
ko:K00826	kpi:D364_21750
ko:K01687	kpi:D364_21755
ko:K01754	kpi:D364_21760
ko:K02521	kpi:D364_21765
ko:K00053	kpi:D364_21770
ko:K03769	kpi:D364_21775
ko:K03769	kpi:D364_21780
ko:K03656	kpi:D364_21785
ko:K07150	kpi:D364_21790
ko:K01524	kpi:D364_21805
ko:K03732	kpi:D364_21810
ko:K03671	kpi:D364_21815
ko:K03628	kpi:D364_21820
ko:K02851	kpi:D364_21825
ko:K05790	kpi:D364_21830
ko:K02472	kpi:D364_21840
ko:K00973	kpi:D364_21850
ko:K16704	kpi:D364_21855
ko:K02805	kpi:D364_21860
ko:K16693	kpi:D364_21865
ko:K12582	kpi:D364_21870
ko:K02853	kpi:D364_21875
ko:K02852	kpi:D364_21880
ko:K02498	kpi:D364_21915
ko:K02496	kpi:D364_21920
ko:K01719	kpi:D364_21925
ko:K01749	kpi:D364_21930
ko:K05851	kpi:D364_21935
ko:K06202	kpi:D364_21940
ko:K01778	kpi:D364_21950
ko:K09921	kpi:D364_21955
ko:K03733	kpi:D364_21960
ko:K03657	kpi:D364_21970
ko:K03284	kpi:D364_21975
ko:K05786	kpi:D364_21980
ko:K01058	kpi:D364_21990
ko:K03654	kpi:D364_21995
ko:K05835	kpi:D364_22000
ko:K05834	kpi:D364_22010
ko:K01048	kpi:D364_22015
ko:K03435	kpi:D364_12970
ko:K00039	kpi:D364_12975
ko:K00941	kpi:D364_12995
ko:K00878	kpi:D364_13000
ko:K01486	kpi:D364_13015
ko:K06901	kpi:D364_13020
ko:K03593	kpi:D364_13040
ko:K01874	kpi:D364_13045
ko:K02478	kpi:D364_13060
ko:K05846	kpi:D364_13070
ko:K05847	kpi:D364_13075
ko:K05846	kpi:D364_13080
ko:K05845	kpi:D364_13085
ko:K05349	kpi:D364_13090
ko:K08169	kpi:D364_17010
ko:K12943	kpi:D364_17075
ko:K01823	kpi:D364_17080
ko:K04567	kpi:D364_17085
ko:K02836	kpi:D364_17090
ko:K07462	kpi:D364_17095
ko:K03981	kpi:D364_17100
ko:K04763	kpi:D364_17105
ko:K03840	kpi:D364_17110
ko:K09159	kpi:D364_17120
ko:K06980	kpi:D364_17125
ko:K11068	kpi:D364_17130
ko:K09900	kpi:D364_17135
ko:K01223	kpi:D364_17145
ko:K08344	kpi:D364_17160
ko:K00281	kpi:D364_17190
ko:K02437	kpi:D364_17195
ko:K00605	kpi:D364_17200
ko:K03185	kpi:D364_17210
ko:K01262	kpi:D364_17215
ko:K09895	kpi:D364_17220
ko:K09888	kpi:D364_17225
ko:K01934	kpi:D364_17230
ko:K00058	kpi:D364_17235
ko:K01807	kpi:D364_17240
ko:K05596	kpi:D364_17245
ko:K09807	kpi:D364_17250
ko:K06895	kpi:D364_17255
ko:K03442	kpi:D364_17260
ko:K01624	kpi:D364_17265
ko:K00927	kpi:D364_17270
ko:K03472	kpi:D364_17275
ko:K03924	kpi:D364_21185
ko:K03549	kpi:D364_21190
ko:K06726	kpi:D364_21195
ko:K10441	kpi:D364_21200
ko:K10440	kpi:D364_21205
ko:K10439	kpi:D364_21210
ko:K00852	kpi:D364_21215
ko:K02529	kpi:D364_21220
ko:K03753	kpi:D364_21255
ko:K03752	kpi:D364_21260
ko:K09896	kpi:D364_21265
ko:K03673	kpi:D364_21275
ko:K03978	kpi:D364_21290
ko:K09894	kpi:D364_21295
ko:K07712	kpi:D364_21310
ko:K07708	kpi:D364_21315
ko:K01915	kpi:D364_21320
ko:K06207	kpi:D364_21325
ko:K07058	kpi:D364_21335
ko:K07560	kpi:D364_21340
ko:K02380	kpi:D364_21365
ko:K00127	kpi:D364_21370
ko:K00124	kpi:D364_21375
ko:K00123	kpi:D364_21380
ko:K00123	kpi:D364_21385
ko:K02379	kpi:D364_21390
ko:K02529	kpi:D364_21415
ko:K07407	kpi:D364_21420
ko:K02532	kpi:D364_21425
ko:K03534	kpi:D364_21430
ko:K10561	kpi:D364_21440
ko:K10562	kpi:D364_21450
ko:K10559	kpi:D364_21455
ko:K00748	kpi:D364_00940
ko:K03470	kpi:D364_00945
ko:K02337	kpi:D364_00950
ko:K01962	kpi:D364_00955
ko:K08234	kpi:D364_00965
ko:K04075	kpi:D364_00970
ko:K15034	kpi:D364_00990
ko:K07127	kpi:D364_02500
ko:K01647	kpi:D364_02510
ko:K07345	kpi:D364_02525
ko:K02517	kpi:D364_02550
ko:K03765	kpi:D364_02560
ko:K03757	kpi:D364_02565
ko:K03305	kpi:D364_02575
ko:K04567	kpi:D364_02580
ko:K03335	kpi:D364_02590
ko:K00010	kpi:D364_02605
ko:K02529	kpi:D364_02610
ko:K17213	kpi:D364_02615
ko:K17215	kpi:D364_02620
ko:K03484	kpi:D364_02635
ko:K01193	kpi:D364_02640
ko:K16077	kpi:D364_02650
ko:K00847	kpi:D364_02655
