ko:K19078	suf:SARLGA251_05920
ko:K19079	suf:SARLGA251_05940
ko:K09022	suf:SARLGA251_04310
ko:K19005	suf:SARLGA251_06520
ko:K19285	suf:SARLGA251_03430
ko:K01990	suf:SARLGA251_21490
ko:K07145	suf:SARLGA251_01390
ko:K13733	suf:SARLGA251_22760
ko:K05352	suf:SARLGA251_02200
ko:K09692	suf:SARLGA251_05720
ko:K18934	suf:SARLGA251_19620
ko:K18936	suf:SARLGA251_21970
ko:K03328	suf:SARLGA251_01070
ko:K03328	suf:SARLGA251_04380
ko:K18935	suf:SARLGA251_19640
ko:K18940	suf:SARLGA251_13310
ko:K21454	suf:SARLGA251_21390
ko:K02240	suf:SARLGA251_06830
ko:K02242	suf:SARLGA251_06840
ko:K01104	suf:SARLGA251_01250
ko:K01784	suf:SARLGA251_01360
ko:K02049	suf:SARLGA251_01450
ko:K02051	suf:SARLGA251_01460
ko:K02050	suf:SARLGA251_01470
ko:K00819	suf:SARLGA251_01560
ko:K09963	suf:SARLGA251_01610
ko:K02552	suf:SARLGA251_09570
ko:K08680	suf:SARLGA251_09590
ko:K00841	suf:SARLGA251_09640
ko:K11189	suf:SARLGA251_09960
ko:K08483	suf:SARLGA251_09970
ko:K09825	suf:SARLGA251_17430
ko:K11085	suf:SARLGA251_17480
ko:K07586	suf:SARLGA251_17490
ko:K09693	suf:SARLGA251_17530
ko:K01104	suf:SARLGA251_17630
ko:K07694	suf:SARLGA251_17660
ko:K07009	suf:SARLGA251_17730
ko:K02342	suf:SARLGA251_17760
ko:K01834	suf:SARLGA251_03370
ko:K03386	suf:SARLGA251_03420
ko:K00088	suf:SARLGA251_03500
ko:K03177	suf:SARLGA251_11820
ko:K00059	suf:SARLGA251_11910
ko:K03048	suf:SARLGA251_19290
ko:K09680	suf:SARLGA251_19310
ko:K01619	suf:SARLGA251_19380
ko:K03784	suf:SARLGA251_19390
ko:K02799	suf:SARLGA251_19520
ko:K02800	suf:SARLGA251_19520
ko:K02798	suf:SARLGA251_19540
ko:K03593	suf:SARLGA251_19610
ko:K06023	suf:SARLGA251_06930
ko:K09762	suf:SARLGA251_07000
ko:K07584	suf:SARLGA251_15480
ko:K02236	suf:SARLGA251_15550
ko:K01835	suf:SARLGA251_22720
ko:K03299	suf:SARLGA251_22780
ko:K00851	suf:SARLGA251_22790
ko:K03535	suf:SARLGA251_22850
ko:K07104	suf:SARLGA251_22970
ko:K07258	suf:SARLGA251_05760
ko:K09705	suf:SARLGA251_06030
ko:K16013	suf:SARLGA251_06170
ko:K16012	suf:SARLGA251_06180
ko:K06934	suf:SARLGA251_06270
ko:K00784	suf:SARLGA251_14120
ko:K00033	suf:SARLGA251_14180
ko:K02246	suf:SARLGA251_14470
ko:K02245	suf:SARLGA251_14480
ko:K02244	suf:SARLGA251_14490
ko:K02243	suf:SARLGA251_14500
ko:K00845	suf:SARLGA251_14530
ko:K00374	suf:SARLGA251_21760
ko:K09815	suf:SARLGA251_21880
ko:K01834	suf:SARLGA251_21980
ko:K00652	suf:SARLGA251_22060
ko:K02033	suf:SARLGA251_01710
ko:K02035	suf:SARLGA251_01730
ko:K10112	suf:SARLGA251_01770
ko:K15770	suf:SARLGA251_01780
ko:K07784	suf:SARLGA251_01850
ko:K07720	suf:SARLGA251_01860
ko:K02035	suf:SARLGA251_02010
ko:K00016	suf:SARLGA251_02050
ko:K02775	suf:SARLGA251_02110
ko:K03499	suf:SARLGA251_10010
ko:K11072	suf:SARLGA251_10120
ko:K11071	suf:SARLGA251_10130
ko:K11069	suf:SARLGA251_10150
ko:K01092	suf:SARLGA251_10200
ko:K01958	suf:SARLGA251_10270
ko:K02433	suf:SARLGA251_17830
ko:K02371	suf:SARLGA251_17870
ko:K07094	suf:SARLGA251_17910
ko:K01916	suf:SARLGA251_17970
ko:K04518	suf:SARLGA251_18000
ko:K15986	suf:SARLGA251_18040
ko:K01439	suf:SARLGA251_18250
ko:K01226	suf:SARLGA251_04080
ko:K03486	suf:SARLGA251_04090
ko:K09685	suf:SARLGA251_04300
ko:K02443	suf:SARLGA251_12080
ko:K03713	suf:SARLGA251_12180
ko:K09976	suf:SARLGA251_12520
ko:K05020	suf:SARLGA251_12570
ko:K01220	suf:SARLGA251_19840
ko:K02786	suf:SARLGA251_19860
