ko:K18828	xfl:P303_05575
ko:K18918	xfl:P303_00055
ko:K01046	xfl:P303_01810
ko:K18829	xfl:P303_05570
ko:K18918	xfl:P303_12035
ko:K02667	xfl:P303_00185
ko:K02652	xfl:P303_00190
ko:K01007	xfl:P303_02160
ko:K21449	xfl:P303_03665
ko:K14232	xfl:P303_12065
ko:K14232	xfl:P303_00755
ko:K14229	xfl:P303_12050
ko:K14221	xfl:P303_01870
ko:K14233	xfl:P303_09220
ko:K01977	xfl:P303_11240
ko:K01977	xfl:P303_11695
ko:K12979	xfl:P303_03870
ko:K14224	xfl:P303_01160
ko:K09691	xfl:P303_12795
ko:K02650	xfl:P303_00205
ko:K14220	xfl:P303_08120
ko:K01980	xfl:P303_11680
ko:K01980	xfl:P303_11225
ko:K18697	xfl:P303_11025
ko:K14227	xfl:P303_11230
ko:K14227	xfl:P303_11685
ko:K02654	xfl:P303_00215
ko:K01868	xfl:P303_00250
ko:K03586	xfl:P303_00475
ko:K02653	xfl:P303_00210
ko:K01929	xfl:P303_00490
ko:K01000	xfl:P303_00495
ko:K02563	xfl:P303_00505
ko:K03588	xfl:P303_00500
ko:K00859	xfl:P303_00220
ko:K05844	xfl:P303_00235
ko:K02535	xfl:P303_00535
ko:K07277	xfl:P303_01095
ko:K03745	xfl:P303_05480
ko:K00012	xfl:P303_05485
ko:K01889	xfl:P303_00270
ko:K02520	xfl:P303_00255
ko:K01890	xfl:P303_00275
ko:K04764	xfl:P303_00280
ko:K02916	xfl:P303_00260
ko:K02887	xfl:P303_00265
ko:K03684	xfl:P303_00315
ko:K06968	xfl:P303_00300
ko:K07090	xfl:P303_00365
ko:K07112	xfl:P303_00370
ko:K07112	xfl:P303_00375
ko:K03601	xfl:P303_00330
ko:K06925	xfl:P303_00340
ko:K17758	xfl:P303_00335
ko:K17759	xfl:P303_00335
ko:K01448	xfl:P303_00345
ko:K01494	xfl:P303_00360
ko:K03572	xfl:P303_00350
ko:K09164	xfl:P303_00355
ko:K00432	xfl:P303_05500
ko:K01992	xfl:P303_05510
ko:K03772	xfl:P303_05490
ko:K01990	xfl:P303_05505
ko:K02078	xfl:P303_00395
ko:K12686	xfl:P303_00435
ko:K03149	xfl:P303_00445
ko:K03439	xfl:P303_00450
ko:K03154	xfl:P303_00440
ko:K03438	xfl:P303_00470
ko:K03925	xfl:P303_00465
ko:K01928	xfl:P303_00485
ko:K03587	xfl:P303_00480
ko:K01467	xfl:P303_05410
ko:K06999	xfl:P303_05395
ko:K00647	xfl:P303_05335
ko:K02669	xfl:P303_05360
ko:K02670	xfl:P303_05365
ko:K07283	xfl:P303_05375
ko:K01749	xfl:P303_05380
ko:K08083	xfl:P303_05385
ko:K03669	xfl:P303_05400
ko:K08082	xfl:P303_05390
ko:K14205	xfl:P303_05320
ko:K03590	xfl:P303_00525
ko:K03531	xfl:P303_00530
ko:K01924	xfl:P303_00510
ko:K01921	xfl:P303_00515
ko:K07259	xfl:P303_05445
ko:K07259	xfl:P303_05450
ko:K02429	xfl:P303_05470
ko:K02039	xfl:P303_05695
ko:K12982	xfl:P303_05735
ko:K06959	xfl:P303_05780
ko:K06910	xfl:P303_05790
ko:K01507	xfl:P303_05795
ko:K05838	xfl:P303_05805
ko:K01869	xfl:P303_05815
ko:K03643	xfl:P303_05820
ko:K02340	xfl:P303_05825
ko:K09710	xfl:P303_05835
ko:K08305	xfl:P303_05850
ko:K03642	xfl:P303_05855
ko:K15125	xfl:P303_05900
ko:K15125	xfl:P303_05905
ko:K02687	xfl:P303_05930
ko:K02356	xfl:P303_05940
ko:K00058	xfl:P303_05950
ko:K03294	xfl:P303_05955
ko:K03294	xfl:P303_05960
ko:K08964	xfl:P303_05965
ko:K08967	xfl:P303_05970
ko:K09880	xfl:P303_05975
ko:K11755	xfl:P303_05980
ko:K02500	xfl:P303_05985
ko:K01814	xfl:P303_05990
ko:K02501	xfl:P303_05995
ko:K01089	xfl:P303_06000
ko:K00817	xfl:P303_06005
ko:K00013	xfl:P303_06010
ko:K00765	xfl:P303_06015
ko:K01892	xfl:P303_06025
ko:K01733	xfl:P303_06030
ko:K00872	xfl:P303_06035
ko:K12524	xfl:P303_06040
ko:K00609	xfl:P303_06045
ko:K07447	xfl:P303_06050
ko:K03088	xfl:P303_06110
ko:K03596	xfl:P303_06125
ko:K03100	xfl:P303_06130
ko:K03685	xfl:P303_06140
ko:K03584	xfl:P303_06150
ko:K01662	xfl:P303_06155
ko:K14393	xfl:P303_06160
ko:K01895	xfl:P303_06170
ko:K00111	xfl:P303_06215
ko:K02440	xfl:P303_06220
ko:K00864	xfl:P303_06225
ko:K01792	xfl:P303_06235
ko:K00549	xfl:P303_06240
ko:K09765	xfl:P303_06245
ko:K08281	xfl:P303_06250
ko:K00721	xfl:P303_06265
ko:K08679	xfl:P303_06270
ko:K01875	xfl:P303_06290
ko:K03832	xfl:P303_06295
ko:K03703	xfl:P303_06335
ko:K00995	xfl:P303_06340
ko:K01698	xfl:P303_06360
ko:K05367	xfl:P303_06085
ko:K01991	xfl:P303_06695
ko:K00052	xfl:P303_06700
ko:K01704	xfl:P303_06705
ko:K01703	xfl:P303_06710
ko:K06879	xfl:P303_06735
ko:K07799	xfl:P303_06740
ko:K07788	xfl:P303_06745
ko:K07789	xfl:P303_06750
ko:K13979	xfl:P303_06760
ko:K07390	xfl:P303_06785
ko:K14260	xfl:P303_06795
ko:K11004	xfl:P303_06800
ko:K11003	xfl:P303_06805
ko:K03527	xfl:P303_06915
ko:K03101	xfl:P303_06920
ko:K01870	xfl:P303_06925
ko:K11753	xfl:P303_06930
ko:K03980	xfl:P303_06935
ko:K02968	xfl:P303_06940
ko:K03979	xfl:P303_06945
ko:K02899	xfl:P303_06950
ko:K02888	xfl:P303_06955
ko:K01951	xfl:P303_06975
ko:K00088	xfl:P303_06980
ko:K03594	xfl:P303_08475
ko:K02192	xfl:P303_08480
ko:K08311	xfl:P303_08485
ko:K00789	xfl:P303_08500
ko:K07637	xfl:P303_08510
ko:K07660	xfl:P303_08515
ko:K05539	xfl:P303_08525
ko:K02014	xfl:P303_08530
ko:K03695	xfl:P303_08545
ko:K00788	xfl:P303_08555
ko:K03760	xfl:P303_08565
ko:K02666	xfl:P303_08575
ko:K02665	xfl:P303_08580
ko:K02662	xfl:P303_08595
ko:K05366	xfl:P303_08600
ko:K00852	xfl:P303_08610
ko:K03655	xfl:P303_08640
ko:K03777	xfl:P303_08655
ko:K03286	xfl:P303_08670
ko:K03611	xfl:P303_08685
ko:K02014	xfl:P303_08690
ko:K00783	xfl:P303_08695
ko:K02014	xfl:P303_05665
ko:K03683	xfl:P303_05700
ko:K07735	xfl:P303_06055
ko:K01845	xfl:P303_06385
ko:K03593	xfl:P303_06390
ko:K00979	xfl:P303_06395
ko:K01104	xfl:P303_06400
ko:K00800	xfl:P303_06495
ko:K14170	xfl:P303_06500
ko:K00831	xfl:P303_06505
ko:K03832	xfl:P303_06510
ko:K09696	xfl:P303_06515
ko:K09697	xfl:P303_06520
ko:K13292	xfl:P303_06540
ko:K00901	xfl:P303_06545
ko:K04517	xfl:P303_06555
ko:K03686	xfl:P303_06560
ko:K04043	xfl:P303_06565
ko:K03687	xfl:P303_06570
ko:K03705	xfl:P303_06575
ko:K03631	xfl:P303_06580
ko:K03711	xfl:P303_06585
ko:K06186	xfl:P303_06590
ko:K09801	xfl:P303_06595
ko:K03664	xfl:P303_06605
ko:K03704	xfl:P303_06615
ko:K00760	xfl:P303_06625
ko:K01207	xfl:P303_06630
ko:K00963	xfl:P303_06990
ko:K05788	xfl:P303_07015
ko:K02945	xfl:P303_07020
ko:K00945	xfl:P303_07025
ko:K02919	xfl:P303_07030
ko:K12251	xfl:P303_07045
ko:K02026	xfl:P303_07060
ko:K02025	xfl:P303_07065
ko:K02027	xfl:P303_07070
ko:K05527	xfl:P303_07080
ko:K05896	xfl:P303_07085
ko:K06024	xfl:P303_07090
ko:K06178	xfl:P303_07095
ko:K14287	xfl:P303_07110
ko:K02193	xfl:P303_07115
ko:K02194	xfl:P303_07120
ko:K02195	xfl:P303_07125
ko:K02196	xfl:P303_07130
ko:K02197	xfl:P303_07135
ko:K02198	xfl:P303_07140
ko:K02199	xfl:P303_07145
ko:K02200	xfl:P303_07150
ko:K02200	xfl:P303_07155
ko:K00641	xfl:P303_07165
ko:K00568	xfl:P303_07185
ko:K02356	xfl:P303_07195
ko:K15396	xfl:P303_07205
ko:K01092	xfl:P303_07210
ko:K01935	xfl:P303_07215
ko:K02676	xfl:P303_07230
ko:K02341	xfl:P303_07235
ko:K07082	xfl:P303_07240
ko:K01657	xfl:P303_07245
ko:K09458	xfl:P303_07250
ko:K02078	xfl:P303_07255
ko:K01491	xfl:P303_06985
ko:K01933	xfl:P303_07580
ko:K11175	xfl:P303_07585
ko:K00943	xfl:P303_07605
ko:K07386	xfl:P303_07615
ko:K01716	xfl:P303_07625
ko:K14058	xfl:P303_07635
ko:K03554	xfl:P303_07640
ko:K07043	xfl:P303_07645
ko:K01772	xfl:P303_07650
ko:K03116	xfl:P303_07660
ko:K03117	xfl:P303_07665
ko:K03118	xfl:P303_07670
ko:K01951	xfl:P303_07685
ko:K06949	xfl:P303_07705
ko:K07460	xfl:P303_07715
ko:K07121	xfl:P303_07720
ko:K07056	xfl:P303_07725
ko:K01874	xfl:P303_07735
ko:K03616	xfl:P303_07740
ko:K09938	xfl:P303_07575
ko:K03455	xfl:P303_05670
ko:K02038	xfl:P303_05685
ko:K02528	xfl:P303_05705
ko:K00645	xfl:P303_07265
ko:K00163	xfl:P303_07270
ko:K00795	xfl:P303_07305
ko:K03602	xfl:P303_07310
ko:K04075	xfl:P303_07315
ko:K01077	xfl:P303_07320
ko:K03775	xfl:P303_07345
ko:K07148	xfl:P303_07350
ko:K10773	xfl:P303_07365
ko:K00014	xfl:P303_07410
ko:K00941	xfl:P303_07425
ko:K04084	xfl:P303_07430
ko:K03926	xfl:P303_07435
ko:K04078	xfl:P303_07440
ko:K04077	xfl:P303_07445
ko:K01711	xfl:P303_07480
ko:K01697	xfl:P303_07495
ko:K16090	xfl:P303_07515
ko:K09939	xfl:P303_07525
ko:K00059	xfl:P303_07260
ko:K09803	xfl:P303_07875
ko:K02655	xfl:P303_08125
ko:K02674	xfl:P303_08130
ko:K02673	xfl:P303_08135
ko:K02672	xfl:P303_08140
ko:K02671	xfl:P303_08145
ko:K08084	xfl:P303_08150
ko:K06158	xfl:P303_05650
ko:K02040	xfl:P303_05675
ko:K06195	xfl:P303_05710
ko:K03734	xfl:P303_07540
ko:K03977	xfl:P303_08175
ko:K17713	xfl:P303_08180
ko:K15539	xfl:P303_08190
