ko:K02777	bap:BUAP5A_062
ko:K08483	bap:BUAP5A_063
ko:K02784	bap:BUAP5A_064
ko:K01738	bap:BUAP5A_065
ko:K01972	bap:BUAP5A_066
ko:K01885	bap:BUAP5A_069
ko:K02408	bap:BUAP5A_071
ko:K02409	bap:BUAP5A_072
ko:K02410	bap:BUAP5A_073
ko:K02411	bap:BUAP5A_074
ko:K02412	bap:BUAP5A_075
ko:K02413	bap:BUAP5A_076
ko:K02416	bap:BUAP5A_079
ko:K02417	bap:BUAP5A_080
ko:K02419	bap:BUAP5A_081
ko:K02420	bap:BUAP5A_082
ko:K02421	bap:BUAP5A_083
ko:K02913	bap:BUAP5A_084
ko:K02902	bap:BUAP5A_085
ko:K09800	bap:BUAP5A_086
ko:K01507	bap:BUAP5A_087
ko:K03592	bap:BUAP5A_088
ko:K00647	bap:BUAP5A_090
ko:K00616	bap:BUAP5A_091
ko:K00615	bap:BUAP5A_092
ko:K01439	bap:BUAP5A_093
ko:K01714	bap:BUAP5A_094
ko:K01736	bap:BUAP5A_095
ko:K00765	bap:BUAP5A_097
ko:K00013	bap:BUAP5A_098
ko:K00817	bap:BUAP5A_099
ko:K02501	bap:BUAP5A_101
ko:K01814	bap:BUAP5A_102
ko:K02500	bap:BUAP5A_103
ko:K00033	bap:BUAP5A_105
ko:K01494	bap:BUAP5A_106
ko:K01874	bap:BUAP5A_107
ko:K04075	bap:BUAP5A_108
ko:K00793	bap:BUAP5A_110
ko:K03617	bap:BUAP5A_111
ko:K03616	bap:BUAP5A_112
ko:K03615	bap:BUAP5A_113
ko:K03614	bap:BUAP5A_114
ko:K03612	bap:BUAP5A_115
ko:K03613	bap:BUAP5A_116
ko:K10773	bap:BUAP5A_117
ko:K04066	bap:BUAP5A_118
ko:K01866	bap:BUAP5A_119
ko:K05997	bap:BUAP5A_120
ko:K01626	bap:BUAP5A_122
ko:K01868	bap:BUAP5A_123
ko:K00957	bap:BUAP5A_417
ko:K00390	bap:BUAP5A_419
ko:K00381	bap:BUAP5A_420
ko:K00380	bap:BUAP5A_421
ko:K03555	bap:BUAP5A_422
ko:K03673	bap:BUAP5A_423
ko:K02335	bap:BUAP5A_424
ko:K03978	bap:BUAP5A_425
ko:K06207	bap:BUAP5A_426
ko:K00942	bap:BUAP5A_427
ko:K06980	bap:BUAP5A_428
ko:K02836	bap:BUAP5A_429
ko:K04567	bap:BUAP5A_430
ko:K01586	bap:BUAP5A_431
ko:K00560	bap:BUAP5A_433
ko:K07042	bap:BUAP5A_435
ko:K06189	bap:BUAP5A_436
ko:K01869	bap:BUAP5A_437
ko:K02340	bap:BUAP5A_438
ko:K00969	bap:BUAP5A_439
ko:K00133	bap:BUAP5A_441
ko:K00927	bap:BUAP5A_443
ko:K01624	bap:BUAP5A_444
ko:K03442	bap:BUAP5A_445
ko:K03583	bap:BUAP5A_446
ko:K03582	bap:BUAP5A_447
ko:K03581	bap:BUAP5A_448
ko:K08304	bap:BUAP5A_451
ko:K00794	bap:BUAP5A_452
ko:K00946	bap:BUAP5A_453
ko:K03625	bap:BUAP5A_456
ko:K01662	bap:BUAP5A_457
ko:K00795	bap:BUAP5A_458
ko:K11179	bap:BUAP5A_460
ko:K02300	bap:BUAP5A_462
ko:K02299	bap:BUAP5A_463
ko:K02298	bap:BUAP5A_464
ko:K02297	bap:BUAP5A_465
ko:K05527	bap:BUAP5A_466
ko:K03544	bap:BUAP5A_469
ko:K01338	bap:BUAP5A_470
ko:K03770	bap:BUAP5A_471
ko:K04488	bap:BUAP5A_595
ko:K04082	bap:BUAP5A_596
ko:K04044	bap:BUAP5A_597
ko:K03977	bap:BUAP5A_599
ko:K03075	bap:BUAP5A_373
ko:K03431	bap:BUAP5A_374
ko:K03798	bap:BUAP5A_375
ko:K03624	bap:BUAP5A_377
ko:K00790	bap:BUAP5A_379
ko:K02888	bap:BUAP5A_380
ko:K02899	bap:BUAP5A_381
ko:K03979	bap:BUAP5A_382
ko:K02996	bap:BUAP5A_383
ko:K02871	bap:BUAP5A_384
ko:K03106	bap:BUAP5A_386
ko:K02959	bap:BUAP5A_387
ko:K02860	bap:BUAP5A_388
ko:K00554	bap:BUAP5A_389
ko:K02884	bap:BUAP5A_390
ko:K03568	bap:BUAP5A_391
ko:K03786	bap:BUAP5A_392
ko:K03557	bap:BUAP5A_393
ko:K06180	bap:BUAP5A_394
ko:K05807	bap:BUAP5A_395
ko:K01872	bap:BUAP5A_396
ko:K03563	bap:BUAP5A_397
ko:K01919	bap:BUAP5A_400
ko:K00789	bap:BUAP5A_401
ko:K09761	bap:BUAP5A_403
ko:K01807	bap:BUAP5A_404
ko:K01886	bap:BUAP5A_408
ko:K01937	bap:BUAP5A_409
ko:K01689	bap:BUAP5A_410
ko:K06194	bap:BUAP5A_411
ko:K01770	bap:BUAP5A_412
ko:K00991	bap:BUAP5A_413
ko:K05589	bap:BUAP5A_414
ko:K00860	bap:BUAP5A_415
ko:K02343	bap:BUAP5A_474
ko:K09747	bap:BUAP5A_475
ko:K04079	bap:BUAP5A_476
ko:K00939	bap:BUAP5A_477
ko:K01883	bap:BUAP5A_480
ko:K09158	bap:BUAP5A_481
ko:K03704	bap:BUAP5A_482
ko:K00014	bap:BUAP5A_486
ko:K07566	bap:BUAP5A_487
ko:K03747	bap:BUAP5A_488
ko:K01462	bap:BUAP5A_489
ko:K00604	bap:BUAP5A_490
ko:K02879	bap:BUAP5A_491
ko:K03040	bap:BUAP5A_492
ko:K02986	bap:BUAP5A_493
ko:K02948	bap:BUAP5A_494
ko:K02952	bap:BUAP5A_495
ko:K02919	bap:BUAP5A_496
ko:K03076	bap:BUAP5A_497
ko:K02876	bap:BUAP5A_498
ko:K02907	bap:BUAP5A_499
ko:K02988	bap:BUAP5A_500
ko:K02881	bap:BUAP5A_501
ko:K02933	bap:BUAP5A_502
ko:K02994	bap:BUAP5A_503
ko:K02954	bap:BUAP5A_504
ko:K02931	bap:BUAP5A_505
ko:K02895	bap:BUAP5A_506
ko:K02874	bap:BUAP5A_507
ko:K02961	bap:BUAP5A_508
ko:K02904	bap:BUAP5A_509
ko:K02878	bap:BUAP5A_510
ko:K02982	bap:BUAP5A_511
ko:K02890	bap:BUAP5A_512
ko:K02965	bap:BUAP5A_513
ko:K02886	bap:BUAP5A_514
ko:K02892	bap:BUAP5A_515
ko:K02926	bap:BUAP5A_516
ko:K02906	bap:BUAP5A_517
ko:K02946	bap:BUAP5A_518
ko:K02358	bap:BUAP5A_519
ko:K02355	bap:BUAP5A_520
ko:K02992	bap:BUAP5A_521
ko:K02950	bap:BUAP5A_522
ko:K07237	bap:BUAP5A_523
ko:K07236	bap:BUAP5A_524
ko:K07235	bap:BUAP5A_525
ko:K06141	bap:BUAP5A_528
ko:K01867	bap:BUAP5A_529
ko:K01783	bap:BUAP5A_530
ko:K01735	bap:BUAP5A_531
ko:K00891	bap:BUAP5A_532
ko:K00164	bap:BUAP5A_296
ko:K00658	bap:BUAP5A_297
ko:K01834	bap:BUAP5A_298
ko:K00850	bap:BUAP5A_299
ko:K02440	bap:BUAP5A_300
ko:K01803	bap:BUAP5A_301
ko:K05788	bap:BUAP5A_302
ko:K02945	bap:BUAP5A_303
ko:K00800	bap:BUAP5A_304
ko:K00831	bap:BUAP5A_305
ko:K01875	bap:BUAP5A_306
ko:K00384	bap:BUAP5A_307
ko:K02518	bap:BUAP5A_308
ko:K01876	bap:BUAP5A_309
ko:K09816	bap:BUAP5A_310
ko:K09817	bap:BUAP5A_311
ko:K00873	bap:BUAP5A_312
ko:K00036	bap:BUAP5A_313
ko:K03799	bap:BUAP5A_314
ko:K03704	bap:BUAP5A_315
ko:K03608	bap:BUAP5A_318
ko:K03609	bap:BUAP5A_319
ko:K03610	bap:BUAP5A_320
ko:K03980	bap:BUAP5A_327
ko:K01465	bap:BUAP5A_328
ko:K02399	bap:BUAP5A_329
ko:K02386	bap:BUAP5A_330
ko:K02388	bap:BUAP5A_332
ko:K02389	bap:BUAP5A_333
ko:K02390	bap:BUAP5A_334
ko:K02391	bap:BUAP5A_335
ko:K00600	bap:BUAP5A_284
ko:K01935	bap:BUAP5A_285
ko:K01012	bap:BUAP5A_286
ko:K00833	bap:BUAP5A_287
ko:K03723	bap:BUAP5A_289
ko:K09808	bap:BUAP5A_290
ko:K00134	bap:BUAP5A_292
ko:K03839	bap:BUAP5A_293
ko:K01669	bap:BUAP5A_294
ko:K03687	bap:BUAP5A_181
ko:K00858	bap:BUAP5A_182
ko:K06186	bap:BUAP5A_183
ko:K07390	bap:BUAP5A_601
ko:K03683	bap:BUAP5A_185
ko:K04564	bap:BUAP5A_186
ko:K01056	bap:BUAP5A_187
ko:K06942	bap:BUAP5A_188
ko:K01733	bap:BUAP5A_189
ko:K00872	bap:BUAP5A_190
ko:K00760	bap:BUAP5A_192
ko:K01918	bap:BUAP5A_193
ko:K00606	bap:BUAP5A_194
ko:K06204	bap:BUAP5A_195
ko:K06173	bap:BUAP5A_196
ko:K05365	bap:BUAP5A_197
