ko:K03602	abk:LX00_05940
ko:K20319	abk:LX00_13050
ko:K03297	abk:LX00_12420
ko:K03297	abk:LX00_15545
ko:K21029	abk:LX00_11600
ko:K19302	abk:LX00_00160
ko:K16238	abk:LX00_11390
ko:K07278	abk:LX00_11535
ko:K11741	abk:LX00_03245
ko:K03327	abk:LX00_18440
ko:K01990	abk:LX00_08450
ko:K22617	abk:LX00_16060
ko:K11209	abk:LX00_02930
ko:K00821	abk:LX00_10380
ko:K00146	abk:LX00_09940
ko:K00108	abk:LX00_04660
ko:K00001	abk:LX00_11120
ko:K01007	abk:LX00_11695
ko:K09017	abk:LX00_00315
ko:K22589	abk:LX00_13180
ko:K21449	abk:LX00_05215
ko:K01977	abk:LX00_00250
ko:K01978	abk:LX00_18690
ko:K22003	abk:LX00_03330
ko:K01263	abk:LX00_12995
ko:K03446	abk:LX00_09575
ko:K03296	abk:LX00_15410
ko:K00108	abk:LX00_09330
ko:K00108	abk:LX00_09380
ko:K01800	abk:LX00_18415
ko:K18137	abk:LX00_10890
ko:K00042	abk:LX00_09655
ko:K18698	abk:LX00_17505
ko:K01980	abk:LX00_00265
ko:K01980	abk:LX00_03095
ko:K01980	abk:LX00_18670
ko:K01980	abk:LX00_16010
ko:K01980	abk:LX00_01035
ko:K01980	abk:LX00_16180
ko:K01977	abk:LX00_01020
ko:K14221	abk:LX00_15320
ko:K14221	abk:LX00_15335
ko:K14221	abk:LX00_15330
ko:K01985	abk:LX00_00270
ko:K01985	abk:LX00_01040
ko:K01985	abk:LX00_18665
ko:K01985	abk:LX00_16005
ko:K01985	abk:LX00_03100
ko:K01985	abk:LX00_16175
ko:K02864	abk:LX00_01515
ko:K05539	abk:LX00_02780
ko:K00324	abk:LX00_02800
ko:K00324	abk:LX00_02805
ko:K00325	abk:LX00_02810
ko:K09710	abk:LX00_02820
ko:K07678	abk:LX00_02840
ko:K12339	abk:LX00_02845
ko:K07501	abk:LX00_02850
ko:K03215	abk:LX00_02855
ko:K00951	abk:LX00_02860
ko:K02237	abk:LX00_02875
