ko:K08744	mtue:J114_09725
ko:K07029	mtue:J114_12080
ko:K08884	mtue:J114_15555
ko:K01992	mtue:J114_06560
ko:K01992	mtue:J114_07820
ko:K01992	mtue:J114_15685
ko:K01992	mtue:J114_15690
ko:K12349	mtue:J114_03575
ko:K01006	mtue:J114_06080
ko:K22476	mtue:J114_02275
ko:K07171	mtue:J114_02425
ko:K03297	mtue:J114_16395
ko:K02554	mtue:J114_18910
ko:K21431	mtue:J114_04545
ko:K22316	mtue:J114_11935
ko:K12429	mtue:J114_06440
ko:K07171	mtue:J114_05955
ko:K18956	mtue:J114_00135
ko:K18957	mtue:J114_20635
ko:K07171	mtue:J114_03520
ko:K07171	mtue:J114_10355
ko:K07045	mtue:J114_18765
ko:K18955	mtue:J114_17475
ko:K07068	mtue:J114_08700
ko:K18851	mtue:J114_00710
ko:K07448	mtue:J114_13530
ko:K00561	mtue:J114_10620
ko:K04781	mtue:J114_12775
ko:K02892	mtue:J114_03755
ko:K02313	mtue:J114_00005
ko:K02338	mtue:J114_00010
ko:K03629	mtue:J114_00015
ko:K02470	mtue:J114_00025
ko:K02469	mtue:J114_00030
ko:K00459	mtue:J114_00130
ko:K03076	mtue:J114_03900
ko:K01265	mtue:J114_03910
ko:K03088	mtue:J114_03915
ko:K00140	mtue:J114_04020
ko:K01945	mtue:J114_04120
ko:K01756	mtue:J114_04145
ko:K01923	mtue:J114_04160
ko:K01354	mtue:J114_04165
ko:K01681	mtue:J114_07920
ko:K03924	mtue:J114_07940
ko:K01772	mtue:J114_07985
ko:K09165	mtue:J114_08055
ko:K01711	mtue:J114_08125
ko:K02377	mtue:J114_08130
ko:K02227	mtue:J114_11985
ko:K00163	mtue:J114_12015
ko:K00645	mtue:J114_12025
ko:K02078	mtue:J114_12030
ko:K00111	mtue:J114_12060
ko:K03306	mtue:J114_12215
ko:K01521	mtue:J114_12245
ko:K14155	mtue:J114_12270
ko:K09925	mtue:J114_12275
ko:K00052	mtue:J114_16000
ko:K02069	mtue:J114_16030
ko:K00053	mtue:J114_16040
ko:K01653	mtue:J114_16045
ko:K01652	mtue:J114_16050
ko:K15977	mtue:J114_16060
ko:K02434	mtue:J114_16080
ko:K02435	mtue:J114_16095
ko:K01972	mtue:J114_16105
ko:K00566	mtue:J114_16165
ko:K04487	mtue:J114_16170
ko:K03522	mtue:J114_16185
ko:K03521	mtue:J114_16190
ko:K02013	mtue:J114_16260
ko:K01079	mtue:J114_16265
ko:K11991	mtue:J114_20040
ko:K09957	mtue:J114_20055
ko:K05846	mtue:J114_20060
ko:K05846	mtue:J114_20065
ko:K05847	mtue:J114_20070
ko:K05845	mtue:J114_20075
ko:K09958	mtue:J114_00860
ko:K00324	mtue:J114_00865
ko:K00324	mtue:J114_00870
ko:K00325	mtue:J114_00875
ko:K07107	mtue:J114_00910
ko:K02066	mtue:J114_00930
ko:K02066	mtue:J114_00935
ko:K06911	mtue:J114_01000
ko:K03088	mtue:J114_01005
ko:K05349	mtue:J114_01025
ko:K01687	mtue:J114_01045
ko:K01647	mtue:J114_04780
ko:K06996	mtue:J114_04865
ko:K02168	mtue:J114_04910
ko:K03322	mtue:J114_04950
ko:K02040	mtue:J114_04970
ko:K02037	mtue:J114_04975
ko:K02038	mtue:J114_04980
ko:K02040	mtue:J114_04990
ko:K02036	mtue:J114_04995
ko:K02040	mtue:J114_05000
ko:K02037	mtue:J114_05005
ko:K10979	mtue:J114_05020
ko:K01810	mtue:J114_05065
ko:K02916	mtue:J114_08780
ko:K02887	mtue:J114_08785
ko:K03437	mtue:J114_08790
ko:K01889	mtue:J114_08815
ko:K01890	mtue:J114_08820
ko:K00145	mtue:J114_08830
ko:K00930	mtue:J114_08845
ko:K00611	mtue:J114_08855
ko:K03402	mtue:J114_08860
ko:K01940	mtue:J114_08865
ko:K01755	mtue:J114_08870
ko:K03652	mtue:J114_09020
ko:K01866	mtue:J114_09025
ko:K06442	mtue:J114_09050
ko:K00858	mtue:J114_09055
ko:K03631	mtue:J114_09060
ko:K01937	mtue:J114_09075
ko:K02968	mtue:J114_12925
ko:K02340	mtue:J114_12930
ko:K02237	mtue:J114_12940
ko:K09710	mtue:J114_12965
ko:K00969	mtue:J114_12970
ko:K00147	mtue:J114_13005
ko:K04756	mtue:J114_13025
ko:K01950	mtue:J114_13075
ko:K00931	mtue:J114_13080
ko:K03979	mtue:J114_13085
ko:K02899	mtue:J114_13090
ko:K02888	mtue:J114_13095
ko:K11103	mtue:J114_13100
ko:K00940	mtue:J114_13110
ko:K11754	mtue:J114_13120
ko:K01873	mtue:J114_13125
ko:K03752	mtue:J114_13140
ko:K00175	mtue:J114_13145
ko:K00174	mtue:J114_13150
ko:K00332	mtue:J114_16840
ko:K00333	mtue:J114_16845
ko:K00334	mtue:J114_16850
ko:K00337	mtue:J114_16865
ko:K00338	mtue:J114_16870
ko:K00339	mtue:J114_16875
ko:K00340	mtue:J114_16880
ko:K00341	mtue:J114_16885
ko:K00343	mtue:J114_16900
ko:K03924	mtue:J114_16935
ko:K07133	mtue:J114_17015
ko:K03657	mtue:J114_17115
ko:K03426	mtue:J114_17125
ko:K10716	mtue:J114_17130
ko:K00384	mtue:J114_20910
ko:K03671	mtue:J114_20915
ko:K03501	mtue:J114_20940
ko:K08998	mtue:J114_20960
ko:K03536	mtue:J114_20965
ko:K02914	mtue:J114_20970
ko:K00864	mtue:J114_19740
ko:K07735	mtue:J114_00215
ko:K01869	mtue:J114_00230
ko:K01858	mtue:J114_00255
ko:K02990	mtue:J114_00290
ko:K02963	mtue:J114_00300
ko:K02939	mtue:J114_00305
ko:K00031	mtue:J114_00365
ko:K01752	mtue:J114_00380
ko:K02003	mtue:J114_00410
ko:K14155	mtue:J114_00420
ko:K12140	mtue:J114_00475
ko:K12141	mtue:J114_00485
ko:K01952	mtue:J114_04210
ko:K01952	mtue:J114_04215
ko:K03710	mtue:J114_04230
ko:K00382	mtue:J114_04240
ko:K07223	mtue:J114_04255
ko:K01952	mtue:J114_04275
ko:K00764	mtue:J114_04300
ko:K01933	mtue:J114_04305
ko:K06980	mtue:J114_04315
ko:K02036	mtue:J114_04365
ko:K02039	mtue:J114_04370
ko:K03921	mtue:J114_04385
ko:K01870	mtue:J114_08250
ko:K02346	mtue:J114_08255
ko:K03101	mtue:J114_08265
ko:K06180	mtue:J114_08270
ko:K06886	mtue:J114_08280
ko:K07124	mtue:J114_08290
ko:K02337	mtue:J114_08300
ko:K00631	mtue:J114_08325
ko:K00246	mtue:J114_08345
ko:K01754	mtue:J114_08370
ko:K01236	mtue:J114_08385
ko:K06044	mtue:J114_08390
ko:K00833	mtue:J114_08415
ko:K01935	mtue:J114_08425
ko:K01012	mtue:J114_08505
ko:K04079	mtue:J114_12295
ko:K03568	mtue:J114_12395
ko:K16785	mtue:J114_12455
ko:K16786	mtue:J114_12460
ko:K16787	mtue:J114_12460
ko:K02575	mtue:J114_12480
ko:K01738	mtue:J114_12510
ko:K00640	mtue:J114_12515
ko:K01129	mtue:J114_12565
ko:K01114	mtue:J114_12590
ko:K02016	mtue:J114_16280
ko:K03439	mtue:J114_01145
ko:K01207	mtue:J114_01300
ko:K00240	mtue:J114_01350
ko:K00239	mtue:J114_01355
ko:K00362	mtue:J114_01375
ko:K00363	mtue:J114_01380
ko:K03657	mtue:J114_05090
ko:K01903	mtue:J114_05110
ko:K01902	mtue:J114_05115
ko:K11175	mtue:J114_05135
ko:K02886	mtue:J114_03760
ko:K02965	mtue:J114_03765
ko:K02890	mtue:J114_03770
ko:K02982	mtue:J114_03775
ko:K02878	mtue:J114_03780
ko:K02904	mtue:J114_03785
ko:K13979	mtue:J114_16285
ko:K02346	mtue:J114_16340
ko:K06200	mtue:J114_16380
ko:K15977	mtue:J114_16390
ko:K06199	mtue:J114_16415
ko:K06199	mtue:J114_16420
ko:K01644	mtue:J114_16445
ko:K09781	mtue:J114_16545
ko:K01875	mtue:J114_20485
ko:K01126	mtue:J114_20525
ko:K04564	mtue:J114_20560
ko:K02553	mtue:J114_20595
ko:K00602	mtue:J114_05140
ko:K02911	mtue:J114_05275
ko:K03282	mtue:J114_05305
ko:K02003	mtue:J114_05310
ko:K00963	mtue:J114_05345
ko:K03750	mtue:J114_05350
ko:K03790	mtue:J114_05355
ko:K11737	mtue:J114_09100
ko:K03321	mtue:J114_09120
ko:K05896	mtue:J114_09130
ko:K06024	mtue:J114_09135
ko:K06178	mtue:J114_09140
ko:K00945	mtue:J114_09145
ko:K03977	mtue:J114_09150
ko:K00074	mtue:J114_09160
ko:K02575	mtue:J114_09285
ko:K03544	mtue:J114_13160
ko:K01358	mtue:J114_13175
ko:K01358	mtue:J114_13180
ko:K03545	mtue:J114_13185
ko:K01808	mtue:J114_13200
ko:K01256	mtue:J114_13210
ko:K06886	mtue:J114_13230
ko:K07107	mtue:J114_13250
ko:K15371	mtue:J114_13255
ko:K00631	mtue:J114_13270
ko:K06966	mtue:J114_13325
ko:K00627	mtue:J114_13345
ko:K00162	mtue:J114_13350
ko:K00161	mtue:J114_13355
ko:K01644	mtue:J114_13360
ko:K01969	mtue:J114_13380
ko:K01029	mtue:J114_13385
ko:K03657	mtue:J114_17135
ko:K02361	mtue:J114_17215
ko:K03088	mtue:J114_17270
ko:K00800	mtue:J114_17305
ko:K06949	mtue:J114_17310
ko:K07228	mtue:J114_17355
ko:K03070	mtue:J114_17375
ko:K00943	mtue:J114_17410
ko:K01251	mtue:J114_17415
ko:K02437	mtue:J114_09745
ko:K08999	mtue:J114_09760
ko:K00281	mtue:J114_09770
ko:K06978	mtue:J114_09785
ko:K01638	mtue:J114_09795
ko:K01430	mtue:J114_09855
ko:K01429	mtue:J114_09860
ko:K01428	mtue:J114_09865
ko:K03188	mtue:J114_09870
ko:K03189	mtue:J114_09875
ko:K03190	mtue:J114_09880
ko:K03885	mtue:J114_09885
ko:K02020	mtue:J114_09900
ko:K02018	mtue:J114_09905
ko:K02003	mtue:J114_13725
ko:K07001	mtue:J114_13730
ko:K01876	mtue:J114_13765
ko:K00077	mtue:J114_13770
ko:K01892	mtue:J114_13805
ko:K00759	mtue:J114_13825
ko:K03074	mtue:J114_13835
ko:K03072	mtue:J114_13840
ko:K03210	mtue:J114_13845
ko:K03551	mtue:J114_13865
ko:K03550	mtue:J114_13870
ko:K01159	mtue:J114_13875
ko:K00797	mtue:J114_13910
ko:K08681	mtue:J114_13930
ko:K10805	mtue:J114_13935
ko:K06215	mtue:J114_13940
ko:K00275	mtue:J114_13945
ko:K00995	mtue:J114_13975
ko:K01868	mtue:J114_13985
ko:K00761	mtue:J114_17740
ko:K00242	mtue:J114_17790
ko:K00239	mtue:J114_17795
ko:K00240	mtue:J114_17800
ko:K03637	mtue:J114_17825
ko:K03088	mtue:J114_17840
ko:K01443	mtue:J114_17860
ko:K07058	mtue:J114_17875
ko:K01867	mtue:J114_17880
ko:K00031	mtue:J114_17895
ko:K01740	mtue:J114_17900
ko:K00641	mtue:J114_17905
ko:K01491	mtue:J114_18000
ko:K02902	mtue:J114_00585
