ko:K00499	lpm:LP6_2245
ko:K21147	lpm:LP6_1548
ko:K00986	lpm:LP6_2095
ko:K11741	lpm:LP6_0543
ko:K03111	lpm:LP6_0348
ko:K02487	lpm:LP6_0988
ko:K02487	lpm:LP6_2055
ko:K08604	lpm:LP6_0020
ko:K01990	lpm:LP6_0643
ko:K01990	lpm:LP6_0665
ko:K02619	lpm:LP6_0576
ko:K06075	lpm:LP6_1191
ko:K03417	lpm:LP6_0056
ko:K03386	lpm:LP6_3004
ko:K00027	lpm:LP6_3010
ko:K02116	lpm:LP6_3028
ko:K00276	lpm:LP6_2945
ko:K08305	lpm:LP6_2953
ko:K02004	lpm:LP6_2957
ko:K01525	lpm:LP6_2961
ko:K01679	lpm:LP6_2972
ko:K11070	lpm:LP6_1122
ko:K01897	lpm:LP6_1532
ko:K08305	lpm:LP6_1852
ko:K01759	lpm:LP6_1861
ko:K00799	lpm:LP6_1887
ko:K01885	lpm:LP6_1890
ko:K05524	lpm:LP6_1902
ko:K16329	lpm:LP6_1910
ko:K01724	lpm:LP6_1979
ko:K14218	lpm:LP6_1859
ko:K14475	lpm:LP6_1262
ko:K00027	lpm:LP6_1263
ko:K03087	lpm:LP6_1266
ko:K08086	lpm:LP6_1284
ko:K02454	lpm:LP6_1301
ko:K07126	lpm:LP6_1337
ko:K03469	lpm:LP6_1364
ko:K02342	lpm:LP6_1365
ko:K00869	lpm:LP6_2019
ko:K01597	lpm:LP6_2020
ko:K02067	lpm:LP6_2025
ko:K01823	lpm:LP6_2031
ko:K00054	lpm:LP6_2032
ko:K15727	lpm:LP6_2050
ko:K15725	lpm:LP6_2051
ko:K06147	lpm:LP6_2089
ko:K07304	lpm:LP6_2123
ko:K07305	lpm:LP6_2124
ko:K07305	lpm:LP6_2136
ko:K15725	lpm:LP6_2157
ko:K07393	lpm:LP6_2469
ko:K04750	lpm:LP6_2471
ko:K02348	lpm:LP6_2484
ko:K04655	lpm:LP6_2501
ko:K04652	lpm:LP6_2505
ko:K02428	lpm:LP6_2514
ko:K06889	lpm:LP6_2635
ko:K07386	lpm:LP6_2638
ko:K03768	lpm:LP6_2760
ko:K01719	lpm:LP6_2769
ko:K00974	lpm:LP6_2775
ko:K00059	lpm:LP6_1376
ko:K00939	lpm:LP6_1392
ko:K08992	lpm:LP6_1403
ko:K01619	lpm:LP6_1414
ko:K01489	lpm:LP6_1416
ko:K07640	lpm:LP6_1418
ko:K06910	lpm:LP6_1432
ko:K03574	lpm:LP6_1445
ko:K00652	lpm:LP6_1454
ko:K07258	lpm:LP6_1487
ko:K02653	lpm:LP6_1501
ko:K00970	lpm:LP6_1516
ko:K00625	lpm:LP6_2290
ko:K00219	lpm:LP6_2375
ko:K03386	lpm:LP6_2379
ko:K01426	lpm:LP6_2384
ko:K01409	lpm:LP6_2386
ko:K03574	lpm:LP6_2434
ko:K13953	lpm:LP6_2522
ko:K00808	lpm:LP6_2525
ko:K00949	lpm:LP6_2527
ko:K15383	lpm:LP6_2528
ko:K04518	lpm:LP6_2564
ko:K03153	lpm:LP6_1544
ko:K03560	lpm:LP6_1552
ko:K00135	lpm:LP6_1561
ko:K01782	lpm:LP6_1575
ko:K00626	lpm:LP6_1576
ko:K07019	lpm:LP6_1602
ko:K00010	lpm:LP6_1630
ko:K01482	lpm:LP6_1635
ko:K01176	lpm:LP6_1648
ko:K01176	lpm:LP6_1650
ko:K02414	lpm:LP6_1667
ko:K00568	lpm:LP6_1676
ko:K06910	lpm:LP6_2236
ko:K00059	lpm:LP6_2259
ko:K06179	lpm:LP6_2323
ko:K00088	lpm:LP6_1700
ko:K06445	lpm:LP6_1703
ko:K05816	lpm:LP6_1706
ko:K05815	lpm:LP6_1707
ko:K05814	lpm:LP6_1708
ko:K02433	lpm:LP6_1713
ko:K13628	lpm:LP6_1721
ko:K04488	lpm:LP6_1722
ko:K01092	lpm:LP6_1725
ko:K10943	lpm:LP6_1739
ko:K10942	lpm:LP6_1740
ko:K03743	lpm:LP6_1781
ko:K03593	lpm:LP6_1791
ko:K11085	lpm:LP6_1797
ko:K00626	lpm:LP6_1803
ko:K01907	lpm:LP6_1809
ko:K01259	lpm:LP6_1822
ko:K14232	lpm:LP6_1845
ko:K14219	lpm:LP6_1255
ko:K14219	lpm:LP6_2036
ko:K14230	lpm:LP6_2804
ko:K14221	lpm:LP6_1835
ko:K14228	lpm:LP6_2205
