ko:K03046	smg:SMGWSS_056
ko:K03043	smg:SMGWSS_057
ko:K00052	smg:SMGWSS_040
ko:K01695	smg:SMGWSS_121
ko:K04075	smg:SMGWSS_120
ko:K01657	smg:SMGWSS_126
ko:K00162	smg:SMGWSS_212
ko:K01658	smg:SMGWSS_125
ko:K01703	smg:SMGWSS_042
ko:K03070	smg:SMGWSS_135
ko:K02874	smg:SMGWSS_231
ko:K02931	smg:SMGWSS_232
ko:K02954	smg:SMGWSS_233
ko:K02994	smg:SMGWSS_234
ko:K02933	smg:SMGWSS_235
ko:K02881	smg:SMGWSS_236
ko:K02988	smg:SMGWSS_237
ko:K02876	smg:SMGWSS_238
ko:K03076	smg:SMGWSS_239
ko:K02518	smg:SMGWSS_240
ko:K02919	smg:SMGWSS_241
ko:K02952	smg:SMGWSS_242
ko:K02948	smg:SMGWSS_243
ko:K02986	smg:SMGWSS_244
ko:K03040	smg:SMGWSS_245
ko:K02879	smg:SMGWSS_246
ko:K01778	smg:SMGWSS_247
ko:K03438	smg:SMGWSS_248
ko:K00294	smg:SMGWSS_249
ko:K00627	smg:SMGWSS_255
ko:K00134	smg:SMGWSS_257
ko:K03218	smg:SMGWSS_259
ko:K01754	smg:SMGWSS_261
ko:K00053	smg:SMGWSS_262
ko:K01652	smg:SMGWSS_264
ko:K01687	smg:SMGWSS_265
ko:K00145	smg:SMGWSS_110
ko:K01956	smg:SMGWSS_112
ko:K01955	smg:SMGWSS_113
ko:K00930	smg:SMGWSS_115
ko:K01438	smg:SMGWSS_116
ko:K02864	smg:SMGWSS_059
ko:K02863	smg:SMGWSS_060
ko:K02867	smg:SMGWSS_061
ko:K02358	smg:SMGWSS_063
ko:K02426	smg:SMGWSS_074
ko:K02523	smg:SMGWSS_075
ko:K03116	smg:SMGWSS_082
ko:K03544	smg:SMGWSS_084
ko:K02967	smg:SMGWSS_088
ko:K02996	smg:SMGWSS_089
ko:K02871	smg:SMGWSS_090
ko:K04043	smg:SMGWSS_091
ko:K02520	smg:SMGWSS_092
ko:K02916	smg:SMGWSS_093
ko:K02887	smg:SMGWSS_094
ko:K01462	smg:SMGWSS_095
ko:K07447	smg:SMGWSS_096
ko:K00566	smg:SMGWSS_100
ko:K03686	smg:SMGWSS_101
ko:K03687	smg:SMGWSS_102
ko:K00382	smg:SMGWSS_103
ko:K02834	smg:SMGWSS_105
ko:K03650	smg:SMGWSS_106
ko:K02337	smg:SMGWSS_108
ko:K03572	smg:SMGWSS_251
ko:K02470	smg:SMGWSS_208
ko:K00161	smg:SMGWSS_254
ko:K01889	smg:SMGWSS_260
ko:K01902	smg:SMGWSS_154
ko:K01903	smg:SMGWSS_081
ko:K03786	smg:SMGWSS_014
ko:K00891	smg:SMGWSS_119
ko:K01609	smg:SMGWSS_123
ko:K00766	smg:SMGWSS_124
ko:K01881	smg:SMGWSS_128
ko:K01586	smg:SMGWSS_130
ko:K01736	smg:SMGWSS_132
ko:K04079	smg:SMGWSS_133
ko:K02884	smg:SMGWSS_136
ko:K01733	smg:SMGWSS_139
ko:K00872	smg:SMGWSS_140
ko:K00406	smg:SMGWSS_147
ko:K03977	smg:SMGWSS_151
ko:K03644	smg:SMGWSS_152
ko:K02914	smg:SMGWSS_153
ko:K03593	smg:SMGWSS_159
ko:K01867	smg:SMGWSS_160
ko:K02888	smg:SMGWSS_166
ko:K02899	smg:SMGWSS_167
ko:K02990	smg:SMGWSS_170
ko:K01358	smg:SMGWSS_083
ko:K00029	smg:SMGWSS_145
ko:K00812	smg:SMGWSS_210
ko:K00658	smg:SMGWSS_187
