ko:K02495	senj:CFSAN001992_13695
ko:K19092	senj:CFSAN001992_18795
ko:K18923	senj:CFSAN001992_03830
ko:K03297	senj:CFSAN001992_03270
ko:K19595	senj:CFSAN001992_09430
ko:K09690	senj:CFSAN001992_07780
ko:K01990	senj:CFSAN001992_07350
ko:K02345	senj:CFSAN001992_02055
ko:K03111	senj:CFSAN001992_12605
ko:K00526	senj:CFSAN001992_22165
ko:K18968	senj:CFSAN001992_09270
ko:K18984	senj:CFSAN001992_04610
ko:K02200	senj:CFSAN001992_00205
ko:K06183	senj:CFSAN001992_00250
ko:K00882	senj:CFSAN001992_00335
ko:K10540	senj:CFSAN001992_00410
ko:K10541	senj:CFSAN001992_00420
ko:K03748	senj:CFSAN001992_00440
ko:K01489	senj:CFSAN001992_00445
ko:K19221	senj:CFSAN001992_02885
ko:K13921	senj:CFSAN001992_01175
ko:K03399	senj:CFSAN001992_01280
ko:K02190	senj:CFSAN001992_01310
ko:K03593	senj:CFSAN001992_00595
ko:K01104	senj:CFSAN001992_00835
ko:K12992	senj:CFSAN001992_01005
ko:K00033	senj:CFSAN001992_01025
ko:K08352	senj:CFSAN001992_01110
ko:K08353	senj:CFSAN001992_01115
ko:K07258	senj:CFSAN001992_01125
ko:K00254	senj:CFSAN001992_06640
ko:K00884	senj:CFSAN001992_05505
ko:K13654	senj:CFSAN001992_03595
ko:K19230	senj:CFSAN001992_03010
ko:K18816	senj:CFSAN001992_03440
ko:K07012	senj:CFSAN001992_18855
ko:K08279	senj:CFSAN001992_10680
ko:K11745	senj:CFSAN001992_10595
ko:K11748	senj:CFSAN001992_16285
ko:K04753	senj:CFSAN001992_17670
ko:K02485	senj:CFSAN001992_02695
ko:K13053	senj:CFSAN001992_06575
ko:K04771	senj:CFSAN001992_09945
ko:K10014	senj:CFSAN001992_21810
ko:K04772	senj:CFSAN001992_16810
ko:K01096	senj:CFSAN001992_02935
ko:K04065	senj:CFSAN001992_11230
ko:K03605	senj:CFSAN001992_02525
ko:K03973	senj:CFSAN001992_03080
ko:K11645	senj:CFSAN001992_00660
ko:K03445	senj:CFSAN001992_14765
ko:K04028	senj:CFSAN001992_21260
ko:K03077	senj:CFSAN001992_11940
ko:K07662	senj:CFSAN001992_13390
ko:K07645	senj:CFSAN001992_17645
ko:K00557	senj:CFSAN001992_13050
ko:K07713	senj:CFSAN001992_12890
ko:K08351	senj:CFSAN001992_15435
ko:K03668	senj:CFSAN001992_03295
ko:K05875	senj:CFSAN001992_01835
ko:K00879	senj:CFSAN001992_18680
ko:K16950	senj:CFSAN001992_20800
ko:K02030	senj:CFSAN001992_03375
ko:K16951	senj:CFSAN001992_20795
ko:K14231	senj:CFSAN001992t22408
ko:K14231	senj:CFSAN001992t22456
ko:K14228	senj:CFSAN001992t22394
ko:K14228	senj:CFSAN001992t22430
ko:K14228	senj:CFSAN001992t22398
ko:K14228	senj:CFSAN001992t22396
ko:K14223	senj:CFSAN001992t22378
ko:K14223	senj:CFSAN001992t22380
ko:K14230	senj:CFSAN001992t22368
ko:K14230	senj:CFSAN001992t22376
ko:K14223	senj:CFSAN001992t22372
ko:K14223	senj:CFSAN001992t22374
ko:K14229	senj:CFSAN001992t22358
ko:K14229	senj:CFSAN001992t22366
ko:K14229	senj:CFSAN001992t22360
ko:K14229	senj:CFSAN001992t22476
ko:K14229	senj:CFSAN001992t22362
ko:K01977	senj:CFSAN001992r22508
ko:K01977	senj:CFSAN001992r22514
ko:K01977	senj:CFSAN001992r22516
ko:K01977	senj:CFSAN001992r22512
ko:K01977	senj:CFSAN001992r22510
ko:K01977	senj:CFSAN001992r22518
ko:K01977	senj:CFSAN001992r22506
ko:K14225	senj:CFSAN001992t22414
ko:K14219	senj:CFSAN001992t22434
ko:K02006	senj:CFSAN001992_01335
ko:K14237	senj:CFSAN001992t22346
ko:K14232	senj:CFSAN001992t22322
ko:K03974	senj:CFSAN001992_03065
ko:K03969	senj:CFSAN001992_03070
ko:K03970	senj:CFSAN001992_03075
ko:K03971	senj:CFSAN001992_03085
ko:K06918	senj:CFSAN001992_03095
ko:K08990	senj:CFSAN001992_03100
ko:K03721	senj:CFSAN001992_03105
ko:K11065	senj:CFSAN001992_03110
ko:K14054	senj:CFSAN001992_03120
ko:K15580	senj:CFSAN001992_03125
ko:K16052	senj:CFSAN001992_03205
ko:K14055	senj:CFSAN001992_03215
ko:K16074	senj:CFSAN001992_03240
ko:K05591	senj:CFSAN001992_03250
ko:K14058	senj:CFSAN001992_03255
ko:K11066	senj:CFSAN001992_06970
ko:K09997	senj:CFSAN001992_06990
ko:K09999	senj:CFSAN001992_06995
ko:K09996	senj:CFSAN001992_07005
ko:K03212	senj:CFSAN001992_07025
ko:K11074	senj:CFSAN001992_07035
ko:K11075	senj:CFSAN001992_07040
ko:K11076	senj:CFSAN001992_07045
ko:K11073	senj:CFSAN001992_07050
ko:K07085	senj:CFSAN001992_07085
ko:K08160	senj:CFSAN001992_07105
ko:K11534	senj:CFSAN001992_07115
ko:K00311	senj:CFSAN001992_07145
ko:K03522	senj:CFSAN001992_07160
ko:K03521	senj:CFSAN001992_07165
ko:K14441	senj:CFSAN001992_07180
ko:K13891	senj:CFSAN001992_07185
ko:K13890	senj:CFSAN001992_07190
ko:K05964	senj:CFSAN001992_10720
ko:K01643	senj:CFSAN001992_10725
ko:K01644	senj:CFSAN001992_10730
ko:K01646	senj:CFSAN001992_10735
ko:K01910	senj:CFSAN001992_10740
ko:K01573	senj:CFSAN001992_10750
ko:K07700	senj:CFSAN001992_10765
ko:K07702	senj:CFSAN001992_10770
ko:K12700	senj:CFSAN001992_10775
ko:K03527	senj:CFSAN001992_10785
ko:K03774	senj:CFSAN001992_10790
ko:K03101	senj:CFSAN001992_10795
ko:K01870	senj:CFSAN001992_10800
ko:K11753	senj:CFSAN001992_10805
ko:K02968	senj:CFSAN001992_10815
ko:K01811	senj:CFSAN001992_10825
ko:K03717	senj:CFSAN001992_10830
ko:K03313	senj:CFSAN001992_10835
ko:K06871	senj:CFSAN001992_10860
ko:K07347	senj:CFSAN001992_10920
ko:K03532	senj:CFSAN001992_14510
ko:K07811	senj:CFSAN001992_14515
ko:K03533	senj:CFSAN001992_14520
ko:K00428	senj:CFSAN001992_14525
ko:K02194	senj:CFSAN001992_14535
ko:K02195	senj:CFSAN001992_14540
ko:K02196	senj:CFSAN001992_14545
ko:K02197	senj:CFSAN001992_14550
ko:K02198	senj:CFSAN001992_14555
ko:K02199	senj:CFSAN001992_14560
ko:K04080	senj:CFSAN001992_14580
ko:K04081	senj:CFSAN001992_14585
ko:K07085	senj:CFSAN001992_14590
ko:K06871	senj:CFSAN001992_14615
ko:K01753	senj:CFSAN001992_14620
ko:K13629	senj:CFSAN001992_14625
ko:K08154	senj:CFSAN001992_14640
ko:K01652	senj:CFSAN001992_14655
ko:K01653	senj:CFSAN001992_14660
ko:K11534	senj:CFSAN001992_14665
ko:K02429	senj:CFSAN001992_14675
ko:K07675	senj:CFSAN001992_14690
ko:K07783	senj:CFSAN001992_14695
ko:K02773	senj:CFSAN001992_14715
ko:K02774	senj:CFSAN001992_14720
ko:K09968	senj:CFSAN001992_14750
ko:K01815	senj:CFSAN001992_18480
ko:K01586	senj:CFSAN001992_18505
ko:K02529	senj:CFSAN001992_18515
ko:K05939	senj:CFSAN001992_18520
ko:K08227	senj:CFSAN001992_18525
ko:K03573	senj:CFSAN001992_18545
ko:K08311	senj:CFSAN001992_18550
ko:K08484	senj:CFSAN001992_18555
ko:K13292	senj:CFSAN001992_18560
ko:K02679	senj:CFSAN001992_18575
ko:K02680	senj:CFSAN001992_18580
ko:K02681	senj:CFSAN001992_18590
ko:K03583	senj:CFSAN001992_18595
ko:K01407	senj:CFSAN001992_18600
ko:K03582	senj:CFSAN001992_18605
ko:K03581	senj:CFSAN001992_18610
ko:K14682	senj:CFSAN001992_18615
ko:K01448	senj:CFSAN001992_18620
ko:K08304	senj:CFSAN001992_18625
ko:K02426	senj:CFSAN001992_18640
ko:K02194	senj:CFSAN001992_22290
ko:K02195	senj:CFSAN001992_22295
ko:K02196	senj:CFSAN001992_22300
ko:K02197	senj:CFSAN001992_22305
ko:K03737	senj:CFSAN001992_03285
ko:K03778	senj:CFSAN001992_03300
ko:K09978	senj:CFSAN001992_03315
ko:K01118	senj:CFSAN001992_03325
ko:K03578	senj:CFSAN001992_03330
ko:K12262	senj:CFSAN001992_03340
ko:K02029	senj:CFSAN001992_03360
ko:K02029	senj:CFSAN001992_03370
ko:K05876	senj:CFSAN001992_03405
ko:K02773	senj:CFSAN001992_03455
ko:K02774	senj:CFSAN001992_03470
ko:K03817	senj:CFSAN001992_03480
ko:K03304	senj:CFSAN001992_03490
ko:K05782	senj:CFSAN001992_03505
ko:K08303	senj:CFSAN001992_03515
ko:K08641	senj:CFSAN001992_03535
