ko:K02548	sax:USA300HOU_0989
ko:K02341	sax:USA300HOU_0483
ko:K07213	sax:USA300HOU_2553
ko:K07462	sax:USA300HOU_1634
ko:K01546	sax:USA300HOU_2072
ko:K05339	sax:USA300HOU_0274
ko:K03816	sax:USA300HOU_0411
ko:K05366	sax:USA300HOU_1388
ko:K01695	sax:USA300HOU_1308
ko:K01696	sax:USA300HOU_1307
ko:K07705	sax:USA300HOU_0272
ko:K00872	sax:USA300HOU_1275
ko:K10773	sax:USA300HOU_1390
ko:K10851	sax:USA300HOU_2375
ko:K10850	sax:USA300HOU_2369
ko:K00833	sax:USA300HOU_2410
ko:K02337	sax:USA300HOU_1689
ko:K02343	sax:USA300HOU_0477
ko:K00166	sax:USA300HOU_1519
ko:K02931	sax:USA300HOU_2229
ko:K03624	sax:USA300HOU_1610
ko:K01430	sax:USA300HOU_2269
ko:K00162	sax:USA300HOU_1037
ko:K00111	sax:USA300HOU_1232
ko:K03784	sax:USA300HOU_2127
ko:K01429	sax:USA300HOU_2270
ko:K00954	sax:USA300HOU_1062
ko:K01883	sax:USA300HOU_0523
ko:K01657	sax:USA300HOU_1302
ko:K02822	sax:USA300HOU_0351
ko:K07568	sax:USA300HOU_1639
ko:K05338	sax:USA300HOU_0273
ko:K02786	sax:USA300HOU_2184
ko:K01548	sax:USA300HOU_2070
ko:K03784	sax:USA300HOU_0148
ko:K00609	sax:USA300HOU_1138
ko:K01880	sax:USA300HOU_1566
ko:K01547	sax:USA300HOU_2071
ko:K00794	sax:USA300HOU_1757
ko:K03500	sax:USA300HOU_1154
ko:K03497	sax:USA300HOU_0381
ko:K01223	sax:USA300HOU_0277
ko:K03629	sax:USA300HOU_0004
ko:K07455	sax:USA300HOU_1991
ko:K01652	sax:USA300HOU_2049
ko:K01246	sax:USA300HOU_1656
ko:K03785	sax:USA300HOU_0836
ko:K09699	sax:USA300HOU_1517
ko:K03652	sax:USA300HOU_2325
ko:K11040	sax:USA300HOU_0852
ko:K03572	sax:USA300HOU_1228
ko:K03555	sax:USA300HOU_1227
ko:K03648	sax:USA300HOU_0574
ko:K11039	sax:USA300HOU_2031
ko:K03602	sax:USA300HOU_1524
ko:K07042	sax:USA300HOU_1571
ko:K02867	sax:USA300HOU_0531
ko:K03601	sax:USA300HOU_1525
ko:K02863	sax:USA300HOU_0532
ko:K07778	sax:USA300HOU_1265
ko:K07681	sax:USA300HOU_1881
ko:K09458	sax:USA300HOU_0942
ko:K02913	sax:USA300HOU_1278
ko:K03722	sax:USA300HOU_1393
ko:K02342	sax:USA300HOU_1893
ko:K02334	sax:USA300HOU_1473
ko:K07683	sax:USA300HOU_2374
ko:K07696	sax:USA300HOU_2373
ko:K03665	sax:USA300HOU_1237
ko:K00370	sax:USA300HOU_2379
ko:K00371	sax:USA300HOU_2378
ko:K03800	sax:USA300HOU_0348
ko:K04517	sax:USA300HOU_1300
ko:K03781	sax:USA300HOU_1277
ko:K01635	sax:USA300HOU_2185
ko:K03550	sax:USA300HOU_1641
ko:K00373	sax:USA300HOU_2377
ko:K01610	sax:USA300HOU_1778
ko:K19079	sax:USA300HOU_0682
ko:K10563	sax:USA300HOU_1676
ko:K01962	sax:USA300HOU_1686
ko:K09680	sax:USA300HOU_2119
ko:K03110	sax:USA300HOU_1172
ko:K10209	sax:USA300HOU_2556
ko:K03546	sax:USA300HOU_1281
ko:K03470	sax:USA300HOU_1175
ko:K03469	sax:USA300HOU_1371
ko:K02803	sax:USA300HOU_1715
ko:K07476	sax:USA300HOU_0845
ko:K02804	sax:USA300HOU_1715
ko:K02777	sax:USA300HOU_1359
ko:K02821	sax:USA300HOU_0352
ko:K03169	sax:USA300HOU_2235
ko:K03168	sax:USA300HOU_1181
ko:K03564	sax:USA300HOU_1858
ko:K01653	sax:USA300HOU_2050
ko:K03424	sax:USA300HOU_0491
ko:K06187	sax:USA300HOU_0479
ko:K03315	sax:USA300HOU_2282
ko:K09747	sax:USA300HOU_0478
ko:K00928	sax:USA300HOU_1328
ko:K00133	sax:USA300HOU_1329
ko:K01714	sax:USA300HOU_1330
ko:K01775	sax:USA300HOU_1334
ko:K01586	sax:USA300HOU_1335
ko:K03704	sax:USA300HOU_1337
ko:K03311	sax:USA300HOU_1342
ko:K00164	sax:USA300HOU_1348
ko:K03797	sax:USA300HOU_1357
ko:K00287	sax:USA300HOU_1363
ko:K00560	sax:USA300HOU_1364
ko:K09125	sax:USA300HOU_1369
ko:K08170	sax:USA300HOU_1373
ko:K01754	sax:USA300HOU_1375
ko:K00259	sax:USA300HOU_1376
ko:K01929	sax:USA300HOU_2077
ko:K01921	sax:USA300HOU_2078
ko:K05837	sax:USA300HOU_2079
ko:K06950	sax:USA300HOU_2084
ko:K03217	sax:USA300HOU_2087
ko:K00790	sax:USA300HOU_2090
ko:K07444	sax:USA300HOU_1381
ko:K07461	sax:USA300HOU_0488
ko:K03046	sax:USA300HOU_0537
ko:K00167	sax:USA300HOU_1518
ko:K01624	sax:USA300HOU_2113
ko:K03530	sax:USA300HOU_1410
ko:K00525	sax:USA300HOU_0755
ko:K00239	sax:USA300HOU_1084
ko:K07090	sax:USA300HOU_0090
ko:K03303	sax:USA300HOU_0121
ko:K01704	sax:USA300HOU_2055
ko:K07456	sax:USA300HOU_1079
ko:K00648	sax:USA300HOU_0941
ko:K02825	sax:USA300HOU_1136
ko:K00526	sax:USA300HOU_0756
ko:K04478	sax:USA300HOU_1869
ko:K02160	sax:USA300HOU_1529
ko:K03471	sax:USA300HOU_1075
ko:K03685	sax:USA300HOU_1170
ko:K03048	sax:USA300HOU_2116
ko:K02346	sax:USA300HOU_1894
ko:K03778	sax:USA300HOU_2513
ko:K02470	sax:USA300HOU_0005
ko:K02335	sax:USA300HOU_1677
ko:K01703	sax:USA300HOU_2054
ko:K03647	sax:USA300HOU_0754
ko:K02440	sax:USA300HOU_1230
ko:K03666	sax:USA300HOU_1235
ko:K02338	sax:USA300HOU_0002
ko:K01956	sax:USA300HOU_1140
ko:K09693	sax:USA300HOU_0657
ko:K09692	sax:USA300HOU_0658
ko:K02340	sax:USA300HOU_1588
ko:K01419	sax:USA300HOU_1184
ko:K06967	sax:USA300HOU_1562
ko:K01428	sax:USA300HOU_2271
ko:K02876	sax:USA300HOU_2222
ko:K02313	sax:USA300HOU_0001
ko:K04075	sax:USA300HOU_0503
ko:K03702	sax:USA300HOU_0786
ko:K03644	sax:USA300HOU_0885
ko:K00537	sax:USA300HOU_0839
ko:K04749	sax:USA300HOU_2061
ko:K03667	sax:USA300HOU_1185
ko:K02469	sax:USA300HOU_0006
ko:K02622	sax:USA300HOU_1287
ko:K02621	sax:USA300HOU_1288
ko:K03741	sax:USA300HOU_1764
ko:K03299	sax:USA300HOU_2492
ko:K02238	sax:USA300HOU_1589
ko:K02551	sax:USA300HOU_0991
ko:K01586	sax:USA300HOU_0134
ko:K01520	sax:USA300HOU_1980
ko:K03111	sax:USA300HOU_1989
ko:K01439	sax:USA300HOU_2014
ko:K02016	sax:USA300HOU_2017
ko:K06966	sax:USA300HOU_0703
ko:K09768	sax:USA300HOU_0704
ko:K06153	sax:USA300HOU_0706
ko:K01669	sax:USA300HOU_0714
ko:K03976	sax:USA300HOU_0720
ko:K00882	sax:USA300HOU_0722
ko:K01443	sax:USA300HOU_0724
ko:K01737	sax:USA300HOU_0734
ko:K06920	sax:USA300HOU_0735
ko:K03654	sax:USA300HOU_0744
ko:K05845	sax:USA300HOU_0746
ko:K05846	sax:USA300HOU_0746
ko:K00817	sax:USA300HOU_0747
ko:K03305	sax:USA300HOU_0751
ko:K02913	sax:USA300HOU_1553
ko:K02012	sax:USA300HOU_0232
ko:K00656	sax:USA300HOU_0233
ko:K02016	sax:USA300HOU_0985
ko:K08680	sax:USA300HOU_0992
ko:K01661	sax:USA300HOU_0993
ko:K02829	sax:USA300HOU_1002
ko:K02828	sax:USA300HOU_1003
ko:K01588	sax:USA300HOU_1009
ko:K01923	sax:USA300HOU_1011
ko:K01952	sax:USA300HOU_1013
ko:K06183	sax:USA300HOU_1744
ko:K07023	sax:USA300HOU_0784
ko:K03701	sax:USA300HOU_0787
ko:K06023	sax:USA300HOU_0788
ko:K00384	sax:USA300HOU_0792
ko:K09762	sax:USA300HOU_0796
ko:K07071	sax:USA300HOU_0798
ko:K01788	sax:USA300HOU_0338
ko:K00627	sax:USA300HOU_1038
ko:K00382	sax:USA300HOU_1039
ko:K11069	sax:USA300HOU_1043
ko:K06207	sax:USA300HOU_1047
ko:K03588	sax:USA300HOU_1051
ko:K02259	sax:USA300HOU_1053
ko:K08976	sax:USA300HOU_1055
ko:K02016	sax:USA300HOU_1067
ko:K02015	sax:USA300HOU_1068
ko:K03437	sax:USA300HOU_1072
ko:K00077	sax:USA300HOU_2432
ko:K08170	sax:USA300HOU_2433
ko:K05846	sax:USA300HOU_2434
ko:K05846	sax:USA300HOU_2436
ko:K03346	sax:USA300HOU_1672
ko:K07738	sax:USA300HOU_1673
ko:K00134	sax:USA300HOU_1674
ko:K00859	sax:USA300HOU_1675
ko:K07658	sax:USA300HOU_1680
ko:K01647	sax:USA300HOU_1682
ko:K00873	sax:USA300HOU_1684
ko:K00850	sax:USA300HOU_1685
ko:K01000	sax:USA300HOU_1122
ko:K01925	sax:USA300HOU_1123
ko:K03589	sax:USA300HOU_1124
ko:K06997	sax:USA300HOU_1125
ko:K09772	sax:USA300HOU_1126
ko:K02221	sax:USA300HOU_1127
ko:K04074	sax:USA300HOU_1129
ko:K01870	sax:USA300HOU_1130
ko:K07104	sax:USA300HOU_1131
ko:K03101	sax:USA300HOU_1133
ko:K01465	sax:USA300HOU_1139
ko:K01591	sax:USA300HOU_1142
ko:K00762	sax:USA300HOU_1143
ko:K00942	sax:USA300HOU_1147
ko:K01462	sax:USA300HOU_1152
ko:K00604	sax:USA300HOU_1153
ko:K01972	sax:USA300HOU_1905
ko:K07094	sax:USA300HOU_1907
ko:K01756	sax:USA300HOU_1909
ko:K00763	sax:USA300HOU_1915
ko:K00926	sax:USA300HOU_2632
ko:K03758	sax:USA300HOU_2633
ko:K00611	sax:USA300HOU_2634
ko:K01478	sax:USA300HOU_2635
ko:K03076	sax:USA300HOU_2653
ko:K01814	sax:USA300HOU_2675
ko:K01693	sax:USA300HOU_2677
ko:K00817	sax:USA300HOU_2678
ko:K06885	sax:USA300HOU_0609
ko:K01887	sax:USA300HOU_0613
ko:K07457	sax:USA300HOU_0614
ko:K02016	sax:USA300HOU_0615
ko:K02015	sax:USA300HOU_0616
ko:K03664	sax:USA300HOU_0811
ko:K03704	sax:USA300HOU_0824
ko:K02437	sax:USA300HOU_0840
ko:K07322	sax:USA300HOU_0270
ko:K00852	sax:USA300HOU_0280
ko:K06726	sax:USA300HOU_0281
ko:K00611	sax:USA300HOU_1106
ko:K00926	sax:USA300HOU_1107
ko:K03925	sax:USA300HOU_1118
ko:K03438	sax:USA300HOU_1119
ko:K00226	sax:USA300HOU_2583
ko:K09765	sax:USA300HOU_2586
ko:K06978	sax:USA300HOU_2590
ko:K01579	sax:USA300HOU_2591
ko:K01918	sax:USA300HOU_2592
ko:K00606	sax:USA300HOU_2593
ko:K00077	sax:USA300HOU_2594
ko:K00116	sax:USA300HOU_2600
ko:K03451	sax:USA300HOU_2610
ko:K04068	sax:USA300HOU_2613
ko:K03300	sax:USA300HOU_2615
ko:K00432	sax:USA300HOU_2619
ko:K02749	sax:USA300HOU_2303
ko:K02750	sax:USA300HOU_2303
ko:K02086	sax:USA300HOU_1391
ko:K01893	sax:USA300HOU_1392
ko:K06973	sax:USA300HOU_1398
ko:K00800	sax:USA300HOU_1402
ko:K01735	sax:USA300HOU_1403
ko:K01736	sax:USA300HOU_1404
ko:K00940	sax:USA300HOU_1406
ko:K03183	sax:USA300HOU_1408
ko:K00057	sax:USA300HOU_1411
ko:K03977	sax:USA300HOU_1412
ko:K02945	sax:USA300HOU_1413
ko:K00945	sax:USA300HOU_1415
ko:K03654	sax:USA300HOU_1420
ko:K07173	sax:USA300HOU_2123
ko:K00756	sax:USA300HOU_2125
ko:K01619	sax:USA300HOU_2126
ko:K04047	sax:USA300HOU_2128
ko:K02013	sax:USA300HOU_2144
ko:K00820	sax:USA300HOU_2145
ko:K00009	sax:USA300HOU_2149
ko:K03431	sax:USA300HOU_2151
ko:K00259	sax:USA300HOU_1696
ko:K00925	sax:USA300HOU_1698
ko:K03151	sax:USA300HOU_1702
ko:K06286	sax:USA300HOU_1705
ko:K02986	sax:USA300HOU_1707
ko:K01126	sax:USA300HOU_1709
ko:K00926	sax:USA300HOU_0066
ko:K00611	sax:USA300HOU_0067
ko:K03758	sax:USA300HOU_0069
ko:K01478	sax:USA300HOU_0070
ko:K02035	sax:USA300HOU_0078
ko:K02034	sax:USA300HOU_0080
ko:K02445	sax:USA300HOU_0357
ko:K07224	sax:USA300HOU_0364
ko:K00013	sax:USA300HOU_2679
ko:K00765	sax:USA300HOU_2680
ko:K07146	sax:USA300HOU_2691
ko:K01304	sax:USA300HOU_2692
ko:K03319	sax:USA300HOU_2696
ko:K05786	sax:USA300HOU_2697
ko:K07241	sax:USA300HOU_2699
ko:K03495	sax:USA300HOU_2714
ko:K03650	sax:USA300HOU_2715
ko:K03536	sax:USA300HOU_2716
ko:K02914	sax:USA300HOU_2717
ko:K02112	sax:USA300HOU_2093
ko:K01727	sax:USA300HOU_2197
ko:K01575	sax:USA300HOU_2201
ko:K02996	sax:USA300HOU_2208
ko:K02871	sax:USA300HOU_2209
ko:K02879	sax:USA300HOU_2214
ko:K02948	sax:USA300HOU_2216
ko:K02952	sax:USA300HOU_2217
ko:K02919	sax:USA300HOU_2218
ko:K02518	sax:USA300HOU_2219
ko:K00939	sax:USA300HOU_2220
ko:K02907	sax:USA300HOU_2223
ko:K02988	sax:USA300HOU_2224
ko:K02881	sax:USA300HOU_2225
ko:K05566	sax:USA300HOU_0644
ko:K05567	sax:USA300HOU_0645
ko:K05568	sax:USA300HOU_0646
ko:K05569	sax:USA300HOU_0647
ko:K05570	sax:USA300HOU_0648
ko:K05571	sax:USA300HOU_0649
ko:K01619	sax:USA300HOU_0150
ko:K01839	sax:USA300HOU_0151
ko:K02042	sax:USA300HOU_0152
ko:K02042	sax:USA300HOU_0153
ko:K02041	sax:USA300HOU_0154
ko:K02044	sax:USA300HOU_0155
ko:K03695	sax:USA300HOU_0933
ko:K00088	sax:USA300HOU_0413
ko:K01951	sax:USA300HOU_0414
ko:K08987	sax:USA300HOU_0420
ko:K05577	sax:USA300HOU_0457
ko:K09822	sax:USA300HOU_0458
ko:K03928	sax:USA300HOU_0462
ko:K02073	sax:USA300HOU_0464
ko:K00382	sax:USA300HOU_1520
ko:K03402	sax:USA300HOU_1522
ko:K03625	sax:USA300HOU_1526
ko:K01262	sax:USA300HOU_1531
ko:K00605	sax:USA300HOU_1538
ko:K00891	sax:USA300HOU_1539
ko:K02245	sax:USA300HOU_1544
ko:K02244	sax:USA300HOU_1545
ko:K02243	sax:USA300HOU_1546
ko:K00845	sax:USA300HOU_1549
ko:K02933	sax:USA300HOU_2226
ko:K02994	sax:USA300HOU_2227
ko:K02954	sax:USA300HOU_2228
ko:K02895	sax:USA300HOU_2230
ko:K02874	sax:USA300HOU_2231
ko:K02961	sax:USA300HOU_2232
ko:K02904	sax:USA300HOU_2233
ko:K06901	sax:USA300HOU_2234
ko:K00789	sax:USA300HOU_1777
ko:K08998	sax:USA300HOU_1782
ko:K02549	sax:USA300HOU_1783
ko:K00928	sax:USA300HOU_1271
ko:K04078	sax:USA300HOU_2025
ko:K07078	sax:USA300HOU_2028
ko:K07813	sax:USA300HOU_2032
ko:K07706	sax:USA300HOU_2034
ko:K07707	sax:USA300HOU_2035
ko:K00847	sax:USA300HOU_2037
ko:K03320	sax:USA300HOU_2040
ko:K07112	sax:USA300HOU_2042
ko:K01409	sax:USA300HOU_2044
ko:K06925	sax:USA300HOU_2047
ko:K01687	sax:USA300HOU_2048
ko:K00053	sax:USA300HOU_2051
ko:K01649	sax:USA300HOU_2052
ko:K00052	sax:USA300HOU_2053
ko:K01754	sax:USA300HOU_2056
ko:K07552	sax:USA300HOU_2337
ko:K02015	sax:USA300HOU_0759
ko:K02015	sax:USA300HOU_0760
ko:K02013	sax:USA300HOU_0761
ko:K02016	sax:USA300HOU_0762
ko:K00075	sax:USA300HOU_0764
ko:K00865	sax:USA300HOU_0769
ko:K01258	sax:USA300HOU_0770
ko:K02240	sax:USA300HOU_0777
ko:K02836	sax:USA300HOU_0782
ko:K02016	sax:USA300HOU_2266
ko:K08717	sax:USA300HOU_2268
ko:K09793	sax:USA300HOU_0697
ko:K09790	sax:USA300HOU_0180
ko:K02049	sax:USA300HOU_0185
ko:K02051	sax:USA300HOU_0186
ko:K02050	sax:USA300HOU_0187
ko:K08996	sax:USA300HOU_0194
ko:K00930	sax:USA300HOU_0195
ko:K00145	sax:USA300HOU_0197
ko:K03311	sax:USA300HOU_0199
ko:K07106	sax:USA300HOU_0205
ko:K02033	sax:USA300HOU_0213
ko:K02034	sax:USA300HOU_0214
ko:K02035	sax:USA300HOU_0215
ko:K00681	sax:USA300HOU_0216
ko:K01118	sax:USA300HOU_0218
ko:K10112	sax:USA300HOU_0220
ko:K07784	sax:USA300HOU_0229
ko:K03095	sax:USA300HOU_2057
ko:K06959	sax:USA300HOU_2058
ko:K03090	sax:USA300HOU_2059
ko:K01775	sax:USA300HOU_2065
ko:K00997	sax:USA300HOU_2066
ko:K08981	sax:USA300HOU_2068
ko:K00266	sax:USA300HOU_0473
ko:K01226	sax:USA300HOU_0475
ko:K00943	sax:USA300HOU_0481
ko:K07056	sax:USA300HOU_0489
ko:K05985	sax:USA300HOU_0492
ko:K02528	sax:USA300HOU_0493
ko:K02897	sax:USA300HOU_0495
ko:K03723	sax:USA300HOU_0497
ko:K07571	sax:USA300HOU_0502
ko:K00760	sax:USA300HOU_0504
ko:K03798	sax:USA300HOU_0505
ko:K04083	sax:USA300HOU_0506
ko:K01738	sax:USA300HOU_0507
ko:K07646	sax:USA300HOU_2074
ko:K04069	sax:USA300HOU_0234
ko:K02790	sax:USA300HOU_0252
ko:K02791	sax:USA300HOU_0252
ko:K01153	sax:USA300HOU_0208
ko:K01154	sax:USA300HOU_1799
ko:K02619	sax:USA300HOU_0738
ko:K03800	sax:USA300HOU_1534
ko:K02071	sax:USA300HOU_0847
ko:K02072	sax:USA300HOU_0848
ko:K02073	sax:USA300HOU_0849
ko:K08974	sax:USA300HOU_0869
ko:K09013	sax:USA300HOU_0870
ko:K01698	sax:USA300HOU_1660
ko:K01719	sax:USA300HOU_1661
ko:K01749	sax:USA300HOU_1662
ko:K02497	sax:USA300HOU_1663
ko:K02492	sax:USA300HOU_1664
