ko:K03602	abaa:IX88_08195
ko:K20319	abaa:IX88_15130
ko:K14225	abaa:IX88_02905
ko:K03297	abaa:IX88_17410
ko:K03297	abaa:IX88_14490
ko:K21029	abaa:IX88_13265
ko:K19302	abaa:IX88_02285
ko:K16238	abaa:IX88_13055
ko:K07278	abaa:IX88_13200
ko:K11741	abaa:IX88_05505
ko:K08151	abaa:IX88_00355
ko:K03446	abaa:IX88_11055
ko:K03327	abaa:IX88_01885
ko:K01990	abaa:IX88_10285
ko:K22617	abaa:IX88_17900
ko:K19611	abaa:IX88_06920
ko:K11209	abaa:IX88_05170
ko:K00821	abaa:IX88_11870
ko:K00146	abaa:IX88_11440
ko:K00108	abaa:IX88_06640
ko:K00001	abaa:IX88_12750
ko:K01007	abaa:IX88_13370
ko:K09017	abaa:IX88_02440
ko:K22589	abaa:IX88_15260
ko:K21449	abaa:IX88_07190
ko:K01977	abaa:IX88_03155
ko:K01978	abaa:IX88_18310
ko:K21449	abaa:IX88_07180
ko:K22003	abaa:IX88_05605
ko:K02650	abaa:IX88_00665
ko:K01263	abaa:IX88_15085
ko:K03296	abaa:IX88_17275
ko:K01800	abaa:IX88_01860
ko:K00042	abaa:IX88_11140
ko:K01980	abaa:IX88_02115
ko:K01980	abaa:IX88_18020
ko:K01980	abaa:IX88_02390
ko:K01980	abaa:IX88_17855
ko:K01980	abaa:IX88_03170
ko:K01980	abaa:IX88_05340
ko:K14221	abaa:IX88_17185
ko:K14221	abaa:IX88_17195
ko:K14221	abaa:IX88_17200
ko:K01985	abaa:IX88_02110
ko:K01985	abaa:IX88_05345
ko:K01985	abaa:IX88_03175
ko:K01985	abaa:IX88_18015
ko:K01985	abaa:IX88_02395
ko:K01985	abaa:IX88_17850
ko:K11928	abaa:IX88_09665
ko:K12410	abaa:IX88_09670
ko:K02437	abaa:IX88_09675
ko:K09912	abaa:IX88_09695
ko:K07862	abaa:IX88_09705
ko:K09966	abaa:IX88_09730
ko:K00927	abaa:IX88_09735
ko:K01624	abaa:IX88_09745
ko:K03771	abaa:IX88_09750
ko:K04744	abaa:IX88_09755
ko:K07102	abaa:IX88_09760
ko:K03501	abaa:IX88_09770
ko:K03561	abaa:IX88_09785
ko:K03559	abaa:IX88_09790
ko:K11085	abaa:IX88_09795
ko:K00912	abaa:IX88_09800
ko:K00979	abaa:IX88_09805
ko:K02341	abaa:IX88_09810
ko:K02676	abaa:IX88_09815
ko:K03424	abaa:IX88_09820
ko:K02456	abaa:IX88_09830
ko:K02458	abaa:IX88_09835
ko:K02459	abaa:IX88_09840
ko:K02460	abaa:IX88_09845
ko:K01737	abaa:IX88_09850
ko:K03648	abaa:IX88_09855
ko:K00945	abaa:IX88_09875
ko:K02945	abaa:IX88_09880
ko:K05788	abaa:IX88_09885
ko:K01591	abaa:IX88_09895
ko:K06916	abaa:IX88_09915
ko:K01638	abaa:IX88_09920
ko:K03559	abaa:IX88_09925
ko:K03559	abaa:IX88_09930
ko:K03561	abaa:IX88_09935
ko:K03719	abaa:IX88_09660
ko:K00121	abaa:IX88_10825
ko:K07347	abaa:IX88_10840
ko:K07345	abaa:IX88_10850
ko:K18146	abaa:IX88_10930
ko:K18145	abaa:IX88_10935
ko:K18144	abaa:IX88_10940
ko:K07154	abaa:IX88_11015
ko:K03543	abaa:IX88_11060
ko:K00297	abaa:IX88_11070
ko:K00948	abaa:IX88_11085
ko:K02013	abaa:IX88_11105
ko:K02015	abaa:IX88_11110
ko:K02016	abaa:IX88_11115
ko:K13979	abaa:IX88_11120
ko:K01556	abaa:IX88_11985
ko:K04762	abaa:IX88_12020
ko:K03565	abaa:IX88_12030
ko:K00677	abaa:IX88_12045
ko:K02372	abaa:IX88_12050
ko:K02536	abaa:IX88_12055
ko:K06142	abaa:IX88_12060
ko:K07277	abaa:IX88_12065
ko:K11749	abaa:IX88_12070
ko:K00099	abaa:IX88_12075
ko:K00981	abaa:IX88_12080
ko:K00806	abaa:IX88_12085
ko:K02838	abaa:IX88_12090
ko:K09903	abaa:IX88_12095
ko:K14441	abaa:IX88_12100
ko:K07708	abaa:IX88_12105
ko:K07712	abaa:IX88_12110
ko:K01770	abaa:IX88_12130
ko:K00285	abaa:IX88_12140
ko:K01679	abaa:IX88_12160
ko:K01784	abaa:IX88_12165
ko:K07235	abaa:IX88_12170
ko:K11179	abaa:IX88_12185
ko:K03750	abaa:IX88_12205
ko:K03635	abaa:IX88_12215
ko:K03639	abaa:IX88_12225
ko:K03752	abaa:IX88_12235
ko:K00372	abaa:IX88_12240
ko:K00362	abaa:IX88_12250
ko:K03495	abaa:IX88_13460
