ko:K19744	bcen:DM39_657
ko:K07062	bcen:DM39_5809
ko:K08744	bcen:DM39_982
ko:K00130	bcen:DM39_4870
ko:K21344	bcen:DM39_888
ko:K18929	bcen:DM39_2845
ko:K12979	bcen:DM39_3786
ko:K03297	bcen:DM39_1467
ko:K03297	bcen:DM39_4165
ko:K03297	bcen:DM39_4250
ko:K03297	bcen:DM39_695
ko:K04771	bcen:DM39_2700
ko:K01800	bcen:DM39_3728
ko:K13877	bcen:DM39_6178
ko:K18928	bcen:DM39_2843
ko:K16238	bcen:DM39_16
ko:K07485	bcen:DM39_1049
ko:K11741	bcen:DM39_2382
ko:K11741	bcen:DM39_4020
ko:K15634	bcen:DM39_494
ko:K18827	bcen:DM39_688
ko:K05799	bcen:DM39_453
ko:K08151	bcen:DM39_571
ko:K18139	bcen:DM39_1591
ko:K18954	bcen:DM39_6305
ko:K18829	bcen:DM39_1613
ko:K19736	bcen:DM39_6690
ko:K01458	bcen:DM39_5276
ko:K21449	bcen:DM39_2607
ko:K16841	bcen:DM39_3888
ko:K01990	bcen:DM39_3604
ko:K11209	bcen:DM39_2328
ko:K19745	bcen:DM39_5260
ko:K07492	bcen:DM39_1384
ko:K22589	bcen:DM39_3405
ko:K00042	bcen:DM39_1842
ko:K01816	bcen:DM39_4076
ko:K21678	bcen:DM39_5011
ko:K10014	bcen:DM39_4411
ko:K07485	bcen:DM39_2134
ko:K07485	bcen:DM39_1382
ko:K22270	bcen:DM39_3727
ko:K21345	bcen:DM39_2995
ko:K00091	bcen:DM39_5146
ko:K05882	bcen:DM39_4954
ko:K00863	bcen:DM39_6662
ko:K00108	bcen:DM39_5520
ko:K00108	bcen:DM39_3355
ko:K05799	bcen:DM39_2842
ko:K01501	bcen:DM39_513
ko:K03446	bcen:DM39_4390
ko:K21759	bcen:DM39_6399
ko:K09122	bcen:DM39_112
ko:K07275	bcen:DM39_117
ko:K00145	bcen:DM39_120
ko:K06910	bcen:DM39_121
ko:K00762	bcen:DM39_122
ko:K00029	bcen:DM39_123
ko:K04090	bcen:DM39_124
ko:K00457	bcen:DM39_126
ko:K03719	bcen:DM39_127
ko:K02613	bcen:DM39_131
ko:K02612	bcen:DM39_132
ko:K02611	bcen:DM39_133
ko:K02610	bcen:DM39_134
ko:K02609	bcen:DM39_135
ko:K02358	bcen:DM39_148
ko:K03073	bcen:DM39_150
ko:K02601	bcen:DM39_151
ko:K02867	bcen:DM39_152
ko:K02863	bcen:DM39_153
ko:K02864	bcen:DM39_154
ko:K02935	bcen:DM39_155
ko:K03043	bcen:DM39_156
ko:K03046	bcen:DM39_157
ko:K03654	bcen:DM39_158
ko:K02950	bcen:DM39_159
ko:K02992	bcen:DM39_160
ko:K02355	bcen:DM39_161
ko:K02358	bcen:DM39_162
ko:K02946	bcen:DM39_163
ko:K02906	bcen:DM39_164
ko:K02926	bcen:DM39_165
ko:K02892	bcen:DM39_166
ko:K02886	bcen:DM39_167
ko:K02965	bcen:DM39_168
