ko:K07068	mavi:RC58_06095
ko:K14219	mavi:RC58_14865
ko:K01563	mavi:RC58_17510
ko:K21431	mavi:RC58_15250
ko:K14233	mavi:RC58_17840
ko:K19311	mavi:RC58_02320
ko:K00344	mavi:RC58_02925
ko:K21688	mavi:RC58_14315
ko:K21691	mavi:RC58_07730
ko:K14228	mavi:RC58_09695
ko:K21672	mavi:RC58_07905
ko:K21672	mavi:RC58_10190
ko:K21672	mavi:RC58_14845
ko:K01214	mavi:RC58_02530
ko:K14237	mavi:RC58_05270
ko:K14233	mavi:RC58_18020
ko:K03088	mavi:RC58_02215
ko:K02361	mavi:RC58_02255
ko:K03496	mavi:RC58_02265
ko:K03657	mavi:RC58_02335
ko:K03426	mavi:RC58_02345
ko:K18917	mavi:RC58_02350
ko:K03657	mavi:RC58_02355
ko:K18958	mavi:RC58_02360
ko:K07177	mavi:RC58_02380
ko:K09118	mavi:RC58_02385
ko:K02067	mavi:RC58_02400
ko:K07044	mavi:RC58_02425
ko:K13993	mavi:RC58_02500
ko:K02034	mavi:RC58_06595
ko:K02033	mavi:RC58_06600
ko:K01673	mavi:RC58_06605
ko:K00957	mavi:RC58_06615
ko:K00955	mavi:RC58_06620
ko:K01887	mavi:RC58_06695
ko:K01586	mavi:RC58_06700
ko:K00003	mavi:RC58_06705
ko:K01733	mavi:RC58_06710
ko:K00872	mavi:RC58_06715
ko:K03628	mavi:RC58_06720
ko:K02909	mavi:RC58_06725
ko:K02835	mavi:RC58_06730
ko:K02493	mavi:RC58_06735
ko:K02851	mavi:RC58_06745
ko:K02108	mavi:RC58_06755
ko:K02110	mavi:RC58_06760
ko:K02109	mavi:RC58_06765
ko:K02109	mavi:RC58_06770
ko:K02113	mavi:RC58_06770
ko:K02111	mavi:RC58_06775
ko:K02115	mavi:RC58_06780
ko:K02112	mavi:RC58_06785
ko:K02114	mavi:RC58_06790
ko:K00798	mavi:RC58_06800
ko:K00790	mavi:RC58_06805
ko:K00567	mavi:RC58_06830
ko:K13529	mavi:RC58_06840
ko:K07503	mavi:RC58_06865
ko:K05606	mavi:RC58_06875
ko:K00343	mavi:RC58_02800
ko:K00342	mavi:RC58_02805
ko:K00341	mavi:RC58_02810
ko:K00340	mavi:RC58_02815
ko:K00339	mavi:RC58_02820
ko:K00338	mavi:RC58_02825
ko:K00337	mavi:RC58_02830
ko:K00336	mavi:RC58_02835
ko:K00335	mavi:RC58_02840
ko:K00334	mavi:RC58_02845
ko:K00333	mavi:RC58_02850
ko:K00332	mavi:RC58_02855
ko:K00331	mavi:RC58_02860
ko:K00330	mavi:RC58_02865
ko:K01640	mavi:RC58_02905
ko:K00451	mavi:RC58_02920
ko:K05602	mavi:RC58_02940
ko:K06886	mavi:RC58_02980
ko:K00528	mavi:RC58_02990
ko:K02836	mavi:RC58_02995
ko:K09812	mavi:RC58_03010
ko:K09811	mavi:RC58_03015
ko:K03664	mavi:RC58_03020
ko:K01421	mavi:RC58_07220
ko:K05337	mavi:RC58_07340
ko:K02182	mavi:RC58_07355
ko:K00997	mavi:RC58_07405
ko:K03564	mavi:RC58_07415
ko:K06994	mavi:RC58_07445
ko:K00241	mavi:RC58_01610
ko:K01489	mavi:RC58_01615
ko:K00758	mavi:RC58_01620
ko:K01488	mavi:RC58_01625
ko:K07114	mavi:RC58_01640
ko:K07114	mavi:RC58_01645
ko:K01840	mavi:RC58_01665
ko:K03783	mavi:RC58_01670
ko:K00382	mavi:RC58_01695
ko:K00111	mavi:RC58_01700
ko:K06177	mavi:RC58_01705
ko:K03932	mavi:RC58_01735
ko:K05522	mavi:RC58_01740
ko:K00128	mavi:RC58_01755
ko:K03719	mavi:RC58_01765
ko:K03918	mavi:RC58_01770
ko:K03090	mavi:RC58_01790
ko:K11263	mavi:RC58_01800
ko:K02426	mavi:RC58_01805
ko:K01011	mavi:RC58_01810
ko:K06287	mavi:RC58_01815
ko:K01966	mavi:RC58_01825
ko:K03524	mavi:RC58_01835
ko:K01589	mavi:RC58_01850
ko:K01588	mavi:RC58_01855
ko:K02040	mavi:RC58_01880
ko:K12950	mavi:RC58_01900
ko:K00860	mavi:RC58_06035
ko:K00958	mavi:RC58_06040
ko:K12423	mavi:RC58_06050
ko:K00294	mavi:RC58_06065
ko:K00318	mavi:RC58_06070
ko:K12429	mavi:RC58_06130
ko:K00674	mavi:RC58_06140
ko:K01439	mavi:RC58_06160
ko:K06966	mavi:RC58_06170
ko:K00666	mavi:RC58_06175
ko:K00796	mavi:RC58_06180
ko:K13693	mavi:RC58_06185
ko:K01246	mavi:RC58_06195
ko:K16148	mavi:RC58_06210
ko:K00975	mavi:RC58_06215
ko:K06978	mavi:RC58_06220
ko:K01992	mavi:RC58_06230
ko:K01990	mavi:RC58_06235
ko:K03088	mavi:RC58_06250
ko:K03117	mavi:RC58_06265
ko:K03593	mavi:RC58_06270
ko:K02027	mavi:RC58_06300
ko:K01644	mavi:RC58_10690
ko:K03578	mavi:RC58_10715
ko:K07140	mavi:RC58_10750
ko:K03782	mavi:RC58_10795
ko:K02371	mavi:RC58_10870
ko:K11065	mavi:RC58_10875
ko:K00666	mavi:RC58_10905
ko:K14733	mavi:RC58_10915
ko:K01637	mavi:RC58_10925
ko:K06994	mavi:RC58_03670
ko:K02435	mavi:RC58_03685
ko:K02433	mavi:RC58_03690
ko:K02434	mavi:RC58_03705
ko:K15977	mavi:RC58_03715
ko:K01652	mavi:RC58_03725
ko:K01653	mavi:RC58_03730
ko:K00053	mavi:RC58_03735
ko:K03809	mavi:RC58_03740
ko:K00058	mavi:RC58_03750
ko:K00052	mavi:RC58_03755
ko:K01885	mavi:RC58_03770
ko:K01703	mavi:RC58_03795
ko:K01704	mavi:RC58_03800
ko:K03530	mavi:RC58_03805
ko:K03574	mavi:RC58_03810
ko:K00937	mavi:RC58_03815
ko:K14941	mavi:RC58_03820
ko:K00057	mavi:RC58_03825
ko:K01921	mavi:RC58_03830
ko:K00946	mavi:RC58_03840
ko:K03648	mavi:RC58_03845
ko:K02902	mavi:RC58_03875
ko:K03655	mavi:RC58_03890
ko:K00954	mavi:RC58_03925
ko:K01652	mavi:RC58_03935
ko:K07089	mavi:RC58_03940
ko:K07040	mavi:RC58_03955
ko:K00390	mavi:RC58_08055
ko:K00392	mavi:RC58_08060
ko:K07086	mavi:RC58_08070
ko:K02067	mavi:RC58_08150
ko:K02067	mavi:RC58_08155
ko:K04788	mavi:RC58_08220
ko:K04790	mavi:RC58_08230
ko:K04791	mavi:RC58_08235
ko:K04792	mavi:RC58_08245
ko:K04793	mavi:RC58_08250
ko:K03088	mavi:RC58_08270
ko:K03705	mavi:RC58_08285
ko:K03686	mavi:RC58_08290
ko:K09761	mavi:RC58_08295
ko:K07042	mavi:RC58_08305
ko:K01644	mavi:RC58_03110
ko:K06199	mavi:RC58_03130
ko:K06199	mavi:RC58_03135
ko:K01835	mavi:RC58_03140
ko:K07341	mavi:RC58_03160
ko:K01689	mavi:RC58_03230
ko:K16786	mavi:RC58_03235
ko:K16787	mavi:RC58_03235
ko:K06994	mavi:RC58_03240
ko:K03297	mavi:RC58_03265
ko:K06200	mavi:RC58_03315
ko:K02346	mavi:RC58_03375
ko:K13288	mavi:RC58_07470
ko:K06915	mavi:RC58_07475
ko:K07124	mavi:RC58_07480
ko:K06902	mavi:RC58_07485
ko:K01969	mavi:RC58_07500
ko:K11263	mavi:RC58_07505
ko:K01644	mavi:RC58_07520
ko:K00161	mavi:RC58_07525
ko:K00162	mavi:RC58_07530
ko:K00627	mavi:RC58_07535
ko:K01692	mavi:RC58_07540
ko:K15781	mavi:RC58_07580
ko:K00631	mavi:RC58_07585
ko:K02351	mavi:RC58_07590
ko:K07245	mavi:RC58_07590
ko:K03111	mavi:RC58_07595
ko:K15371	mavi:RC58_07605
ko:K07107	mavi:RC58_07610
ko:K06886	mavi:RC58_07630
ko:K01256	mavi:RC58_07650
ko:K01808	mavi:RC58_07660
ko:K05522	mavi:RC58_07665
ko:K03545	mavi:RC58_07685
ko:K01358	mavi:RC58_07690
ko:K01358	mavi:RC58_07695
ko:K00547	mavi:RC58_07700
ko:K03544	mavi:RC58_07705
ko:K00174	mavi:RC58_07710
ko:K00175	mavi:RC58_07715
ko:K03752	mavi:RC58_07720
ko:K01873	mavi:RC58_07740
ko:K11754	mavi:RC58_07745
ko:K00940	mavi:RC58_07755
ko:K00067	mavi:RC58_01920
ko:K00966	mavi:RC58_01930
ko:K12234	mavi:RC58_01945
ko:K11212	mavi:RC58_01950
ko:K01840	mavi:RC58_01970
ko:K01809	mavi:RC58_01980
ko:K03294	mavi:RC58_01990
ko:K00496	mavi:RC58_01995
ko:K01251	mavi:RC58_02015
ko:K00943	mavi:RC58_02020
ko:K07670	mavi:RC58_02025
ko:K07654	mavi:RC58_02030
ko:K07228	mavi:RC58_02075
ko:K03455	mavi:RC58_02080
ko:K00508	mavi:RC58_02110
ko:K06949	mavi:RC58_02155
ko:K00800	mavi:RC58_02160
ko:K02025	mavi:RC58_06305
ko:K02026	mavi:RC58_06310
ko:K10112	mavi:RC58_06315
ko:K03284	mavi:RC58_06330
ko:K00024	mavi:RC58_06335
ko:K00027	mavi:RC58_06340
ko:K01616	mavi:RC58_06360
ko:K05592	mavi:RC58_06440
ko:K00104	mavi:RC58_06460
ko:K06147	mavi:RC58_06540
ko:K06147	mavi:RC58_06545
ko:K08296	mavi:RC58_06560
ko:K02035	mavi:RC58_06585
ko:K02031	mavi:RC58_06590
ko:K02032	mavi:RC58_06590
ko:K03885	mavi:RC58_02515
ko:K00156	mavi:RC58_02565
ko:K00012	mavi:RC58_02570
ko:K03271	mavi:RC58_02590
ko:K00612	mavi:RC58_02605
ko:K01710	mavi:RC58_02610
ko:K03781	mavi:RC58_02680
ko:K03412	mavi:RC58_02685
ko:K13924	mavi:RC58_02695
ko:K00274	mavi:RC58_02720
ko:K03924	mavi:RC58_02775
ko:K00626	mavi:RC58_06880
ko:K05838	mavi:RC58_06885
ko:K00700	mavi:RC58_06890
ko:K16147	mavi:RC58_06895
ko:K00688	mavi:RC58_06900
ko:K00763	mavi:RC58_06910
ko:K06891	mavi:RC58_06915
ko:K01776	mavi:RC58_06935
