ko:K02888	cru:A33U_0169
ko:K01496	cru:A33U_0113
ko:K02342	cru:A33U_0115
ko:K00674	cru:A33U_017
ko:K01523	cru:A33U_025
ko:K00033	cru:A33U_045
ko:K01664	cru:A33U_047
ko:K02433	cru:A33U_054
ko:K01885	cru:A33U_0130
ko:K03386	cru:A33U_0145
ko:K00616	cru:A33U_0146
ko:K02871	cru:A33U_058
ko:K02996	cru:A33U_059
ko:K00800	cru:A33U_062
ko:K02945	cru:A33U_063
ko:K04077	cru:A33U_064
ko:K04078	cru:A33U_065
ko:K03086	cru:A33U_074
ko:K00817	cru:A33U_076
ko:K00013	cru:A33U_057
ko:K02500	cru:A33U_077
ko:K13821	cru:A33U_0103
ko:K01649	cru:A33U_0104
ko:K01736	cru:A33U_0105
ko:K01703	cru:A33U_0106
ko:K01704	cru:A33U_0107
ko:K00052	cru:A33U_0108
ko:K00133	cru:A33U_0109
ko:K01875	cru:A33U_0110
ko:K01889	cru:A33U_0117
ko:K03495	cru:A33U_02
ko:K02108	cru:A33U_03
ko:K02110	cru:A33U_04
ko:K02111	cru:A33U_07
ko:K02115	cru:A33U_08
ko:K02112	cru:A33U_09
ko:K03786	cru:A33U_011
ko:K00615	cru:A33U_012
ko:K00297	cru:A33U_014
ko:K01265	cru:A33U_018
ko:K02967	cru:A33U_019
ko:K02337	cru:A33U_022
ko:K00549	cru:A33U_024
ko:K02909	cru:A33U_026
ko:K01735	cru:A33U_028
ko:K01687	cru:A33U_029
ko:K00600	cru:A33U_031
ko:K01939	cru:A33U_034
ko:K09014	cru:A33U_035
ko:K09013	cru:A33U_036
ko:K11717	cru:A33U_038
ko:K00566	cru:A33U_039
ko:K02518	cru:A33U_040
ko:K03671	cru:A33U_044
ko:K01657	cru:A33U_046
ko:K00948	cru:A33U_051
ko:K02835	cru:A33U_052
ko:K02434	cru:A33U_053
ko:K03650	cru:A33U_01
ko:K00765	cru:A33U_056
ko:K01814	cru:A33U_078
ko:K02501	cru:A33U_079
ko:K01693	cru:A33U_080
ko:K03687	cru:A33U_085
ko:K04043	cru:A33U_086
ko:K00215	cru:A33U_088
ko:K02519	cru:A33U_090
ko:K02956	cru:A33U_091
ko:K01866	cru:A33U_092
ko:K01886	cru:A33U_093
ko:K01358	cru:A33U_097
ko:K03544	cru:A33U_098
ko:K06131	cru:A33U_099
ko:K01876	cru:A33U_0100
ko:K01783	cru:A33U_0102
ko:K02919	cru:A33U_0175
ko:K02876	cru:A33U_0176
ko:K02988	cru:A33U_0177
ko:K02933	cru:A33U_0179
ko:K02994	cru:A33U_0180
ko:K02954	cru:A33U_0181
ko:K02931	cru:A33U_0182
ko:K02874	cru:A33U_0183
ko:K02961	cru:A33U_0184
ko:K02878	cru:A33U_0185
ko:K02982	cru:A33U_0186
ko:K02965	cru:A33U_0188
ko:K02886	cru:A33U_0189
ko:K02926	cru:A33U_0190
ko:K02906	cru:A33U_0191
ko:K02946	cru:A33U_0192
ko:K02358	cru:A33U_0193
ko:K02355	cru:A33U_0194
ko:K02992	cru:A33U_0195
ko:K02950	cru:A33U_0196
ko:K03046	cru:A33U_0197
ko:K03043	cru:A33U_0198
ko:K02935	cru:A33U_0199
ko:K02867	cru:A33U_0202
ko:K02299	cru:A33U_0207
ko:K02298	cru:A33U_0208
ko:K02297	cru:A33U_0209
ko:K00826	cru:A33U_0211
ko:K01892	cru:A33U_0212
ko:K01462	cru:A33U_0214
ko:K01755	cru:A33U_0215
ko:K01586	cru:A33U_0216
ko:K01778	cru:A33U_0217
ko:K01878	cru:A33U_0218
ko:K03704	cru:A33U_0220
ko:K02887	cru:A33U_0118
ko:K02916	cru:A33U_0119
ko:K04564	cru:A33U_0120
ko:K03596	cru:A33U_0122
ko:K01626	cru:A33U_0123
ko:K06168	cru:A33U_0125
ko:K01869	cru:A33U_0127
ko:K01902	cru:A33U_0128
ko:K01903	cru:A33U_0129
ko:K01874	cru:A33U_0132
ko:K01940	cru:A33U_0134
ko:K01714	cru:A33U_0137
ko:K00116	cru:A33U_0139
ko:K00928	cru:A33U_0142
ko:K01873	cru:A33U_0144
ko:K01867	cru:A33U_0150
ko:K02913	cru:A33U_0151
ko:K02902	cru:A33U_0152
ko:K02836	cru:A33U_0154
ko:K01733	cru:A33U_0155
ko:K00003	cru:A33U_0156
ko:K02959	cru:A33U_0159
ko:K00053	cru:A33U_0161
ko:K01652	cru:A33U_0163
ko:K06180	cru:A33U_0164
ko:K01870	cru:A33U_0165
ko:K03979	cru:A33U_0167
ko:K02899	cru:A33U_0168
ko:K03040	cru:A33U_0171
ko:K02986	cru:A33U_0172
ko:K02948	cru:A33U_0173
ko:K02952	cru:A33U_0174
ko:K14234	cru:A33U_083
ko:K14232	cru:A33U_094
ko:K14224	cru:A33U_041
ko:K14227	cru:A33U_016
ko:K14225	cru:A33U_042
ko:K14225	cru:A33U_0204
ko:K14233	cru:A33U_043
ko:K14233	cru:A33U_0101
ko:K14233	cru:A33U_0141
ko:K14220	cru:A33U_048
ko:K14230	cru:A33U_049
ko:K14230	cru:A33U_0131
ko:K14230	cru:A33U_0160
ko:K14237	cru:A33U_066
ko:K14221	cru:A33U_067
ko:K14218	cru:A33U_075
ko:K14231	cru:A33U_081
ko:K14223	cru:A33U_082
ko:K14228	cru:A33U_089
ko:K14228	cru:A33U_0136
ko:K14226	cru:A33U_096
ko:K14228	cru:A33U_0111
ko:K14222	cru:A33U_0135
ko:K14229	cru:A33U_0138
ko:K01985	cru:A33U_0147
ko:K01980	cru:A33U_0148
ko:K01977	cru:A33U_0149
ko:K14235	cru:A33U_0203
ko:K14236	cru:A33U_0205
ko:K14219	cru:A33U_095
ko:K14219	cru:A33U_0140
ko:K02884	cru:A33U_0157
ko:K02314	cru:A33U_070
ko:K02316	cru:A33U_073
ko:K00525	cru:A33U_013
ko:K03553	cru:A33U_0143
ko:K03664	cru:A33U_084
