ko:K14224	cjw:PJ18_04630
ko:K14235	cjw:PJ18_02345
ko:K14219	cjw:PJ18_08455
ko:K01978	cjw:PJ18_08770
ko:K14230	cjw:PJ18_08695
ko:K03892	cjw:PJ18_07890
ko:K15915	cjw:PJ18_05575
ko:K14238	cjw:PJ18_07615
ko:K02482	cjw:PJ18_03910
ko:K01174	cjw:PJ18_04840
ko:K04753	cjw:PJ18_07700
ko:K06148	cjw:PJ18_05605
ko:K07216	cjw:PJ18_06050
ko:K15899	cjw:PJ18_06750
ko:K07097	cjw:PJ18_04320
ko:K01714	cjw:PJ18_02395
ko:K16849	cjw:PJ18_02400
ko:K16850	cjw:PJ18_02405
ko:K18333	cjw:PJ18_02415
ko:K02429	cjw:PJ18_02420
ko:K03534	cjw:PJ18_02430
ko:K07248	cjw:PJ18_02435
ko:K02950	cjw:PJ18_02440
ko:K02992	cjw:PJ18_02445
ko:K02355	cjw:PJ18_02450
ko:K06940	cjw:PJ18_02470
ko:K01609	cjw:PJ18_02480
ko:K06917	cjw:PJ18_02490
ko:K01772	cjw:PJ18_02505
ko:K13017	cjw:PJ18_02515
ko:K01872	cjw:PJ18_02520
ko:K06287	cjw:PJ18_02525
ko:K05366	cjw:PJ18_02530
ko:K03695	cjw:PJ18_02535
ko:K03797	cjw:PJ18_02545
ko:K01923	cjw:PJ18_02550
ko:K01952	cjw:PJ18_02555
ko:K01952	cjw:PJ18_02560
ko:K00655	cjw:PJ18_02570
ko:K06199	cjw:PJ18_02575
ko:K04079	cjw:PJ18_02580
ko:K03324	cjw:PJ18_02595
ko:K03324	cjw:PJ18_02605
ko:K03587	cjw:PJ18_02610
ko:K02408	cjw:PJ18_02615
ko:K02388	cjw:PJ18_02620
ko:K02387	cjw:PJ18_02625
ko:K07082	cjw:PJ18_02630
ko:K00031	cjw:PJ18_02640
ko:K00024	cjw:PJ18_02645
ko:K01903	cjw:PJ18_02650
ko:K01902	cjw:PJ18_02655
ko:K00176	cjw:PJ18_02660
ko:K00174	cjw:PJ18_02665
ko:K00175	cjw:PJ18_02670
ko:K00177	cjw:PJ18_02675
ko:K07323	cjw:PJ18_07040
ko:K07003	cjw:PJ18_07045
ko:K02428	cjw:PJ18_07050
ko:K01042	cjw:PJ18_07065
ko:K03833	cjw:PJ18_07070
ko:K03981	cjw:PJ18_07075
ko:K03839	cjw:PJ18_07085
ko:K03781	cjw:PJ18_07100
ko:K03326	cjw:PJ18_07120
ko:K01760	cjw:PJ18_07125
ko:K01756	cjw:PJ18_07130
ko:K04758	cjw:PJ18_07140
ko:K04759	cjw:PJ18_07145
ko:K00208	cjw:PJ18_07155
ko:K01803	cjw:PJ18_07160
ko:K00927	cjw:PJ18_07165
ko:K00134	cjw:PJ18_07170
ko:K00969	cjw:PJ18_07175
ko:K09710	cjw:PJ18_07180
ko:K15778	cjw:PJ18_07190
ko:K02415	cjw:PJ18_07195
ko:K00997	cjw:PJ18_07200
ko:K07265	cjw:PJ18_07220
ko:K07266	cjw:PJ18_07225
ko:K00860	cjw:PJ18_07230
ko:K07010	cjw:PJ18_07240
ko:K00855	cjw:PJ18_07280
ko:K03271	cjw:PJ18_07295
ko:K07031	cjw:PJ18_07300
ko:K01711	cjw:PJ18_07310
ko:K02377	cjw:PJ18_07315
ko:K01790	cjw:PJ18_07320
ko:K07152	cjw:PJ18_04470
ko:K01738	cjw:PJ18_04475
ko:K03530	cjw:PJ18_04480
ko:K10806	cjw:PJ18_04490
ko:K06200	cjw:PJ18_04500
ko:K00948	cjw:PJ18_04505
ko:K10040	cjw:PJ18_04510
ko:K10040	cjw:PJ18_04515
ko:K10039	cjw:PJ18_04520
ko:K10041	cjw:PJ18_04525
ko:K00575	cjw:PJ18_04530
ko:K03412	cjw:PJ18_04535
ko:K01808	cjw:PJ18_04540
ko:K00759	cjw:PJ18_04550
ko:K01255	cjw:PJ18_04560
ko:K06942	cjw:PJ18_04565
ko:K01755	cjw:PJ18_04570
ko:K01610	cjw:PJ18_04575
ko:K01960	cjw:PJ18_04580
ko:K03308	cjw:PJ18_04585
ko:K03308	cjw:PJ18_04590
