ko:K06896	sagp:V193_08600
ko:K03293	sagp:V193_06620
ko:K14230	sagp:V193_00125
ko:K14230	sagp:V193_01460
ko:K14230	sagp:V193_01040
ko:K14230	sagp:V193_00145
ko:K14230	sagp:V193_01030
ko:K13677	sagp:V193_03320
ko:K11704	sagp:V193_06835
ko:K11705	sagp:V193_06825
ko:K18692	sagp:V193_00355
ko:K02032	sagp:V193_02025
ko:K01962	sagp:V193_00675
ko:K01875	sagp:V193_00685
ko:K02795	sagp:V193_00705
ko:K02793	sagp:V193_00710
ko:K02794	sagp:V193_00710
ko:K06901	sagp:V193_00730
ko:K06925	sagp:V193_00735
ko:K02503	sagp:V193_00755
ko:K01990	sagp:V193_00765
ko:K01992	sagp:V193_00770
ko:K03439	sagp:V193_00780
ko:K09748	sagp:V193_00790
ko:K02600	sagp:V193_00795
ko:K07742	sagp:V193_00800
ko:K02519	sagp:V193_00810
ko:K02834	sagp:V193_00815
ko:K17686	sagp:V193_00830
ko:K06929	sagp:V193_00855
ko:K09825	sagp:V193_00860
ko:K10682	sagp:V193_00870
ko:K10681	sagp:V193_00875
ko:K00773	sagp:V193_00885
ko:K03523	sagp:V193_00895
ko:K11991	sagp:V193_00905
ko:K01810	sagp:V193_00915
ko:K01934	sagp:V193_00920
ko:K07335	sagp:V193_00930
ko:K00963	sagp:V193_00935
ko:K03536	sagp:V193_00945
ko:K03217	sagp:V193_00950
ko:K06346	sagp:V193_00955
ko:K01807	sagp:V193_05515
ko:K03930	sagp:V193_05525
ko:K12574	sagp:V193_05530
ko:K05833	sagp:V193_05535
ko:K05832	sagp:V193_05540
ko:K01989	sagp:V193_05545
ko:K01575	sagp:V193_05555
ko:K01652	sagp:V193_05560
ko:K03574	sagp:V193_05580
ko:K01727	sagp:V193_05585
ko:K01790	sagp:V193_05595
ko:K00973	sagp:V193_05600
ko:K06967	sagp:V193_05615
ko:K02086	sagp:V193_05620
ko:K00759	sagp:V193_05625
ko:K07462	sagp:V193_05635
ko:K07124	sagp:V193_05640
ko:K00784	sagp:V193_05645
ko:K03665	sagp:V193_05655
ko:K00791	sagp:V193_05660
ko:K04486	sagp:V193_05680
ko:K01126	sagp:V193_05700
ko:K03703	sagp:V193_05705
ko:K09765	sagp:V193_05710
ko:K03327	sagp:V193_05715
ko:K02003	sagp:V193_05740
ko:K02935	sagp:V193_05745
ko:K02864	sagp:V193_05750
ko:K04086	sagp:V193_05755
ko:K00547	sagp:V193_05760
ko:K03978	sagp:V193_05785
ko:K03544	sagp:V193_05790
ko:K00948	sagp:V193_01070
ko:K00841	sagp:V193_01075
ko:K03584	sagp:V193_01080
ko:K07052	sagp:V193_01095
ko:K03621	sagp:V193_01100
ko:K02078	sagp:V193_01105
ko:K01923	sagp:V193_01110
ko:K01952	sagp:V193_01115
ko:K00764	sagp:V193_01120
ko:K01933	sagp:V193_01125
ko:K11175	sagp:V193_01130
ko:K00602	sagp:V193_01140
ko:K01788	sagp:V193_01155
ko:K02027	sagp:V193_01160
ko:K02026	sagp:V193_01170
ko:K01639	sagp:V193_01185
ko:K01945	sagp:V193_01205
ko:K01588	sagp:V193_01210
ko:K01589	sagp:V193_01215
ko:K01756	sagp:V193_01230
ko:K03551	sagp:V193_01240
ko:K01104	sagp:V193_01245
ko:K04072	sagp:V193_01260
ko:K01733	sagp:V193_01270
ko:K02946	sagp:V193_01280
ko:K02906	sagp:V193_01285
ko:K01641	sagp:V193_05810
ko:K00054	sagp:V193_05815
ko:K11068	sagp:V193_05825
ko:K01823	sagp:V193_05845
ko:K00938	sagp:V193_05850
ko:K01597	sagp:V193_05855
ko:K00869	sagp:V193_05860
ko:K01081	sagp:V193_05895
ko:K15738	sagp:V193_05920
ko:K00974	sagp:V193_05925
ko:K00882	sagp:V193_05955
ko:K03436	sagp:V193_05960
ko:K07035	sagp:V193_05985
ko:K00554	sagp:V193_05995
ko:K02860	sagp:V193_06000
ko:K06960	sagp:V193_06020
ko:K02959	sagp:V193_06025
ko:K02004	sagp:V193_06030
ko:K02003	sagp:V193_06035
ko:K02005	sagp:V193_06040
ko:K01955	sagp:V193_06045
ko:K01956	sagp:V193_06050
ko:K02825	sagp:V193_06055
ko:K06180	sagp:V193_06060
ko:K03101	sagp:V193_06065
ko:K02899	sagp:V193_06075
ko:K02109	sagp:V193_04080
ko:K02113	sagp:V193_04085
ko:K02111	sagp:V193_04090
ko:K02115	sagp:V193_04095
ko:K02112	sagp:V193_04100
ko:K02114	sagp:V193_04105
ko:K00790	sagp:V193_04115
ko:K15051	sagp:V193_04125
ko:K01889	sagp:V193_04130
ko:K01890	sagp:V193_04140
ko:K07054	sagp:V193_04145
ko:K16899	sagp:V193_04150
ko:K16898	sagp:V193_04155
ko:K03650	sagp:V193_04165
ko:K06158	sagp:V193_04170
ko:K00161	sagp:V193_04175
ko:K00162	sagp:V193_04180
ko:K00627	sagp:V193_04185
ko:K00382	sagp:V193_04190
ko:K03800	sagp:V193_04195
ko:K07009	sagp:V193_04200
ko:K01928	sagp:V193_04205
ko:K03431	sagp:V193_04220
ko:K09952	sagp:V193_04255
ko:K00940	sagp:V193_04280
ko:K03596	sagp:V193_04285
ko:K06950	sagp:V193_04295
ko:K07305	sagp:V193_04305
ko:K01990	sagp:V193_04335
ko:K02337	sagp:V193_04345
ko:K00850	sagp:V193_04350
ko:K00873	sagp:V193_04355
ko:K03100	sagp:V193_04360
ko:K00820	sagp:V193_04365
ko:K06193	sagp:V193_04370
ko:K07658	sagp:V193_08615
ko:K02039	sagp:V193_08620
ko:K02038	sagp:V193_08630
ko:K02037	sagp:V193_08635
ko:K02040	sagp:V193_08640
ko:K09761	sagp:V193_08650
ko:K02687	sagp:V193_08655
ko:K07729	sagp:V193_08695
ko:K07478	sagp:V193_08705
ko:K01990	sagp:V193_08740
ko:K00005	sagp:V193_08790
ko:K00549	sagp:V193_08805
ko:K01869	sagp:V193_08840
ko:K02601	sagp:V193_08855
ko:K03073	sagp:V193_08865
ko:K02913	sagp:V193_08870
ko:K12555	sagp:V193_08875
ko:K06180	sagp:V193_08880
