ko:K03560	rrn:RPJ_02365
ko:K18923	rrn:RPJ_07370
ko:K01006	rrn:RPJ_03790
ko:K02029	rrn:RPJ_00965
ko:K03424	rrn:RPJ_05800
ko:K01874	rrn:RPJ_05805
ko:K00943	rrn:RPJ_05810
ko:K03179	rrn:RPJ_05820
ko:K01873	rrn:RPJ_05840
ko:K09760	rrn:RPJ_05865
ko:K03544	rrn:RPJ_05930
ko:K03790	rrn:RPJ_05935
ko:K06920	rrn:RPJ_05940
ko:K03183	rrn:RPJ_05730
ko:K07080	rrn:RPJ_01450
ko:K04044	rrn:RPJ_01465
ko:K04082	rrn:RPJ_01470
ko:K03470	rrn:RPJ_01475
ko:K03702	rrn:RPJ_01480
ko:K02469	rrn:RPJ_01515
ko:K01462	rrn:RPJ_01560
ko:K00604	rrn:RPJ_01565
ko:K06916	rrn:RPJ_01580
ko:K07568	rrn:RPJ_01585
ko:K00425	rrn:RPJ_01615
ko:K00426	rrn:RPJ_01620
ko:K01923	rrn:RPJ_01645
ko:K01868	rrn:RPJ_01655
ko:K02337	rrn:RPJ_06630
ko:K00012	rrn:RPJ_06635
ko:K03118	rrn:RPJ_06650
ko:K01875	rrn:RPJ_06655
ko:K07726	rrn:RPJ_06695
ko:K00339	rrn:RPJ_06700
ko:K00340	rrn:RPJ_06705
ko:K00341	rrn:RPJ_06710
ko:K00342	rrn:RPJ_06715
ko:K00338	rrn:RPJ_06725
ko:K00337	rrn:RPJ_06730
ko:K01681	rrn:RPJ_06745
ko:K02114	rrn:RPJ_06750
ko:K02112	rrn:RPJ_06755
ko:K02115	rrn:RPJ_06760
ko:K02111	rrn:RPJ_06765
ko:K02113	rrn:RPJ_06770
ko:K00382	rrn:RPJ_06775
ko:K04047	rrn:RPJ_06780
ko:K05366	rrn:RPJ_06810
ko:K06168	rrn:RPJ_06815
ko:K09710	rrn:RPJ_06865
ko:K02518	rrn:RPJ_06940
ko:K06287	rrn:RPJ_06945
ko:K06204	rrn:RPJ_06950
ko:K03733	rrn:RPJ_06955
ko:K03562	rrn:RPJ_02360
ko:K00133	rrn:RPJ_02400
ko:K01419	rrn:RPJ_02420
ko:K03667	rrn:RPJ_02425
ko:K07391	rrn:RPJ_02440
ko:K00748	rrn:RPJ_02460
ko:K07082	rrn:RPJ_02470
ko:K06202	rrn:RPJ_02475
ko:K03168	rrn:RPJ_02510
ko:K04096	rrn:RPJ_02520
ko:K07447	rrn:RPJ_02545
ko:K00067	rrn:RPJ_02560
ko:K02986	rrn:RPJ_02620
ko:K01869	rrn:RPJ_03275
ko:K03684	rrn:RPJ_03280
ko:K00981	rrn:RPJ_03290
ko:K00806	rrn:RPJ_03295
ko:K07638	rrn:RPJ_03300
ko:K07659	rrn:RPJ_03305
ko:K00826	rrn:RPJ_03310
ko:K01714	rrn:RPJ_03315
ko:K03664	rrn:RPJ_03320
ko:K01902	rrn:RPJ_03330
ko:K01903	rrn:RPJ_03335
ko:K02834	rrn:RPJ_03385
ko:K06187	rrn:RPJ_03400
ko:K00858	rrn:RPJ_03430
ko:K00057	rrn:RPJ_03440
ko:K07088	rrn:RPJ_03445
ko:K00384	rrn:RPJ_03455
ko:K03657	rrn:RPJ_03495
ko:K01754	rrn:RPJ_03520
ko:K01338	rrn:RPJ_03525
ko:K01491	rrn:RPJ_03580
ko:K00384	rrn:RPJ_03585
ko:K00382	rrn:RPJ_04280
ko:K02919	rrn:RPJ_04335
ko:K00343	rrn:RPJ_04410
ko:K01698	rrn:RPJ_04420
ko:K04066	rrn:RPJ_04440
ko:K03186	rrn:RPJ_04445
ko:K06178	rrn:RPJ_04480
ko:K04485	rrn:RPJ_04495
ko:K03584	rrn:RPJ_04505
ko:K02519	rrn:RPJ_04525
ko:K02600	rrn:RPJ_04530
ko:K09748	rrn:RPJ_04535
ko:K13771	rrn:RPJ_04550
ko:K06442	rrn:RPJ_04555
ko:K01866	rrn:RPJ_04560
ko:K02902	rrn:RPJ_00775
ko:K02909	rrn:RPJ_00780
ko:K03978	rrn:RPJ_00785
ko:K00930	rrn:RPJ_00790
ko:K00554	rrn:RPJ_00860
ko:K02884	rrn:RPJ_00865
ko:K03074	rrn:RPJ_00875
ko:K03100	rrn:RPJ_00885
ko:K03685	rrn:RPJ_00890
ko:K01159	rrn:RPJ_00900
ko:K07276	rrn:RPJ_00920
ko:K04088	rrn:RPJ_00930
ko:K04087	rrn:RPJ_00935
ko:K07146	rrn:RPJ_00945
ko:K00242	rrn:RPJ_00955
ko:K00239	rrn:RPJ_00960
ko:K02950	rrn:RPJ_00970
ko:K02992	rrn:RPJ_00975
ko:K02355	rrn:RPJ_00980
ko:K03073	rrn:RPJ_00985
ko:K02601	rrn:RPJ_00990
ko:K02867	rrn:RPJ_00995
ko:K02863	rrn:RPJ_01000
ko:K02864	rrn:RPJ_01005
ko:K02935	rrn:RPJ_01010
ko:K03043	rrn:RPJ_01015
ko:K03046	rrn:RPJ_01020
ko:K01255	rrn:RPJ_01035
ko:K01876	rrn:RPJ_01050
ko:K06890	rrn:RPJ_01060
ko:K00215	rrn:RPJ_01065
ko:K07552	rrn:RPJ_05965
ko:K09808	rrn:RPJ_05970
ko:K02198	rrn:RPJ_05995
ko:K05349	rrn:RPJ_06050
ko:K04764	rrn:RPJ_06060
ko:K03564	rrn:RPJ_06070
ko:K02517	rrn:RPJ_06075
ko:K00912	rrn:RPJ_06080
ko:K07115	rrn:RPJ_06090
ko:K01972	rrn:RPJ_06095
ko:K00773	rrn:RPJ_06105
ko:K09985	rrn:RPJ_06155
ko:K00859	rrn:RPJ_06165
ko:K00645	rrn:RPJ_06195
ko:K03821	rrn:RPJ_06265
ko:K07042	rrn:RPJ_06290
ko:K03644	rrn:RPJ_06305
ko:K09991	rrn:RPJ_01720
ko:K02622	rrn:RPJ_01735
ko:K03797	rrn:RPJ_01740
ko:K07716	rrn:RPJ_01745
ko:K02871	rrn:RPJ_01765
ko:K02996	rrn:RPJ_01770
ko:K08641	rrn:RPJ_01775
ko:K08311	rrn:RPJ_01800
ko:K02356	rrn:RPJ_01810
ko:K01613	rrn:RPJ_01825
ko:K03543	rrn:RPJ_01835
ko:K05527	rrn:RPJ_01855
ko:K01924	rrn:RPJ_01865
ko:K00075	rrn:RPJ_01870
ko:K01921	rrn:RPJ_01875
ko:K03589	rrn:RPJ_01880
ko:K03590	rrn:RPJ_01885
ko:K02535	rrn:RPJ_01905
ko:K08300	rrn:RPJ_01915
ko:K02259	rrn:RPJ_01920
ko:K00161	rrn:RPJ_01950
ko:K00162	rrn:RPJ_01955
ko:K06207	rrn:RPJ_01960
ko:K00031	rrn:RPJ_01985
ko:K05571	rrn:RPJ_01990
ko:K05566	rrn:RPJ_01995
ko:K02194	rrn:RPJ_02000
ko:K00411	rrn:RPJ_02010
ko:K00412	rrn:RPJ_02015
ko:K03182	rrn:RPJ_06980
ko:K03466	rrn:RPJ_07010
ko:K01265	rrn:RPJ_07020
ko:K03630	rrn:RPJ_07030
ko:K02195	rrn:RPJ_07060
ko:K09817	rrn:RPJ_07085
ko:K03701	rrn:RPJ_07120
ko:K09131	rrn:RPJ_07150
ko:K04079	rrn:RPJ_07155
ko:K00643	rrn:RPJ_07160
ko:K03545	rrn:RPJ_07175
ko:K03979	rrn:RPJ_07180
ko:K01647	rrn:RPJ_07185
ko:K06180	rrn:RPJ_07200
ko:K02493	rrn:RPJ_07215
ko:K07566	rrn:RPJ_07220
ko:K01879	rrn:RPJ_07225
ko:K01878	rrn:RPJ_07230
ko:K09765	rrn:RPJ_07245
ko:K01872	rrn:RPJ_07275
ko:K01142	rrn:RPJ_01945
ko:K02860	rrn:RPJ_02650
ko:K03602	rrn:RPJ_02660
ko:K03652	rrn:RPJ_02685
ko:K08998	rrn:RPJ_02700
ko:K00334	rrn:RPJ_02705
ko:K00333	rrn:RPJ_02710
ko:K00332	rrn:RPJ_02715
ko:K00331	rrn:RPJ_02720
ko:K00330	rrn:RPJ_02725
ko:K00208	rrn:RPJ_02765
ko:K03820	rrn:RPJ_02770
ko:K04566	rrn:RPJ_02830
ko:K07088	rrn:RPJ_02835
ko:K00029	rrn:RPJ_02840
ko:K00024	rrn:RPJ_02910
ko:K01937	rrn:RPJ_02935
ko:K00979	rrn:RPJ_02940
ko:K01495	rrn:RPJ_02960
ko:K01881	rrn:RPJ_02965
ko:K03185	rrn:RPJ_04725
ko:K13599	rrn:RPJ_04735
ko:K05515	rrn:RPJ_04750
ko:K03587	rrn:RPJ_04760
ko:K03438	rrn:RPJ_04770
ko:K03925	rrn:RPJ_04775
ko:K03703	rrn:RPJ_04790
ko:K03070	rrn:RPJ_04865
ko:K00997	rrn:RPJ_04875
ko:K03060	rrn:RPJ_04880
ko:K00790	rrn:RPJ_04885
ko:K02470	rrn:RPJ_04890
ko:K06213	rrn:RPJ_04900
ko:K00791	rrn:RPJ_03680
ko:K06861	rrn:RPJ_03695
ko:K09774	rrn:RPJ_03700
ko:K11719	rrn:RPJ_03705
ko:K06041	rrn:RPJ_03710
ko:K00962	rrn:RPJ_03715
ko:K02956	rrn:RPJ_03720
ko:K07058	rrn:RPJ_03745
ko:K01915	rrn:RPJ_03750
ko:K05810	rrn:RPJ_03755
ko:K01462	rrn:RPJ_03760
ko:K03523	rrn:RPJ_03805
ko:K11754	rrn:RPJ_03810
ko:K04564	rrn:RPJ_03815
ko:K03524	rrn:RPJ_03840
ko:K02520	rrn:RPJ_03870
ko:K00627	rrn:RPJ_03875
ko:K02835	rrn:RPJ_03880
ko:K07462	rrn:RPJ_03885
ko:K03628	rrn:RPJ_03895
ko:K04773	rrn:RPJ_03900
ko:K05788	rrn:RPJ_03905
ko:K09861	rrn:RPJ_03925
ko:K01867	rrn:RPJ_03960
ko:K00655	rrn:RPJ_03965
ko:K02109	rrn:RPJ_00160
ko:K02109	rrn:RPJ_00165
ko:K02110	rrn:RPJ_00170
ko:K02108	rrn:RPJ_00175
ko:K07736	rrn:RPJ_00190
ko:K03629	rrn:RPJ_00205
ko:K06137	rrn:RPJ_00210
ko:K13941	rrn:RPJ_00225
ko:K07152	rrn:RPJ_00265
ko:K07735	rrn:RPJ_00270
ko:K00023	rrn:RPJ_00335
ko:K03695	rrn:RPJ_00370
ko:K02990	rrn:RPJ_00395
ko:K02963	rrn:RPJ_00400
ko:K02939	rrn:RPJ_00405
ko:K04075	rrn:RPJ_00410
ko:K03798	rrn:RPJ_00415
ko:K00240	rrn:RPJ_00425
ko:K13292	rrn:RPJ_00440
ko:K03217	rrn:RPJ_00455
ko:K00995	rrn:RPJ_00460
ko:K01870	rrn:RPJ_05250
ko:K05939	rrn:RPJ_05290
ko:K09816	rrn:RPJ_05300
ko:K04077	rrn:RPJ_05325
ko:K04078	rrn:RPJ_05330
ko:K00989	rrn:RPJ_05375
ko:K03687	rrn:RPJ_05380
ko:K02968	rrn:RPJ_05435
ko:K02879	rrn:RPJ_05440
ko:K03040	rrn:RPJ_05445
ko:K02948	rrn:RPJ_05450
ko:K02952	rrn:RPJ_05455
ko:K02434	rrn:RPJ_01080
ko:K02876	rrn:RPJ_05470
ko:K02907	rrn:RPJ_05475
ko:K02988	rrn:RPJ_05480
ko:K02881	rrn:RPJ_05485
ko:K02933	rrn:RPJ_05490
ko:K02994	rrn:RPJ_05495
ko:K02954	rrn:RPJ_05500
ko:K02931	rrn:RPJ_05505
ko:K02895	rrn:RPJ_05510
ko:K02874	rrn:RPJ_05515
ko:K02961	rrn:RPJ_05520
ko:K02904	rrn:RPJ_05525
ko:K02878	rrn:RPJ_05530
ko:K02982	rrn:RPJ_05535
ko:K02890	rrn:RPJ_05540
ko:K02965	rrn:RPJ_05545
ko:K02886	rrn:RPJ_05550
ko:K02892	rrn:RPJ_05555
ko:K02926	rrn:RPJ_05560
ko:K02906	rrn:RPJ_05565
ko:K03076	rrn:RPJ_05465
ko:K02838	rrn:RPJ_01100
ko:K09903	rrn:RPJ_01105
ko:K05569	rrn:RPJ_01110
ko:K07277	rrn:RPJ_01135
ko:K11749	rrn:RPJ_01140
ko:K03625	rrn:RPJ_01145
ko:K09761	rrn:RPJ_01175
ko:K09779	rrn:RPJ_01180
ko:K03530	rrn:RPJ_01190
ko:K02341	rrn:RPJ_01195
ko:K03106	rrn:RPJ_01200
ko:K03926	rrn:RPJ_01265
ko:K01737	rrn:RPJ_01270
ko:K00658	rrn:RPJ_01275
ko:K00164	rrn:RPJ_01285
ko:K01299	rrn:RPJ_01290
ko:K03631	rrn:RPJ_01295
ko:K05807	rrn:RPJ_01300
ko:K03686	rrn:RPJ_01310
ko:K04043	rrn:RPJ_01315
ko:K02340	rrn:RPJ_01340
ko:K06134	rrn:RPJ_01345
ko:K02276	rrn:RPJ_01355
ko:K00600	rrn:RPJ_06310
ko:K06999	rrn:RPJ_06315
ko:K07390	rrn:RPJ_06320
ko:K10773	rrn:RPJ_06325
ko:K07056	rrn:RPJ_06370
ko:K03116	rrn:RPJ_06380
ko:K01095	rrn:RPJ_06385
ko:K02888	rrn:RPJ_06390
ko:K02899	rrn:RPJ_06395
ko:K00928	rrn:RPJ_06400
ko:K09888	rrn:RPJ_06440
ko:K15371	rrn:RPJ_06455
ko:K03650	rrn:RPJ_06460
ko:K02078	rrn:RPJ_06500
ko:K09458	rrn:RPJ_06505
ko:K15738	rrn:RPJ_06510
ko:K07133	rrn:RPJ_06525
ko:K00942	rrn:RPJ_06530
ko:K03570	rrn:RPJ_06540
ko:K03569	rrn:RPJ_06545
ko:K11720	rrn:RPJ_06550
ko:K03640	rrn:RPJ_06555
ko:K00648	rrn:RPJ_06565
ko:K02911	rrn:RPJ_06570
ko:K03110	rrn:RPJ_06580
ko:K00789	rrn:RPJ_06600
ko:K00789	rrn:RPJ_06610
ko:K02435	rrn:RPJ_01090
ko:K00413	rrn:RPJ_02025
ko:K02836	rrn:RPJ_02055
ko:K03596	rrn:RPJ_02060
ko:K05837	rrn:RPJ_02125
ko:K01354	rrn:RPJ_02130
ko:K05567	rrn:RPJ_02160
ko:K01524	rrn:RPJ_02205
ko:K03555	rrn:RPJ_02250
ko:K01808	rrn:RPJ_02255
ko:K07043	rrn:RPJ_02265
ko:K03641	rrn:RPJ_02275
