ko:K18923	lpo:LPO_3236
ko:K21147	lpo:LPO_1588
ko:K11741	lpo:LPO_0625
ko:K07001	lpo:LPO_0015
ko:K03455	lpo:LPO_1967
ko:K09930	lpo:LPO_0748
ko:K03111	lpo:LPO_0406
ko:K07316	lpo:LPO_0164
ko:K02487	lpo:LPO_2782
ko:K08604	lpo:LPO_0020
ko:K01990	lpo:LPO_0739
ko:K01990	lpo:LPO_0762
ko:K01479	lpo:LPO_0790
ko:K07665	lpo:LPO_0796
ko:K01176	lpo:LPO_1709
ko:K01176	lpo:LPO_1711
ko:K02414	lpo:LPO_1726
ko:K00568	lpo:LPO_1733
ko:K02348	lpo:LPO_2645
ko:K04655	lpo:LPO_2660
ko:K04652	lpo:LPO_2664
ko:K02428	lpo:LPO_2673
ko:K13953	lpo:LPO_2683
ko:K00808	lpo:LPO_2687
ko:K00949	lpo:LPO_2690
ko:K15383	lpo:LPO_2691
ko:K00088	lpo:LPO_1762
ko:K06445	lpo:LPO_1765
ko:K05816	lpo:LPO_1768
ko:K05815	lpo:LPO_1769
ko:K05814	lpo:LPO_1770
ko:K02433	lpo:LPO_1775
ko:K13628	lpo:LPO_1789
ko:K04488	lpo:LPO_1790
ko:K01092	lpo:LPO_1793
ko:K10943	lpo:LPO_1807
ko:K10942	lpo:LPO_1808
ko:K04518	lpo:LPO_2738
ko:K01585	lpo:LPO_0006
ko:K02067	lpo:LPO_0921
ko:K04774	lpo:LPO_0933
ko:K02193	lpo:LPO_0934
ko:K02200	lpo:LPO_0942
ko:K01715	lpo:LPO_0949
ko:K03743	lpo:LPO_1853
ko:K03593	lpo:LPO_1864
ko:K01537	lpo:LPO_2803
ko:K00758	lpo:LPO_2808
ko:K15725	lpo:LPO_2813
ko:K15727	lpo:LPO_2814
ko:K01907	lpo:LPO_1892
ko:K01259	lpo:LPO_1908
ko:K03294	lpo:LPO_0027
ko:K03294	lpo:LPO_0053
ko:K01439	lpo:LPO_0968
ko:K00674	lpo:LPO_0969
ko:K01760	lpo:LPO_0971
ko:K00486	lpo:LPO_0974
ko:K11085	lpo:LPO_1873
ko:K00626	lpo:LPO_1886
ko:K01262	lpo:LPO_0085
ko:K07304	lpo:LPO_0112
ko:K02050	lpo:LPO_0129
ko:K02665	lpo:LPO_1014
ko:K06149	lpo:LPO_1019
ko:K02033	lpo:LPO_1044
ko:K01510	lpo:LPO_1060
ko:K08305	lpo:LPO_1934
ko:K01759	lpo:LPO_1941
ko:K06889	lpo:LPO_2880
ko:K07386	lpo:LPO_2883
ko:K07030	lpo:LPO_0238
ko:K02049	lpo:LPO_0130
ko:K01156	lpo:LPO_0165
ko:K06889	lpo:LPO_0194
ko:K07397	lpo:LPO_0194
ko:K07305	lpo:LPO_1097
ko:K08481	lpo:LPO_1115
ko:K00799	lpo:LPO_1978
ko:K01885	lpo:LPO_1987
ko:K05524	lpo:LPO_1999
ko:K16329	lpo:LPO_2004
ko:K01959	lpo:LPO_2943
ko:K01081	lpo:LPO_2956
ko:K11517	lpo:LPO_2960
ko:K02056	lpo:LPO_0223
ko:K03455	lpo:LPO_1137
ko:K11069	lpo:LPO_1152
ko:K11071	lpo:LPO_1154
ko:K11072	lpo:LPO_1155
ko:K06990	lpo:LPO_1184
ko:K07126	lpo:LPO_1187
ko:K03768	lpo:LPO_3013
ko:K01719	lpo:LPO_3023
ko:K00974	lpo:LPO_3029
ko:K07250	lpo:LPO_0278
ko:K00058	lpo:LPO_0282
ko:K06902	lpo:LPO_0307
ko:K01724	lpo:LPO_2097
ko:K00869	lpo:LPO_2142
ko:K01597	lpo:LPO_2143
ko:K02067	lpo:LPO_2148
ko:K01507	lpo:LPO_3055
ko:K03177	lpo:LPO_3061
ko:K02427	lpo:LPO_3087
ko:K00027	lpo:LPO_1265
ko:K03087	lpo:LPO_1269
ko:K08086	lpo:LPO_1285
ko:K01823	lpo:LPO_2154
ko:K00054	lpo:LPO_2155
ko:K15725	lpo:LPO_2200
ko:K05994	lpo:LPO_3106
ko:K00569	lpo:LPO_3131
ko:K00088	lpo:LPO_3144
ko:K01426	lpo:LPO_3154
ko:K14475	lpo:LPO_1264
ko:K00647	lpo:LPO_0412
ko:K03711	lpo:LPO_0423
ko:K02454	lpo:LPO_1297
ko:K07126	lpo:LPO_1345
ko:K07114	lpo:LPO_3156
ko:K07114	lpo:LPO_3158
ko:K07114	lpo:LPO_3159
ko:K03793	lpo:LPO_3167
ko:K01424	lpo:LPO_3178
ko:K03616	lpo:LPO_3186
ko:K02258	lpo:LPO_3205
ko:K02274	lpo:LPO_3206
ko:K01992	lpo:LPO_0444
ko:K01990	lpo:LPO_0445
ko:K00567	lpo:LPO_0455
ko:K14998	lpo:LPO_0469
ko:K05844	lpo:LPO_0474
ko:K00845	lpo:LPO_0479
ko:K03469	lpo:LPO_1373
ko:K02342	lpo:LPO_1374
ko:K00059	lpo:LPO_1391
ko:K00939	lpo:LPO_1408
ko:K06910	lpo:LPO_2279
ko:K00059	lpo:LPO_2301
ko:K00276	lpo:LPO_3228
ko:K08305	lpo:LPO_3240
ko:K02004	lpo:LPO_3245
ko:K01525	lpo:LPO_3249
ko:K01679	lpo:LPO_3262
ko:K11189	lpo:LPO_0542
ko:K08992	lpo:LPO_1419
ko:K01619	lpo:LPO_1430
ko:K01489	lpo:LPO_1432
ko:K07640	lpo:LPO_1434
ko:K06910	lpo:LPO_1450
ko:K03574	lpo:LPO_1464
ko:K00625	lpo:LPO_2336
ko:K06179	lpo:LPO_2367
ko:K03386	lpo:LPO_3300
ko:K00027	lpo:LPO_3306
ko:K02116	lpo:LPO_3328
ko:K02030	lpo:LPO_0558
ko:K02028	lpo:LPO_0560
ko:K01488	lpo:LPO_0564
