ko:K08744	mtn:ERDMAN_2012
ko:K07029	mtn:ERDMAN_2477
ko:K07016	mtn:ERDMAN_3094
ko:K01992	mtn:ERDMAN_1362
ko:K01992	mtn:ERDMAN_1623
ko:K01992	mtn:ERDMAN_3219
ko:K01992	mtn:ERDMAN_3220
ko:K12349	mtn:ERDMAN_0740
ko:K01006	mtn:ERDMAN_1262
ko:K03574	mtn:ERDMAN_1303
ko:K03297	mtn:ERDMAN_3355
ko:K02554	mtn:ERDMAN_3880
ko:K21431	mtn:ERDMAN_0945
ko:K22316	mtn:ERDMAN_2449
ko:K07171	mtn:ERDMAN_1234
ko:K12429	mtn:ERDMAN_1336
ko:K18956	mtn:ERDMAN_0028
ko:K18851	mtn:ERDMAN_0150
ko:K18958	mtn:ERDMAN_3506
ko:K07171	mtn:ERDMAN_0730
ko:K07171	mtn:ERDMAN_2139
ko:K07045	mtn:ERDMAN_3852
ko:K18955	mtn:ERDMAN_3574
ko:K07068	mtn:ERDMAN_1789
ko:K00561	mtn:ERDMAN_2189
ko:K02030	mtn:ERDMAN_0453
ko:K13572	mtn:ERDMAN_2314
ko:K12435	mtn:ERDMAN_1829
ko:K03439	mtn:ERDMAN_0235
ko:K01207	mtn:ERDMAN_0266
ko:K00602	mtn:ERDMAN_1059
ko:K02911	mtn:ERDMAN_1088
ko:K03282	mtn:ERDMAN_1095
ko:K02003	mtn:ERDMAN_1096
ko:K00963	mtn:ERDMAN_1104
ko:K03750	mtn:ERDMAN_1105
ko:K03790	mtn:ERDMAN_1106
ko:K00074	mtn:ERDMAN_1884
ko:K02575	mtn:ERDMAN_1912
ko:K01114	mtn:ERDMAN_1935
ko:K06886	mtn:ERDMAN_2718
ko:K07107	mtn:ERDMAN_2723
ko:K15371	mtn:ERDMAN_2724
ko:K00631	mtn:ERDMAN_2727
ko:K06966	mtn:ERDMAN_2741
ko:K00627	mtn:ERDMAN_2745
ko:K00162	mtn:ERDMAN_2746
ko:K00161	mtn:ERDMAN_2747
ko:K01644	mtn:ERDMAN_2748
ko:K01969	mtn:ERDMAN_2752
ko:K01029	mtn:ERDMAN_2753
ko:K01028	mtn:ERDMAN_2754
ko:K07124	mtn:ERDMAN_2759
ko:K06915	mtn:ERDMAN_2760
ko:K13288	mtn:ERDMAN_2761
ko:K03088	mtn:ERDMAN_3536
ko:K00800	mtn:ERDMAN_3540
ko:K06949	mtn:ERDMAN_3541
ko:K07228	mtn:ERDMAN_3550
ko:K03070	mtn:ERDMAN_3553
ko:K00943	mtn:ERDMAN_3561
ko:K01251	mtn:ERDMAN_3562
ko:K00496	mtn:ERDMAN_3566
ko:K01809	mtn:ERDMAN_3569
ko:K00067	mtn:ERDMAN_3582
ko:K01673	mtn:ERDMAN_3589
ko:K00240	mtn:ERDMAN_0276
ko:K00239	mtn:ERDMAN_0277
ko:K00362	mtn:ERDMAN_0281
ko:K00363	mtn:ERDMAN_0282
ko:K02231	mtn:ERDMAN_0283
ko:K02232	mtn:ERDMAN_0284
ko:K02575	mtn:ERDMAN_0289
ko:K02016	mtn:ERDMAN_0293
ko:K02575	mtn:ERDMAN_0295
ko:K07056	mtn:ERDMAN_1116
ko:K01665	mtn:ERDMAN_1118
ko:K01874	mtn:ERDMAN_1120
ko:K03424	mtn:ERDMAN_1121
ko:K02528	mtn:ERDMAN_1123
ko:K00919	mtn:ERDMAN_1124
ko:K01056	mtn:ERDMAN_1126
ko:K02897	mtn:ERDMAN_1128
ko:K00948	mtn:ERDMAN_1131
ko:K04042	mtn:ERDMAN_1132
ko:K03723	mtn:ERDMAN_1136
ko:K01689	mtn:ERDMAN_1139
ko:K01524	mtn:ERDMAN_1142
ko:K07667	mtn:ERDMAN_1144
ko:K07646	mtn:ERDMAN_1145
ko:K01546	mtn:ERDMAN_1147
ko:K01547	mtn:ERDMAN_1148
ko:K01548	mtn:ERDMAN_1149
ko:K00705	mtn:ERDMAN_1971
ko:K03564	mtn:ERDMAN_2774
ko:K00997	mtn:ERDMAN_2776
ko:K11533	mtn:ERDMAN_2777
ko:K01584	mtn:ERDMAN_2787
ko:K03625	mtn:ERDMAN_2789
ko:K02356	mtn:ERDMAN_2790
ko:K03786	mtn:ERDMAN_2793
ko:K01735	mtn:ERDMAN_2794
ko:K00891	mtn:ERDMAN_2795
ko:K01736	mtn:ERDMAN_2796
ko:K02654	mtn:ERDMAN_2809
ko:K00014	mtn:ERDMAN_2810
ko:K07082	mtn:ERDMAN_2811
ko:K07447	mtn:ERDMAN_2812
ko:K01872	mtn:ERDMAN_2813
ko:K07478	mtn:ERDMAN_2817
ko:K02003	mtn:ERDMAN_2822
ko:K07001	mtn:ERDMAN_2823
ko:K01588	mtn:ERDMAN_3591
ko:K01589	mtn:ERDMAN_3592
ko:K03524	mtn:ERDMAN_3595
ko:K06287	mtn:ERDMAN_3598
ko:K02426	mtn:ERDMAN_3600
ko:K03724	mtn:ERDMAN_3612
ko:K02039	mtn:ERDMAN_3617
ko:K00111	mtn:ERDMAN_3618
ko:K00382	mtn:ERDMAN_3619
ko:K00761	mtn:ERDMAN_3625
ko:K00242	mtn:ERDMAN_3635
ko:K00239	mtn:ERDMAN_3636
ko:K00240	mtn:ERDMAN_3637
ko:K04719	mtn:ERDMAN_0340
ko:K01126	mtn:ERDMAN_0351
ko:K07238	mtn:ERDMAN_0353
ko:K01304	mtn:ERDMAN_0354
ko:K01494	mtn:ERDMAN_0356
ko:K00012	mtn:ERDMAN_0357
ko:K00973	mtn:ERDMAN_0369
ko:K11738	mtn:ERDMAN_0383
ko:K07001	mtn:ERDMAN_1184
ko:K07001	mtn:ERDMAN_1185
ko:K01697	mtn:ERDMAN_1202
ko:K03624	mtn:ERDMAN_1205
ko:K06888	mtn:ERDMAN_1209
ko:K11068	mtn:ERDMAN_1211
ko:K00600	mtn:ERDMAN_1225
ko:K07507	mtn:ERDMAN_2001
ko:K03885	mtn:ERDMAN_2002
ko:K02471	mtn:ERDMAN_2009
ko:K01652	mtn:ERDMAN_2010
ko:K03070	mtn:ERDMAN_2011
ko:K02437	mtn:ERDMAN_2016
ko:K08999	mtn:ERDMAN_2019
ko:K00281	mtn:ERDMAN_2021
ko:K06978	mtn:ERDMAN_2024
ko:K01638	mtn:ERDMAN_2026
ko:K01430	mtn:ERDMAN_2037
ko:K01429	mtn:ERDMAN_2038
ko:K01428	mtn:ERDMAN_2039
ko:K03188	mtn:ERDMAN_2040
ko:K03189	mtn:ERDMAN_2041
ko:K03190	mtn:ERDMAN_2042
ko:K03885	mtn:ERDMAN_2043
ko:K02020	mtn:ERDMAN_2046
ko:K02018	mtn:ERDMAN_2047
ko:K01876	mtn:ERDMAN_2830
ko:K00077	mtn:ERDMAN_2831
ko:K01892	mtn:ERDMAN_2839
ko:K00759	mtn:ERDMAN_2843
ko:K03074	mtn:ERDMAN_2845
ko:K03072	mtn:ERDMAN_2846
ko:K03210	mtn:ERDMAN_2847
ko:K03551	mtn:ERDMAN_2851
ko:K03550	mtn:ERDMAN_2852
ko:K01159	mtn:ERDMAN_2853
ko:K00797	mtn:ERDMAN_2860
ko:K08681	mtn:ERDMAN_2864
ko:K10805	mtn:ERDMAN_2865
ko:K06215	mtn:ERDMAN_2866
ko:K00275	mtn:ERDMAN_2867
ko:K00995	mtn:ERDMAN_2872
ko:K01868	mtn:ERDMAN_2874
ko:K01443	mtn:ERDMAN_3650
ko:K07058	mtn:ERDMAN_3653
ko:K01867	mtn:ERDMAN_3654
ko:K00031	mtn:ERDMAN_3656
ko:K01740	mtn:ERDMAN_3658
ko:K00641	mtn:ERDMAN_3659
ko:K01491	mtn:ERDMAN_3678
ko:K03216	mtn:ERDMAN_3688
ko:K01087	mtn:ERDMAN_3694
ko:K04043	mtn:ERDMAN_0389
ko:K03687	mtn:ERDMAN_0390
ko:K03686	mtn:ERDMAN_0391
ko:K01939	mtn:ERDMAN_0397
ko:K06213	mtn:ERDMAN_0402
ko:K01624	mtn:ERDMAN_0403
ko:K03975	mtn:ERDMAN_0404
ko:K07141	mtn:ERDMAN_0411
ko:K07402	mtn:ERDMAN_0412
ko:K07402	mtn:ERDMAN_0416
ko:K09165	mtn:ERDMAN_0419
ko:K00762	mtn:ERDMAN_0422
ko:K03695	mtn:ERDMAN_0424
ko:K08289	mtn:ERDMAN_0429
ko:K10764	mtn:ERDMAN_0431
ko:K03885	mtn:ERDMAN_0432
ko:K07175	mtn:ERDMAN_1227
ko:K03602	mtn:ERDMAN_1240
ko:K03601	mtn:ERDMAN_1241
ko:K03527	mtn:ERDMAN_1243
ko:K06942	mtn:ERDMAN_1245
ko:K00036	mtn:ERDMAN_1255
ko:K01720	mtn:ERDMAN_1266
ko:K01647	mtn:ERDMAN_1267
ko:K00549	mtn:ERDMAN_1269
ko:K03594	mtn:ERDMAN_2068
ko:K01915	mtn:ERDMAN_2070
ko:K07560	mtn:ERDMAN_2089
ko:K08972	mtn:ERDMAN_2095
ko:K03782	mtn:ERDMAN_2101
ko:K01637	mtn:ERDMAN_2108
ko:K14415	mtn:ERDMAN_2891
ko:K09771	mtn:ERDMAN_2899
ko:K06916	mtn:ERDMAN_2932
ko:K00231	mtn:ERDMAN_2939
ko:K01662	mtn:ERDMAN_3700
ko:K03527	mtn:ERDMAN_3701
ko:K00574	mtn:ERDMAN_3711
ko:K14161	mtn:ERDMAN_3713
ko:K01951	mtn:ERDMAN_3716
ko:K02291	mtn:ERDMAN_3717
ko:K03088	mtn:ERDMAN_3735
ko:K04077	mtn:ERDMAN_3738
ko:K04078	mtn:ERDMAN_3739
ko:K03789	mtn:ERDMAN_3741
ko:K06925	mtn:ERDMAN_3743
ko:K01775	mtn:ERDMAN_3744
ko:K00252	mtn:ERDMAN_0441
ko:K13788	mtn:ERDMAN_0450
ko:K00925	mtn:ERDMAN_0451
ko:K00788	mtn:ERDMAN_0456
ko:K03154	mtn:ERDMAN_0458
ko:K03149	mtn:ERDMAN_0459
ko:K07020	mtn:ERDMAN_0464
ko:K00941	mtn:ERDMAN_0465
ko:K03147	mtn:ERDMAN_0466
