ko:K18917	cod:Cp106_0615
ko:K01992	cod:Cp106_0320
ko:K01992	cod:Cp106_1077
ko:K01992	cod:Cp106_1585
ko:K01897	cod:Cp106_1495
ko:K18926	cod:Cp106_0465
ko:K14232	cod:Cp106_t40
ko:K16147	cod:Cp106_0841
ko:K16148	cod:Cp106_0772
ko:K16164	cod:Cp106_0153
ko:K10716	cod:Cp106_0532
ko:K14235	cod:Cp106_t14
ko:K02028	cod:Cp106_0910
ko:K15733	cod:Cp106_1169
ko:K03701	cod:Cp106_0926
ko:K02520	cod:Cp106_0927
ko:K02916	cod:Cp106_0928
ko:K02887	cod:Cp106_0929
ko:K03437	cod:Cp106_0931
ko:K01889	cod:Cp106_0932
ko:K01890	cod:Cp106_0933
ko:K00145	cod:Cp106_0934
ko:K00930	cod:Cp106_0936
ko:K00611	cod:Cp106_0938
ko:K03402	cod:Cp106_0939
ko:K01940	cod:Cp106_0940
ko:K01755	cod:Cp106_0941
ko:K09791	cod:Cp106_0942
ko:K01866	cod:Cp106_0943
ko:K06442	cod:Cp106_0948
ko:K00858	cod:Cp106_0949
ko:K03631	cod:Cp106_0950
ko:K05896	cod:Cp106_0956
ko:K01935	cod:Cp106_0957
ko:K03305	cod:Cp106_0958
ko:K00833	cod:Cp106_0959
ko:K01935	cod:Cp106_0960
ko:K06024	cod:Cp106_0961
ko:K06178	cod:Cp106_0962
ko:K00945	cod:Cp106_0963
ko:K03977	cod:Cp106_0964
ko:K02016	cod:Cp106_0969
ko:K02015	cod:Cp106_0971
ko:K02013	cod:Cp106_0972
ko:K09858	cod:Cp106_0975
ko:K03070	cod:Cp106_0977
ko:K05571	cod:Cp106_1776
ko:K06048	cod:Cp106_1778
ko:K01462	cod:Cp106_1781
ko:K01142	cod:Cp106_1783
ko:K06131	cod:Cp106_1784
ko:K00925	cod:Cp106_1791
ko:K13788	cod:Cp106_1792
ko:K00528	cod:Cp106_1793
ko:K08289	cod:Cp106_1796
ko:K07101	cod:Cp106_1797
ko:K07399	cod:Cp106_1805
ko:K03385	cod:Cp106_1807
ko:K15876	cod:Cp106_1808
ko:K01939	cod:Cp106_1809
ko:K01624	cod:Cp106_1820
ko:K00762	cod:Cp106_1823
ko:K00111	cod:Cp106_1826
ko:K11738	cod:Cp106_0551
ko:K09812	cod:Cp106_0562
ko:K09811	cod:Cp106_0563
ko:K03664	cod:Cp106_0564
ko:K01673	cod:Cp106_0566
ko:K02016	cod:Cp106_0567
ko:K02015	cod:Cp106_0568
ko:K02015	cod:Cp106_0569
ko:K02013	cod:Cp106_0570
ko:K14267	cod:Cp106_0573
ko:K03704	cod:Cp106_0580
ko:K06901	cod:Cp106_0584
ko:K00831	cod:Cp106_0588
ko:K01647	cod:Cp106_0589
ko:K02276	cod:Cp106_1407
ko:K02275	cod:Cp106_1409
ko:K01953	cod:Cp106_1410
ko:K02231	cod:Cp106_1413
ko:K00768	cod:Cp106_1414
ko:K02233	cod:Cp106_1415
ko:K00826	cod:Cp106_1416
ko:K01255	cod:Cp106_1417
ko:K00281	cod:Cp106_1420
ko:K00605	cod:Cp106_1421
ko:K02437	cod:Cp106_1422
ko:K03801	cod:Cp106_1424
ko:K03644	cod:Cp106_1425
ko:K01915	cod:Cp106_1428
ko:K07084	cod:Cp106_1437
ko:K01733	cod:Cp106_1440
ko:K00982	cod:Cp106_1444
ko:K01915	cod:Cp106_1445
ko:K00849	cod:Cp106_1449
ko:K02492	cod:Cp106_0266
ko:K01749	cod:Cp106_0267
ko:K13542	cod:Cp106_0268
ko:K01698	cod:Cp106_0269
ko:K01599	cod:Cp106_0272
ko:K00231	cod:Cp106_0273
ko:K01845	cod:Cp106_0275
ko:K07399	cod:Cp106_0279
ko:K02013	cod:Cp106_0281
ko:K02016	cod:Cp106_0282
ko:K02015	cod:Cp106_0283
ko:K02548	cod:Cp106_0286
ko:K01911	cod:Cp106_0287
ko:K01661	cod:Cp106_0288
ko:K02551	cod:Cp106_0291
ko:K03183	cod:Cp106_0294
ko:K03073	cod:Cp106_0298
ko:K02601	cod:Cp106_0299
ko:K02867	cod:Cp106_0300
ko:K02863	cod:Cp106_0301
ko:K02864	cod:Cp106_0305
ko:K02935	cod:Cp106_0306
ko:K01752	cod:Cp106_1140
ko:K01892	cod:Cp106_1144
ko:K11065	cod:Cp106_1146
ko:K00759	cod:Cp106_1150
ko:K03074	cod:Cp106_1152
ko:K03072	cod:Cp106_1153
ko:K03210	cod:Cp106_1154
ko:K03551	cod:Cp106_1155
ko:K03550	cod:Cp106_1156
ko:K01159	cod:Cp106_1157
ko:K10805	cod:Cp106_1159
ko:K00995	cod:Cp106_1166
ko:K01868	cod:Cp106_1168
ko:K07156	cod:Cp106_1171
ko:K03684	cod:Cp106_1177
ko:K01662	cod:Cp106_1178
ko:K00886	cod:Cp106_1186
ko:K03086	cod:Cp106_1187
ko:K07146	cod:Cp106_1998
ko:K03975	cod:Cp106_1999
ko:K04047	cod:Cp106_2000
ko:K01421	cod:Cp106_2004
ko:K01869	cod:Cp106_2005
ko:K02003	cod:Cp106_2009
ko:K01443	cod:Cp106_2017
ko:K01714	cod:Cp106_2025
ko:K09946	cod:Cp106_2032
ko:K01657	cod:Cp106_2039
ko:K00766	cod:Cp106_2041
ko:K13498	cod:Cp106_2042
ko:K01696	cod:Cp106_2043
ko:K01695	cod:Cp106_2044
ko:K14347	cod:Cp106_2046
ko:K07164	cod:Cp106_1452
ko:K00817	cod:Cp106_1454
ko:K02227	cod:Cp106_1458
ko:K00163	cod:Cp106_1460
ko:K01586	cod:Cp106_0815
ko:K00003	cod:Cp106_0816
