ko:K11707	cpst:B601_0483
ko:K01921	cpst:B601_0920
ko:K01924	cpst:B601_0920
ko:K02035	cpst:B601_0161
ko:K08719	cpst:B601_0985
ko:K01985	cpst:B601_1090
ko:K06041	cpst:B601_0246
ko:K07164	cpst:B601_0247
ko:K00600	cpst:B601_0252
ko:K01358	cpst:B601_0253
ko:K01778	cpst:B601_0254
ko:K03183	cpst:B601_0256
ko:K07042	cpst:B601_0263
ko:K03652	cpst:B601_0267
ko:K12573	cpst:B601_0269
ko:K04043	cpst:B601_0270
ko:K03687	cpst:B601_0272
ko:K03705	cpst:B601_0273
ko:K01881	cpst:B601_0274
ko:K09131	cpst:B601_0277
ko:K10206	cpst:B601_0279
ko:K06966	cpst:B601_0282
ko:K09996	cpst:B601_0291
ko:K06167	cpst:B601_0293
ko:K03665	cpst:B601_0294
ko:K03648	cpst:B601_1061
ko:K03657	cpst:B601_1062
ko:K03092	cpst:B601_1063
ko:K03168	cpst:B601_1065
ko:K02221	cpst:B601_1067
ko:K06137	cpst:B601_1073
ko:K13941	cpst:B601_1076
ko:K01633	cpst:B601_1077
ko:K03086	cpst:B601_1078
ko:K02968	cpst:B601_1080
ko:K03581	cpst:B601_1082
ko:K13789	cpst:B601_1086
ko:K09779	cpst:B601_0317
ko:K02435	cpst:B601_0319
ko:K02434	cpst:B601_0321
ko:K06888	cpst:B601_0333
ko:K02528	cpst:B601_0335
ko:K01662	cpst:B601_0336
ko:K03602	cpst:B601_0338
ko:K03601	cpst:B601_0339
ko:K01803	cpst:B601_0340
ko:K03075	cpst:B601_0342
ko:K01462	cpst:B601_0344
ko:K06287	cpst:B601_0347
ko:K03733	cpst:B601_0351
ko:K01338	cpst:B601_0354
ko:K03787	cpst:B601_0570
ko:K07039	cpst:B601_0572
ko:K14441	cpst:B601_0581
ko:K02913	cpst:B601_0582
ko:K09808	cpst:B601_0583
ko:K02871	cpst:B601_0586
ko:K02996	cpst:B601_0587
ko:K01057	cpst:B601_0594
ko:K00036	cpst:B601_0595
ko:K15580	cpst:B601_0596
ko:K03402	cpst:B601_0598
ko:K02029	cpst:B601_0599
ko:K07058	cpst:B601_0603
ko:K01783	cpst:B601_0606
ko:K02356	cpst:B601_0607
ko:K02160	cpst:B601_0608
ko:K01961	cpst:B601_0609
ko:K09125	cpst:B601_0624
ko:K02970	cpst:B601_0356
ko:K03686	cpst:B601_0357
