ko:K20265	bni:BANAN_02305
ko:K01990	bni:BANAN_03845
ko:K01990	bni:BANAN_07140
ko:K01990	bni:BANAN_07145
ko:K02028	bni:BANAN_06200
ko:K06147	bni:BANAN_06365
ko:K07012	bni:BANAN_06880
ko:K19123	bni:BANAN_06875
ko:K19125	bni:BANAN_06860
ko:K00226	bni:BANAN_06610
ko:K14232	bni:BANAN_t07881
ko:K16147	bni:BANAN_07045
ko:K16148	bni:BANAN_04435
ko:K18955	bni:BANAN_04965
ko:K02030	bni:BANAN_06195
ko:K02029	bni:BANAN_06205
ko:K14232	bni:BANAN_t07921
ko:K10716	bni:BANAN_07745
ko:K06199	bni:BANAN_03965
ko:K06199	bni:BANAN_03970
ko:K01091	bni:BANAN_03975
ko:K00963	bni:BANAN_04000
ko:K03977	bni:BANAN_04005
ko:K06178	bni:BANAN_04010
ko:K06188	bni:BANAN_04015
ko:K00602	bni:BANAN_04020
ko:K01902	bni:BANAN_04030
ko:K01903	bni:BANAN_04035
ko:K00759	bni:BANAN_04040
ko:K03210	bni:BANAN_04045
ko:K03551	bni:BANAN_04050
ko:K03550	bni:BANAN_04055
ko:K01159	bni:BANAN_04060
ko:K00995	bni:BANAN_04080
ko:K01868	bni:BANAN_04085
ko:K06153	bni:BANAN_04145
ko:K03686	bni:BANAN_04155
ko:K03705	bni:BANAN_04160
ko:K00615	bni:BANAN_04165
ko:K01883	bni:BANAN_01430
ko:K01653	bni:BANAN_01445
ko:K01652	bni:BANAN_01450
ko:K03685	bni:BANAN_01455
ko:K02911	bni:BANAN_01460
ko:K07040	bni:BANAN_01465
ko:K00954	bni:BANAN_01475
ko:K00763	bni:BANAN_01490
ko:K00989	bni:BANAN_01500
ko:K01810	bni:BANAN_01525
ko:K02884	bni:BANAN_01540
ko:K03100	bni:BANAN_01545
ko:K03470	bni:BANAN_01550
ko:K02003	bni:BANAN_01555
ko:K07088	bni:BANAN_01565
ko:K02888	bni:BANAN_01580
ko:K02899	bni:BANAN_01585
ko:K03979	bni:BANAN_01590
ko:K00931	bni:BANAN_01595
ko:K03073	bni:BANAN_01605
ko:K02601	bni:BANAN_01610
ko:K02867	bni:BANAN_01615
ko:K02863	bni:BANAN_01620
ko:K03524	bni:BANAN_01630
ko:K03523	bni:BANAN_01635
ko:K11533	bni:BANAN_01650
ko:K00997	bni:BANAN_01655
ko:K02956	bni:BANAN_01670
ko:K00962	bni:BANAN_01675
ko:K03744	bni:BANAN_01680
ko:K00847	bni:BANAN_05810
ko:K07560	bni:BANAN_05815
ko:K02034	bni:BANAN_05825
ko:K03589	bni:BANAN_05840
ko:K01924	bni:BANAN_05845
ko:K02563	bni:BANAN_05850
