ko:K16238	bthl:BG87_600
ko:K00632	bthl:BG87_3326
ko:K15634	bthl:BG87_1133
ko:K11209	bthl:BG87_1128
ko:K11209	bthl:BG87_2290
ko:K00821	bthl:BG87_3104
ko:K07485	bthl:BG87_3162
ko:K07485	bthl:BG87_4401
ko:K07492	bthl:BG87_2465
ko:K22589	bthl:BG87_1422
ko:K21678	bthl:BG87_5105
ko:K02351	bthl:BG87_1649
ko:K21345	bthl:BG87_175
ko:K21344	bthl:BG87_1542
ko:K05882	bthl:BG87_4283
ko:K00344	bthl:BG87_2835
ko:K07749	bthl:BG87_2122
ko:K02483	bthl:BG87_4483
ko:K00146	bthl:BG87_5454
ko:K01738	bthl:BG87_1879
ko:K01697	bthl:BG87_1879
ko:K05874	bthl:BG87_2274
ko:K00091	bthl:BG87_4985
ko:K00108	bthl:BG87_3818
ko:K00863	bthl:BG87_2230
ko:K00108	bthl:BG87_556
ko:K03458	bthl:BG87_3213
ko:K01801	bthl:BG87_77
ko:K06020	bthl:BG87_960
ko:K08744	bthl:BG87_1638
ko:K03332	bthl:BG87_4614
ko:K14333	bthl:BG87_4907
ko:K14218	bthl:BG87_740
ko:K22468	bthl:BG87_3883
ko:K14232	bthl:BG87_2658
ko:K14232	bthl:BG87_1032
ko:K14232	bthl:BG87_2475
ko:K14234	bthl:BG87_801
ko:K14224	bthl:BG87_1895
ko:K14224	bthl:BG87_1897
ko:K14218	bthl:BG87_1894
ko:K14219	bthl:BG87_1488
ko:K14219	bthl:BG87_1489
ko:K14230	bthl:BG87_3257
ko:K14228	bthl:BG87_2832
ko:K02386	bthl:BG87_5304
ko:K02387	bthl:BG87_5306
ko:K02388	bthl:BG87_5307
ko:K02389	bthl:BG87_5308
ko:K02390	bthl:BG87_5309
ko:K02391	bthl:BG87_5310
ko:K02392	bthl:BG87_5311
ko:K02393	bthl:BG87_5312
ko:K02394	bthl:BG87_5313
ko:K02396	bthl:BG87_5315
ko:K02397	bthl:BG87_5316
ko:K07687	bthl:BG87_5321
ko:K03746	bthl:BG87_5322
ko:K00865	bthl:BG87_5324
ko:K00873	bthl:BG87_5325
ko:K02647	bthl:BG87_5326
ko:K06893	bthl:BG87_5329
ko:K10439	bthl:BG87_5332
ko:K10440	bthl:BG87_5333
ko:K10441	bthl:BG87_5334
ko:K01178	bthl:BG87_5337
ko:K05591	bthl:BG87_5338
ko:K10001	bthl:BG87_5347
ko:K06193	bthl:BG87_283
ko:K07240	bthl:BG87_285
ko:K07240	bthl:BG87_286
ko:K03566	bthl:BG87_287
ko:K02397	bthl:BG87_289
ko:K02396	bthl:BG87_290
ko:K02395	bthl:BG87_292
ko:K02394	bthl:BG87_293
ko:K02393	bthl:BG87_294
ko:K02392	bthl:BG87_295
ko:K02391	bthl:BG87_296
ko:K02390	bthl:BG87_297
ko:K02389	bthl:BG87_298
ko:K02388	bthl:BG87_299
ko:K02387	bthl:BG87_300
ko:K02386	bthl:BG87_301
ko:K02398	bthl:BG87_302
ko:K02399	bthl:BG87_303
ko:K00974	bthl:BG87_304
ko:K00329	bthl:BG87_306
ko:K00356	bthl:BG87_306
ko:K08309	bthl:BG87_307
ko:K07160	bthl:BG87_312
ko:K09973	bthl:BG87_315
ko:K12372	bthl:BG87_316
ko:K12371	bthl:BG87_317
ko:K12370	bthl:BG87_318
ko:K12369	bthl:BG87_319
ko:K12368	bthl:BG87_320
ko:K01338	bthl:BG87_324
ko:K00528	bthl:BG87_328
ko:K03294	bthl:BG87_331
ko:K07402	bthl:BG87_332
ko:K09939	bthl:BG87_333
ko:K04061	bthl:BG87_334
ko:K09857	bthl:BG87_1156
ko:K06192	bthl:BG87_1157
ko:K03808	bthl:BG87_1158
ko:K03808	bthl:BG87_1159
ko:K12262	bthl:BG87_1160
ko:K03762	bthl:BG87_1163
ko:K03074	bthl:BG87_1164
ko:K03072	bthl:BG87_1165
ko:K03210	bthl:BG87_1166
ko:K00773	bthl:BG87_1167
ko:K07568	bthl:BG87_1168
ko:K03655	bthl:BG87_1169
ko:K04761	bthl:BG87_1170
ko:K03782	bthl:BG87_1172
ko:K04047	bthl:BG87_1174
ko:K03179	bthl:BG87_1175
ko:K00286	bthl:BG87_1176
ko:K06997	bthl:BG87_1177
ko:K11473	bthl:BG87_1178
ko:K11472	bthl:BG87_1179
ko:K00104	bthl:BG87_1180
ko:K00102	bthl:BG87_1181
ko:K00798	bthl:BG87_1182
ko:K05916	bthl:BG87_1183
ko:K01626	bthl:BG87_1184
ko:K03568	bthl:BG87_1185
ko:K00982	bthl:BG87_1188
ko:K03631	bthl:BG87_1189
ko:K00858	bthl:BG87_1190
ko:K03705	bthl:BG87_1191
ko:K01772	bthl:BG87_1192
ko:K04762	bthl:BG87_1193
ko:K03687	bthl:BG87_1194
ko:K04043	bthl:BG87_1196
ko:K03686	bthl:BG87_1197
ko:K03342	bthl:BG87_1198
ko:K00606	bthl:BG87_1199
ko:K00950	bthl:BG87_1201
ko:K00970	bthl:BG87_1202
ko:K10763	bthl:BG87_1204
ko:K01933	bthl:BG87_1205
ko:K04756	bthl:BG87_1999
ko:K03386	bthl:BG87_2000
ko:K07638	bthl:BG87_2001
ko:K07659	bthl:BG87_2002
ko:K02291	bthl:BG87_2006
ko:K00077	bthl:BG87_2020
ko:K00865	bthl:BG87_2022
ko:K03545	bthl:BG87_2023
ko:K01358	bthl:BG87_2024
ko:K03544	bthl:BG87_2025
ko:K01338	bthl:BG87_2026
ko:K03770	bthl:BG87_2033
ko:K10804	bthl:BG87_2034
ko:K02003	bthl:BG87_2035
ko:K01810	bthl:BG87_2036
ko:K00285	bthl:BG87_2038
ko:K01952	bthl:BG87_2039
ko:K03769	bthl:BG87_2040
ko:K05527	bthl:BG87_2041
ko:K06190	bthl:BG87_2042
ko:K07305	bthl:BG87_2043
ko:K07516	bthl:BG87_2046
ko:K08281	bthl:BG87_2047
ko:K00626	bthl:BG87_2048
ko:K01803	bthl:BG87_2834
ko:K00962	bthl:BG87_2836
ko:K02956	bthl:BG87_2837
ko:K01999	bthl:BG87_2838
ko:K01673	bthl:BG87_2840
ko:K01649	bthl:BG87_2842
ko:K17103	bthl:BG87_2843
ko:K01613	bthl:BG87_2844
ko:K00053	bthl:BG87_2845
ko:K01653	bthl:BG87_2846
ko:K01652	bthl:BG87_2847
ko:K03088	bthl:BG87_2848
ko:K00901	bthl:BG87_2854
ko:K06966	bthl:BG87_2856
ko:K01426	bthl:BG87_2860
ko:K07050	bthl:BG87_2862
ko:K06886	bthl:BG87_2863
ko:K02004	bthl:BG87_2864
ko:K11741	bthl:BG87_2866
ko:K09712	bthl:BG87_2867
ko:K07667	bthl:BG87_2868
ko:K07646	bthl:BG87_2869
ko:K01548	bthl:BG87_2870
ko:K01547	bthl:BG87_2871
ko:K01546	bthl:BG87_2872
ko:K01734	bthl:BG87_2876
ko:K00059	bthl:BG87_2877
ko:K00761	bthl:BG87_2878
ko:K01945	bthl:BG87_2880
ko:K00228	bthl:BG87_2881
ko:K00969	bthl:BG87_2882
ko:K09710	bthl:BG87_2883
ko:K01895	bthl:BG87_3670
ko:K00161	bthl:BG87_3671
ko:K00162	bthl:BG87_3672
ko:K00627	bthl:BG87_3673
ko:K00700	bthl:BG87_3683
ko:K00703	bthl:BG87_3684
ko:K00688	bthl:BG87_3685
ko:K00368	bthl:BG87_3688
ko:K04561	bthl:BG87_3689
ko:K00253	bthl:BG87_3691
ko:K01969	bthl:BG87_3692
ko:K13766	bthl:BG87_3693
ko:K01968	bthl:BG87_3694
ko:K03325	bthl:BG87_3708
ko:K00299	bthl:BG87_3715
ko:K02000	bthl:BG87_3717
ko:K02001	bthl:BG87_3718
ko:K02002	bthl:BG87_3720
ko:K00476	bthl:BG87_3722
ko:K00799	bthl:BG87_4514
ko:K03569	bthl:BG87_4523
ko:K07001	bthl:BG87_4524
ko:K02484	bthl:BG87_4525
ko:K01425	bthl:BG87_4527
ko:K01425	bthl:BG87_4531
ko:K01166	bthl:BG87_4532
ko:K17228	bthl:BG87_4533
ko:K13888	bthl:BG87_4534
ko:K05685	bthl:BG87_4535
ko:K01897	bthl:BG87_4539
ko:K01897	bthl:BG87_4540
ko:K00020	bthl:BG87_4543
ko:K00140	bthl:BG87_4544
ko:K01895	bthl:BG87_4545
ko:K07403	bthl:BG87_4548
ko:K07044	bthl:BG87_4552
ko:K06901	bthl:BG87_4556
ko:K16088	bthl:BG87_4564
ko:K06147	bthl:BG87_4565
ko:K00285	bthl:BG87_5348
ko:K01953	bthl:BG87_5357
ko:K00161	bthl:BG87_5362
ko:K00162	bthl:BG87_5363
ko:K00627	bthl:BG87_5365
ko:K00101	bthl:BG87_5364
ko:K01753	bthl:BG87_5370
ko:K07169	bthl:BG87_5373
ko:K11906	bthl:BG87_5376
ko:K11893	bthl:BG87_5377
ko:K00457	bthl:BG87_778
ko:K03719	bthl:BG87_779
ko:K02613	bthl:BG87_783
ko:K02612	bthl:BG87_784
ko:K02611	bthl:BG87_785
ko:K02610	bthl:BG87_786
ko:K02609	bthl:BG87_787
ko:K07483	bthl:BG87_797
ko:K02358	bthl:BG87_802
ko:K03073	bthl:BG87_804
ko:K02601	bthl:BG87_805
ko:K02867	bthl:BG87_806
ko:K02863	bthl:BG87_807
ko:K02864	bthl:BG87_808
ko:K02935	bthl:BG87_809
ko:K03043	bthl:BG87_810
ko:K03046	bthl:BG87_811
ko:K03654	bthl:BG87_812
ko:K02950	bthl:BG87_813
ko:K02992	bthl:BG87_814
ko:K02355	bthl:BG87_815
ko:K02358	bthl:BG87_816
ko:K02946	bthl:BG87_817
ko:K02906	bthl:BG87_818
ko:K02926	bthl:BG87_819
ko:K02892	bthl:BG87_820
ko:K02886	bthl:BG87_821
ko:K02965	bthl:BG87_822
ko:K02890	bthl:BG87_823
ko:K02982	bthl:BG87_824
ko:K02878	bthl:BG87_825
ko:K02904	bthl:BG87_826
ko:K02961	bthl:BG87_827
ko:K02874	bthl:BG87_828
ko:K02895	bthl:BG87_829
ko:K02931	bthl:BG87_830
ko:K02954	bthl:BG87_831
ko:K02994	bthl:BG87_832
ko:K02933	bthl:BG87_833
ko:K02881	bthl:BG87_834
ko:K02988	bthl:BG87_835
ko:K02907	bthl:BG87_836
ko:K02876	bthl:BG87_837
ko:K03584	bthl:BG87_1630
ko:K03474	bthl:BG87_1631
ko:K00997	bthl:BG87_1632
ko:K01207	bthl:BG87_1633
ko:K02356	bthl:BG87_1635
ko:K03703	bthl:BG87_1637
ko:K06911	bthl:BG87_1647
ko:K02348	bthl:BG87_1648
ko:K07152	bthl:BG87_1651
ko:K01087	bthl:BG87_1652
ko:K00697	bthl:BG87_1653
ko:K06147	bthl:BG87_1660
ko:K08983	bthl:BG87_1663
ko:K01999	bthl:BG87_1665
ko:K01114	bthl:BG87_1666
ko:K00868	bthl:BG87_1667
ko:K00720	bthl:BG87_1670
ko:K10016	bthl:BG87_1675
ko:K10015	bthl:BG87_1676
ko:K10017	bthl:BG87_1677
ko:K00673	bthl:BG87_1680
ko:K00673	bthl:BG87_1681
ko:K06447	bthl:BG87_1682
ko:K01484	bthl:BG87_1683
ko:K05526	bthl:BG87_1684
ko:K00799	bthl:BG87_1685
ko:K07287	bthl:BG87_2472
ko:K07497	bthl:BG87_2478
ko:K07483	bthl:BG87_2479
ko:K04764	bthl:BG87_2483
ko:K01890	bthl:BG87_2484
ko:K01889	bthl:BG87_2485
ko:K02887	bthl:BG87_2486
ko:K02916	bthl:BG87_2487
ko:K02520	bthl:BG87_2488
