ko:K07407	snm:SP70585_2287
ko:K02028	snm:SP70585_1501
ko:K02028	snm:SP70585_1539
ko:K02031	snm:SP70585_1378
ko:K02032	snm:SP70585_1378
ko:K01992	snm:SP70585_1462
ko:K06896	snm:SP70585_0804
ko:K01598	snm:SP70585_1277
ko:K02818	snm:SP70585_1939
ko:K02819	snm:SP70585_1939
ko:K01186	snm:SP70585_1731
ko:K03574	snm:SP70585_1298
ko:K02242	snm:SP70585_2334
ko:K12308	snm:SP70585_0126
ko:K02236	snm:SP70585_1869
ko:K00703	snm:SP70585_1194
ko:K12251	snm:SP70585_0961
ko:K07105	snm:SP70585_1281
ko:K12292	snm:SP70585_0109
ko:K12267	snm:SP70585_1398
ko:K12574	snm:SP70585_0201
ko:K06148	snm:SP70585_0211
ko:K07052	snm:SP70585_0217
ko:K02030	snm:SP70585_0222
ko:K00962	snm:SP70585_0652
ko:K00640	snm:SP70585_0653
ko:K01883	snm:SP70585_0655
ko:K11145	snm:SP70585_0656
ko:K02003	snm:SP70585_0662
ko:K01624	snm:SP70585_0667
ko:K07462	snm:SP70585_0673
ko:K07146	snm:SP70585_0154
ko:K03449	snm:SP70585_0160
ko:K01091	snm:SP70585_0167
ko:K01752	snm:SP70585_0168
ko:K01752	snm:SP70585_0169
ko:K02003	snm:SP70585_0174
ko:K01755	snm:SP70585_0178
ko:K00566	snm:SP70585_0198
ko:K03495	snm:SP70585_0200
ko:K03789	snm:SP70585_0206
ko:K01409	snm:SP70585_0207
ko:K00790	snm:SP70585_1155
ko:K01265	snm:SP70585_1158
ko:K03657	snm:SP70585_1161
ko:K03630	snm:SP70585_1163
ko:K07010	snm:SP70585_1162
ko:K01926	snm:SP70585_1164
ko:K04487	snm:SP70585_1167
ko:K00948	snm:SP70585_1168
ko:K07816	snm:SP70585_1170
ko:K00858	snm:SP70585_1171
ko:K06180	snm:SP70585_1172
ko:K09747	snm:SP70585_1174
ko:K02888	snm:SP70585_1176
ko:K07584	snm:SP70585_1177
ko:K02899	snm:SP70585_1178
ko:K11753	snm:SP70585_1181
ko:K03530	snm:SP70585_1184
ko:K06158	snm:SP70585_1185
ko:K01972	snm:SP70585_1188
ko:K00700	snm:SP70585_1191
ko:K00975	snm:SP70585_1192
ko:K00975	snm:SP70585_1193
ko:K00865	snm:SP70585_1198
ko:K01689	snm:SP70585_1199
