ko:K09796	nmz:NMBNZ0533_1530
ko:K02483	nmz:NMBNZ0533_0639
ko:K21345	nmz:NMBNZ0533_2007
ko:K18929	nmz:NMBNZ0533_1416
ko:K14742	nmz:NMBNZ0533_0456
ko:K04771	nmz:NMBNZ0533_0570
ko:K18133	nmz:NMBNZ0533_1971
ko:K07482	nmz:NMBNZ0533_0011
ko:K18928	nmz:NMBNZ0533_1414
ko:K07319	nmz:NMBNZ0533_0312
ko:K16087	nmz:NMBNZ0533_0334
ko:K18138	nmz:NMBNZ0533_1690
ko:K07040	nmz:NMBNZ0533_0420
ko:K07056	nmz:NMBNZ0533_0422
ko:K03217	nmz:NMBNZ0533_0423
ko:K08998	nmz:NMBNZ0533_0424
ko:K03536	nmz:NMBNZ0533_0425
ko:K02914	nmz:NMBNZ0533_0426
ko:K02313	nmz:NMBNZ0533_0427
ko:K02338	nmz:NMBNZ0533_0428
ko:K00937	nmz:NMBNZ0533_0430
ko:K07726	nmz:NMBNZ0533_0437
ko:K03075	nmz:NMBNZ0533_0440
ko:K01803	nmz:NMBNZ0533_0441
ko:K00573	nmz:NMBNZ0533_0443
ko:K14682	nmz:NMBNZ0533_0451
ko:K00762	nmz:NMBNZ0533_0453
ko:K03789	nmz:NMBNZ0533_0455
ko:K01624	nmz:NMBNZ0533_0458
ko:K03733	nmz:NMBNZ0533_0459
ko:K01662	nmz:NMBNZ0533_0460
ko:K06168	nmz:NMBNZ0533_0461
ko:K01845	nmz:NMBNZ0533_0462
ko:K13288	nmz:NMBNZ0533_0463
ko:K02687	nmz:NMBNZ0533_0464
ko:K01961	nmz:NMBNZ0533_0465
ko:K02160	nmz:NMBNZ0533_0466
ko:K07568	nmz:NMBNZ0533_0467
ko:K03923	nmz:NMBNZ0533_0468
ko:K01744	nmz:NMBNZ0533_1246
ko:K06980	nmz:NMBNZ0533_1251
ko:K14058	nmz:NMBNZ0533_1252
ko:K09823	nmz:NMBNZ0533_1257
ko:K00865	nmz:NMBNZ0533_1259
ko:K09795	nmz:NMBNZ0533_1264
ko:K02168	nmz:NMBNZ0533_1267
ko:K03723	nmz:NMBNZ0533_1271
ko:K01579	nmz:NMBNZ0533_1272
ko:K01627	nmz:NMBNZ0533_1273
ko:K01689	nmz:NMBNZ0533_1275
ko:K05589	nmz:NMBNZ0533_1276
ko:K11107	nmz:NMBNZ0533_1277
ko:K00655	nmz:NMBNZ0533_1283
ko:K08307	nmz:NMBNZ0533_1286
ko:K00945	nmz:NMBNZ0533_1289
ko:K02945	nmz:NMBNZ0533_1290
ko:K05788	nmz:NMBNZ0533_1291
ko:K01070	nmz:NMBNZ0533_1294
ko:K01940	nmz:NMBNZ0533_2059
ko:K07862	nmz:NMBNZ0533_2063
ko:K09800	nmz:NMBNZ0533_2065
ko:K03305	nmz:NMBNZ0533_2066
ko:K02836	nmz:NMBNZ0533_2067
ko:K07001	nmz:NMBNZ0533_2068
ko:K15977	nmz:NMBNZ0533_2069
ko:K09930	nmz:NMBNZ0533_2071
ko:K09929	nmz:NMBNZ0533_2072
ko:K03088	nmz:NMBNZ0533_2073
ko:K07566	nmz:NMBNZ0533_2076
ko:K01945	nmz:NMBNZ0533_2077
ko:K03522	nmz:NMBNZ0533_2080
ko:K03521	nmz:NMBNZ0533_2081
ko:K02841	nmz:NMBNZ0533_2082
ko:K08281	nmz:NMBNZ0533_2083
ko:K00134	nmz:NMBNZ0533_2085
ko:K03555	nmz:NMBNZ0533_2086
ko:K01955	nmz:NMBNZ0533_0470
ko:K01956	nmz:NMBNZ0533_0474
ko:K01938	nmz:NMBNZ0533_0483
ko:K06942	nmz:NMBNZ0533_0484
ko:K01866	nmz:NMBNZ0533_0488
ko:K11753	nmz:NMBNZ0533_0489
ko:K01870	nmz:NMBNZ0533_0490
ko:K03101	nmz:NMBNZ0533_0491
ko:K03527	nmz:NMBNZ0533_0492
ko:K01091	nmz:NMBNZ0533_0493
ko:K02337	nmz:NMBNZ0533_0497
ko:K07053	nmz:NMBNZ0533_0500
ko:K00835	nmz:NMBNZ0533_0501
ko:K11752	nmz:NMBNZ0533_0510
ko:K07738	nmz:NMBNZ0533_0511
ko:K01735	nmz:NMBNZ0533_0513
ko:K00891	nmz:NMBNZ0533_0514
ko:K02666	nmz:NMBNZ0533_0515
ko:K02662	nmz:NMBNZ0533_0519
ko:K05366	nmz:NMBNZ0533_0520
ko:K06916	nmz:NMBNZ0533_1295
ko:K00940	nmz:NMBNZ0533_1296
ko:K06941	nmz:NMBNZ0533_1297
ko:K02656	nmz:NMBNZ0533_1298
ko:K01358	nmz:NMBNZ0533_1300
ko:K03545	nmz:NMBNZ0533_1301
ko:K03466	nmz:NMBNZ0533_1302
ko:K02939	nmz:NMBNZ0533_1308
ko:K02963	nmz:NMBNZ0533_1309
ko:K02686	nmz:NMBNZ0533_1310
ko:K02990	nmz:NMBNZ0533_1311
ko:K00384	nmz:NMBNZ0533_1312
ko:K03703	nmz:NMBNZ0533_1314
ko:K03439	nmz:NMBNZ0533_1316
ko:K03702	nmz:NMBNZ0533_1320
ko:K03797	nmz:NMBNZ0533_1321
ko:K05805	nmz:NMBNZ0533_1323
ko:K07735	nmz:NMBNZ0533_1324
ko:K07447	nmz:NMBNZ0533_1325
ko:K01881	nmz:NMBNZ0533_1327
ko:K00163	nmz:NMBNZ0533_1328
ko:K00627	nmz:NMBNZ0533_1329
ko:K00382	nmz:NMBNZ0533_1331
ko:K09977	nmz:NMBNZ0533_1336
ko:K03500	nmz:NMBNZ0533_1338
