ko:K18929	cji:CJSA_0067
ko:K10040	cji:CJSA_0864
ko:K06921	cji:CJSA_0748
ko:K12574	cji:CJSA_1619
ko:K18928	cji:CJSA_0068
ko:K02109	cji:CJSA_0093
ko:K02109	cji:CJSA_0094
ko:K02113	cji:CJSA_0095
ko:K02111	cji:CJSA_0096
ko:K02115	cji:CJSA_0097
ko:K02112	cji:CJSA_0098
ko:K02114	cji:CJSA_0099
ko:K03832	cji:CJSA_0102
ko:K03641	cji:CJSA_0103
ko:K03640	cji:CJSA_0104
ko:K03775	cji:CJSA_0106
ko:K00645	cji:CJSA_0107
ko:K07042	cji:CJSA_0112
ko:K06204	cji:CJSA_0116
ko:K00783	cji:CJSA_0117
ko:K01963	cji:CJSA_0118
ko:K07277	cji:CJSA_0120
ko:K02535	cji:CJSA_0123
ko:K00872	cji:CJSA_0125
ko:K02519	cji:CJSA_0127
ko:K02834	cji:CJSA_0128
ko:K09748	cji:CJSA_0129
ko:K09816	cji:CJSA_0132
ko:K09817	cji:CJSA_0133
ko:K07093	cji:CJSA_0136
ko:K00384	cji:CJSA_0137
ko:K03671	cji:CJSA_0138
ko:K07460	cji:CJSA_0139
ko:K00003	cji:CJSA_0140
ko:K14261	cji:CJSA_0141
ko:K03218	cji:CJSA_0144
ko:K07056	cji:CJSA_0145
ko:K02909	cji:CJSA_0146
ko:K00602	cji:CJSA_0898
ko:K05801	cji:CJSA_0899
ko:K01952	cji:CJSA_0900
ko:K03650	cji:CJSA_0901
ko:K03217	cji:CJSA_0903
ko:K03536	cji:CJSA_0905
ko:K02914	cji:CJSA_0906
ko:K07107	cji:CJSA_0910
ko:K15257	cji:CJSA_0919
ko:K09861	cji:CJSA_0927
ko:K00611	cji:CJSA_0937
ko:K01698	cji:CJSA_0938
ko:K03501	cji:CJSA_0940
ko:K03086	cji:CJSA_0944
ko:K08296	cji:CJSA_0945
ko:K01735	cji:CJSA_0951
ko:K09795	cji:CJSA_0578
ko:K02217	cji:CJSA_0580
ko:K02040	cji:CJSA_0581
ko:K02037	cji:CJSA_0582
ko:K02038	cji:CJSA_0583
ko:K02036	cji:CJSA_0584
ko:K07043	cji:CJSA_0588
ko:K04656	cji:CJSA_0590
ko:K04653	cji:CJSA_0592
ko:K04654	cji:CJSA_0593
ko:K04651	cji:CJSA_0595
ko:K02340	cji:CJSA_0597
ko:K12573	cji:CJSA_0598
ko:K00053	cji:CJSA_0599
ko:K09798	cji:CJSA_0600
ko:K04096	cji:CJSA_0601
ko:K07447	cji:CJSA_0602
ko:K01876	cji:CJSA_0607
ko:K00858	cji:CJSA_0608
ko:K03631	cji:CJSA_0609
ko:K03424	cji:CJSA_0611
ko:K08307	cji:CJSA_0612
ko:K03642	cji:CJSA_0613
ko:K03270	cji:CJSA_0614
ko:K09774	cji:CJSA_0616
ko:K03978	cji:CJSA_0617
ko:K05515	cji:CJSA_0619
ko:K03305	cji:CJSA_0621
ko:K03305	cji:CJSA_0623
ko:K03667	cji:CJSA_0627
ko:K01419	cji:CJSA_0628
ko:K02939	cji:CJSA_0629
ko:K01940	cji:CJSA_0630
ko:K06925	cji:CJSA_0632
ko:K06041	cji:CJSA_1368
ko:K10107	cji:CJSA_1370
ko:K09689	cji:CJSA_1371
ko:K09688	cji:CJSA_1372
ko:K09979	cji:CJSA_1373
ko:K04075	cji:CJSA_1377
ko:K02836	cji:CJSA_1379
ko:K06176	cji:CJSA_1381
ko:K00946	cji:CJSA_1382
ko:K02394	cji:CJSA_1386
ko:K02396	cji:CJSA_1390
ko:K07090	cji:CJSA_1392
ko:K02455	cji:CJSA_1393
ko:K01714	cji:CJSA_1396
ko:K02453	cji:CJSA_1397
ko:K03737	cji:CJSA_1399
ko:K01091	cji:CJSA_1400
ko:K02996	cji:CJSA_1402
ko:K02871	cji:CJSA_1403
ko:K03582	cji:CJSA_1404
ko:K00406	cji:CJSA_1410
ko:K00407	cji:CJSA_1411
ko:K00405	cji:CJSA_1412
ko:K00404	cji:CJSA_1413
ko:K09792	cji:CJSA_1416
ko:K01956	cji:CJSA_1417
ko:K09761	cji:CJSA_0147
ko:K01737	cji:CJSA_0150
ko:K03639	cji:CJSA_0152
ko:K03179	cji:CJSA_0155
ko:K00791	cji:CJSA_0156
ko:K04564	cji:CJSA_0159
ko:K02011	cji:CJSA_0164
ko:K02012	cji:CJSA_0165
ko:K03561	cji:CJSA_0169
ko:K03832	cji:CJSA_0171
ko:K06193	cji:CJSA_0175
ko:K11175	cji:CJSA_0177
ko:K07391	cji:CJSA_0180
ko:K01462	cji:CJSA_0181
ko:K01358	cji:CJSA_0182
ko:K03545	cji:CJSA_0183
ko:K01495	cji:CJSA_0184
ko:K02412	cji:CJSA_0185
ko:K00764	cji:CJSA_0186
ko:K00215	cji:CJSA_0187
ko:K07478	cji:CJSA_0188
ko:K06153	cji:CJSA_0196
ko:K01868	cji:CJSA_0197
ko:K02520	cji:CJSA_0198
ko:K00145	cji:CJSA_0201
ko:K09944	cji:CJSA_0952
ko:K00773	cji:CJSA_0953
ko:K01996	cji:CJSA_0957
ko:K01995	cji:CJSA_0958
ko:K01998	cji:CJSA_0959
ko:K01997	cji:CJSA_0960
ko:K01999	cji:CJSA_0961
ko:K01999	cji:CJSA_0962
ko:K00133	cji:CJSA_0966
ko:K09860	cji:CJSA_0969
ko:K02469	cji:CJSA_0970
ko:K03596	cji:CJSA_0973
ko:K03686	cji:CJSA_0977
ko:K03588	cji:CJSA_0981
ko:K02563	cji:CJSA_0982
ko:K03449	cji:CJSA_0983
ko:K00788	cji:CJSA_0986
ko:K03150	cji:CJSA_0987
ko:K03149	cji:CJSA_0988
ko:K03154	cji:CJSA_0990
ko:K06895	cji:CJSA_0992
ko:K12410	cji:CJSA_0993
ko:K07456	cji:CJSA_0995
ko:K01924	cji:CJSA_0997
ko:K06861	cji:CJSA_0633
ko:K03092	cji:CJSA_0634
ko:K01547	cji:CJSA_0638
ko:K01548	cji:CJSA_0641
ko:K07646	cji:CJSA_0642
ko:K03702	cji:CJSA_0644
ko:K02456	cji:CJSA_0647
ko:K04066	cji:CJSA_0648
ko:K02393	cji:CJSA_0651
ko:K13788	cji:CJSA_0652
ko:K00925	cji:CJSA_0653
ko:K03438	cji:CJSA_0657
ko:K03770	cji:CJSA_0658
ko:K03590	cji:CJSA_0659
ko:K03531	cji:CJSA_0660
ko:K02392	cji:CJSA_0661
ko:K02392	cji:CJSA_0662
ko:K01915	cji:CJSA_0663
ko:K08303	cji:CJSA_0665
ko:K01588	cji:CJSA_0666
ko:K01878	cji:CJSA_0668
ko:K07164	cji:CJSA_0670
ko:K02527	cji:CJSA_0671
ko:K06180	cji:CJSA_0672
ko:K03106	cji:CJSA_0673
ko:K02959	cji:CJSA_0674
ko:K06960	cji:CJSA_0675
ko:K02860	cji:CJSA_0676
ko:K00554	cji:CJSA_0677
ko:K02884	cji:CJSA_0678
ko:K07127	cji:CJSA_0679
ko:K01626	cji:CJSA_0680
ko:K02337	cji:CJSA_0682
ko:K06997	cji:CJSA_0683
ko:K02406	cji:CJSA_0684
ko:K02493	cji:CJSA_0686
ko:K09804	cji:CJSA_1418
ko:K01939	cji:CJSA_1421
ko:K07112	cji:CJSA_1422
ko:K13821	cji:CJSA_1425
ko:K01008	cji:CJSA_1426
ko:K02379	cji:CJSA_1430
ko:K00123	cji:CJSA_1433
ko:K13747	cji:CJSA_1436
ko:K03636	cji:CJSA_1438
ko:K03750	cji:CJSA_1440
ko:K01933	cji:CJSA_1445
ko:K00859	cji:CJSA_1446
ko:K01778	cji:CJSA_1447
ko:K07133	cji:CJSA_1449
ko:K04047	cji:CJSA_1450
ko:K01810	cji:CJSA_1451
ko:K00963	cji:CJSA_1452
ko:K01895	cji:CJSA_1453
ko:K05773	cji:CJSA_1455
ko:K05772	cji:CJSA_1456
ko:K07160	cji:CJSA_1457
ko:K03923	cji:CJSA_1461
ko:K03098	cji:CJSA_1463
ko:K13979	cji:CJSA_1464
ko:K01153	cji:CJSA_1465
ko:K00930	cji:CJSA_0203
ko:K00573	cji:CJSA_0205
ko:K00763	cji:CJSA_0207
ko:K00762	cji:CJSA_0210
ko:K02838	cji:CJSA_0211
ko:K03075	cji:CJSA_0212
ko:K01673	cji:CJSA_0214
ko:K13819	cji:CJSA_0216
ko:K04487	cji:CJSA_0217
ko:K02916	cji:CJSA_0221
ko:K02887	cji:CJSA_0222
ko:K03637	cji:CJSA_0229
ko:K01142	cji:CJSA_0232
ko:K03760	cji:CJSA_0233
ko:K00901	cji:CJSA_0234
ko:K01465	cji:CJSA_0236
ko:K07238	cji:CJSA_0240
ko:K03532	cji:CJSA_0242
ko:K00826	cji:CJSA_0246
ko:K01821	cji:CJSA_0247
ko:K03564	cji:CJSA_0248
ko:K09765	cji:CJSA_0249
ko:K02372	cji:CJSA_0250
ko:K00677	cji:CJSA_0251
ko:K03544	cji:CJSA_0252
ko:K03569	cji:CJSA_0253
ko:K03570	cji:CJSA_0254
ko:K01955	cji:CJSA_0255
ko:K03602	cji:CJSA_1000
ko:K01870	cji:CJSA_1004
ko:K00995	cji:CJSA_1009
ko:K11749	cji:CJSA_1010
ko:K02990	cji:CJSA_1012
ko:K02963	cji:CJSA_1014
ko:K01338	cji:CJSA_1015
ko:K05807	cji:CJSA_1016
ko:K13626	cji:CJSA_1017
ko:K00286	cji:CJSA_1018
ko:K00788	cji:CJSA_1023
ko:K00941	cji:CJSA_1024
ko:K06923	cji:CJSA_1026
ko:K03723	cji:CJSA_1027
ko:K11754	cji:CJSA_1030
ko:K01869	cji:CJSA_1033
ko:K03074	cji:CJSA_1034
ko:K03072	cji:CJSA_1035
ko:K03210	cji:CJSA_1036
ko:K03820	cji:CJSA_1037
ko:K00789	cji:CJSA_1038
ko:K07862	cji:CJSA_1039
ko:K00609	cji:CJSA_1040
ko:K08602	cji:CJSA_1041
ko:K03657	cji:CJSA_1043
ko:K03563	cji:CJSA_1045
ko:K00919	cji:CJSA_1046
ko:K03664	cji:CJSA_1047
ko:K06891	cji:CJSA_1049
ko:K03694	cji:CJSA_1050
