ko:K03741	fpy:FPG101_05950
ko:K14236	fpy:FPG101_06535
ko:K14237	fpy:FPG101_07260
ko:K14237	fpy:FPG101_08925
ko:K14219	fpy:FPG101_07680
ko:K14232	fpy:FPG101_07685
ko:K14232	fpy:FPG101_10135
ko:K14233	fpy:FPG101_07690
ko:K21029	fpy:FPG101_02390
ko:K08151	fpy:FPG101_03060
ko:K18682	fpy:FPG101_10295
ko:K01156	fpy:FPG101_02705
ko:K09691	fpy:FPG101_10925
ko:K12573	fpy:FPG101_00005
ko:K01633	fpy:FPG101_00025
ko:K01885	fpy:FPG101_00055
ko:K03495	fpy:FPG101_00070
ko:K06142	fpy:FPG101_00080
ko:K02341	fpy:FPG101_00115
ko:K00927	fpy:FPG101_00150
ko:K08307	fpy:FPG101_00155
ko:K02348	fpy:FPG101_00160
ko:K07146	fpy:FPG101_00170
ko:K01640	fpy:FPG101_04785
ko:K00088	fpy:FPG101_04810
ko:K02428	fpy:FPG101_04815
ko:K05592	fpy:FPG101_04820
ko:K07090	fpy:FPG101_04830
ko:K03671	fpy:FPG101_04850
ko:K00556	fpy:FPG101_04880
ko:K12410	fpy:FPG101_04885
ko:K01756	fpy:FPG101_04890
ko:K00639	fpy:FPG101_04895
ko:K06199	fpy:FPG101_04920
ko:K02825	fpy:FPG101_04930
ko:K00609	fpy:FPG101_04935
ko:K02945	fpy:FPG101_04945
ko:K01823	fpy:FPG101_04950
ko:K01737	fpy:FPG101_04955
ko:K03564	fpy:FPG101_04960
ko:K01809	fpy:FPG101_04970
ko:K02217	fpy:FPG101_05005
ko:K01468	fpy:FPG101_05015
ko:K03284	fpy:FPG101_05020
ko:K00566	fpy:FPG101_05045
ko:K03313	fpy:FPG101_05050
ko:K03281	fpy:FPG101_05055
ko:K00014	fpy:FPG101_05075
ko:K06970	fpy:FPG101_05080
ko:K00949	fpy:FPG101_05085
ko:K10027	fpy:FPG101_09560
ko:K15746	fpy:FPG101_09570
ko:K03088	fpy:FPG101_09590
ko:K02014	fpy:FPG101_09600
ko:K02226	fpy:FPG101_09605
ko:K02233	fpy:FPG101_09610
ko:K00768	fpy:FPG101_09615
ko:K02231	fpy:FPG101_09620
ko:K02016	fpy:FPG101_09630
ko:K02015	fpy:FPG101_09635
ko:K03088	fpy:FPG101_09645
ko:K03832	fpy:FPG101_09650
ko:K03644	fpy:FPG101_09660
ko:K00134	fpy:FPG101_09665
ko:K03783	fpy:FPG101_09675
ko:K00912	fpy:FPG101_09680
ko:K01491	fpy:FPG101_09690
ko:K03106	fpy:FPG101_09695
ko:K07231	fpy:FPG101_09705
ko:K03734	fpy:FPG101_09740
ko:K16091	fpy:FPG101_09765
ko:K16089	fpy:FPG101_09795
ko:K01887	fpy:FPG101_09810
ko:K05366	fpy:FPG101_00185
ko:K01028	fpy:FPG101_00190
ko:K01029	fpy:FPG101_00215
ko:K07501	fpy:FPG101_00225
ko:K00567	fpy:FPG101_00230
ko:K08738	fpy:FPG101_00235
ko:K01698	fpy:FPG101_00240
ko:K00228	fpy:FPG101_00250
ko:K01599	fpy:FPG101_00270
ko:K01719	fpy:FPG101_00275
ko:K01749	fpy:FPG101_00280
ko:K02492	fpy:FPG101_00285
ko:K01772	fpy:FPG101_00295
ko:K08973	fpy:FPG101_00300
ko:K01715	fpy:FPG101_00310
ko:K06950	fpy:FPG101_00315
ko:K03921	fpy:FPG101_00320
ko:K00655	fpy:FPG101_00325
ko:K07025	fpy:FPG101_00335
ko:K01874	fpy:FPG101_00340
ko:K01297	fpy:FPG101_00355
ko:K07460	fpy:FPG101_00360
ko:K02557	fpy:FPG101_00370
ko:K01142	fpy:FPG101_00375
ko:K00058	fpy:FPG101_00385
ko:K00286	fpy:FPG101_00395
ko:K06213	fpy:FPG101_00400
ko:K15633	fpy:FPG101_03110
ko:K05995	fpy:FPG101_03140
ko:K03294	fpy:FPG101_03165
ko:K03551	fpy:FPG101_03170
ko:K00029	fpy:FPG101_03180
ko:K03550	fpy:FPG101_03185
ko:K02437	fpy:FPG101_03200
ko:K01619	fpy:FPG101_03210
ko:K02005	fpy:FPG101_03220
ko:K12340	fpy:FPG101_03225
ko:K08976	fpy:FPG101_03240
ko:K07152	fpy:FPG101_03245
ko:K02067	fpy:FPG101_07780
ko:K01448	fpy:FPG101_07785
ko:K09022	fpy:FPG101_07795
ko:K02469	fpy:FPG101_07805
ko:K03696	fpy:FPG101_07810
ko:K05844	fpy:FPG101_07815
ko:K07054	fpy:FPG101_07825
ko:K06169	fpy:FPG101_07835
ko:K00819	fpy:FPG101_07850
ko:K03215	fpy:FPG101_07875
ko:K07444	fpy:FPG101_07900
ko:K07106	fpy:FPG101_07920
ko:K09861	fpy:FPG101_07955
ko:K03628	fpy:FPG101_07960
ko:K07504	fpy:FPG101_07985
ko:K07095	fpy:FPG101_08005
ko:K04487	fpy:FPG101_08010
ko:K00382	fpy:FPG101_08020
ko:K01246	fpy:FPG101_12435
ko:K03177	fpy:FPG101_12450
ko:K06153	fpy:FPG101_12455
ko:K09811	fpy:FPG101_12465
ko:K01869	fpy:FPG101_12485
ko:K06973	fpy:FPG101_12490
ko:K03624	fpy:FPG101_12500
ko:K02503	fpy:FPG101_12505
ko:K01372	fpy:FPG101_12515
ko:K02014	fpy:FPG101_12520
ko:K03269	fpy:FPG101_12525
ko:K03718	fpy:FPG101_12530
ko:K01610	fpy:FPG101_12545
ko:K03536	fpy:FPG101_12550
ko:K01961	fpy:FPG101_12555
ko:K02160	fpy:FPG101_12560
ko:K00648	fpy:FPG101_12565
ko:K02911	fpy:FPG101_12570
ko:K00097	fpy:FPG101_12580
ko:K00793	fpy:FPG101_12585
ko:K02426	fpy:FPG101_12610
ko:K11717	fpy:FPG101_12620
ko:K09015	fpy:FPG101_12630
ko:K09013	fpy:FPG101_12635
ko:K09014	fpy:FPG101_12640
ko:K13628	fpy:FPG101_12645
ko:K04755	fpy:FPG101_12670
ko:K13789	fpy:FPG101_12700
ko:K00164	fpy:FPG101_12715
ko:K02528	fpy:FPG101_00405
ko:K01875	fpy:FPG101_00425
ko:K03322	fpy:FPG101_00445
ko:K03709	fpy:FPG101_00450
ko:K07394	fpy:FPG101_00460
ko:K11749	fpy:FPG101_00470
ko:K03695	fpy:FPG101_05095
ko:K02371	fpy:FPG101_05110
ko:K07017	fpy:FPG101_05140
ko:K02428	fpy:FPG101_05145
ko:K01462	fpy:FPG101_05155
ko:K00116	fpy:FPG101_05160
ko:K07447	fpy:FPG101_05165
ko:K09164	fpy:FPG101_05185
ko:K03424	fpy:FPG101_05190
ko:K00826	fpy:FPG101_05215
ko:K04761	fpy:FPG101_05230
ko:K00382	fpy:FPG101_05245
ko:K03719	fpy:FPG101_05250
ko:K01761	fpy:FPG101_05255
ko:K03782	fpy:FPG101_05270
ko:K03386	fpy:FPG101_05275
ko:K07516	fpy:FPG101_05305
ko:K00681	fpy:FPG101_05315
ko:K01897	fpy:FPG101_05320
ko:K07305	fpy:FPG101_05325
ko:K07305	fpy:FPG101_05330
ko:K06902	fpy:FPG101_05345
ko:K01338	fpy:FPG101_05350
ko:K00945	fpy:FPG101_05360
ko:K11537	fpy:FPG101_05365
ko:K00809	fpy:FPG101_05375
ko:K00648	fpy:FPG101_09830
ko:K07090	fpy:FPG101_09835
ko:K04079	fpy:FPG101_09875
ko:K02477	fpy:FPG101_09910
ko:K01923	fpy:FPG101_09955
ko:K01992	fpy:FPG101_10005
ko:K02338	fpy:FPG101_10015
ko:K11927	fpy:FPG101_10020
ko:K01465	fpy:FPG101_10030
ko:K06999	fpy:FPG101_10040
ko:K06167	fpy:FPG101_10050
ko:K03564	fpy:FPG101_10060
ko:K10773	fpy:FPG101_10065
ko:K03088	fpy:FPG101_10095
ko:K03701	fpy:FPG101_10100
ko:K01424	fpy:FPG101_10110
ko:K13282	fpy:FPG101_10115
ko:K03802	fpy:FPG101_10120
ko:K01278	fpy:FPG101_10125
ko:K02276	fpy:FPG101_03260
ko:K02276	fpy:FPG101_03265
ko:K06888	fpy:FPG101_03285
ko:K01776	fpy:FPG101_03310
ko:K06142	fpy:FPG101_03315
ko:K07386	fpy:FPG101_00495
ko:K07152	fpy:FPG101_00510
ko:K04758	fpy:FPG101_00515
ko:K04759	fpy:FPG101_00520
ko:K00241	fpy:FPG101_00535
ko:K00239	fpy:FPG101_00540
ko:K00240	fpy:FPG101_00550
ko:K02346	fpy:FPG101_00555
ko:K11031	fpy:FPG101_00595
ko:K04485	fpy:FPG101_00630
ko:K07017	fpy:FPG101_00635
ko:K07027	fpy:FPG101_00640
ko:K01579	fpy:FPG101_00645
ko:K01918	fpy:FPG101_00650
ko:K00703	fpy:FPG101_00655
ko:K00820	fpy:FPG101_00665
ko:K02112	fpy:FPG101_00680
ko:K02114	fpy:FPG101_00685
ko:K00652	fpy:FPG101_00700
