ko:K13613	bamy:V529_16600
ko:K22222	bamy:V529_21180
ko:K01212	bamy:V529_40290
ko:K08153	bamy:V529_10170
ko:K19310	bamy:V529_07610
ko:K00130	bamy:V529_30710
ko:K21900	bamy:V529_37550
ko:K02277	bamy:V529_14330
ko:K15327	bamy:V529_16510
ko:K22044	bamy:V529_13540
ko:K18924	bamy:V529_12380
ko:K19689	bamy:V529_13760
ko:K03297	bamy:V529_04330
ko:K09692	bamy:V529_35520
ko:K14228	bamy:V529_t00180
ko:K05592	bamy:V529_38980
ko:K11741	bamy:V529_05500
ko:K18924	bamy:V529_05510
ko:K19417	bamy:V529_34310
ko:K18939	bamy:V529_02620
ko:K18926	bamy:V529_02610
ko:K01732	bamy:V529_39070
ko:K18939	bamy:V529_34910
ko:K19427	bamy:V529_34210
ko:K03296	bamy:V529_06370
ko:K00571	bamy:V529_29310
ko:K07029	bamy:V529_06380
ko:K21064	bamy:V529_10590
ko:K11638	bamy:V529_07180
ko:K01990	bamy:V529_02070
ko:K01990	bamy:V529_06410
ko:K01990	bamy:V529_08700
ko:K01990	bamy:V529_33160
ko:K01990	bamy:V529_37770
ko:K19309	bamy:V529_07600
ko:K08221	bamy:V529_07010
ko:K03892	bamy:V529_38580
ko:K22579	bamy:V529_35010
ko:K21471	bamy:V529_34690
ko:K21469	bamy:V529_01760
ko:K21472	bamy:V529_32060
ko:K21466	bamy:V529_13310
ko:K15654	bamy:V529_03270
ko:K19546	bamy:V529_37650
ko:K11691	bamy:V529_04400
ko:K19449	bamy:V529_25680
ko:K19429	bamy:V529_34180
ko:K19430	bamy:V529_34170
ko:K22579	bamy:V529_17030
ko:K01101	bamy:V529_32020
ko:K19420	bamy:V529_34300
ko:K07149	bamy:V529_34030
ko:K07149	bamy:V529_34350
ko:K13614	bamy:V529_16610
ko:K19422	bamy:V529_34270
ko:K13615	bamy:V529_16620
ko:K15468	bamy:V529_16630
ko:K01985	bamy:V529_r00090
ko:K01985	bamy:V529_r00150
ko:K01985	bamy:V529_r00060
ko:K01985	bamy:V529_r00030
ko:K01985	bamy:V529_r00120
ko:K01985	bamy:V529_r00190
ko:K14221	bamy:V529_t00230
ko:K14221	bamy:V529_t00290
ko:K14221	bamy:V529_t00700
ko:K14221	bamy:V529_t00530
ko:K01980	bamy:V529_r00020
ko:K14232	bamy:V529_t00590
ko:K14222	bamy:V529_t00370
ko:K14223	bamy:V529_t00120
ko:K14223	bamy:V529_t00160
ko:K14223	bamy:V529_t00350
ko:K14223	bamy:V529_t00430
ko:K14227	bamy:V529_t00010
ko:K14227	bamy:V529_t00490
ko:K14227	bamy:V529_t00040
ko:K14233	bamy:V529_t00030
ko:K14233	bamy:V529_t00550
ko:K12555	bamy:V529_09750
ko:K18770	bamy:V529_31160
ko:K00946	bamy:V529_05580
ko:K06925	bamy:V529_05590
ko:K03789	bamy:V529_05610
ko:K01409	bamy:V529_05620
ko:K06158	bamy:V529_05630
ko:K03637	bamy:V529_05640
ko:K01926	bamy:V529_05650
ko:K03116	bamy:V529_05660
ko:K03118	bamy:V529_05670
ko:K07052	bamy:V529_05690
ko:K04078	bamy:V529_05700
ko:K04077	bamy:V529_05710
ko:K03427	bamy:V529_05750
ko:K01154	bamy:V529_05760
ko:K01153	bamy:V529_05770
ko:K00008	bamy:V529_05790
ko:K00847	bamy:V529_05810
ko:K03969	bamy:V529_05830
ko:K06872	bamy:V529_05850
ko:K03088	bamy:V529_05900
ko:K00004	bamy:V529_05910
ko:K06324	bamy:V529_05960
ko:K11735	bamy:V529_05970
ko:K03924	bamy:V529_05980
ko:K01951	bamy:V529_06010
ko:K03088	bamy:V529_06020
ko:K06901	bamy:V529_06040
ko:K01588	bamy:V529_06090
ko:K01589	bamy:V529_06100
ko:K01756	bamy:V529_06110
ko:K00077	bamy:V529_14520
ko:K03925	bamy:V529_14540
ko:K03438	bamy:V529_14550
ko:K08724	bamy:V529_14570
ko:K08384	bamy:V529_14580
ko:K01928	bamy:V529_14590
ko:K01000	bamy:V529_14600
ko:K01925	bamy:V529_14610
ko:K03588	bamy:V529_14620
ko:K02563	bamy:V529_14630
ko:K00075	bamy:V529_14640
ko:K03589	bamy:V529_14650
ko:K03590	bamy:V529_14660
ko:K03531	bamy:V529_14670
ko:K13276	bamy:V529_14680
ko:K06383	bamy:V529_14690
ko:K03091	bamy:V529_14700
ko:K03091	bamy:V529_14710
ko:K02013	bamy:V529_14720
ko:K05810	bamy:V529_14750
ko:K06997	bamy:V529_14760
ko:K09772	bamy:V529_14770
ko:K02221	bamy:V529_14780
ko:K04074	bamy:V529_14800
ko:K01870	bamy:V529_14810
ko:K03101	bamy:V529_14830
ko:K06180	bamy:V529_14840
ko:K02825	bamy:V529_14850
ko:K02824	bamy:V529_14860
ko:K00609	bamy:V529_14870
ko:K01465	bamy:V529_14880
ko:K01956	bamy:V529_14890
ko:K01955	bamy:V529_14900
ko:K02823	bamy:V529_14910
ko:K17828	bamy:V529_14920
ko:K01591	bamy:V529_14930
ko:K00762	bamy:V529_14940
ko:K00390	bamy:V529_14960
ko:K16331	bamy:V529_14970
ko:K00958	bamy:V529_14980
ko:K00860	bamy:V529_14990
ko:K02303	bamy:V529_15000
ko:K03794	bamy:V529_15010
ko:K02304	bamy:V529_15020
ko:K01537	bamy:V529_15050
ko:K00800	bamy:V529_23440
ko:K04517	bamy:V529_23450
ko:K00817	bamy:V529_23460
ko:K01695	bamy:V529_23470
ko:K01696	bamy:V529_23480
ko:K01817	bamy:V529_23490
ko:K01609	bamy:V529_23500
ko:K00766	bamy:V529_23510
ko:K01657	bamy:V529_23520
ko:K06208	bamy:V529_23530
ko:K01735	bamy:V529_23540
ko:K01736	bamy:V529_23550
ko:K00575	bamy:V529_23560
ko:K00940	bamy:V529_23570
ko:K00805	bamy:V529_23580
ko:K03183	bamy:V529_23590
ko:K00805	bamy:V529_23600
ko:K06285	bamy:V529_23610
