ko:K18929	cjen:N755_00068
ko:K06921	cjen:N755_00812
ko:K18928	cjen:N755_00069
ko:K18139	cjen:N755_00398
ko:K14224	cjen:N755_02220
ko:K01978	cjen:N755_02605
ko:K18924	cjen:N755_00344
ko:K18682	cjen:N755_01208
ko:K02031	cjen:N755_01604
ko:K11782	cjen:N755_01335
ko:K03559	cjen:N755_01656
ko:K03559	cjen:N755_00102
ko:K03559	cjen:N755_00223
ko:K12574	cjen:N755_01739
ko:K02484	cjen:N755_01221
ko:K02484	cjen:N755_01226
ko:K02484	cjen:N755_01262
ko:K01092	cjen:N755_00120
ko:K04517	cjen:N755_00122
ko:K10041	cjen:N755_00929
ko:K00575	cjen:N755_00930
ko:K02004	cjen:N755_00951
ko:K03406	cjen:N755_00962
ko:K06346	cjen:N755_00967
ko:K02010	cjen:N755_00217
ko:K01959	cjen:N755_01043
ko:K03148	cjen:N755_01052
ko:K01439	cjen:N755_01054
ko:K00088	cjen:N755_01064
ko:K02433	cjen:N755_01065
ko:K03711	cjen:N755_00432
ko:K00245	cjen:N755_00443
ko:K07126	cjen:N755_00446
ko:K01104	cjen:N755_01258
ko:K03406	cjen:N755_00018
ko:K01916	cjen:N755_00830
ko:K02030	cjen:N755_00836
ko:K00567	cjen:N755_00853
ko:K01885	cjen:N755_00861
ko:K07098	cjen:N755_00862
ko:K01664	cjen:N755_00876
ko:K03342	cjen:N755_00877
ko:K03469	cjen:N755_01662
ko:K02067	cjen:N755_01674
ko:K02004	cjen:N755_01686
ko:K02004	cjen:N755_01687
ko:K01679	cjen:N755_01397
ko:K00769	cjen:N755_01403
ko:K02428	cjen:N755_01407
ko:K07017	cjen:N755_01409
ko:K03326	cjen:N755_01424
ko:K01760	cjen:N755_01426
ko:K06013	cjen:N755_00750
ko:K02055	cjen:N755_00754
ko:K02052	cjen:N755_00759
ko:K02030	cjen:N755_00761
ko:K03635	cjen:N755_01550
ko:K09952	cjen:N755_01554
ko:K03326	cjen:N755_01556
ko:K03796	cjen:N755_01560
ko:K06857	cjen:N755_01566
ko:K01719	cjen:N755_01085
ko:K07457	cjen:N755_01088
ko:K03177	cjen:N755_01106
ko:K03406	cjen:N755_01114
ko:K05595	cjen:N755_01115
ko:K07305	cjen:N755_01116
ko:K04652	cjen:N755_00657
ko:K04655	cjen:N755_00660
ko:K07304	cjen:N755_00669
ko:K07031	cjen:N755_01459
ko:K01854	cjen:N755_01474
ko:K04763	cjen:N755_00878
ko:K00058	cjen:N755_00900
ko:K02028	cjen:N755_00910
ko:K01082	cjen:N755_01710
ko:K09815	cjen:N755_00189
ko:K01270	cjen:N755_00986
ko:K02030	cjen:N755_00988
ko:K02242	cjen:N755_01034
ko:K00059	cjen:N755_00465
ko:K08077	cjen:N755_00478
ko:K02342	cjen:N755_00483
ko:K02028	cjen:N755_00500
ko:K03498	cjen:N755_01333
ko:K03499	cjen:N755_01334
ko:K01885	cjen:N755_01338
ko:K02566	cjen:N755_00349
ko:K09825	cjen:N755_00357
ko:K03386	cjen:N755_00369
ko:K02238	cjen:N755_01210
ko:K13640	cjen:N755_01230
ko:K03455	cjen:N755_01231
ko:K15896	cjen:N755_01366
ko:K15898	cjen:N755_01370
ko:K01409	cjen:N755_01377
ko:K01585	cjen:N755_00784
ko:K02574	cjen:N755_00802
ko:K00974	cjen:N755_00809
ko:K11085	cjen:N755_00823
ko:K00076	cjen:N755_00827
ko:K02033	cjen:N755_01606
ko:K02035	cjen:N755_01607
ko:K00674	cjen:N755_01628
ko:K03593	cjen:N755_01629
ko:K02014	cjen:N755_01637
ko:K01507	cjen:N755_00670
ko:K00939	cjen:N755_00671
ko:K01262	cjen:N755_00685
ko:K07792	cjen:N755_00700
ko:K02454	cjen:N755_01504
ko:K03286	cjen:N755_01511
ko:K03406	cjen:N755_01538
ko:K00127	cjen:N755_01541
ko:K00124	cjen:N755_01542
ko:K00616	cjen:N755_00315
ko:K03830	cjen:N755_00329
ko:K02017	cjen:N755_00334
ko:K00652	cjen:N755_00340
ko:K01784	cjen:N755_01135
ko:K02843	cjen:N755_01150
ko:K08738	cjen:N755_01155
ko:K09981	cjen:N755_01164
ko:K00016	cjen:N755_01167
ko:K03768	cjen:N755_01171
ko:K14228	cjen:N755_01693
ko:K03590	cjen:N755_00722
ko:K03531	cjen:N755_00723
ko:K02392	cjen:N755_00724
ko:K02392	cjen:N755_00725
ko:K01915	cjen:N755_00726
ko:K08303	cjen:N755_00728
ko:K01588	cjen:N755_00729
ko:K01878	cjen:N755_00731
ko:K07164	cjen:N755_00733
ko:K02527	cjen:N755_00734
ko:K06180	cjen:N755_00735
ko:K03106	cjen:N755_00736
ko:K02959	cjen:N755_00737
ko:K06960	cjen:N755_00738
ko:K02860	cjen:N755_00739
ko:K00554	cjen:N755_00740
ko:K02884	cjen:N755_00741
ko:K07127	cjen:N755_00742
ko:K01626	cjen:N755_00743
ko:K02337	cjen:N755_00745
ko:K06997	cjen:N755_00746
ko:K02406	cjen:N755_00747
ko:K02493	cjen:N755_00749
ko:K03831	cjen:N755_00752
ko:K03284	cjen:N755_00753
ko:K02054	cjen:N755_00757
ko:K02053	cjen:N755_00758
ko:K03832	cjen:N755_00775
ko:K16089	cjen:N755_00776
ko:K13747	cjen:N755_01547
ko:K03636	cjen:N755_01549
ko:K03750	cjen:N755_01551
ko:K01933	cjen:N755_01557
ko:K00859	cjen:N755_01558
ko:K01778	cjen:N755_01559
ko:K07133	cjen:N755_01561
ko:K04047	cjen:N755_01562
ko:K01810	cjen:N755_01563
ko:K00963	cjen:N755_01564
ko:K01895	cjen:N755_01565
ko:K05773	cjen:N755_01567
ko:K05772	cjen:N755_01568
ko:K07160	cjen:N755_01569
ko:K03923	cjen:N755_01573
ko:K03098	cjen:N755_01575
ko:K13979	cjen:N755_01576
ko:K01150	cjen:N755_00145
ko:K09816	cjen:N755_00187
ko:K09817	cjen:N755_00188
ko:K01925	cjen:N755_00462
ko:K01000	cjen:N755_00463
ko:K15633	cjen:N755_00464
ko:K00239	cjen:N755_00467
ko:K00240	cjen:N755_00468
ko:K03707	cjen:N755_00470
ko:K02078	cjen:N755_00471
ko:K01962	cjen:N755_00474
ko:K09794	cjen:N755_00480
ko:K02902	cjen:N755_00481
ko:K01783	cjen:N755_00482
ko:K03147	cjen:N755_00484
ko:K09778	cjen:N755_00488
ko:K06168	cjen:N755_00489
ko:K02600	cjen:N755_00491
ko:K03655	cjen:N755_00495
ko:K06886	cjen:N755_00496
ko:K02029	cjen:N755_00498
ko:K02029	cjen:N755_00499
ko:K02358	cjen:N755_00505
ko:K02913	cjen:N755_00506
ko:K01173	cjen:N755_01300
ko:K00761	cjen:N755_01336
ko:K00029	cjen:N755_01337
ko:K01961	cjen:N755_01340
ko:K02160	cjen:N755_01341
ko:K01494	cjen:N755_01342
ko:K14219	cjen:N755_01017
ko:K01153	cjen:N755_01577
ko:K01154	cjen:N755_01579
ko:K03427	cjen:N755_01581
ko:K07118	cjen:N755_01583
ko:K00343	cjen:N755_01589
ko:K00342	cjen:N755_01590
ko:K00341	cjen:N755_01591
ko:K00340	cjen:N755_01592
ko:K00339	cjen:N755_01593
ko:K00338	cjen:N755_01594
ko:K00337	cjen:N755_01595
ko:K09861	cjen:N755_00990
ko:K00611	cjen:N755_00999
ko:K01698	cjen:N755_01000
ko:K03501	cjen:N755_01002
ko:K03086	cjen:N755_01006
ko:K08296	cjen:N755_01007
ko:K01735	cjen:N755_01013
ko:K09944	cjen:N755_01014
ko:K00773	cjen:N755_01015
ko:K01996	cjen:N755_01020
ko:K01995	cjen:N755_01021
ko:K01998	cjen:N755_01022
ko:K01997	cjen:N755_01023
ko:K01999	cjen:N755_01024
ko:K01999	cjen:N755_01025
ko:K00133	cjen:N755_01029
ko:K09860	cjen:N755_01032
ko:K02469	cjen:N755_01033
ko:K02601	cjen:N755_00508
ko:K02867	cjen:N755_00509
ko:K02863	cjen:N755_00510
ko:K02864	cjen:N755_00511
ko:K02935	cjen:N755_00512
ko:K03043	cjen:N755_00513
ko:K01714	cjen:N755_00516
ko:K16849	cjen:N755_00517
ko:K16850	cjen:N755_00518
ko:K02429	cjen:N755_00521
ko:K03534	cjen:N755_00523
ko:K07248	cjen:N755_00524
ko:K02950	cjen:N755_00525
ko:K02992	cjen:N755_00526
ko:K02355	cjen:N755_00527
ko:K06940	cjen:N755_00530
ko:K01609	cjen:N755_00532
ko:K06917	cjen:N755_00534
ko:K01772	cjen:N755_00537
ko:K13017	cjen:N755_00539
ko:K01872	cjen:N755_00540
ko:K06287	cjen:N755_00541
ko:K03695	cjen:N755_00543
ko:K03797	cjen:N755_00545
ko:K01923	cjen:N755_00546
ko:K01952	cjen:N755_00547
ko:K01952	cjen:N755_00548
ko:K00655	cjen:N755_00550
ko:K06199	cjen:N755_00551
ko:K04079	cjen:N755_00552
ko:K03324	cjen:N755_00555
ko:K03324	cjen:N755_00557
ko:K03587	cjen:N755_00558
ko:K02408	cjen:N755_00559
ko:K02388	cjen:N755_00560
ko:K02387	cjen:N755_00561
ko:K15894	cjen:N755_01343
ko:K15895	cjen:N755_01344
ko:K00648	cjen:N755_01353
ko:K02500	cjen:N755_01367
ko:K02501	cjen:N755_01368
ko:K02456	cjen:N755_01376
ko:K00099	cjen:N755_01379
ko:K00981	cjen:N755_01380
ko:K03752	cjen:N755_01383
ko:K01058	cjen:N755_01384
ko:K02015	cjen:N755_01385
ko:K02015	cjen:N755_01386
ko:K02013	cjen:N755_01387
ko:K02016	cjen:N755_01388
ko:K03385	cjen:N755_01391
ko:K15876	cjen:N755_01392
ko:K00937	cjen:N755_01393
ko:K03705	cjen:N755_00777
ko:K03687	cjen:N755_00778
ko:K04043	cjen:N755_00779
ko:K00812	cjen:N755_00782
ko:K00640	cjen:N755_00783
ko:K01892	cjen:N755_00785
ko:K07093	cjen:N755_00190
ko:K00384	cjen:N755_00191
ko:K03671	cjen:N755_00192
ko:K07460	cjen:N755_00193
ko:K00003	cjen:N755_00194
ko:K14261	cjen:N755_00195
ko:K03218	cjen:N755_00198
ko:K07056	cjen:N755_00199
ko:K02909	cjen:N755_00200
ko:K09761	cjen:N755_00201
ko:K01737	cjen:N755_00203
ko:K03639	cjen:N755_00205
ko:K03179	cjen:N755_00208
ko:K00791	cjen:N755_00209
ko:K04564	cjen:N755_00213
ko:K02011	cjen:N755_00218
ko:K02012	cjen:N755_00219
ko:K16087	cjen:N755_00221
ko:K03561	cjen:N755_00222
ko:K03832	cjen:N755_00224
ko:K06193	cjen:N755_00228
ko:K11175	cjen:N755_00230
ko:K07391	cjen:N755_00233
ko:K01462	cjen:N755_00234
ko:K01358	cjen:N755_00235
ko:K03545	cjen:N755_00236
ko:K01495	cjen:N755_00237
ko:K02412	cjen:N755_00238
ko:K00764	cjen:N755_00239
ko:K00215	cjen:N755_00240
ko:K07478	cjen:N755_00241
ko:K03596	cjen:N755_01036
ko:K03686	cjen:N755_01040
ko:K03588	cjen:N755_01044
ko:K02563	cjen:N755_01045
ko:K03449	cjen:N755_01046
ko:K00788	cjen:N755_01049
ko:K03150	cjen:N755_01050
ko:K03149	cjen:N755_01051
ko:K03154	cjen:N755_01053
ko:K06895	cjen:N755_01055
ko:K12410	cjen:N755_01056
ko:K07456	cjen:N755_01058
ko:K01924	cjen:N755_01060
ko:K03602	cjen:N755_01063
ko:K01870	cjen:N755_01066
ko:K00995	cjen:N755_01071
ko:K11749	cjen:N755_01072
ko:K02990	cjen:N755_01076
ko:K02963	cjen:N755_01078
ko:K01338	cjen:N755_01079
ko:K05807	cjen:N755_01080
ko:K00286	cjen:N755_01081
ko:K07082	cjen:N755_00562
ko:K00031	cjen:N755_00564
ko:K00024	cjen:N755_00565
ko:K01903	cjen:N755_00566
ko:K01902	cjen:N755_00567
ko:K00176	cjen:N755_00568
ko:K00174	cjen:N755_00569
ko:K00175	cjen:N755_00570
ko:K00177	cjen:N755_00571
ko:K02523	cjen:N755_00574
ko:K02492	cjen:N755_00575
ko:K01881	cjen:N755_00576
ko:K01649	cjen:N755_00577
ko:K01749	cjen:N755_00578
ko:K03182	cjen:N755_00579
ko:K02407	cjen:N755_00581
ko:K02422	cjen:N755_00582
ko:K02356	cjen:N755_00584
ko:K00147	cjen:N755_00591
ko:K00384	cjen:N755_00592
ko:K14652	cjen:N755_00605
ko:K09117	cjen:N755_00606
ko:K01652	cjen:N755_00607
ko:K01653	cjen:N755_00608
ko:K02536	cjen:N755_00609
ko:K07568	cjen:N755_00610
ko:K03118	cjen:N755_00611
ko:K03117	cjen:N755_00612
ko:K08311	cjen:N755_00614
ko:K00928	cjen:N755_00615
ko:K03407	cjen:N755_01394
ko:K03551	cjen:N755_01395
ko:K00820	cjen:N755_01399
ko:K00990	cjen:N755_01400
ko:K06901	cjen:N755_01402
ko:K04754	cjen:N755_01404
ko:K07323	cjen:N755_01405
ko:K01042	cjen:N755_01411
ko:K03833	cjen:N755_01412
ko:K03981	cjen:N755_01413
ko:K03839	cjen:N755_01415
ko:K03781	cjen:N755_01418
ko:K01756	cjen:N755_01427
ko:K04758	cjen:N755_01430
ko:K00208	cjen:N755_01434
ko:K01803	cjen:N755_01435
ko:K00927	cjen:N755_01436
ko:K00134	cjen:N755_01437
ko:K00969	cjen:N755_01438
ko:K09710	cjen:N755_01439
ko:K15778	cjen:N755_01441
ko:K02415	cjen:N755_01442
ko:K00997	cjen:N755_01443
ko:K00943	cjen:N755_00786
ko:K00954	cjen:N755_00787
ko:K03186	cjen:N755_00788
ko:K02386	cjen:N755_00789
ko:K02073	cjen:N755_00792
ko:K02072	cjen:N755_00793
ko:K02071	cjen:N755_00794
ko:K01873	cjen:N755_00795
ko:K03657	cjen:N755_00797
