ko:K07498	babc:DO78_1705
ko:K13967	babc:DO78_2288
ko:K22617	babc:DO78_1985
ko:K21909	babc:DO78_2690
ko:K03446	babc:DO78_3135
ko:K13581	babc:DO78_429
ko:K00344	babc:DO78_2415
ko:K02031	babc:DO78_2614
ko:K07492	babc:DO78_450
ko:K07492	babc:DO78_467
ko:K22616	babc:DO78_1430
ko:K19713	babc:DO78_2249
ko:K14218	babc:DO78_1512
ko:K14227	babc:DO78_1513
ko:K14227	babc:DO78_2937
ko:K14218	babc:DO78_2936
ko:K14218	babc:DO78_1711
ko:K14227	babc:DO78_1712
ko:K14218	babc:DO78_1831
ko:K14218	babc:DO78_2042
ko:K14225	babc:DO78_1154
ko:K14219	babc:DO78_644
ko:K14229	babc:DO78_1232
ko:K14230	babc:DO78_1360
ko:K01271	babc:DO78_1408
ko:K07005	babc:DO78_1267
ko:K21911	babc:DO78_2694
ko:K02031	babc:DO78_2917
ko:K00130	babc:DO78_485
ko:K19231	babc:DO78_2970
ko:K19233	babc:DO78_1696
ko:K19232	babc:DO78_1
ko:K11209	babc:DO78_559
ko:K02035	babc:DO78_2914
ko:K02033	babc:DO78_2915
ko:K02034	babc:DO78_2916
ko:K01426	babc:DO78_2920
ko:K11078	babc:DO78_2922
ko:K02034	babc:DO78_2910
ko:K00249	babc:DO78_356
ko:K00001	babc:DO78_2568
ko:K00065	babc:DO78_2800
ko:K00076	babc:DO78_1491
ko:K01144	babc:DO78_1277
ko:K11079	babc:DO78_2923
ko:K22616	babc:DO78_1429
ko:K00108	babc:DO78_486
ko:K07492	babc:DO78_830
ko:K04771	babc:DO78_544
ko:K02483	babc:DO78_2140
ko:K00344	babc:DO78_2268
ko:K02483	babc:DO78_545
ko:K19270	babc:DO78_777
ko:K21686	babc:DO78_1092
ko:K13010	babc:DO78_458
ko:K11077	babc:DO78_2921
ko:K14226	babc:DO78_1476
ko:K01980	babc:DO78_1710
ko:K14230	babc:DO78_1474
ko:K01907	babc:DO78_2038
ko:K00800	babc:DO78_2044
ko:K00945	babc:DO78_2045
ko:K02945	babc:DO78_2046
ko:K06187	babc:DO78_2050
ko:K09747	babc:DO78_2051
ko:K02343	babc:DO78_2052
ko:K03426	babc:DO78_2055
ko:K04518	babc:DO78_2054
ko:K00979	babc:DO78_2056
ko:K08738	babc:DO78_2057
ko:K02297	babc:DO78_2059
ko:K02298	babc:DO78_2060
ko:K02298	babc:DO78_2061
ko:K02299	babc:DO78_2062
ko:K02300	babc:DO78_2063
ko:K07278	babc:DO78_2065
ko:K09800	babc:DO78_2066
ko:K01759	babc:DO78_2072
ko:K03593	babc:DO78_2073
ko:K01835	babc:DO78_2074
ko:K06889	babc:DO78_2076
ko:K16165	babc:DO78_2078
ko:K11068	babc:DO78_2083
ko:K04719	babc:DO78_2874
ko:K00154	babc:DO78_2877
ko:K06131	babc:DO78_2879
ko:K02837	babc:DO78_2881
ko:K13038	babc:DO78_2882
ko:K03688	babc:DO78_2883
ko:K03183	babc:DO78_2884
ko:K00761	babc:DO78_2886
ko:K03745	babc:DO78_2887
ko:K07304	babc:DO78_2888
ko:K00135	babc:DO78_2893
ko:K02034	babc:DO78_2897
ko:K02033	babc:DO78_2898
ko:K00627	babc:DO78_2900
ko:K02035	babc:DO78_2901
ko:K11381	babc:DO78_2902
ko:K00074	babc:DO78_2904
ko:K06446	babc:DO78_2906
ko:K01434	babc:DO78_2907
ko:K02035	babc:DO78_2908
ko:K05799	babc:DO78_2092
ko:K01161	babc:DO78_2462
ko:K14222	babc:DO78_2460
ko:K14220	babc:DO78_2467
ko:K19232	babc:DO78_2087
ko:K19231	babc:DO78_2969
ko:K02033	babc:DO78_2909
ko:K13642	babc:DO78_2205
ko:K02032	babc:DO78_2281
ko:K02032	babc:DO78_2895
ko:K04747	babc:DO78_2155
ko:K00529	babc:DO78_2564
ko:K00798	babc:DO78_1815
ko:K19181	babc:DO78_1886
ko:K06966	babc:DO78_381
ko:K06147	babc:DO78_384
ko:K01613	babc:DO78_385
ko:K17103	babc:DO78_386
ko:K00764	babc:DO78_388
ko:K03558	babc:DO78_389
ko:K04485	babc:DO78_390
ko:K00574	babc:DO78_392
ko:K02939	babc:DO78_393
ko:K02963	babc:DO78_395
ko:K02990	babc:DO78_396
ko:K00645	babc:DO78_397
ko:K00059	babc:DO78_398
ko:K02078	babc:DO78_399
ko:K09458	babc:DO78_400
ko:K07082	babc:DO78_401
ko:K00942	babc:DO78_403
ko:K03568	babc:DO78_404
ko:K02275	babc:DO78_406
ko:K02274	babc:DO78_407
ko:K02258	babc:DO78_409
ko:K02258	babc:DO78_410
ko:K02276	babc:DO78_411
ko:K14998	babc:DO78_413
ko:K03527	babc:DO78_414
ko:K02204	babc:DO78_415
ko:K03469	babc:DO78_416
ko:K07735	babc:DO78_419
ko:K03790	babc:DO78_421
ko:K01733	babc:DO78_423
ko:K03281	babc:DO78_428
ko:K01560	babc:DO78_430
ko:K03575	babc:DO78_431
ko:K01993	babc:DO78_1248
ko:K01430	babc:DO78_1251
ko:K01429	babc:DO78_1252
ko:K01428	babc:DO78_1253
ko:K03188	babc:DO78_1254
ko:K03189	babc:DO78_1255
ko:K03190	babc:DO78_1256
ko:K08717	babc:DO78_1257
ko:K02009	babc:DO78_1258
ko:K02007	babc:DO78_1259
ko:K16915	babc:DO78_1260
ko:K02008	babc:DO78_1261
ko:K02006	babc:DO78_1262
ko:K06199	babc:DO78_1264
ko:K06998	babc:DO78_1268
ko:K00053	babc:DO78_1273
ko:K03549	babc:DO78_1275
ko:K03474	babc:DO78_1276
ko:K01653	babc:DO78_1279
ko:K01652	babc:DO78_1280
ko:K00791	babc:DO78_1281
ko:K01079	babc:DO78_1282
ko:K07007	babc:DO78_1283
ko:K09937	babc:DO78_1285
ko:K04087	babc:DO78_1286
ko:K04088	babc:DO78_1287
ko:K07552	babc:DO78_1291
ko:K09985	babc:DO78_1293
ko:K00102	babc:DO78_1299
ko:K14162	babc:DO78_2084
ko:K14161	babc:DO78_2085
ko:K14160	babc:DO78_2086
ko:K08738	babc:DO78_2089
ko:K09794	babc:DO78_2090
ko:K00104	babc:DO78_2094
ko:K11472	babc:DO78_2095
ko:K11473	babc:DO78_2096
ko:K01239	babc:DO78_3033
ko:K01621	babc:DO78_2262
ko:K06221	babc:DO78_2097
ko:K01246	babc:DO78_2099
ko:K01892	babc:DO78_2101
ko:K02502	babc:DO78_2102
ko:K00765	babc:DO78_2103
ko:K02429	babc:DO78_2104
ko:K15977	babc:DO78_2105
ko:K01679	babc:DO78_2106
ko:K04077	babc:DO78_2108
ko:K04078	babc:DO78_2109
ko:K11753	babc:DO78_2111
ko:K01870	babc:DO78_2112
ko:K12262	babc:DO78_2114
