ko:K19405	ctlz:L2BAMS5_00711
ko:K01921	ctlz:L2BAMS5_00811
ko:K01924	ctlz:L2BAMS5_00811
ko:K14233	ctlz:L2BAMS5_00891
ko:K11645	ctlz:L2BAMS5_00219
ko:K02433	ctlz:L2BAMS5_00004
ko:K03559	ctlz:L2BAMS5_00626
ko:K03224	ctlz:L2BAMS5_00704
ko:K02417	ctlz:L2BAMS5_00707
ko:K03219	ctlz:L2BAMS5_00709
ko:K02838	ctlz:L2BAMS5_00715
ko:K09903	ctlz:L2BAMS5_00716
ko:K02357	ctlz:L2BAMS5_00717
ko:K02967	ctlz:L2BAMS5_00718
ko:K03162	ctlz:L2BAMS5_00721
ko:K09013	ctlz:L2BAMS5_00725
ko:K09015	ctlz:L2BAMS5_00726
ko:K11717	ctlz:L2BAMS5_00727
ko:K07220	ctlz:L2BAMS5_00731
ko:K03306	ctlz:L2BAMS5_00732
ko:K00927	ctlz:L2BAMS5_00733
ko:K10773	ctlz:L2BAMS5_00737
ko:K03650	ctlz:L2BAMS5_00738
ko:K01613	ctlz:L2BAMS5_00739
ko:K03070	ctlz:L2BAMS5_00741
ko:K03977	ctlz:L2BAMS5_00743
ko:K03544	ctlz:L2BAMS5_00745
ko:K01358	ctlz:L2BAMS5_00746
ko:K03545	ctlz:L2BAMS5_00747
ko:K03569	ctlz:L2BAMS5_00750
ko:K00057	ctlz:L2BAMS5_00755
ko:K02412	ctlz:L2BAMS5_00758
ko:K02411	ctlz:L2BAMS5_00759
ko:K02409	ctlz:L2BAMS5_00760
ko:K13819	ctlz:L2BAMS5_00761
ko:K04487	ctlz:L2BAMS5_00762
ko:K06178	ctlz:L2BAMS5_00764
ko:K03524	ctlz:L2BAMS5_00766
ko:K05837	ctlz:L2BAMS5_00767
ko:K01875	ctlz:L2BAMS5_00770
ko:K11752	ctlz:L2BAMS5_00771
ko:K14652	ctlz:L2BAMS5_00772
ko:K00794	ctlz:L2BAMS5_00773
ko:K03310	ctlz:L2BAMS5_00776
ko:K03466	ctlz:L2BAMS5_00780
ko:K00351	ctlz:L2BAMS5_00785
ko:K03210	ctlz:L2BAMS5_00786
ko:K00231	ctlz:L2BAMS5_00790
ko:K01599	ctlz:L2BAMS5_00792
ko:K03723	ctlz:L2BAMS5_00793
ko:K01872	ctlz:L2BAMS5_00794
ko:K00615	ctlz:L2BAMS5_00798
ko:K01241	ctlz:L2BAMS5_00799
ko:K02356	ctlz:L2BAMS5_00800
ko:K01929	ctlz:L2BAMS5_00805
ko:K01000	ctlz:L2BAMS5_00806
ko:K01925	ctlz:L2BAMS5_00807
ko:K03588	ctlz:L2BAMS5_00809
ko:K02563	ctlz:L2BAMS5_00810
ko:K06960	ctlz:L2BAMS5_00812
ko:K00791	ctlz:L2BAMS5_00815
ko:K09710	ctlz:L2BAMS5_00818
ko:K09458	ctlz:L2BAMS5_00819
ko:K00263	ctlz:L2BAMS5_00822
ko:K00655	ctlz:L2BAMS5_00824
ko:K04066	ctlz:L2BAMS5_00827
ko:K04567	ctlz:L2BAMS5_00831
ko:K01883	ctlz:L2BAMS5_00832
ko:K03536	ctlz:L2BAMS5_00834
ko:K02919	ctlz:L2BAMS5_00835
ko:K02954	ctlz:L2BAMS5_00836
ko:K03703	ctlz:L2BAMS5_00840
ko:K03555	ctlz:L2BAMS5_00841
ko:K14164	ctlz:L2BAMS5_00845
ko:K00995	ctlz:L2BAMS5_00846
ko:K00703	ctlz:L2BAMS5_00847
ko:K02897	ctlz:L2BAMS5_00849
ko:K01056	ctlz:L2BAMS5_00850
ko:K02990	ctlz:L2BAMS5_00851
ko:K02963	ctlz:L2BAMS5_00852
ko:K02939	ctlz:L2BAMS5_00853
ko:K00919	ctlz:L2BAMS5_00854
ko:K00630	ctlz:L2BAMS5_00858
ko:K08301	ctlz:L2BAMS5_00859
ko:K02911	ctlz:L2BAMS5_00862
ko:K03621	ctlz:L2BAMS5_00863
ko:K03431	ctlz:L2BAMS5_00868
ko:K00820	ctlz:L2BAMS5_00869
ko:K03834	ctlz:L2BAMS5_00870
ko:K03834	ctlz:L2BAMS5_00872
ko:K06890	ctlz:L2BAMS5_00873
ko:K03110	ctlz:L2BAMS5_00874
ko:K01903	ctlz:L2BAMS5_00875
ko:K01902	ctlz:L2BAMS5_00876
ko:K09760	ctlz:L2BAMS5_00879
ko:K00075	ctlz:L2BAMS5_00885
ko:K02520	ctlz:L2BAMS5_00887
ko:K02916	ctlz:L2BAMS5_00888
ko:K02887	ctlz:L2BAMS5_00889
ko:K01889	ctlz:L2BAMS5_00890
ko:K11720	ctlz:L2BAMS5_00893
ko:K07091	ctlz:L2BAMS5_00894
ko:K04075	ctlz:L2BAMS5_00895
ko:K03798	ctlz:L2BAMS5_00896
ko:K00962	ctlz:L2BAMS5_00897
ko:K02956	ctlz:L2BAMS5_00898
ko:K01265	ctlz:L2BAMS5_00907
ko:K03321	ctlz:L2BAMS5_00914
ko:K03527	ctlz:L2BAMS5_00917
ko:K09779	ctlz:L2BAMS5_00002
ko:K02435	ctlz:L2BAMS5_00003
ko:K02434	ctlz:L2BAMS5_00005
ko:K02517	ctlz:L2BAMS5_00011
ko:K00425	ctlz:L2BAMS5_00014
ko:K00426	ctlz:L2BAMS5_00015
ko:K07175	ctlz:L2BAMS5_00016
ko:K01870	ctlz:L2BAMS5_00021
ko:K03100	ctlz:L2BAMS5_00022
ko:K02909	ctlz:L2BAMS5_00024
ko:K02835	ctlz:L2BAMS5_00025
ko:K02493	ctlz:L2BAMS5_00026
ko:K03106	ctlz:L2BAMS5_00027
ko:K02959	ctlz:L2BAMS5_00028
ko:K00554	ctlz:L2BAMS5_00029
ko:K02884	ctlz:L2BAMS5_00030
ko:K03470	ctlz:L2BAMS5_00031
ko:K00942	ctlz:L2BAMS5_00032
ko:K01874	ctlz:L2BAMS5_00034
ko:K03581	ctlz:L2BAMS5_00035
ko:K01494	ctlz:L2BAMS5_00041
ko:K03551	ctlz:L2BAMS5_00042
ko:K01255	ctlz:L2BAMS5_00047
ko:K02340	ctlz:L2BAMS5_00049
ko:K07056	ctlz:L2BAMS5_00050
ko:K00164	ctlz:L2BAMS5_00056
ko:K00658	ctlz:L2BAMS5_00057
ko:K05810	ctlz:L2BAMS5_00058
ko:K03526	ctlz:L2BAMS5_00059
ko:K02400	ctlz:L2BAMS5_00063
ko:K02405	ctlz:L2BAMS5_00064
ko:K01866	ctlz:L2BAMS5_00065
ko:K03596	ctlz:L2BAMS5_00067
ko:K03301	ctlz:L2BAMS5_00068
ko:K00099	ctlz:L2BAMS5_00074
ko:K03629	ctlz:L2BAMS5_00077
ko:K02338	ctlz:L2BAMS5_00078
ko:K03664	ctlz:L2BAMS5_00079
ko:K03734	ctlz:L2BAMS5_00080
ko:K01491	ctlz:L2BAMS5_00081
ko:K02902	ctlz:L2BAMS5_00087
ko:K00705	ctlz:L2BAMS5_00088
ko:K04058	ctlz:L2BAMS5_00090
ko:K03230	ctlz:L2BAMS5_00091
ko:K03229	ctlz:L2BAMS5_00092
ko:K06942	ctlz:L2BAMS5_00093
ko:K11753	ctlz:L2BAMS5_00094
ko:K02834	ctlz:L2BAMS5_00096
ko:K02519	ctlz:L2BAMS5_00097
ko:K02600	ctlz:L2BAMS5_00098
ko:K02945	ctlz:L2BAMS5_00099
ko:K00384	ctlz:L2BAMS5_00100
ko:K00997	ctlz:L2BAMS5_00101
ko:K00208	ctlz:L2BAMS5_00105
ko:K03575	ctlz:L2BAMS5_00108
ko:K04077	ctlz:L2BAMS5_00111
ko:K04078	ctlz:L2BAMS5_00112
ko:K08602	ctlz:L2BAMS5_00114
ko:K03695	ctlz:L2BAMS5_00115
ko:K01783	ctlz:L2BAMS5_00123
ko:K02356	ctlz:L2BAMS5_00124
ko:K02160	ctlz:L2BAMS5_00125
ko:K01961	ctlz:L2BAMS5_00126
