ko:K07696	sad:SAAV_2456
ko:K07213	sad:SAAV_2624
ko:K13052	sad:SAAV_0454
ko:K00951	sad:SAAV_1627
ko:K19079	sad:SAAV_0623
ko:K09022	sad:SAAV_0444
ko:K07052	sad:SAAV_2375
ko:K02428	sad:SAAV_1119
ko:K00712	sad:SAAV_0528
ko:K00712	sad:SAAV_0527
ko:K00491	sad:SAAV_1981
ko:K12551	sad:SAAV_1740
ko:K04478	sad:SAAV_1924
ko:K13292	sad:SAAV_0724
ko:K01491	sad:SAAV_1028
ko:K00823	sad:SAAV_2670
ko:K19005	sad:SAAV_0680
ko:K01154	sad:SAAV_1815
ko:K01664	sad:SAAV_0675
ko:K02503	sad:SAAV_1857
ko:K01961	sad:SAAV_1519
ko:K01961	sad:SAAV_1598
ko:K11754	sad:SAAV_1648
ko:K13715	sad:SAAV_1011
ko:K08258	sad:SAAV_1975
ko:K08258	sad:SAAV_c10
ko:K04749	sad:SAAV_2119
ko:K02347	sad:SAAV_1110
ko:K05520	sad:SAAV_1925
ko:K01104	sad:SAAV_1946
ko:K01104	sad:SAAV_2170
ko:K01104	sad:SAAV_2734
ko:K06183	sad:SAAV_1763
ko:K11085	sad:SAAV_1916
ko:K03316	sad:SAAV_0593
ko:K10208	sad:SAAV_2628
ko:K10209	sad:SAAV_2627
ko:K01990	sad:SAAV_2406
ko:K02242	sad:SAAV_0713
ko:K01739	sad:SAAV_0327
ko:K01897	sad:SAAV_0199
ko:K01046	sad:SAAV_0287
ko:K01046	sad:SAAV_2743
ko:K00980	sad:SAAV_0604
ko:K11693	sad:SAAV_2326
ko:K11694	sad:SAAV_1356
ko:K11695	sad:SAAV_1357
ko:K12552	sad:SAAV_1152
ko:K12553	sad:SAAV_1544
ko:K07683	sad:SAAV_2457
ko:K03483	sad:SAAV_2211
ko:K01992	sad:SAAV_0246
ko:K01992	sad:SAAV_0247
ko:K01992	sad:SAAV_1997
ko:K01990	sad:SAAV_0170
ko:K01990	sad:SAAV_0245
ko:K01990	sad:SAAV_2579
ko:K03535	sad:SAAV_2577
ko:K08168	sad:SAAV_b4
ko:K01545	sad:SAAV_2132
ko:K07694	sad:SAAV_1949
ko:K11042	sad:SAAV_0365
ko:K04518	sad:SAAV_1982
ko:K01784	sad:SAAV_0096
ko:K01421	sad:SAAV_2713
ko:K03709	sad:SAAV_0597
ko:K02798	sad:SAAV_2212
ko:K05565	sad:SAAV_0913
ko:K00841	sad:SAAV_1014
ko:K13733	sad:SAAV_2566
ko:K01916	sad:SAAV_1979
ko:K00805	sad:SAAV_1457
ko:K07284	sad:SAAV_2593
ko:K02217	sad:SAAV_1958
ko:K03481	sad:SAAV_2386
ko:K00215	sad:SAAV_1379
ko:K09457	sad:SAAV_0689
ko:K04072	sad:SAAV_0116
ko:K13953	sad:SAAV_0569
ko:K03429	sad:SAAV_0979
ko:K03437	sad:SAAV_1103
ko:K01889	sad:SAAV_1105
ko:K01890	sad:SAAV_1106
ko:K09888	sad:SAAV_1108
ko:K07456	sad:SAAV_1111
ko:K03671	sad:SAAV_1112
ko:K03703	sad:SAAV_1114
ko:K00239	sad:SAAV_1116
ko:K00240	sad:SAAV_1117
ko:K01776	sad:SAAV_1118
ko:K07095	sad:SAAV_1120
ko:K00611	sad:SAAV_1137
ko:K00926	sad:SAAV_1138
ko:K03925	sad:SAAV_1149
ko:K03438	sad:SAAV_1150
ko:K01000	sad:SAAV_1153
ko:K01925	sad:SAAV_1154
ko:K03589	sad:SAAV_1155
ko:K03590	sad:SAAV_1156
ko:K03531	sad:SAAV_1157
ko:K05810	sad:SAAV_1158
ko:K06997	sad:SAAV_1159
ko:K09772	sad:SAAV_1160
ko:K01114	sad:SAAV_2071
ko:K02221	sad:SAAV_1161
ko:K04074	sad:SAAV_1163
ko:K01870	sad:SAAV_1165
ko:K03101	sad:SAAV_1167
ko:K06180	sad:SAAV_1168
ko:K02825	sad:SAAV_1169
ko:K00609	sad:SAAV_1171
ko:K01465	sad:SAAV_1172
ko:K01956	sad:SAAV_1173
ko:K01955	sad:SAAV_1174
ko:K01591	sad:SAAV_1175
ko:K00762	sad:SAAV_1176
ko:K01821	sad:SAAV_1343
ko:K01657	sad:SAAV_1349
ko:K00766	sad:SAAV_1351
ko:K01609	sad:SAAV_1352
ko:K01817	sad:SAAV_1353
ko:K01696	sad:SAAV_1354
ko:K01695	sad:SAAV_1355
ko:K02034	sad:SAAV_1363
ko:K02039	sad:SAAV_1367
ko:K02036	sad:SAAV_1368
ko:K02038	sad:SAAV_1369
ko:K02037	sad:SAAV_1370
ko:K02040	sad:SAAV_1371
ko:K00243	sad:SAAV_1373
ko:K00928	sad:SAAV_1376
ko:K00133	sad:SAAV_1377
ko:K01714	sad:SAAV_1378
ko:K01775	sad:SAAV_1382
ko:K01586	sad:SAAV_1383
ko:K03704	sad:SAAV_1386
ko:K01512	sad:SAAV_1388
ko:K03311	sad:SAAV_1391
ko:K00658	sad:SAAV_1396
ko:K00164	sad:SAAV_1397
ko:K02994	sad:SAAV_2298
ko:K02954	sad:SAAV_2299
ko:K02931	sad:SAAV_2300
ko:K02895	sad:SAAV_2301
ko:K02874	sad:SAAV_2302
ko:K02961	sad:SAAV_2303
ko:K02904	sad:SAAV_2304
ko:K02878	sad:SAAV_2305
ko:K02982	sad:SAAV_2306
ko:K02890	sad:SAAV_2307
ko:K02965	sad:SAAV_2308
ko:K02886	sad:SAAV_2309
ko:K02892	sad:SAAV_2310
ko:K02926	sad:SAAV_2311
ko:K02906	sad:SAAV_2312
ko:K02946	sad:SAAV_2313
ko:K06901	sad:SAAV_2315
ko:K07088	sad:SAAV_2320
ko:K03639	sad:SAAV_2331
ko:K03752	sad:SAAV_2332
ko:K03636	sad:SAAV_2333
ko:K03753	sad:SAAV_2335
ko:K03750	sad:SAAV_2336
ko:K03637	sad:SAAV_2337
ko:K03638	sad:SAAV_2338
ko:K02018	sad:SAAV_2341
ko:K02020	sad:SAAV_2342
ko:K02379	sad:SAAV_2343
ko:K03523	sad:SAAV_2345
ko:K02016	sad:SAAV_2347
ko:K08717	sad:SAAV_2349
ko:K01430	sad:SAAV_2350
ko:K01429	sad:SAAV_2351
ko:K01428	sad:SAAV_2352
