ko:K03798	smub:IM46_005
ko:K02897	smub:IM46_051
ko:K01873	smub:IM46_004
ko:K01735	smub:IM46_015
ko:K02338	smub:IM46_008
ko:K03801	smub:IM46_002
ko:K02469	smub:IM46_011
ko:K02902	smub:IM46_091
ko:K02078	smub:IM46_027
ko:K18707	smub:IM46_242
ko:K02111	smub:IM46_057
ko:K02113	smub:IM46_058
ko:K02109	smub:IM46_060
ko:K02110	smub:IM46_064
ko:K02108	smub:IM46_066
ko:K00928	smub:IM46_068
ko:K05595	smub:IM46_070
ko:K00052	smub:IM46_072
ko:K01704	smub:IM46_074
ko:K01703	smub:IM46_076
ko:K01649	smub:IM46_080
ko:K01866	smub:IM46_082
ko:K01869	smub:IM46_084
ko:K00175	smub:IM46_087
ko:K01875	smub:IM46_088
ko:K06180	smub:IM46_098
ko:K06173	smub:IM46_100
ko:K03046	smub:IM46_102
ko:K03043	smub:IM46_105
ko:K02935	smub:IM46_106
ko:K02864	smub:IM46_108
ko:K02863	smub:IM46_109
ko:K02867	smub:IM46_112
ko:K02358	smub:IM46_115
ko:K00184	smub:IM46_123
ko:K00185	smub:IM46_127
ko:K02426	smub:IM46_133
ko:K02523	smub:IM46_135
ko:K01903	smub:IM46_142
ko:K03116	smub:IM46_144
ko:K01358	smub:IM46_146
ko:K03544	smub:IM46_148
ko:K03555	smub:IM46_149
ko:K02967	smub:IM46_154
ko:K02996	smub:IM46_156
ko:K02871	smub:IM46_158
ko:K04043	smub:IM46_160
ko:K02520	smub:IM46_162
ko:K02916	smub:IM46_164
ko:K02887	smub:IM46_166
ko:K01462	smub:IM46_168
ko:K07447	smub:IM46_170
ko:K00674	smub:IM46_172
ko:K00826	smub:IM46_174
ko:K00566	smub:IM46_178
ko:K03686	smub:IM46_179
ko:K03687	smub:IM46_182
ko:K00382	smub:IM46_184
ko:K02834	smub:IM46_188
ko:K03650	smub:IM46_190
ko:K02337	smub:IM46_193
ko:K01940	smub:IM46_197
ko:K00145	smub:IM46_195
ko:K01956	smub:IM46_205
ko:K01955	smub:IM46_201
ko:K13043	smub:IM46_202
ko:K00930	smub:IM46_203
ko:K01438	smub:IM46_204
ko:K00891	smub:IM46_213
ko:K04075	smub:IM46_215
ko:K01695	smub:IM46_217
ko:K01609	smub:IM46_219
ko:K00766	smub:IM46_221
ko:K01658	smub:IM46_225
ko:K01657	smub:IM46_227
ko:K04487	smub:IM46_229
ko:K01881	smub:IM46_231
ko:K01338	smub:IM46_233
ko:K01586	smub:IM46_235
ko:K01736	smub:IM46_238
ko:K04079	smub:IM46_240
ko:K03070	smub:IM46_244
ko:K02884	smub:IM46_246
ko:K02548	smub:IM46_248
ko:K01733	smub:IM46_252
ko:K00872	smub:IM46_254
ko:K12524	smub:IM46_256
ko:K00029	smub:IM46_261
ko:K00406	smub:IM46_265
ko:K15862	smub:IM46_267
ko:K17686	smub:IM46_271
ko:K03977	smub:IM46_277
ko:K03644	smub:IM46_275
ko:K02914	smub:IM46_273
ko:K01902	smub:IM46_279
ko:K07052	smub:IM46_281
ko:K00174	smub:IM46_285
ko:K03593	smub:IM46_287
ko:K01867	smub:IM46_288
ko:K07277	smub:IM46_295
ko:K01893	smub:IM46_297
ko:K02888	smub:IM46_301
ko:K02899	smub:IM46_303
ko:K02990	smub:IM46_307
ko:K02963	smub:IM46_309
ko:K01714	smub:IM46_315
ko:K02836	smub:IM46_317
ko:K00215	smub:IM46_319
ko:K03100	smub:IM46_323
ko:K02970	smub:IM46_321
ko:K00014	smub:IM46_325
ko:K03979	smub:IM46_327
ko:K00382	smub:IM46_329
ko:K00164	smub:IM46_335
ko:K00658	smub:IM46_337
ko:K03118	smub:IM46_339
ko:K03664	smub:IM46_341
ko:K04077	smub:IM46_347
ko:K04078	smub:IM46_349
ko:K06168	smub:IM46_351
ko:K09014	smub:IM46_353
ko:K09013	smub:IM46_355
ko:K09015	smub:IM46_357
ko:K11717	smub:IM46_359
ko:K02519	smub:IM46_361
ko:K04516	smub:IM46_363
ko:K04518	smub:IM46_365
ko:K00133	smub:IM46_366
ko:K02968	smub:IM46_369
ko:K00800	smub:IM46_372
ko:K02959	smub:IM46_374
ko:K02470	smub:IM46_379
ko:K03501	smub:IM46_377
ko:K00812	smub:IM46_381
ko:K02911	smub:IM46_383
ko:K00162	smub:IM46_385
ko:K03086	smub:IM46_388
ko:K00962	smub:IM46_389
ko:K02956	smub:IM46_392
ko:K03183	smub:IM46_394
ko:K02909	smub:IM46_396
ko:K02950	smub:IM46_398
ko:K02992	smub:IM46_399
ko:K02355	smub:IM46_402
ko:K02946	smub:IM46_404
ko:K02906	smub:IM46_406
ko:K02926	smub:IM46_407
ko:K02886	smub:IM46_411
ko:K03101	smub:IM46_038
ko:K02528	smub:IM46_035
ko:K07056	smub:IM46_047
ko:K02112	smub:IM46_032
ko:K03786	smub:IM46_025
ko:K02913	smub:IM46_092
ko:K02114	smub:IM46_031
ko:K00948	smub:IM46_050
ko:K02945	smub:IM46_017
ko:K03885	smub:IM46_019
ko:K03628	smub:IM46_021
ko:K02835	smub:IM46_023
ko:K02965	smub:IM46_414
ko:K02890	smub:IM46_416
ko:K02982	smub:IM46_417
ko:K02878	smub:IM46_420
ko:K02961	smub:IM46_422
ko:K02874	smub:IM46_423
ko:K02931	smub:IM46_426
ko:K02954	smub:IM46_428
ko:K02994	smub:IM46_430
ko:K02933	smub:IM46_432
ko:K02881	smub:IM46_434
ko:K02988	smub:IM46_436
ko:K02876	smub:IM46_438
ko:K03076	smub:IM46_440
ko:K02518	smub:IM46_442
ko:K02919	smub:IM46_444
ko:K02952	smub:IM46_445
ko:K02948	smub:IM46_448
ko:K02986	smub:IM46_450
ko:K03040	smub:IM46_452
ko:K02879	smub:IM46_453
ko:K01778	smub:IM46_456
ko:K03438	smub:IM46_458
