ko:K18917	cou:Cp162_0628
ko:K01992	cou:Cp162_0325
ko:K01992	cou:Cp162_1092
ko:K01992	cou:Cp162_1604
ko:K18926	cou:Cp162_0475
ko:K01972	cou:Cp162_0868
ko:K02435	cou:Cp162_0870
ko:K02015	cou:Cp162_0875
ko:K02013	cou:Cp162_0876
ko:K02016	cou:Cp162_0877
ko:K02434	cou:Cp162_0879
ko:K06895	cou:Cp162_0881
ko:K01687	cou:Cp162_0885
ko:K01653	cou:Cp162_0889
ko:K00053	cou:Cp162_0890
ko:K00052	cou:Cp162_0895
ko:K02361	cou:Cp162_0900
ko:K01012	cou:Cp162_0904
ko:K01703	cou:Cp162_0907
ko:K01704	cou:Cp162_0908
ko:K00057	cou:Cp162_0910
ko:K01921	cou:Cp162_0911
ko:K00946	cou:Cp162_0913
ko:K03648	cou:Cp162_0914
ko:K03655	cou:Cp162_0916
ko:K00954	cou:Cp162_0919
ko:K07090	cou:Cp162_0920
ko:K02029	cou:Cp162_0923
ko:K02945	cou:Cp162_0929
ko:K00859	cou:Cp162_0932
ko:K03702	cou:Cp162_0934
ko:K03701	cou:Cp162_0939
ko:K02520	cou:Cp162_0940
ko:K02916	cou:Cp162_0941
ko:K02887	cou:Cp162_0942
ko:K03437	cou:Cp162_0944
ko:K01889	cou:Cp162_0945
ko:K01890	cou:Cp162_0946
ko:K00145	cou:Cp162_0947
ko:K00620	cou:Cp162_0948
ko:K00930	cou:Cp162_0949
ko:K00611	cou:Cp162_0951
ko:K03402	cou:Cp162_0952
ko:K01940	cou:Cp162_0953
ko:K01755	cou:Cp162_0954
ko:K09791	cou:Cp162_0955
ko:K01866	cou:Cp162_0956
ko:K06442	cou:Cp162_0961
ko:K00858	cou:Cp162_0962
ko:K03631	cou:Cp162_0963
ko:K05896	cou:Cp162_0969
ko:K01935	cou:Cp162_0970
ko:K03305	cou:Cp162_0971
ko:K00833	cou:Cp162_0972
ko:K01935	cou:Cp162_0973
ko:K06024	cou:Cp162_0974
ko:K06178	cou:Cp162_0975
ko:K00945	cou:Cp162_0976
ko:K03977	cou:Cp162_0977
ko:K02016	cou:Cp162_0982
ko:K02015	cou:Cp162_0984
ko:K02013	cou:Cp162_0985
ko:K09858	cou:Cp162_0988
ko:K03070	cou:Cp162_0991
ko:K08999	cou:Cp162_0994
ko:K03284	cou:Cp162_1003
ko:K03885	cou:Cp162_1005
ko:K03820	cou:Cp162_1014
ko:K07113	cou:Cp162_1015
ko:K02230	cou:Cp162_1016
ko:K02229	cou:Cp162_1018
ko:K06042	cou:Cp162_1019
ko:K05895	cou:Cp162_1021
ko:K05936	cou:Cp162_1022
ko:K03625	cou:Cp162_1134
ko:K02356	cou:Cp162_1135
ko:K03786	cou:Cp162_1137
ko:K01735	cou:Cp162_1138
ko:K00891	cou:Cp162_1139
ko:K01736	cou:Cp162_1140
ko:K00014	cou:Cp162_1142
ko:K07082	cou:Cp162_1143
ko:K07447	cou:Cp162_1144
ko:K01872	cou:Cp162_1145
ko:K07478	cou:Cp162_1146
ko:K01876	cou:Cp162_1148
ko:K01421	cou:Cp162_1151
ko:K01752	cou:Cp162_1155
ko:K01892	cou:Cp162_1159
ko:K11065	cou:Cp162_1161
