ko:K16238	kpy:KPNIH31_05620
ko:K02345	kpy:KPNIH31_27090
ko:K18790	kpy:KPNIH31_26525
ko:K18922	kpy:KPNIH31_20175
ko:K18923	kpy:KPNIH31_27120
ko:K19586	kpy:KPNIH31_19520
ko:K00130	kpy:KPNIH31_21550
ko:K06120	kpy:KPNIH31_22455
ko:K19278	kpy:KPNIH31_25940
ko:K19278	kpy:KPNIH31_26530
ko:K00865	kpy:KPNIH31_12635
ko:K21908	kpy:KPNIH31_22425
ko:K19162	kpy:KPNIH31_06320
ko:K02345	kpy:KPNIH31_16210
ko:K06122	kpy:KPNIH31_22445
ko:K06121	kpy:KPNIH31_22450
ko:K02345	kpy:KPNIH31_15175
ko:K19271	kpy:KPNIH31_14320
ko:K08151	kpy:KPNIH31_26550
ko:K03585	kpy:KPNIH31_25325
ko:K07497	kpy:KPNIH31_27155
ko:K18589	kpy:KPNIH31_26610
ko:K18138	kpy:KPNIH31_25330
ko:K18139	kpy:KPNIH31_25335
ko:K03553	kpy:KPNIH31_19845
ko:K03111	kpy:KPNIH31_27060
ko:K04772	kpy:KPNIH31_23155
ko:K00042	kpy:KPNIH31_22720
ko:K00146	kpy:KPNIH31_11325
ko:K19611	kpy:KPNIH31_10565
ko:K03293	kpy:KPNIH31_11550
ko:K18767	kpy:KPNIH31_23215
ko:K00526	kpy:KPNIH31_17665
ko:K18699	kpy:KPNIH31_12155
ko:K03111	kpy:KPNIH31_01555
ko:K01990	kpy:KPNIH31_08380
ko:K01990	kpy:KPNIH31_25000
ko:K19227	kpy:KPNIH31_10845
ko:K19230	kpy:KPNIH31_10830
ko:K19092	kpy:KPNIH31_26355
ko:K19611	kpy:KPNIH31_01600
ko:K19789	kpy:KPNIH31_17535
ko:K19745	kpy:KPNIH31_16645
ko:K08348	kpy:KPNIH31_13510
ko:K00108	kpy:KPNIH31_07165
ko:K00001	kpy:KPNIH31_00310
ko:K03446	kpy:KPNIH31_13020
ko:K04103	kpy:KPNIH31_18445
ko:K21430	kpy:KPNIH31_08635
ko:K01007	kpy:KPNIH31_14880
ko:K08156	kpy:KPNIH31_13475
ko:K22550	kpy:KPNIH31_04620
ko:K07713	kpy:KPNIH31_01240
