ko:K08744	mbx:BCGT_1653
ko:K12349	mbx:BCGT_0460
ko:K02483	mbx:BCGT_3625
ko:K00344	mbx:BCGT_3949
ko:K14219	mbx:BCGT_4049
ko:K02036	mbx:BCGT_0745
ko:K07497	mbx:BCGT_3296
ko:K00561	mbx:BCGT_1798
ko:K21431	mbx:BCGT_0658
ko:K22316	mbx:BCGT_2048
ko:K08884	mbx:BCGT_2751
ko:K07064	mbx:BCGT_0404
ko:K07064	mbx:BCGT_0451
ko:K07064	mbx:BCGT_0549
ko:K07064	mbx:BCGT_1793
ko:K07064	mbx:BCGT_2370
ko:K07064	mbx:BCGT_2707
ko:K07064	mbx:BCGT_3256
ko:K19311	mbx:BCGT_3069
ko:K00273	mbx:BCGT_1736
ko:K09144	mbx:BCGT_2660
ko:K00344	mbx:BCGT_2995
ko:K07493	mbx:BCGT_3299
ko:K07493	mbx:BCGT_3497
ko:K07493	mbx:BCGT_0732
ko:K07064	mbx:BCGT_2697
ko:K07064	mbx:BCGT_3184
ko:K07064	mbx:BCGT_3559
ko:K07064	mbx:BCGT_1074
ko:K07064	mbx:BCGT_1669
ko:K07064	mbx:BCGT_2332
ko:K07064	mbx:BCGT_2448
ko:K07064	mbx:BCGT_3040
ko:K17840	mbx:BCGT_0027
ko:K21688	mbx:BCGT_0824
ko:K14228	mbx:BCGT_4060
ko:K00897	mbx:BCGT_3681
ko:K22311	mbx:BCGT_2457
ko:K07068	mbx:BCGT_1441
ko:K07497	mbx:BCGT_3631
ko:K21672	mbx:BCGT_0738
ko:K14233	mbx:BCGT_4083
ko:K12132	mbx:BCGT_1911
ko:K00135	mbx:BCGT_1547
ko:K00059	mbx:BCGT_0007
ko:K00626	mbx:BCGT_0008
ko:K00240	mbx:BCGT_0012
ko:K00239	mbx:BCGT_0013
ko:K00362	mbx:BCGT_0017
ko:K00363	mbx:BCGT_0018
ko:K02231	mbx:BCGT_0019
ko:K02232	mbx:BCGT_0020
ko:K01719	mbx:BCGT_0025
ko:K02575	mbx:BCGT_0026
ko:K02016	mbx:BCGT_0029
ko:K01469	mbx:BCGT_0030
ko:K02575	mbx:BCGT_0031
ko:K18923	mbx:BCGT_0032
ko:K06218	mbx:BCGT_0033
ko:K00666	mbx:BCGT_0035
ko:K01697	mbx:BCGT_0896
ko:K01739	mbx:BCGT_0898
ko:K03624	mbx:BCGT_0899
ko:K18455	mbx:BCGT_0901
ko:K06888	mbx:BCGT_0903
ko:K11068	mbx:BCGT_0904
ko:K12503	mbx:BCGT_0905
ko:K00867	mbx:BCGT_0921
ko:K00600	mbx:BCGT_0922
ko:K03922	mbx:BCGT_0923
ko:K07175	mbx:BCGT_0924
ko:K01679	mbx:BCGT_0927
ko:K02446	mbx:BCGT_0928
ko:K07171	mbx:BCGT_0931
ko:K16045	mbx:BCGT_0934
ko:K03601	mbx:BCGT_0935
ko:K03527	mbx:BCGT_0937
ko:K06942	mbx:BCGT_0939
ko:K00036	mbx:BCGT_0949
ko:K07746	mbx:BCGT_1791
ko:K12953	mbx:BCGT_1810
ko:K03294	mbx:BCGT_1812
ko:K00038	mbx:BCGT_1815
ko:K07028	mbx:BCGT_1818
ko:K01194	mbx:BCGT_1820
ko:K07133	mbx:BCGT_1822
ko:K07483	mbx:BCGT_2648
ko:K09951	mbx:BCGT_2649
ko:K15342	mbx:BCGT_2650
ko:K19140	mbx:BCGT_2652
ko:K19139	mbx:BCGT_2653
ko:K09002	mbx:BCGT_2654
ko:K19138	mbx:BCGT_2655
ko:K07016	mbx:BCGT_2656
ko:K01692	mbx:BCGT_2665
ko:K05816	mbx:BCGT_2666
ko:K05813	mbx:BCGT_2667
ko:K05815	mbx:BCGT_2668
ko:K02834	mbx:BCGT_2671
ko:K02519	mbx:BCGT_2672
ko:K07742	mbx:BCGT_2673
ko:K02600	mbx:BCGT_2674
ko:K09748	mbx:BCGT_2675
ko:K01881	mbx:BCGT_2678
ko:K02302	mbx:BCGT_2680
ko:K02224	mbx:BCGT_2681
ko:K03404	mbx:BCGT_2682
ko:K02348	mbx:BCGT_2683
