ko:K01978	tmi:THEMA_01015
ko:K01000	tmi:THEMA_03550
ko:K01925	tmi:THEMA_03555
ko:K03588	tmi:THEMA_03560
ko:K02563	tmi:THEMA_03565
ko:K02069	tmi:THEMA_03775
ko:K06416	tmi:THEMA_03805
ko:K02013	tmi:THEMA_03810
ko:K02015	tmi:THEMA_03815
ko:K02016	tmi:THEMA_03820
ko:K03431	tmi:THEMA_03855
ko:K01465	tmi:THEMA_03045
ko:K02823	tmi:THEMA_03050
ko:K17828	tmi:THEMA_03055
ko:K01591	tmi:THEMA_03060
ko:K00762	tmi:THEMA_03065
ko:K00058	tmi:THEMA_03090
ko:K17686	tmi:THEMA_03140
ko:K08982	tmi:THEMA_03150
ko:K12308	tmi:THEMA_03175
ko:K06889	tmi:THEMA_03040
ko:K02035	tmi:THEMA_03180
ko:K01811	tmi:THEMA_03185
ko:K01818	tmi:THEMA_03190
ko:K01206	tmi:THEMA_03195
ko:K02034	tmi:THEMA_03215
ko:K02902	tmi:THEMA_03450
ko:K02033	tmi:THEMA_03220
ko:K02035	tmi:THEMA_03225
ko:K02529	tmi:THEMA_03230
ko:K03664	tmi:THEMA_03455
ko:K00847	tmi:THEMA_03245
ko:K07460	tmi:THEMA_03460
ko:K02435	tmi:THEMA_03465
ko:K03563	tmi:THEMA_03470
ko:K04096	tmi:THEMA_03475
ko:K00616	tmi:THEMA_03250
ko:K00931	tmi:THEMA_03255
ko:K03616	tmi:THEMA_03480
ko:K03617	tmi:THEMA_03485
ko:K00147	tmi:THEMA_03260
ko:K01704	tmi:THEMA_03265
ko:K01703	tmi:THEMA_03270
ko:K01647	tmi:THEMA_03275
ko:K03613	tmi:THEMA_03490
ko:K03612	tmi:THEMA_03495
ko:K03614	tmi:THEMA_03500
ko:K00096	tmi:THEMA_03300
ko:K00854	tmi:THEMA_03305
ko:K03615	tmi:THEMA_03505
ko:K01012	tmi:THEMA_03510
ko:K00975	tmi:THEMA_03525
ko:K00975	tmi:THEMA_03530
ko:K01928	tmi:THEMA_03540
ko:K01929	tmi:THEMA_03545
ko:K03530	tmi:THEMA_03395
ko:K03703	tmi:THEMA_03400
ko:K06183	tmi:THEMA_03405
ko:K03495	tmi:THEMA_03410
ko:K02338	tmi:THEMA_03415
ko:K03306	tmi:THEMA_03420
ko:K07220	tmi:THEMA_03425
ko:K01921	tmi:THEMA_03430
ko:K03168	tmi:THEMA_03435
ko:K03698	tmi:THEMA_03440
ko:K01924	tmi:THEMA_03570
ko:K07095	tmi:THEMA_03575
ko:K07088	tmi:THEMA_03580
ko:K00334	tmi:THEMA_03590
ko:K07150	tmi:THEMA_03595
ko:K03524	tmi:THEMA_03605
ko:K16787	tmi:THEMA_03615
ko:K02409	tmi:THEMA_03620
ko:K02410	tmi:THEMA_03625
ko:K02411	tmi:THEMA_03630
ko:K02412	tmi:THEMA_03635
ko:K01879	tmi:THEMA_03640
ko:K01878	tmi:THEMA_03645
ko:K00283	tmi:THEMA_03655
ko:K00282	tmi:THEMA_03660
ko:K02437	tmi:THEMA_03665
ko:K00605	tmi:THEMA_03670
ko:K00850	tmi:THEMA_03680
ko:K00873	tmi:THEMA_03685
ko:K00760	tmi:THEMA_03695
ko:K03655	tmi:THEMA_03705
ko:K02049	tmi:THEMA_03710
ko:K02050	tmi:THEMA_03715
ko:K02051	tmi:THEMA_03720
ko:K07067	tmi:THEMA_03730
ko:K04485	tmi:THEMA_03735
ko:K03696	tmi:THEMA_03740
ko:K09129	tmi:THEMA_03750
ko:K01524	tmi:THEMA_03755
ko:K04066	tmi:THEMA_03910
ko:K09116	tmi:THEMA_03920
ko:K02078	tmi:THEMA_03925
ko:K15987	tmi:THEMA_03930
ko:K03170	tmi:THEMA_03935
ko:K01251	tmi:THEMA_03940
ko:K07015	tmi:THEMA_03945
ko:K01926	tmi:THEMA_03955
ko:K01869	tmi:THEMA_03960
ko:K01839	tmi:THEMA_03965
ko:K11754	tmi:THEMA_03970
ko:K03550	tmi:THEMA_03975
ko:K08974	tmi:THEMA_03980
ko:K13789	tmi:THEMA_03995
ko:K08999	tmi:THEMA_04000
ko:K02428	tmi:THEMA_04005
ko:K13292	tmi:THEMA_04010
ko:K02340	tmi:THEMA_03870
ko:K01077	tmi:THEMA_04025
ko:K14170	tmi:THEMA_04030
ko:K07040	tmi:THEMA_04045
ko:K02911	tmi:THEMA_04050
ko:K01785	tmi:THEMA_03315
ko:K03621	tmi:THEMA_04055
ko:K00820	tmi:THEMA_04060
ko:K09710	tmi:THEMA_04065
ko:K03544	tmi:THEMA_04070
ko:K01209	tmi:THEMA_03320
ko:K09955	tmi:THEMA_03325
ko:K01409	tmi:THEMA_04075
ko:K01657	tmi:THEMA_04095
ko:K02026	tmi:THEMA_03330
ko:K13497	tmi:THEMA_04100
ko:K01609	tmi:THEMA_04105
ko:K02025	tmi:THEMA_03335
ko:K01804	tmi:THEMA_03345
ko:K01817	tmi:THEMA_04110
ko:K01696	tmi:THEMA_04115
ko:K01695	tmi:THEMA_04120
ko:K02103	tmi:THEMA_03350
ko:K06941	tmi:THEMA_04125
ko:K02406	tmi:THEMA_04145
ko:K00925	tmi:THEMA_03355
ko:K01624	tmi:THEMA_03360
ko:K01006	tmi:THEMA_03365
