ko:K02495	sene:IA1_19455
ko:K18138	sene:IA1_02520
ko:K19092	sene:IA1_14215
ko:K18923	sene:IA1_07675
ko:K10906	sene:IA1_04920
ko:K00632	sene:IA1_11920
ko:K19504	sene:IA1_22170
ko:K06148	sene:IA1_20745
ko:K19124	sene:IA1_14095
ko:K03297	sene:IA1_08190
ko:K19595	sene:IA1_01905
ko:K01990	sene:IA1_04150
ko:K08348	sene:IA1_07775
ko:K02345	sene:IA1_09325
ko:K21430	sene:IA1_04385
ko:K03111	sene:IA1_20715
ko:K18968	sene:IA1_02065
ko:K18984	sene:IA1_06885
ko:K01791	sene:IA1_19055
ko:K19611	sene:IA1_13255
ko:K00526	sene:IA1_11345
ko:K00287	sene:IA1_00440
ko:K19221	sene:IA1_08530
ko:K00254	sene:IA1_05210
ko:K14225	sene:IA1_14635
ko:K13654	sene:IA1_07865
ko:K01139	sene:IA1_18195
ko:K07274	sene:IA1_06340
ko:K19230	sene:IA1_08410
ko:K18828	sene:IA1_14610
ko:K18816	sene:IA1_08020
ko:K07012	sene:IA1_14110
ko:K04065	sene:IA1_22280
ko:K07213	sene:IA1_01920
ko:K08178	sene:IA1_01925
ko:K07316	sene:IA1_01930
ko:K01156	sene:IA1_01935
ko:K00425	sene:IA1_01940
ko:K00426	sene:IA1_01945
ko:K02014	sene:IA1_01955
ko:K03329	sene:IA1_01960
ko:K02688	sene:IA1_01970
ko:K03417	sene:IA1_01975
ko:K01720	sene:IA1_01985
ko:K01908	sene:IA1_01990
ko:K01698	sene:IA1_01995
ko:K01921	sene:IA1_02040
ko:K08161	sene:IA1_02050
ko:K00286	sene:IA1_02070
ko:K09768	sene:IA1_02075
ko:K00891	sene:IA1_02080
ko:K14591	sene:IA1_02090
ko:K09913	sene:IA1_02095
ko:K03554	sene:IA1_02100
ko:K00847	sene:IA1_02105
ko:K03547	sene:IA1_02120
ko:K07657	sene:IA1_02130
ko:K07636	sene:IA1_02135
ko:K03311	sene:IA1_02140
ko:K11736	sene:IA1_02145
ko:K03386	sene:IA1_02155
ko:K05984	sene:IA1_06460
ko:K01916	sene:IA1_06465
ko:K04064	sene:IA1_06470
ko:K02760	sene:IA1_06475
ko:K02761	sene:IA1_06480
ko:K02759	sene:IA1_06485
ko:K03490	sene:IA1_06490
ko:K01222	sene:IA1_06495
ko:K03478	sene:IA1_06500
ko:K02551	sene:IA1_11500
ko:K02552	sene:IA1_11505
ko:K05594	sene:IA1_11510
ko:K01754	sene:IA1_15695
ko:K07592	sene:IA1_15700
ko:K00865	sene:IA1_15710
ko:K01630	sene:IA1_15720
ko:K01708	sene:IA1_15725
ko:K08302	sene:IA1_15740
ko:K16370	sene:IA1_15745
ko:K02769	sene:IA1_15750
ko:K02770	sene:IA1_15750
ko:K11189	sene:IA1_15755
ko:K16371	sene:IA1_15760
ko:K02773	sene:IA1_15765
ko:K02774	sene:IA1_15770
ko:K02775	sene:IA1_15775
ko:K00094	sene:IA1_15780
ko:K02436	sene:IA1_15785
ko:K07056	sene:IA1_15790
ko:K07121	sene:IA1_15795
ko:K07460	sene:IA1_15800
ko:K12961	sene:IA1_15805
ko:K05520	sene:IA1_15820
ko:K09979	sene:IA1_15825
ko:K07461	sene:IA1_15830
ko:K03824	sene:IA1_15835
ko:K08303	sene:IA1_15845
ko:K03835	sene:IA1_15870
ko:K05592	sene:IA1_15875
ko:K05803	sene:IA1_15880
ko:K00962	sene:IA1_15885
ko:K02956	sene:IA1_15890
ko:K03177	sene:IA1_15895
ko:K02834	sene:IA1_15900
ko:K02519	sene:IA1_15905
ko:K02600	sene:IA1_15910
ko:K09748	sene:IA1_15915
ko:K01940	sene:IA1_15925
ko:K03075	sene:IA1_15935
ko:K03431	sene:IA1_15940
ko:K00796	sene:IA1_15945
ko:K03798	sene:IA1_15950
ko:K02427	sene:IA1_15955
ko:K07574	sene:IA1_15960
ko:K03624	sene:IA1_15965
ko:K03073	sene:IA1_20170
ko:K02601	sene:IA1_20175
