ko:K18929	cft:CFF04554_0888
ko:K18918	cft:CFF04554_0478
ko:K18928	cft:CFF04554_0887
ko:K18925	cft:CFF04554_1352
ko:K18924	cft:CFF04554_1353
ko:K18139	cft:CFF04554_0119
ko:K01977	cft:CFF04554_0153
ko:K15035	cft:CFF04554_0474
ko:K14237	cft:CFF04554_1712
ko:K03496	cft:CFF04554_a0011
ko:K18682	cft:CFF04554_0494
ko:K01155	cft:CFF04554_0318
ko:K19416	cft:CFF04554_1779
ko:K01990	cft:CFF04554_0260
ko:K11015	cft:CFF04554_0952
ko:K11015	cft:CFF04554_0955
ko:K14228	cft:CFF04554_0636
ko:K17248	cft:CFF04554_1399
ko:K01985	cft:CFF04554_0156
ko:K01985	cft:CFF04554_0588
ko:K01985	cft:CFF04554_0501
ko:K14229	cft:CFF04554_0597
ko:K14226	cft:CFF04554_1685
ko:K14222	cft:CFF04554_1781
ko:K11014	cft:CFF04554_0956
ko:K11013	cft:CFF04554_0957
ko:K14218	cft:CFF04554_0154
ko:K14218	cft:CFF04554_0586
ko:K04753	cft:CFF04554_1325
ko:K01978	cft:CFF04554_0090
ko:K07107	cft:CFF04554_0539
ko:K03320	cft:CFF04554_0543
ko:K04752	cft:CFF04554_0544
ko:K02914	cft:CFF04554_0545
ko:K03536	cft:CFF04554_0546
ko:K03217	cft:CFF04554_0548
ko:K06346	cft:CFF04554_0549
ko:K03650	cft:CFF04554_0550
ko:K01952	cft:CFF04554_0551
ko:K05801	cft:CFF04554_0552
ko:K00602	cft:CFF04554_0553
ko:K03406	cft:CFF04554_0557
ko:K00824	cft:CFF04554_0558
ko:K03438	cft:CFF04554_0562
ko:K01628	cft:CFF04554_0563
ko:K03770	cft:CFF04554_0564
ko:K03590	cft:CFF04554_0565
ko:K03531	cft:CFF04554_0566
ko:K03634	cft:CFF04554_0570
ko:K03070	cft:CFF04554_0571
ko:K02004	cft:CFF04554_0572
ko:K08224	cft:CFF04554_0575
ko:K00769	cft:CFF04554_0576
ko:K06901	cft:CFF04554_0577
ko:K18285	cft:CFF04554_0578
ko:K00990	cft:CFF04554_0579
ko:K00820	cft:CFF04554_0580
ko:K07112	cft:CFF04554_0581
ko:K01776	cft:CFF04554_0583
ko:K03182	cft:CFF04554_0584
ko:K01959	cft:CFF04554_0685
ko:K03686	cft:CFF04554_0688
ko:K03474	cft:CFF04554_0689
ko:K00097	cft:CFF04554_0690
ko:K03306	cft:CFF04554_0691
ko:K02397	cft:CFF04554_0692
ko:K03466	cft:CFF04554_0693
ko:K02523	cft:CFF04554_0696
ko:K02492	cft:CFF04554_0697
ko:K01881	cft:CFF04554_0698
ko:K01649	cft:CFF04554_0699
ko:K01749	cft:CFF04554_0700
ko:K03753	cft:CFF04554_0799
ko:K03841	cft:CFF04554_0800
ko:K01874	cft:CFF04554_0802
ko:K01772	cft:CFF04554_0803
ko:K02569	cft:CFF04554_0805
ko:K11784	cft:CFF04554_0807
ko:K06079	cft:CFF04554_0808
ko:K00575	cft:CFF04554_0810
ko:K03412	cft:CFF04554_0811
ko:K03550	cft:CFF04554_0813
ko:K01921	cft:CFF04554_0814
ko:K01929	cft:CFF04554_0817
ko:K00925	cft:CFF04554_0818
ko:K13788	cft:CFF04554_0819
ko:K02393	cft:CFF04554_0820
ko:K01652	cft:CFF04554_0822
ko:K01653	cft:CFF04554_0823
ko:K02536	cft:CFF04554_0824
ko:K00767	cft:CFF04554_0827
ko:K01433	cft:CFF04554_0828
ko:K03216	cft:CFF04554_0829
ko:K01879	cft:CFF04554_0832
ko:K07318	cft:CFF04554_0833
ko:K03310	cft:CFF04554_0836
ko:K02484	cft:CFF04554_0847
ko:K01940	cft:CFF04554_0848
ko:K02453	cft:CFF04554_0997
ko:K02454	cft:CFF04554_1000
ko:K02455	cft:CFF04554_1001
ko:K09117	cft:CFF04554_1004
ko:K01524	cft:CFF04554_1005
ko:K00974	cft:CFF04554_1006
ko:K00052	cft:CFF04554_1009
ko:K01704	cft:CFF04554_1010
ko:K01424	cft:CFF04554_1014
ko:K09760	cft:CFF04554_1015
ko:K07088	cft:CFF04554_1016
ko:K06193	cft:CFF04554_1017
ko:K01872	cft:CFF04554_1018
ko:K06287	cft:CFF04554_1020
ko:K05366	cft:CFF04554_1021
ko:K02884	cft:CFF04554_1023
ko:K00554	cft:CFF04554_1024
ko:K02860	cft:CFF04554_1025
ko:K06960	cft:CFF04554_1026
ko:K02959	cft:CFF04554_1027
ko:K03106	cft:CFF04554_1028
ko:K03406	cft:CFF04554_1030
ko:K06180	cft:CFF04554_1031
ko:K02527	cft:CFF04554_1032
ko:K07164	cft:CFF04554_1033
ko:K01878	cft:CFF04554_1035
ko:K01588	cft:CFF04554_1037
ko:K08303	cft:CFF04554_1038
ko:K04486	cft:CFF04554_1041
ko:K01915	cft:CFF04554_1042
ko:K09811	cft:CFF04554_1244
ko:K09812	cft:CFF04554_1245
ko:K03439	cft:CFF04554_1246
ko:K06180	cft:CFF04554_1248
ko:K05837	cft:CFF04554_1249
ko:K07152	cft:CFF04554_1250
ko:K07118	cft:CFF04554_1253
ko:K03406	cft:CFF04554_1255
ko:K02029	cft:CFF04554_1258
ko:K02028	cft:CFF04554_1259
ko:K02030	cft:CFF04554_1260
ko:K02030	cft:CFF04554_1261
ko:K00788	cft:CFF04554_1262
ko:K06153	cft:CFF04554_1263
ko:K06921	cft:CFF04554_1265
ko:K02337	cft:CFF04554_1267
ko:K13821	cft:CFF04554_1269
ko:K11928	cft:CFF04554_1270
ko:K15876	cft:CFF04554_1271
ko:K03385	cft:CFF04554_1272
ko:K03152	cft:CFF04554_1273
ko:K02356	cft:CFF04554_1274
ko:K00058	cft:CFF04554_1275
ko:K02945	cft:CFF04554_1277
ko:K03527	cft:CFF04554_1278
ko:K00800	cft:CFF04554_1279
ko:K01890	cft:CFF04554_1280
ko:K01889	cft:CFF04554_1281
ko:K02503	cft:CFF04554_1282
ko:K00962	cft:CFF04554_1284
ko:K04744	cft:CFF04554_1286
ko:K01945	cft:CFF04554_1288
ko:K03832	cft:CFF04554_1533
ko:K03559	cft:CFF04554_1534
ko:K02114	cft:CFF04554_1536
