ko:K11707	ctj:JALI_0661
ko:K13941	ctj:JALI_6171
ko:K03319	ctj:JALI_1981
ko:K01448	ctj:JALI_2631
ko:K01928	ctj:JALI_2641
ko:K03587	ctj:JALI_2651
ko:K03438	ctj:JALI_2671
ko:K02313	ctj:JALI_2701
ko:K00347	ctj:JALI_2731
ko:K00348	ctj:JALI_2741
ko:K00349	ctj:JALI_2751
ko:K00350	ctj:JALI_2761
ko:K02437	ctj:JALI_2771
ko:K03800	ctj:JALI_2801
ko:K03696	ctj:JALI_2811
ko:K00566	ctj:JALI_2821
ko:K07083	ctj:JALI_2571
ko:K01962	ctj:JALI_2601
ko:K02902	ctj:JALI_0851
ko:K00705	ctj:JALI_0861
ko:K04058	ctj:JALI_0881
ko:K03230	ctj:JALI_0891
ko:K03229	ctj:JALI_0901
ko:K06942	ctj:JALI_0911
ko:K11753	ctj:JALI_0921
ko:K02834	ctj:JALI_0941
ko:K02519	ctj:JALI_0951
ko:K02600	ctj:JALI_0961
ko:K02945	ctj:JALI_0971
ko:K00384	ctj:JALI_0981
ko:K00997	ctj:JALI_0991
ko:K00208	ctj:JALI_1031
ko:K03575	ctj:JALI_1061
ko:K04077	ctj:JALI_1091
ko:K04078	ctj:JALI_1101
ko:K08602	ctj:JALI_1111
ko:K03695	ctj:JALI_1121
ko:K01783	ctj:JALI_1201
ko:K02356	ctj:JALI_1211
ko:K02160	ctj:JALI_1221
ko:K02871	ctj:JALI_1241
ko:K02996	ctj:JALI_1251
ko:K07058	ctj:JALI_1311
ko:K06999	ctj:JALI_1351
ko:K07566	ctj:JALI_1361
ko:K09125	ctj:JALI_1391
ko:K07039	ctj:JALI_1401
ko:K02527	ctj:JALI_2021
ko:K01869	ctj:JALI_2031
ko:K01845	ctj:JALI_2041
ko:K07735	ctj:JALI_2051
ko:K08999	ctj:JALI_2061
ko:K01807	ctj:JALI_2071
ko:K03787	ctj:JALI_2121
ko:K03179	ctj:JALI_2131
ko:K03186	ctj:JALI_2141
ko:K01870	ctj:JALI_0191
