ko:K13060	yef:FORC2_1632
ko:K08723	yef:FORC2_2083
ko:K21029	yef:FORC2_2810
ko:K15634	yef:FORC2_3500
ko:K19734	yef:FORC2_1631
ko:K05802	yef:FORC2_3756
ko:K01139	yef:FORC2_4052
ko:K14231	yef:FORC2_t004
ko:K14231	yef:FORC2_t062
ko:K14232	yef:FORC2_t001
ko:K14232	yef:FORC2_t071
ko:K20866	yef:FORC2_4065
ko:K02495	yef:FORC2_4070
ko:K01046	yef:FORC2_1818
ko:K19789	yef:FORC2_1461
ko:K00344	yef:FORC2_0339
ko:K12979	yef:FORC2_2601
ko:K21430	yef:FORC2_0967
ko:K21908	yef:FORC2_0521
ko:K02081	yef:FORC2_2296
ko:K03892	yef:FORC2_0787
ko:K01271	yef:FORC2_3834
ko:K03973	yef:FORC2_2142
ko:K00632	yef:FORC2_3836
ko:K21365	yef:FORC2_3042
ko:K02032	yef:FORC2_0952
ko:K05799	yef:FORC2_3403
ko:K03293	yef:FORC2_3917
ko:K04753	yef:FORC2_0599
ko:K05874	yef:FORC2_2554
ko:K05874	yef:FORC2_0817
ko:K04103	yef:FORC2_1242
ko:K05934	yef:FORC2_2698
ko:K01977	yef:FORC2_r001
ko:K01977	yef:FORC2_r023
ko:K20861	yef:FORC2_2362
ko:K01120	yef:FORC2_2937
ko:K09017	yef:FORC2_2481
ko:K07334	yef:FORC2_0433
ko:K08191	yef:FORC2_0508
ko:K01812	yef:FORC2_0509
ko:K00041	yef:FORC2_0510
ko:K01685	yef:FORC2_0511
ko:K07862	yef:FORC2_0513
ko:K07043	yef:FORC2_0516
ko:K00219	yef:FORC2_0519
ko:K15268	yef:FORC2_0520
ko:K01580	yef:FORC2_0524
ko:K01425	yef:FORC2_0526
ko:K11191	yef:FORC2_0527
ko:K11192	yef:FORC2_0527
ko:K07106	yef:FORC2_0528
ko:K15835	yef:FORC2_0529
ko:K01207	yef:FORC2_0530
ko:K04095	yef:FORC2_0534
ko:K03655	yef:FORC2_0539
ko:K07483	yef:FORC2_0540
ko:K07497	yef:FORC2_0541
ko:K13993	yef:FORC2_0545
ko:K03696	yef:FORC2_0546
ko:K03798	yef:FORC2_0548
ko:K13993	yef:FORC2_0549
ko:K03672	yef:FORC2_0554
ko:K03455	yef:FORC2_0555
ko:K03799	yef:FORC2_0557
ko:K06946	yef:FORC2_0559
ko:K03630	yef:FORC2_0566
ko:K00568	yef:FORC2_1432
ko:K02469	yef:FORC2_1433
ko:K07677	yef:FORC2_1434
ko:K07687	yef:FORC2_1435
ko:K07676	yef:FORC2_1436
ko:K12543	yef:FORC2_1439
ko:K12541	yef:FORC2_1440
ko:K12542	yef:FORC2_1441
ko:K09475	yef:FORC2_1442
ko:K18988	yef:FORC2_1443
ko:K16210	yef:FORC2_1444
ko:K03406	yef:FORC2_1446
ko:K01223	yef:FORC2_1454
ko:K01674	yef:FORC2_1455
ko:K07014	yef:FORC2_1457
ko:K09904	yef:FORC2_1458
ko:K06899	yef:FORC2_1459
ko:K02897	yef:FORC2_1460
ko:K06183	yef:FORC2_1462
ko:K07552	yef:FORC2_1463
ko:K13896	yef:FORC2_1465
ko:K13895	yef:FORC2_1466
ko:K13894	yef:FORC2_1467
ko:K13893	yef:FORC2_1468
ko:K13694	yef:FORC2_1470
ko:K13637	yef:FORC2_1474
ko:K00040	yef:FORC2_1475
ko:K01686	yef:FORC2_1477
ko:K02356	yef:FORC2_1478
ko:K03835	yef:FORC2_1479
ko:K06940	yef:FORC2_1480
ko:K07812	yef:FORC2_1481
ko:K03532	yef:FORC2_1482
ko:K02768	yef:FORC2_1484
ko:K11183	yef:FORC2_1484
ko:K00882	yef:FORC2_1485
ko:K02769	yef:FORC2_1486
ko:K02770	yef:FORC2_1486
ko:K01425	yef:FORC2_2348
ko:K07701	yef:FORC2_2353
ko:K07703	yef:FORC2_2354
ko:K11616	yef:FORC2_2355
ko:K11738	yef:FORC2_2356
ko:K07497	yef:FORC2_2363
ko:K07483	yef:FORC2_2364
ko:K12678	yef:FORC2_2366
ko:K03832	yef:FORC2_2382
ko:K03563	yef:FORC2_3237
ko:K01872	yef:FORC2_3238
ko:K03565	yef:FORC2_3239
ko:K03743	yef:FORC2_3241
ko:K00864	yef:FORC2_3245
ko:K00615	yef:FORC2_3246
ko:K00615	yef:FORC2_3247
ko:K17203	yef:FORC2_3248
ko:K17204	yef:FORC2_3249
ko:K17202	yef:FORC2_3251
ko:K07308	yef:FORC2_3255
ko:K07307	yef:FORC2_3256
ko:K07306	yef:FORC2_3257
ko:K00048	yef:FORC2_3258
ko:K01628	yef:FORC2_3259
ko:K02429	yef:FORC2_3260
ko:K01818	yef:FORC2_3261
ko:K00879	yef:FORC2_3262
ko:K02431	yef:FORC2_3263
ko:K02430	yef:FORC2_3264
ko:K02430	yef:FORC2_3266
ko:K02058	yef:FORC2_3267
ko:K02056	yef:FORC2_3268
ko:K02057	yef:FORC2_3269
ko:K02057	yef:FORC2_3270
ko:K00880	yef:FORC2_3272
ko:K01676	yef:FORC2_3273
ko:K01999	yef:FORC2_3274
ko:K01997	yef:FORC2_3275
ko:K01998	yef:FORC2_3276
ko:K01995	yef:FORC2_3277
ko:K01996	yef:FORC2_3278
ko:K01999	yef:FORC2_3280
ko:K02812	yef:FORC2_3284
ko:K02813	yef:FORC2_3285
ko:K02814	yef:FORC2_3286
ko:K02815	yef:FORC2_3287
ko:K01914	yef:FORC2_4091
ko:K03718	yef:FORC2_4092
ko:K06205	yef:FORC2_4093
ko:K03495	yef:FORC2_4094
ko:K03501	yef:FORC2_4095
ko:K02116	yef:FORC2_4096
ko:K02108	yef:FORC2_4097
ko:K02110	yef:FORC2_4098
ko:K02109	yef:FORC2_4099
ko:K02113	yef:FORC2_4100
ko:K02111	yef:FORC2_4101
ko:K02115	yef:FORC2_4102
ko:K02112	yef:FORC2_4103
ko:K02114	yef:FORC2_4104
ko:K04042	yef:FORC2_4105
ko:K00820	yef:FORC2_4106
ko:K02040	yef:FORC2_4107
ko:K02037	yef:FORC2_4108
ko:K02038	yef:FORC2_4109
ko:K02036	yef:FORC2_4110
ko:K02039	yef:FORC2_4111
ko:K02030	yef:FORC2_4113
ko:K02029	yef:FORC2_4114
ko:K02029	yef:FORC2_4115
ko:K06901	yef:FORC2_4117
ko:K03406	yef:FORC2_4122
ko:K02072	yef:FORC2_4123
ko:K02071	yef:FORC2_4124
ko:K02073	yef:FORC2_4125
ko:K00209	yef:FORC2_4126
ko:K03650	yef:FORC2_4127
ko:K03217	yef:FORC2_4128
ko:K08998	yef:FORC2_4129
ko:K03536	yef:FORC2_4130
ko:K02914	yef:FORC2_4131
ko:K02437	yef:FORC2_0743
ko:K00281	yef:FORC2_0744
ko:K07023	yef:FORC2_0747
ko:K11068	yef:FORC2_0748
ko:K06980	yef:FORC2_0749
ko:K09159	yef:FORC2_0750
ko:K19168	yef:FORC2_0751
ko:K07663	yef:FORC2_0752
ko:K07641	yef:FORC2_0753
ko:K06143	yef:FORC2_0754
ko:K03840	yef:FORC2_0755
ko:K04763	yef:FORC2_0756
ko:K03981	yef:FORC2_0757
ko:K07462	yef:FORC2_0758
ko:K02836	yef:FORC2_0759
ko:K04567	yef:FORC2_0760
ko:K07733	yef:FORC2_0764
ko:K03893	yef:FORC2_0788
ko:K00537	yef:FORC2_0789
ko:K01187	yef:FORC2_0794
ko:K08191	yef:FORC2_0795
ko:K05516	yef:FORC2_0797
ko:K18997	yef:FORC2_0798
ko:K01673	yef:FORC2_0801
ko:K02452	yef:FORC2_0803
ko:K08300	yef:FORC2_1659
ko:K06179	yef:FORC2_1660
ko:K07040	yef:FORC2_1662
ko:K02911	yef:FORC2_1663
ko:K03621	yef:FORC2_1664
ko:K00648	yef:FORC2_1665
ko:K00645	yef:FORC2_1666
ko:K00059	yef:FORC2_1667
ko:K02078	yef:FORC2_1668
ko:K09458	yef:FORC2_1669
ko:K02619	yef:FORC2_1670
ko:K07082	yef:FORC2_1671
ko:K00943	yef:FORC2_1672
ko:K02341	yef:FORC2_1673
ko:K03424	yef:FORC2_1674
ko:K02778	yef:FORC2_1675
ko:K02779	yef:FORC2_1675
ko:K00014	yef:FORC2_1677
ko:K02503	yef:FORC2_1678
ko:K07337	yef:FORC2_1680
ko:K07251	yef:FORC2_1681
ko:K01207	yef:FORC2_1682
ko:K07000	yef:FORC2_1683
ko:K03885	yef:FORC2_1684
ko:K03723	yef:FORC2_1686
ko:K09808	yef:FORC2_1687
ko:K09810	yef:FORC2_1688
ko:K09808	yef:FORC2_1689
ko:K00884	yef:FORC2_1690
ko:K12410	yef:FORC2_1691
ko:K01258	yef:FORC2_1692
ko:K18850	yef:FORC2_1693
ko:K07637	yef:FORC2_1694
ko:K07660	yef:FORC2_1695
ko:K01756	yef:FORC2_1697
ko:K07153	yef:FORC2_1698
ko:K00566	yef:FORC2_1699
ko:K12152	yef:FORC2_1700
ko:K06181	yef:FORC2_1701
ko:K00031	yef:FORC2_1702
ko:K02532	yef:FORC2_1706
ko:K01193	yef:FORC2_1707
ko:K03502	yef:FORC2_1710
ko:K03503	yef:FORC2_1711
ko:K01442	yef:FORC2_1716
ko:K01093	yef:FORC2_2576
ko:K00975	yef:FORC2_2577
ko:K00058	yef:FORC2_2584
ko:K10440	yef:FORC2_2586
ko:K10440	yef:FORC2_2587
ko:K10441	yef:FORC2_2588
ko:K10439	yef:FORC2_2589
ko:K09933	yef:FORC2_2590
ko:K06177	yef:FORC2_2591
ko:K09912	yef:FORC2_2592
ko:K02003	yef:FORC2_2593
ko:K02004	yef:FORC2_2594
ko:K09477	yef:FORC2_2606
ko:K05966	yef:FORC2_2607
ko:K05964	yef:FORC2_2608
ko:K01643	yef:FORC2_2609
ko:K01644	yef:FORC2_2610
ko:K01646	yef:FORC2_2611
ko:K01910	yef:FORC2_2612
ko:K07700	yef:FORC2_2613
ko:K07702	yef:FORC2_2614
ko:K07783	yef:FORC2_2617
ko:K02012	yef:FORC2_2618
ko:K02011	yef:FORC2_2619
ko:K02010	yef:FORC2_2620
ko:K07497	yef:FORC2_2621
ko:K07688	yef:FORC2_2630
ko:K07679	yef:FORC2_2631
ko:K02063	yef:FORC2_3456
ko:K02062	yef:FORC2_3457
ko:K02336	yef:FORC2_3459
ko:K03580	yef:FORC2_3460
ko:K06177	yef:FORC2_3462
ko:K05801	yef:FORC2_3463
ko:K04744	yef:FORC2_3464
ko:K03771	yef:FORC2_3465
ko:K00097	yef:FORC2_3466
ko:K02528	yef:FORC2_3467
ko:K06195	yef:FORC2_3468
ko:K01525	yef:FORC2_3469
ko:K01955	yef:FORC2_3474
ko:K01956	yef:FORC2_3475
ko:K00215	yef:FORC2_3476
ko:K03527	yef:FORC2_3477
ko:K03774	yef:FORC2_3478
ko:K03101	yef:FORC2_3479
ko:K01870	yef:FORC2_3480
ko:K11753	yef:FORC2_3481
ko:K02968	yef:FORC2_3482
ko:K03717	yef:FORC2_3483
ko:K03313	yef:FORC2_3484
ko:K03686	yef:FORC2_3485
ko:K04043	yef:FORC2_3486
ko:K07034	yef:FORC2_3487
ko:K03831	yef:FORC2_3490
ko:K00616	yef:FORC2_3491
ko:K09861	yef:FORC2_3492
ko:K01733	yef:FORC2_3493
ko:K00872	yef:FORC2_3494
ko:K12524	yef:FORC2_3495
ko:K07773	yef:FORC2_3497
ko:K05805	yef:FORC2_3498
ko:K05804	yef:FORC2_3499
ko:K03720	yef:FORC2_3502
ko:K08309	yef:FORC2_3503
ko:K06211	yef:FORC2_3511
ko:K18838	yef:FORC2_0567
ko:K18837	yef:FORC2_0568
ko:K03086	yef:FORC2_0570
ko:K02970	yef:FORC2_0572
ko:K01409	yef:FORC2_0573
ko:K08591	yef:FORC2_0574
ko:K01633	yef:FORC2_0575
ko:K06153	yef:FORC2_0576
ko:K00974	yef:FORC2_0577
ko:K07184	yef:FORC2_0578
ko:K18446	yef:FORC2_0579
ko:K00982	yef:FORC2_0580
ko:K03272	yef:FORC2_0581
ko:K16263	yef:FORC2_0582
ko:K09806	yef:FORC2_0583
ko:K02858	yef:FORC2_0584
ko:K12340	yef:FORC2_0588
ko:K01515	yef:FORC2_0589
ko:K09920	yef:FORC2_0590
ko:K03651	yef:FORC2_0591
ko:K07000	yef:FORC2_0592
ko:K02622	yef:FORC2_0593
ko:K03923	yef:FORC2_0596
ko:K02621	yef:FORC2_0597
ko:K00655	yef:FORC2_0598
ko:K06221	yef:FORC2_0602
ko:K08325	yef:FORC2_0603
ko:K01760	yef:FORC2_0606
ko:K03561	yef:FORC2_0607
ko:K03559	yef:FORC2_0608
ko:K12515	yef:FORC2_0609
ko:K12514	yef:FORC2_0610
ko:K12513	yef:FORC2_0611
ko:K12512	yef:FORC2_0612
ko:K12511	yef:FORC2_0613
ko:K12510	yef:FORC2_0614
ko:K02283	yef:FORC2_0615
ko:K02282	yef:FORC2_0616
ko:K02280	yef:FORC2_0618
ko:K02279	yef:FORC2_0619
ko:K02278	yef:FORC2_0620
ko:K03919	yef:FORC2_0623
ko:K07787	yef:FORC2_0624
ko:K07347	yef:FORC2_1491
ko:K01151	yef:FORC2_1492
ko:K11733	yef:FORC2_1496
ko:K02015	yef:FORC2_1497
ko:K02013	yef:FORC2_1498
ko:K16089	yef:FORC2_1499
ko:K02073	yef:FORC2_1503
ko:K02071	yef:FORC2_1504
ko:K02072	yef:FORC2_1505
ko:K01758	yef:FORC2_1508
ko:K01697	yef:FORC2_1509
ko:K07258	yef:FORC2_1510
ko:K01752	yef:FORC2_1511
ko:K03837	yef:FORC2_1512
ko:K11534	yef:FORC2_1513
ko:K01619	yef:FORC2_1514
ko:K19302	yef:FORC2_1515
ko:K07085	yef:FORC2_1517
ko:K03674	yef:FORC2_1518
ko:K11073	yef:FORC2_1521
ko:K11076	yef:FORC2_1522
ko:K11075	yef:FORC2_1523
ko:K11074	yef:FORC2_1524
ko:K03212	yef:FORC2_1526
ko:K09996	yef:FORC2_1527
ko:K09998	yef:FORC2_1529
ko:K09999	yef:FORC2_1530
ko:K09997	yef:FORC2_1531
ko:K10000	yef:FORC2_1532
ko:K01620	yef:FORC2_1536
ko:K00156	yef:FORC2_1538
ko:K11933	yef:FORC2_1539
ko:K05601	yef:FORC2_1540
ko:K07459	yef:FORC2_1542
ko:K09824	yef:FORC2_1543
ko:K02345	yef:FORC2_2409
ko:K02355	yef:FORC2_3290
ko:K09967	yef:FORC2_3292
ko:K06016	yef:FORC2_3293
ko:K02028	yef:FORC2_3294
ko:K02029	yef:FORC2_3295
ko:K02029	yef:FORC2_3296
ko:K02030	yef:FORC2_3297
ko:K01753	yef:FORC2_3298
ko:K13629	yef:FORC2_3299
ko:K13636	yef:FORC2_3300
ko:K00059	yef:FORC2_3302
ko:K02078	yef:FORC2_3303
ko:K09458	yef:FORC2_3305
ko:K05685	yef:FORC2_3307
ko:K13888	yef:FORC2_3308
ko:K03673	yef:FORC2_3311
ko:K13009	yef:FORC2_3322
ko:K03555	yef:FORC2_3323
ko:K03087	yef:FORC2_3324
ko:K06194	yef:FORC2_3325
ko:K00573	yef:FORC2_3326
ko:K03787	yef:FORC2_3327
ko:K06176	yef:FORC2_3328
ko:K01770	yef:FORC2_3329
ko:K00991	yef:FORC2_3330
ko:K05589	yef:FORC2_3331
ko:K02030	yef:FORC2_3332
ko:K02029	yef:FORC2_3333
ko:K02028	yef:FORC2_3334
ko:K00860	yef:FORC2_3336
ko:K00956	yef:FORC2_3337
ko:K00957	yef:FORC2_3338
ko:K02302	yef:FORC2_3339
ko:K09612	yef:FORC2_3340
ko:K00390	yef:FORC2_3343
ko:K00381	yef:FORC2_3344
ko:K00380	yef:FORC2_3345
ko:K03497	yef:FORC2_p020
ko:K03496	yef:FORC2_p021
ko:K03981	yef:FORC2_p027
ko:K12067	yef:FORC2_p029
ko:K12065	yef:FORC2_p031
ko:K12064	yef:FORC2_p032
ko:K12063	yef:FORC2_p033
ko:K12058	yef:FORC2_p035
ko:K12060	yef:FORC2_p036
ko:K12059	yef:FORC2_p037
ko:K12057	yef:FORC2_p040
ko:K12072	yef:FORC2_p041
ko:K12056	yef:FORC2_p042
ko:K11903	yef:FORC2_p047
ko:K02745	yef:FORC2_p062
ko:K02746	yef:FORC2_p063
ko:K02747	yef:FORC2_p064
ko:K02744	yef:FORC2_p065
ko:K01727	yef:FORC2_p069
ko:K01961	yef:FORC2_0390
ko:K02160	yef:FORC2_0391
ko:K03786	yef:FORC2_0392
ko:K17247	yef:FORC2_0393
ko:K18765	yef:FORC2_0396
ko:K03569	yef:FORC2_0397
ko:K03570	yef:FORC2_0398
ko:K03571	yef:FORC2_0399
ko:K06287	yef:FORC2_0400
ko:K08301	yef:FORC2_0401
ko:K03568	yef:FORC2_0404
ko:K11021	yef:FORC2_0405
ko:K15548	yef:FORC2_0413
ko:K03468	yef:FORC2_0414
ko:K00135	yef:FORC2_0415
ko:K03623	yef:FORC2_0417
ko:K09889	yef:FORC2_0418
ko:K03592	yef:FORC2_0419
ko:K15536	yef:FORC2_0420
ko:K06140	yef:FORC2_0421
ko:K01465	yef:FORC2_0427
ko:K01042	yef:FORC2_0428
ko:K01531	yef:FORC2_0434
ko:K03485	yef:FORC2_0435
ko:K02818	yef:FORC2_0436
ko:K02819	yef:FORC2_0436
ko:K01226	yef:FORC2_0437
ko:K07395	yef:FORC2_0438
ko:K09022	yef:FORC2_0442
ko:K00610	yef:FORC2_0443
ko:K00609	yef:FORC2_0444
ko:K08485	yef:FORC2_0445
ko:K06958	yef:FORC2_0446
