ko:K01978	mhay:VK67_13750
ko:K01977	mhay:VK67_00450
ko:K01977	mhay:VK67_01315
ko:K01977	mhay:VK67_01485
ko:K01977	mhay:VK67_03910
ko:K01977	mhay:VK67_00760
ko:K01977	mhay:VK67_11385
ko:K14233	mhay:VK67_02460
ko:K14233	mhay:VK67_04720
ko:K14233	mhay:VK67_13175
ko:K14233	mhay:VK67_13180
ko:K14237	mhay:VK67_02480
ko:K14237	mhay:VK67_02490
ko:K14237	mhay:VK67_02485
ko:K14237	mhay:VK67_02495
ko:K19591	mhay:VK67_04330
ko:K01175	mhay:VK67_08495
ko:K21449	mhay:VK67_12040
ko:K21449	mhay:VK67_10435
ko:K14218	mhay:VK67_02505
ko:K04753	mhay:VK67_01000
ko:K21645	mhay:VK67_12945
ko:K00833	mhay:VK67_09150
ko:K03495	mhay:VK67_00300
ko:K09858	mhay:VK67_00305
ko:K09689	mhay:VK67_00315
ko:K09688	mhay:VK67_00320
ko:K10107	mhay:VK67_00325
ko:K01991	mhay:VK67_00330
ko:K02472	mhay:VK67_00355
ko:K01791	mhay:VK67_00360
ko:K07266	mhay:VK67_00365
ko:K07265	mhay:VK67_00370
ko:K01840	mhay:VK67_00380
ko:K03655	mhay:VK67_00390
ko:K04079	mhay:VK67_00405
ko:K01881	mhay:VK67_00410
ko:K03788	mhay:VK67_00420
ko:K00757	mhay:VK67_00425
ko:K03181	mhay:VK67_00435
ko:K01776	mhay:VK67_00445
ko:K04763	mhay:VK67_00485
ko:K04075	mhay:VK67_00490
ko:K03650	mhay:VK67_00495
ko:K03773	mhay:VK67_00520
ko:K02237	mhay:VK67_00525
ko:K03555	mhay:VK67_00535
ko:K01625	mhay:VK67_00545
ko:K00874	mhay:VK67_00550
ko:K13637	mhay:VK67_00580
ko:K01686	mhay:VK67_00585
ko:K09899	mhay:VK67_04895
ko:K06190	mhay:VK67_04905
ko:K10806	mhay:VK67_04910
ko:K09780	mhay:VK67_04915
ko:K00982	mhay:VK67_04920
ko:K01153	mhay:VK67_04925
ko:K01154	mhay:VK67_04930
ko:K03427	mhay:VK67_04935
ko:K09910	mhay:VK67_04940
ko:K09894	mhay:VK67_04945
ko:K04744	mhay:VK67_04960
ko:K01595	mhay:VK67_04965
ko:K03457	mhay:VK67_04970
ko:K09929	mhay:VK67_04980
ko:K09930	mhay:VK67_04985
ko:K15977	mhay:VK67_04995
ko:K03596	mhay:VK67_05020
ko:K03100	mhay:VK67_05025
ko:K03685	mhay:VK67_05030
ko:K03584	mhay:VK67_05040
ko:K03732	mhay:VK67_05045
ko:K06915	mhay:VK67_05050
ko:K02010	mhay:VK67_05060
ko:K02011	mhay:VK67_05065
ko:K02012	mhay:VK67_05070
ko:K02967	mhay:VK67_05075
ko:K02357	mhay:VK67_05080
ko:K09903	mhay:VK67_05090
ko:K02838	mhay:VK67_05095
ko:K01834	mhay:VK67_05100
ko:K09798	mhay:VK67_05110
ko:K07278	mhay:VK67_05115
ko:K09800	mhay:VK67_05120
ko:K16013	mhay:VK67_05125
ko:K16012	mhay:VK67_05130
ko:K07153	mhay:VK67_05135
ko:K01756	mhay:VK67_05140
ko:K02444	mhay:VK67_05145
ko:K03179	mhay:VK67_05150
ko:K07316	mhay:VK67_05160
ko:K01156	mhay:VK67_05165
ko:K02470	mhay:VK67_05170
ko:K15257	mhay:VK67_05175
ko:K09136	mhay:VK67_05180
ko:K03088	mhay:VK67_09475
ko:K01649	mhay:VK67_09480
ko:K13888	mhay:VK67_09490
ko:K07751	mhay:VK67_09505
ko:K04760	mhay:VK67_09510
ko:K03582	mhay:VK67_09515
ko:K03327	mhay:VK67_09520
ko:K11069	mhay:VK67_09525
ko:K03687	mhay:VK67_09530
ko:K03578	mhay:VK67_09545
ko:K07340	mhay:VK67_09555
ko:K03648	mhay:VK67_09565
ko:K13694	mhay:VK67_09580
ko:K01151	mhay:VK67_09585
ko:K09909	mhay:VK67_09600
ko:K06189	mhay:VK67_09605
ko:K03820	mhay:VK67_09610
ko:K00794	mhay:VK67_09615
ko:K14652	mhay:VK67_09620
ko:K00793	mhay:VK67_09625
ko:K11752	mhay:VK67_09630
ko:K01338	mhay:VK67_09635
ko:K02521	mhay:VK67_09640
ko:K02909	mhay:VK67_09655
ko:K00615	mhay:VK67_09660
ko:K03603	mhay:VK67_09670
ko:K03314	mhay:VK67_09675
ko:K03611	mhay:VK67_09680
ko:K01760	mhay:VK67_09685
ko:K00762	mhay:VK67_09700
ko:K07115	mhay:VK67_09705
ko:K03806	mhay:VK67_09710
ko:K06177	mhay:VK67_09715
ko:K09803	mhay:VK67_09725
ko:K03580	mhay:VK67_09730
ko:K01129	mhay:VK67_09740
ko:K03215	mhay:VK67_09745
ko:K03088	mhay:VK67_01370
ko:K12372	mhay:VK67_01375
ko:K12371	mhay:VK67_01380
ko:K12370	mhay:VK67_01385
ko:K12369	mhay:VK67_01390
ko:K12368	mhay:VK67_01395
ko:K10763	mhay:VK67_01400
ko:K02193	mhay:VK67_01405
ko:K02194	mhay:VK67_01410
ko:K02195	mhay:VK67_01415
ko:K02196	mhay:VK67_01420
ko:K02197	mhay:VK67_01425
