ko:K09796	pstu:UIB01_11395
ko:K14233	pstu:UIB01_07025
ko:K14233	pstu:UIB01_13735
ko:K10747	pstu:UIB01_07730
ko:K18929	pstu:UIB01_17210
ko:K03297	pstu:UIB01_02120
ko:K22617	pstu:UIB01_16455
ko:K16238	pstu:UIB01_02825
ko:K18928	pstu:UIB01_17205
ko:K19300	pstu:UIB01_10035
ko:K11741	pstu:UIB01_17750
ko:K03111	pstu:UIB01_18085
ko:K14585	pstu:UIB01_22650
ko:K18135	pstu:UIB01_03185
ko:K18968	pstu:UIB01_06710
ko:K10217	pstu:UIB01_22730
ko:K21430	pstu:UIB01_14835
ko:K18979	pstu:UIB01_02855
ko:K14584	pstu:UIB01_22655
ko:K18291	pstu:UIB01_13505
ko:K01007	pstu:UIB01_11775
ko:K01977	pstu:UIB01_10380
ko:K01977	pstu:UIB01_13590
ko:K01977	pstu:UIB01_16760
ko:K01977	pstu:UIB01_18370
ko:K01978	pstu:UIB01_22245
ko:K07403	pstu:UIB01_01810
ko:K00575	pstu:UIB01_01835
ko:K03412	pstu:UIB01_01840
ko:K05802	pstu:UIB01_01855
ko:K11105	pstu:UIB01_01860
ko:K13789	pstu:UIB01_01870
ko:K01823	pstu:UIB01_01875
ko:K06443	pstu:UIB01_01885
ko:K10027	pstu:UIB01_01890
ko:K02291	pstu:UIB01_01895
ko:K15746	pstu:UIB01_01900
ko:K00459	pstu:UIB01_01905
ko:K07115	pstu:UIB01_01910
ko:K01012	pstu:UIB01_01925
ko:K00652	pstu:UIB01_01930
ko:K02170	pstu:UIB01_01935
ko:K02169	pstu:UIB01_01940
ko:K07304	pstu:UIB01_01970
ko:K00627	pstu:UIB01_01985
ko:K00163	pstu:UIB01_01990
ko:K00982	pstu:UIB01_01995
ko:K00826	pstu:UIB01_02000
ko:K02843	pstu:UIB01_02005
ko:K02841	pstu:UIB01_02010
ko:K02844	pstu:UIB01_02015
ko:K02848	pstu:UIB01_02020
ko:K00612	pstu:UIB01_02045
ko:K07265	pstu:UIB01_02060
ko:K11085	pstu:UIB01_02085
ko:K03406	pstu:UIB01_06415
ko:K06889	pstu:UIB01_06425
ko:K02057	pstu:UIB01_06485
ko:K02057	pstu:UIB01_06490
ko:K02056	pstu:UIB01_06495
ko:K01607	pstu:UIB01_06505
ko:K02050	pstu:UIB01_06520
ko:K02049	pstu:UIB01_06525
ko:K02051	pstu:UIB01_06530
ko:K08482	pstu:UIB01_06555
ko:K00681	pstu:UIB01_06570
ko:K00799	pstu:UIB01_06600
ko:K06969	pstu:UIB01_06615
ko:K04335	pstu:UIB01_06645
ko:K06214	pstu:UIB01_06650
ko:K04338	pstu:UIB01_06655
ko:K04337	pstu:UIB01_06660
ko:K11065	pstu:UIB01_11040
ko:K07799	pstu:UIB01_11055
ko:K07788	pstu:UIB01_11060
ko:K07789	pstu:UIB01_11065
ko:K11688	pstu:UIB01_11075
ko:K18299	pstu:UIB01_11085
ko:K18298	pstu:UIB01_11090
ko:K18297	pstu:UIB01_11095
ko:K10979	pstu:UIB01_11110
ko:K00123	pstu:UIB01_11120
ko:K00123	pstu:UIB01_11125
ko:K00124	pstu:UIB01_11130
ko:K00127	pstu:UIB01_11135
ko:K02380	pstu:UIB01_11140
ko:K16147	pstu:UIB01_11150
ko:K05343	pstu:UIB01_11155
ko:K00700	pstu:UIB01_11160
ko:K07027	pstu:UIB01_11165
ko:K12262	pstu:UIB01_11195
ko:K06044	pstu:UIB01_11215
ko:K00705	pstu:UIB01_11220
ko:K01236	pstu:UIB01_11225
ko:K00703	pstu:UIB01_11230
ko:K03304	pstu:UIB01_11320
ko:K03563	pstu:UIB01_15700
ko:K07733	pstu:UIB01_15765
ko:K07726	pstu:UIB01_15775
ko:K17763	pstu:UIB01_20115
ko:K17762	pstu:UIB01_20120
ko:K17752	pstu:UIB01_20125
ko:K03704	pstu:UIB01_20145
ko:K03301	pstu:UIB01_20170
