ko:K19077	suq:HMPREF0772_12528
ko:K09022	suq:HMPREF0772_10023
ko:K01424	suq:HMPREF0772_11727
ko:K00945	suq:HMPREF0772_11728
ko:K19285	suq:HMPREF0772_10113
ko:K01990	suq:HMPREF0772_10826
ko:K07145	suq:HMPREF0772_10333
ko:K11737	suq:HMPREF0772_11455
ko:K00887	suq:HMPREF0772_11571
ko:K16301	suq:HMPREF0772_10150
ko:K05352	suq:HMPREF0772_10246
ko:K01462	suq:HMPREF0772_12141
ko:K00426	suq:HMPREF0772_12146
ko:K00425	suq:HMPREF0772_12147
ko:K06969	suq:HMPREF0772_12152
ko:K01945	suq:HMPREF0772_12159
ko:K00602	suq:HMPREF0772_12160
ko:K11175	suq:HMPREF0772_12161
ko:K01933	suq:HMPREF0772_12162
ko:K00764	suq:HMPREF0772_12163
ko:K01952	suq:HMPREF0772_12164
ko:K01952	suq:HMPREF0772_12165
ko:K01923	suq:HMPREF0772_12167
ko:K01589	suq:HMPREF0772_12168
ko:K01588	suq:HMPREF0772_12169
ko:K01491	suq:HMPREF0772_12170
ko:K02826	suq:HMPREF0772_12173
ko:K02827	suq:HMPREF0772_12174
ko:K02828	suq:HMPREF0772_12175
ko:K02829	suq:HMPREF0772_12176
ko:K03590	suq:HMPREF0772_12047
ko:K03589	suq:HMPREF0772_12048
ko:K01925	suq:HMPREF0772_12049
ko:K01000	suq:HMPREF0772_12050
ko:K03438	suq:HMPREF0772_12053
ko:K03925	suq:HMPREF0772_12054
ko:K00926	suq:HMPREF0772_12064
ko:K00611	suq:HMPREF0772_12065
ko:K11032	suq:HMPREF0772_12071
ko:K07095	suq:HMPREF0772_12081
ko:K01776	suq:HMPREF0772_12083
ko:K00240	suq:HMPREF0772_12084
ko:K00239	suq:HMPREF0772_12085
ko:K03703	suq:HMPREF0772_12087
ko:K03671	suq:HMPREF0772_12088
ko:K07456	suq:HMPREF0772_12089
ko:K02347	suq:HMPREF0772_12090
ko:K09888	suq:HMPREF0772_12092
ko:K01890	suq:HMPREF0772_12094
ko:K00962	suq:HMPREF0772_11955
ko:K02956	suq:HMPREF0772_11956
ko:K11753	suq:HMPREF0772_11957
ko:K02834	suq:HMPREF0772_11959
ko:K02519	suq:HMPREF0772_11960
ko:K07742	suq:HMPREF0772_11962
ko:K02600	suq:HMPREF0772_11963
ko:K09748	suq:HMPREF0772_11964
ko:K03763	suq:HMPREF0772_11965
ko:K01881	suq:HMPREF0772_11966
ko:K11749	suq:HMPREF0772_11967
ko:K00981	suq:HMPREF0772_11968
ko:K00806	suq:HMPREF0772_11969
ko:K02838	suq:HMPREF0772_11971
ko:K09903	suq:HMPREF0772_11972
ko:K02357	suq:HMPREF0772_11973
ko:K02967	suq:HMPREF0772_11974
ko:K03706	suq:HMPREF0772_11975
ko:K03667	suq:HMPREF0772_11976
ko:K01419	suq:HMPREF0772_11977
ko:K03733	suq:HMPREF0772_11978
ko:K04094	suq:HMPREF0772_11979
ko:K03168	suq:HMPREF0772_11980
ko:K04096	suq:HMPREF0772_11981
ko:K01902	suq:HMPREF0772_11985
ko:K01903	suq:HMPREF0772_11986
ko:K03470	suq:HMPREF0772_11987
ko:K14540	suq:HMPREF0772_11988
ko:K02884	suq:HMPREF0772_11990
ko:K00554	suq:HMPREF0772_11991
ko:K02860	suq:HMPREF0772_11992
ko:K02959	suq:HMPREF0772_11993
ko:K03106	suq:HMPREF0772_11994
ko:K03110	suq:HMPREF0772_11996
ko:K03529	suq:HMPREF0772_11997
ko:K03685	suq:HMPREF0772_11998
ko:K02078	suq:HMPREF0772_11999
ko:K00259	suq:HMPREF0772_11767
ko:K01754	suq:HMPREF0772_11768
ko:K08170	suq:HMPREF0772_11770
ko:K09125	suq:HMPREF0772_11774
ko:K03797	suq:HMPREF0772_11787
ko:K02563	suq:HMPREF0772_11789
ko:K00164	suq:HMPREF0772_11796
ko:K00658	suq:HMPREF0772_11797
ko:K03311	suq:HMPREF0772_11802
ko:K01512	suq:HMPREF0772_11805
ko:K03704	suq:HMPREF0772_11807
ko:K01586	suq:HMPREF0772_11809
ko:K01775	suq:HMPREF0772_11810
ko:K09793	suq:HMPREF0772_12514
ko:K06890	suq:HMPREF0772_12522
ko:K03306	suq:HMPREF0772_12524
ko:K07220	suq:HMPREF0772_12525
ko:K05879	suq:HMPREF0772_12537
ko:K05878	suq:HMPREF0772_12538
ko:K02015	suq:HMPREF0772_12539
ko:K02015	suq:HMPREF0772_12540
ko:K02013	suq:HMPREF0772_12541
ko:K05946	suq:HMPREF0772_12551
ko:K03785	suq:HMPREF0772_12374
ko:K06895	suq:HMPREF0772_12377
ko:K03704	suq:HMPREF0772_12386
ko:K03664	suq:HMPREF0772_12397
ko:K12573	suq:HMPREF0772_12398
ko:K03928	suq:HMPREF0772_12399
ko:K03075	suq:HMPREF0772_12400
ko:K01689	suq:HMPREF0772_12402
ko:K15633	suq:HMPREF0772_12403
ko:K01803	suq:HMPREF0772_12404
ko:K00927	suq:HMPREF0772_12405
ko:K00134	suq:HMPREF0772_12406
ko:K05311	suq:HMPREF0772_12407
ko:K07071	suq:HMPREF0772_12410
ko:K01358	suq:HMPREF0772_12412
ko:K00384	suq:HMPREF0772_12417
ko:K07107	suq:HMPREF0772_11858
ko:K01681	suq:HMPREF0772_11859
ko:K03282	suq:HMPREF0772_11861
ko:K03547	suq:HMPREF0772_11863
ko:K00615	suq:HMPREF0772_11866
ko:K01356	suq:HMPREF0772_11869
ko:K00364	suq:HMPREF0772_11871
ko:K02954	suq:HMPREF0772_11872
ko:K02913	suq:HMPREF0772_11873
ko:K03781	suq:HMPREF0772_11874
ko:K00872	suq:HMPREF0772_11878
ko:K01733	suq:HMPREF0772_11879
ko:K00003	suq:HMPREF0772_11880
ko:K00928	suq:HMPREF0772_11881
ko:K07778	suq:HMPREF0772_11887
ko:K06131	suq:HMPREF0772_11890
ko:K01620	suq:HMPREF0772_11893
ko:K03648	suq:HMPREF0772_12608
ko:K00868	suq:HMPREF0772_12609
ko:K03762	suq:HMPREF0772_12615
ko:K08094	suq:HMPREF0772_12617
ko:K09007	suq:HMPREF0772_12622
ko:K14194	suq:HMPREF0772_12626
ko:K14194	suq:HMPREF0772_12627
ko:K14194	suq:HMPREF0772_12628
ko:K15518	suq:HMPREF0772_12632
ko:K15519	suq:HMPREF0772_12633
ko:K01091	suq:HMPREF0772_12634
ko:K00826	suq:HMPREF0772_12635
ko:K05523	suq:HMPREF0772_12638
ko:K02358	suq:HMPREF0772_12641
ko:K02355	suq:HMPREF0772_12642
ko:K02992	suq:HMPREF0772_12643
ko:K02950	suq:HMPREF0772_12644
ko:K07590	suq:HMPREF0772_12645
ko:K03046	suq:HMPREF0772_12646
ko:K03043	suq:HMPREF0772_12647
ko:K02935	suq:HMPREF0772_12649
ko:K02864	suq:HMPREF0772_12650
ko:K02863	suq:HMPREF0772_12651
ko:K01889	suq:HMPREF0772_12095
ko:K03437	suq:HMPREF0772_12096
ko:K08600	suq:HMPREF0772_12098
ko:K02015	suq:HMPREF0772_12099
ko:K02016	suq:HMPREF0772_12100
ko:K02911	suq:HMPREF0772_12105
ko:K07040	suq:HMPREF0772_12106
ko:K00954	suq:HMPREF0772_12108
ko:K01126	suq:HMPREF0772_12112
ko:K08976	suq:HMPREF0772_12115
ko:K02259	suq:HMPREF0772_12117
ko:K03588	suq:HMPREF0772_12119
ko:K06207	suq:HMPREF0772_12123
ko:K03322	suq:HMPREF0772_12127
