ko:K01840	ctjs:CTRC122_01535
ko:K08151	ctjs:CTRC122_04035
ko:K03559	ctjs:CTRC122_03180
ko:K14228	ctjs:CTRC122_t04869
ko:K14219	ctjs:CTRC122_t04871
ko:K14219	ctjs:CTRC122_t04887
ko:K14228	ctjs:CTRC122_t04877
ko:K14228	ctjs:CTRC122_t04879
ko:K14232	ctjs:CTRC122_t04883
ko:K14218	ctjs:CTRC122_t04885
ko:K04084	ctjs:CTRC122_03170
ko:K00239	ctjs:CTRC122_03150
ko:K03424	ctjs:CTRC122_03165
ko:K03562	ctjs:CTRC122_03175
ko:K03641	ctjs:CTRC122_03190
ko:K03640	ctjs:CTRC122_03195
ko:K03648	ctjs:CTRC122_03235
ko:K03657	ctjs:CTRC122_03240
ko:K03092	ctjs:CTRC122_03245
ko:K06137	ctjs:CTRC122_03250
ko:K13941	ctjs:CTRC122_03265
ko:K01633	ctjs:CTRC122_03270
ko:K03086	ctjs:CTRC122_03275
ko:K02968	ctjs:CTRC122_03285
ko:K03980	ctjs:CTRC122_03320
ko:K01151	ctjs:CTRC122_03325
ko:K02986	ctjs:CTRC122_03335
ko:K07146	ctjs:CTRC122_03340
ko:K13789	ctjs:CTRC122_03345
ko:K01698	ctjs:CTRC122_03375
ko:K00346	ctjs:CTRC122_03380
ko:K03582	ctjs:CTRC122_03405
ko:K03583	ctjs:CTRC122_03410
ko:K03168	ctjs:CTRC122_03425
ko:K02221	ctjs:CTRC122_03435
ko:K03581	ctjs:CTRC122_03475
ko:K06861	ctjs:CTRC122_03485
ko:K01627	ctjs:CTRC122_03495
ko:K06180	ctjs:CTRC122_03515
ko:K06960	ctjs:CTRC122_03520
ko:K02469	ctjs:CTRC122_03525
ko:K02470	ctjs:CTRC122_03530
ko:K02492	ctjs:CTRC122_03535
ko:K03224	ctjs:CTRC122_03570
ko:K02417	ctjs:CTRC122_03585
ko:K03219	ctjs:CTRC122_03595
ko:K02838	ctjs:CTRC122_03615
ko:K09903	ctjs:CTRC122_03620
ko:K02357	ctjs:CTRC122_03625
ko:K02967	ctjs:CTRC122_03630
ko:K03162	ctjs:CTRC122_03645
ko:K09013	ctjs:CTRC122_03675
ko:K09015	ctjs:CTRC122_03680
ko:K11717	ctjs:CTRC122_03685
ko:K07220	ctjs:CTRC122_03705
ko:K03306	ctjs:CTRC122_03710
ko:K00927	ctjs:CTRC122_03715
ko:K10773	ctjs:CTRC122_03735
ko:K03650	ctjs:CTRC122_03740
ko:K01613	ctjs:CTRC122_03745
ko:K03070	ctjs:CTRC122_03755
ko:K03977	ctjs:CTRC122_03765
ko:K03544	ctjs:CTRC122_03775
ko:K01358	ctjs:CTRC122_03780
ko:K03545	ctjs:CTRC122_03785
ko:K03569	ctjs:CTRC122_03800
ko:K00057	ctjs:CTRC122_03825
ko:K02412	ctjs:CTRC122_03840
ko:K02411	ctjs:CTRC122_03845
ko:K02409	ctjs:CTRC122_03850
ko:K13819	ctjs:CTRC122_03855
ko:K04487	ctjs:CTRC122_03860
ko:K06178	ctjs:CTRC122_03875
ko:K03524	ctjs:CTRC122_03885
ko:K05837	ctjs:CTRC122_03890
ko:K01875	ctjs:CTRC122_03905
ko:K11752	ctjs:CTRC122_03910
