ko:K19078	sue:SAOV_0693
ko:K09022	sue:SAOV_0519
ko:K19005	sue:SAOV_0753
ko:K02004	sue:SAOV_0261
ko:K03307	sue:SAOV_0267
ko:K01639	sue:SAOV_0268
ko:K01788	sue:SAOV_0271
ko:K07052	sue:SAOV_0275
ko:K19285	sue:SAOV_0405
ko:K01990	sue:SAOV_2410
ko:K07145	sue:SAOV_0112
ko:K11737	sue:SAOV_1684
ko:K02003	sue:SAOV_0262
ko:K03453	sue:SAOV_2361c
ko:K03481	sue:SAOV_2364
ko:K08170	sue:SAOV_2494c
ko:K13292	sue:SAOV_0798
ko:K00927	sue:SAOV_0815
ko:K06973	sue:SAOV_1468
ko:K00800	sue:SAOV_1472
ko:K01735	sue:SAOV_1473
ko:K01736	sue:SAOV_1474
ko:K00940	sue:SAOV_1475
ko:K03183	sue:SAOV_1477
ko:K03530	sue:SAOV_1479
ko:K00057	sue:SAOV_1480
ko:K03977	sue:SAOV_1481
ko:K02945	sue:SAOV_1482
ko:K00945	sue:SAOV_1484
ko:K03654	sue:SAOV_1488
ko:K07651	sue:SAOV_1493
ko:K07775	sue:SAOV_1494
ko:K06178	sue:SAOV_1495
ko:K06024	sue:SAOV_1496
ko:K05896	sue:SAOV_1497
ko:K07124	sue:SAOV_1504
ko:K00286	sue:SAOV_1505
ko:K00036	sue:SAOV_1507
ko:K09699	sue:SAOV_1516
ko:K00167	sue:SAOV_1517
ko:K00166	sue:SAOV_1518
ko:K00382	sue:SAOV_1519
ko:K03631	sue:SAOV_1520
ko:K01468	sue:SAOV_2370c
ko:K01712	sue:SAOV_2371c
ko:K11210	sue:SAOV_2373
ko:K01807	sue:SAOV_2376c
ko:K09771	sue:SAOV_2380c
ko:K03652	sue:SAOV_2386
ko:K03312	sue:SAOV_2388
ko:K03284	sue:SAOV_2390c
ko:K07107	sue:SAOV_2391
ko:K07552	sue:SAOV_2398c
ko:K00116	sue:SAOV_2412c
ko:K03303	sue:SAOV_2413c
ko:K05845	sue:SAOV_2496c
ko:K05846	sue:SAOV_2497c
ko:K05847	sue:SAOV_2498c
ko:K02069	sue:SAOV_2504c
ko:K02068	sue:SAOV_2505c
ko:K10824	sue:SAOV_2513c
ko:K15587	sue:SAOV_2514c
ko:K15586	sue:SAOV_2515c
ko:K15585	sue:SAOV_2516c
ko:K15584	sue:SAOV_2517c
ko:K00963	sue:SAOV_2541c
ko:K11476	sue:SAOV_2548c
ko:K04041	sue:SAOV_2560
ko:K06999	sue:SAOV_2562c
ko:K15973	sue:SAOV_2564c
ko:K06975	sue:SAOV_2565
ko:K03778	sue:SAOV_2568
ko:K03823	sue:SAOV_2572
ko:K01752	sue:SAOV_2574c
ko:K01752	sue:SAOV_2575c
ko:K07107	sue:SAOV_2581c
ko:K04759	sue:SAOV_2594c
ko:K04758	sue:SAOV_2595c
ko:K03778	sue:SAOV_2604c
ko:K15975	sue:SAOV_2563c
ko:K09765	sue:SAOV_2636c
ko:K06978	sue:SAOV_2639
ko:K01579	sue:SAOV_2641c
ko:K01918	sue:SAOV_2642c
ko:K00606	sue:SAOV_2643c
ko:K00077	sue:SAOV_2644
ko:K01575	sue:SAOV_2645c
ko:K00823	sue:SAOV_2648c
ko:K01623	sue:SAOV_2650
ko:K00116	sue:SAOV_2651c
ko:K01895	sue:SAOV_2653c
ko:K03300	sue:SAOV_2664c
ko:K02304	sue:SAOV_2665c
ko:K00432	sue:SAOV_2667c
ko:K00926	sue:SAOV_2681c
ko:K03758	sue:SAOV_2682c
ko:K00611	sue:SAOV_2683c
ko:K01809	sue:SAOV_2691
ko:K01421	sue:SAOV_2692c
ko:K03070	sue:SAOV_2700c
ko:K03076	sue:SAOV_2704c
ko:K11936	sue:SAOV_2718
ko:K11755	sue:SAOV_2723c
ko:K02500	sue:SAOV_2724c
ko:K01814	sue:SAOV_2725c
ko:K02501	sue:SAOV_2726c
ko:K01693	sue:SAOV_2727c
ko:K00817	sue:SAOV_2728c
ko:K00013	sue:SAOV_2729c
ko:K00765	sue:SAOV_2730c
ko:K07146	sue:SAOV_2735
ko:K01304	sue:SAOV_2736
ko:K03319	sue:SAOV_2738
ko:K05786	sue:SAOV_2739c
ko:K07241	sue:SAOV_2741
ko:K03704	sue:SAOV_2747
ko:K03501	sue:SAOV_2751c
ko:K03495	sue:SAOV_2752c
ko:K03650	sue:SAOV_2753c
ko:K02914	sue:SAOV_2754c
ko:K03311	sue:SAOV_0258
ko:K02990	sue:SAOV_0389
ko:K03387	sue:SAOV_0403c
ko:K02963	sue:SAOV_0391
ko:K06956	sue:SAOV_0406c
ko:K08987	sue:SAOV_0438c
ko:K02445	sue:SAOV_0361c
ko:K00549	sue:SAOV_0380c
ko:K03816	sue:SAOV_0410
ko:K03427	sue:SAOV_0451
ko:K01154	sue:SAOV_0452
ko:K05577	sue:SAOV_0469
ko:K00299	sue:SAOV_0364
ko:K01951	sue:SAOV_0413
ko:K09822	sue:SAOV_0470
ko:K03118	sue:SAOV_0370c
ko:K03817	sue:SAOV_0366
ko:K03116	sue:SAOV_0371c
ko:K03800	sue:SAOV_0353
ko:K07224	sue:SAOV_0367
ko:K06942	sue:SAOV_0387
ko:K03928	sue:SAOV_0474
ko:K00943	sue:SAOV_0503
ko:K01738	sue:SAOV_0535
ko:K03696	sue:SAOV_0560
ko:K15518	sue:SAOV_0592c
ko:K03762	sue:SAOV_0608
