ko:K19743	zmr:A254_01222
ko:K07448	zmr:A254_01179
ko:K03297	zmr:A254_01121
ko:K19271	zmr:A254_00188
ko:K11741	zmr:A254_00589
ko:K14222	zmr:A254_01103
ko:K21681	zmr:A254_00908
ko:K19746	zmr:A254_01689
ko:K21678	zmr:A254_00436
ko:K02313	zmr:A254_00001
ko:K06158	zmr:A254_00002
ko:K06890	zmr:A254_00005
ko:K01061	zmr:A254_00006
ko:K01265	zmr:A254_00008
ko:K01620	zmr:A254_00009
ko:K01256	zmr:A254_00011
ko:K07054	zmr:A254_00014
ko:K06911	zmr:A254_00017
ko:K03809	zmr:A254_00019
ko:K00858	zmr:A254_00022
ko:K03437	zmr:A254_00023
ko:K11189	zmr:A254_00024
ko:K02793	zmr:A254_00025
ko:K06958	zmr:A254_00026
ko:K14980	zmr:A254_00028
ko:K14981	zmr:A254_00029
ko:K00088	zmr:A254_00030
ko:K03500	zmr:A254_00031
ko:K02528	zmr:A254_00037
ko:K00097	zmr:A254_00038
ko:K03771	zmr:A254_00039
ko:K04744	zmr:A254_00040
ko:K01255	zmr:A254_00041
ko:K02339	zmr:A254_00042
ko:K01676	zmr:A254_00043
ko:K06442	zmr:A254_00044
ko:K00286	zmr:A254_00047
ko:K03801	zmr:A254_00048
ko:K07106	zmr:A254_00052
ko:K02963	zmr:A254_00109
ko:K02990	zmr:A254_00110
ko:K00645	zmr:A254_00111
ko:K00059	zmr:A254_00112
ko:K03116	zmr:A254_00114
ko:K03117	zmr:A254_00115
ko:K03118	zmr:A254_00116
ko:K01810	zmr:A254_00122
ko:K00383	zmr:A254_00123
ko:K03549	zmr:A254_00125
ko:K02533	zmr:A254_00131
ko:K07738	zmr:A254_00132
ko:K00600	zmr:A254_00133
ko:K01808	zmr:A254_00134
ko:K00643	zmr:A254_00135
ko:K01776	zmr:A254_00136
ko:K08169	zmr:A254_00137
ko:K08591	zmr:A254_00138
ko:K04096	zmr:A254_00139
ko:K03168	zmr:A254_00140
ko:K13038	zmr:A254_00143
ko:K03688	zmr:A254_00144
ko:K03183	zmr:A254_00145
ko:K10563	zmr:A254_00147
ko:K00311	zmr:A254_00150
ko:K00919	zmr:A254_00152
ko:K03215	zmr:A254_00155
ko:K01496	zmr:A254_00156
ko:K07278	zmr:A254_00159
ko:K09800	zmr:A254_00160
ko:K01484	zmr:A254_00161
ko:K03885	zmr:A254_00217
ko:K06190	zmr:A254_00218
ko:K03449	zmr:A254_00219
ko:K06925	zmr:A254_00225
ko:K03671	zmr:A254_00229
ko:K12573	zmr:A254_00230
ko:K04765	zmr:A254_00231
ko:K06167	zmr:A254_00232
ko:K03424	zmr:A254_00233
ko:K01874	zmr:A254_00234
ko:K02341	zmr:A254_00235
ko:K00943	zmr:A254_00236
ko:K07258	zmr:A254_00237
ko:K03642	zmr:A254_00238
ko:K00694	zmr:A254_00244
ko:K02884	zmr:A254_00247
ko:K00554	zmr:A254_00248
ko:K02860	zmr:A254_00249
ko:K02959	zmr:A254_00250
ko:K03106	zmr:A254_00251
ko:K01778	zmr:A254_00252
ko:K03110	zmr:A254_00254
ko:K02426	zmr:A254_00258
ko:K03970	zmr:A254_00261
ko:K03969	zmr:A254_00262
ko:K03974	zmr:A254_00264
ko:K04564	zmr:A254_00265
ko:K01633	zmr:A254_00266
ko:K00970	zmr:A254_00268
ko:K03100	zmr:A254_01451
ko:K00997	zmr:A254_01452
ko:K03474	zmr:A254_01453
ko:K00762	zmr:A254_01454
ko:K05838	zmr:A254_01455
ko:K07157	zmr:A254_01456
ko:K03185	zmr:A254_01457
ko:K03466	zmr:A254_01458
ko:K01142	zmr:A254_01461
ko:K01497	zmr:A254_01462
ko:K01736	zmr:A254_01467
ko:K00208	zmr:A254_01468
ko:K07058	zmr:A254_01469
ko:K01465	zmr:A254_01471
ko:K06980	zmr:A254_01472
ko:K01939	zmr:A254_01473
ko:K02502	zmr:A254_01474
ko:K00058	zmr:A254_01475
ko:K00831	zmr:A254_01476
ko:K01424	zmr:A254_01477
ko:K09758	zmr:A254_01478
ko:K06966	zmr:A254_01481
ko:K04518	zmr:A254_01482
ko:K03575	zmr:A254_01483
ko:K06221	zmr:A254_01486
ko:K06134	zmr:A254_01491
ko:K03797	zmr:A254_01493
ko:K00783	zmr:A254_01495
ko:K09710	zmr:A254_01496
ko:K00969	zmr:A254_01497
ko:K00147	zmr:A254_01498
ko:K03798	zmr:A254_01500
ko:K04075	zmr:A254_01501
ko:K09883	zmr:A254_01611
ko:K04759	zmr:A254_01613
ko:K04758	zmr:A254_01614
ko:K02337	zmr:A254_01615
ko:K01952	zmr:A254_01617
ko:K01952	zmr:A254_01618
ko:K06041	zmr:A254_01619
ko:K07799	zmr:A254_01620
ko:K07788	zmr:A254_01621
ko:K07789	zmr:A254_01622
ko:K00948	zmr:A254_01628
ko:K02916	zmr:A254_01630
ko:K02887	zmr:A254_01631
ko:K01889	zmr:A254_01632
ko:K01890	zmr:A254_01633
ko:K06147	zmr:A254_01634
ko:K02493	zmr:A254_01636
ko:K02835	zmr:A254_01637
ko:K01892	zmr:A254_01638
ko:K01507	zmr:A254_01639
ko:K09985	zmr:A254_01641
ko:K01693	zmr:A254_01642
ko:K02501	zmr:A254_01643
ko:K01814	zmr:A254_01644
ko:K02500	zmr:A254_01645
ko:K01523	zmr:A254_01646
ko:K03294	zmr:A254_01648
ko:K01595	zmr:A254_01649
ko:K00930	zmr:A254_01651
ko:K16079	zmr:A254_01654
ko:K00979	zmr:A254_01655
ko:K01627	zmr:A254_01656
ko:K01129	zmr:A254_01659
ko:K00135	zmr:A254_01775
ko:K08191	zmr:A254_01776
ko:K02014	zmr:A254_01777
ko:K08191	zmr:A254_01778
ko:K01785	zmr:A254_01781
ko:K01624	zmr:A254_01782
ko:K18478	zmr:A254_01783
ko:K00005	zmr:A254_01784
ko:K17950	zmr:A254_01785
ko:K01779	zmr:A254_01786
ko:K01153	zmr:A254_01793
ko:K01154	zmr:A254_01795
ko:K03427	zmr:A254_01796
ko:K02014	zmr:A254_01804
ko:K06147	zmr:A254_01887
ko:K06147	zmr:A254_01888
ko:K02014	zmr:A254_01894
ko:K07341	zmr:A254_01897
ko:K07726	zmr:A254_01899
ko:K07726	zmr:A254_01900
ko:K09803	zmr:A254_01901
ko:K11739	zmr:A254_01913
ko:K11740	zmr:A254_01914
ko:K01791	zmr:A254_01915
ko:K01489	zmr:A254_00442
ko:K01494	zmr:A254_00443
ko:K09747	zmr:A254_00444
ko:K02343	zmr:A254_00445
ko:K04487	zmr:A254_00447
ko:K09987	zmr:A254_00448
ko:K03602	zmr:A254_00449
ko:K00795	zmr:A254_00450
ko:K00954	zmr:A254_00451
ko:K07568	zmr:A254_00453
ko:K00275	zmr:A254_00454
ko:K10941	zmr:A254_00455
ko:K07267	zmr:A254_00457
ko:K03455	zmr:A254_00458
ko:K01872	zmr:A254_00459
ko:K01887	zmr:A254_00461
ko:K01129	zmr:A254_00462
ko:K03531	zmr:A254_00465
ko:K03590	zmr:A254_00466
ko:K03589	zmr:A254_00467
ko:K01921	zmr:A254_00468
ko:K00075	zmr:A254_00469
ko:K01924	zmr:A254_00470
ko:K02563	zmr:A254_00471
ko:K03588	zmr:A254_00472
ko:K01925	zmr:A254_00473
ko:K01000	zmr:A254_00474
ko:K01929	zmr:A254_00475
ko:K01928	zmr:A254_00476
ko:K03587	zmr:A254_00477
ko:K03438	zmr:A254_00479
ko:K01738	zmr:A254_00481
ko:K01952	zmr:A254_00482
ko:K00012	zmr:A254_00483
ko:K01737	zmr:A254_00484
ko:K09760	zmr:A254_00486
ko:K01462	zmr:A254_00487
ko:K06187	zmr:A254_00488
ko:K00604	zmr:A254_00489
ko:K06173	zmr:A254_00490
ko:K09131	zmr:A254_00491
ko:K03089	zmr:A254_00543
ko:K01738	zmr:A254_00544
ko:K09958	zmr:A254_00548
ko:K02837	zmr:A254_00550
ko:K03149	zmr:A254_00553
ko:K03786	zmr:A254_00554
ko:K02160	zmr:A254_00555
ko:K01961	zmr:A254_00556
ko:K01082	zmr:A254_00557
ko:K03046	zmr:A254_00559
ko:K03043	zmr:A254_00560
ko:K02935	zmr:A254_00561
ko:K02864	zmr:A254_00562
ko:K02863	zmr:A254_00563
ko:K02867	zmr:A254_00564
ko:K02601	zmr:A254_00565
ko:K03073	zmr:A254_00566
ko:K07386	zmr:A254_00568
ko:K03664	zmr:A254_00569
ko:K01714	zmr:A254_00570
ko:K08309	zmr:A254_00571
ko:K04760	zmr:A254_00572
ko:K01876	zmr:A254_00574
ko:K03684	zmr:A254_00575
ko:K01524	zmr:A254_00576
ko:K00937	zmr:A254_00577
ko:K01933	zmr:A254_00580
ko:K11175	zmr:A254_00581
ko:K00215	zmr:A254_00582
ko:K10773	zmr:A254_00583
ko:K03565	zmr:A254_00584
ko:K00666	zmr:A254_00585
ko:K02469	zmr:A254_00595
ko:K04094	zmr:A254_00596
ko:K02406	zmr:A254_00651
ko:K02405	zmr:A254_00654
ko:K04562	zmr:A254_00655
ko:K02400	zmr:A254_00656
ko:K02386	zmr:A254_00659
ko:K02556	zmr:A254_00661
ko:K02387	zmr:A254_00662
ko:K02388	zmr:A254_00663
ko:K02389	zmr:A254_00664
ko:K02390	zmr:A254_00665
ko:K02391	zmr:A254_00666
ko:K02392	zmr:A254_00667
ko:K02393	zmr:A254_00668
ko:K02394	zmr:A254_00669
ko:K02395	zmr:A254_00670
ko:K02396	zmr:A254_00671
ko:K02397	zmr:A254_00672
ko:K02556	zmr:A254_00673
ko:K02557	zmr:A254_00674
ko:K13587	zmr:A254_00675
ko:K01962	zmr:A254_00676
ko:K04763	zmr:A254_00677
ko:K00891	zmr:A254_00680
ko:K01735	zmr:A254_00681
ko:K04485	zmr:A254_00685
ko:K01591	zmr:A254_00687
ko:K01817	zmr:A254_00688
ko:K01696	zmr:A254_00689
ko:K01695	zmr:A254_00690
ko:K01963	zmr:A254_00691
ko:K11754	zmr:A254_00692
ko:K08218	zmr:A254_00693
ko:K06178	zmr:A254_00695
ko:K08316	zmr:A254_00696
ko:K03657	zmr:A254_00697
ko:K03675	zmr:A254_00698
ko:K02049	zmr:A254_00699
ko:K02050	zmr:A254_00700
ko:K02687	zmr:A254_00702
ko:K00241	zmr:A254_00703
ko:K02358	zmr:A254_00756
ko:K02355	zmr:A254_00757
ko:K02992	zmr:A254_00758
ko:K02950	zmr:A254_00759
ko:K00382	zmr:A254_00761
ko:K10806	zmr:A254_00762
ko:K00627	zmr:A254_00763
ko:K15034	zmr:A254_00767
ko:K06177	zmr:A254_00768
ko:K00721	zmr:A254_00769
ko:K04042	zmr:A254_00774
ko:K01091	zmr:A254_00775
ko:K07278	zmr:A254_00776
ko:K09800	zmr:A254_00777
ko:K07552	zmr:A254_00778
ko:K01915	zmr:A254_00779
ko:K04751	zmr:A254_00780
ko:K01262	zmr:A254_00781
ko:K01354	zmr:A254_00782
ko:K01644	zmr:A254_00786
ko:K09709	zmr:A254_00787
ko:K07507	zmr:A254_00789
ko:K00003	zmr:A254_00790
ko:K11532	zmr:A254_00791
ko:K11752	zmr:A254_00797
ko:K00793	zmr:A254_00798
ko:K14652	zmr:A254_00799
ko:K00794	zmr:A254_00800
ko:K01657	zmr:A254_00804
ko:K03770	zmr:A254_00805
ko:K01803	zmr:A254_00806
ko:K03075	zmr:A254_00807
ko:K01937	zmr:A254_00808
ko:K01881	zmr:A254_00809
ko:K01247	zmr:A254_00884
ko:K00692	zmr:A254_00888
ko:K00692	zmr:A254_00889
ko:K05800	zmr:A254_00892
ko:K01779	zmr:A254_00893
ko:K00845	zmr:A254_00894
ko:K01690	zmr:A254_00895
ko:K00036	zmr:A254_00896
ko:K01972	zmr:A254_00898
ko:K00773	zmr:A254_00899
ko:K03702	zmr:A254_00900
ko:K05837	zmr:A254_00902
ko:K05515	zmr:A254_00903
ko:K03570	zmr:A254_00905
ko:K03569	zmr:A254_00906
ko:K03572	zmr:A254_00907
ko:K07735	zmr:A254_00912
ko:K03665	zmr:A254_00913
ko:K03666	zmr:A254_00914
ko:K03320	zmr:A254_00915
ko:K03568	zmr:A254_00917
ko:K02619	zmr:A254_00918
ko:K00812	zmr:A254_00919
ko:K02888	zmr:A254_01026
ko:K02899	zmr:A254_01027
ko:K03979	zmr:A254_01029
ko:K00931	zmr:A254_01030
ko:K03406	zmr:A254_01034
ko:K01658	zmr:A254_01035
ko:K00766	zmr:A254_01036
ko:K01356	zmr:A254_01037
ko:K02836	zmr:A254_01038
ko:K05366	zmr:A254_01039
ko:K01448	zmr:A254_01041
ko:K08300	zmr:A254_01044
ko:K01752	zmr:A254_01048
ko:K16088	zmr:A254_01049
ko:K01626	zmr:A254_01051
ko:K01883	zmr:A254_01052
ko:K01251	zmr:A254_01055
ko:K00927	zmr:A254_01058
ko:K00134	zmr:A254_01059
ko:K00615	zmr:A254_01060
ko:K09888	zmr:A254_01063
ko:K03147	zmr:A254_01064
ko:K01126	zmr:A254_01066
ko:K03640	zmr:A254_01067
ko:K03641	zmr:A254_01068
ko:K03560	zmr:A254_01070
ko:K03562	zmr:A254_01071
ko:K07107	zmr:A254_01072
ko:K03551	zmr:A254_01073
ko:K03550	zmr:A254_01076
ko:K01012	zmr:A254_01131
ko:K03406	zmr:A254_01137
ko:K03409	zmr:A254_01138
ko:K03407	zmr:A254_01139
ko:K00575	zmr:A254_01140
ko:K03412	zmr:A254_01141
ko:K03411	zmr:A254_01142
ko:K03413	zmr:A254_01143
ko:K03408	zmr:A254_01144
ko:K06168	zmr:A254_01145
ko:K07042	zmr:A254_01147
ko:K03675	zmr:A254_01150
ko:K07126	zmr:A254_01152
ko:K07267	zmr:A254_01153
ko:K01093	zmr:A254_01155
ko:K00865	zmr:A254_01157
ko:K00820	zmr:A254_01159
ko:K07090	zmr:A254_01160
ko:K03449	zmr:A254_01163
ko:K06287	zmr:A254_01168
ko:K00014	zmr:A254_01169
ko:K00859	zmr:A254_01170
ko:K02342	zmr:A254_01171
ko:K02806	zmr:A254_01173
ko:K09160	zmr:A254_01176
ko:K00602	zmr:A254_01180
ko:K07126	zmr:A254_01181
ko:K03631	zmr:A254_01239
ko:K00027	zmr:A254_01240
ko:K04077	zmr:A254_01241
ko:K04078	zmr:A254_01242
ko:K04773	zmr:A254_01243
ko:K08303	zmr:A254_01244
ko:K07265	zmr:A254_01247
ko:K04066	zmr:A254_01248
ko:K00833	zmr:A254_01251
ko:K00652	zmr:A254_01252
ko:K02170	zmr:A254_01253
ko:K03733	zmr:A254_01255
ko:K01920	zmr:A254_01256
ko:K06942	zmr:A254_01257
ko:K01056	zmr:A254_01258
ko:K02897	zmr:A254_01259
ko:K03555	zmr:A254_01262
ko:K02520	zmr:A254_01264
ko:K00057	zmr:A254_01265
ko:K01409	zmr:A254_01266
ko:K01749	zmr:A254_01267
ko:K01719	zmr:A254_01268
ko:K02911	zmr:A254_01270
ko:K03621	zmr:A254_01271
ko:K00648	zmr:A254_01272
ko:K03210	zmr:A254_01274
ko:K03072	zmr:A254_01275
ko:K03074	zmr:A254_01276
ko:K01733	zmr:A254_01279
ko:K06969	zmr:A254_01281
ko:K07120	zmr:A254_01284
ko:K09765	zmr:A254_01286
ko:K15790	zmr:A254_01346
ko:K02596	zmr:A254_01349
ko:K02592	zmr:A254_01350
ko:K02587	zmr:A254_01351
ko:K02591	zmr:A254_01352
ko:K02586	zmr:A254_01353
ko:K02588	zmr:A254_01354
ko:K16090	zmr:A254_01355
ko:K02593	zmr:A254_01357
ko:K02597	zmr:A254_01358
ko:K02585	zmr:A254_01360
ko:K02584	zmr:A254_01361
ko:K02014	zmr:A254_01362
ko:K03617	zmr:A254_01363
ko:K03616	zmr:A254_01364
ko:K03615	zmr:A254_01365
ko:K03614	zmr:A254_01366
ko:K03612	zmr:A254_01367
ko:K03613	zmr:A254_01368
ko:K09801	zmr:A254_01369
ko:K02014	zmr:A254_01370
ko:K00661	zmr:A254_01371
ko:K01091	zmr:A254_01372
ko:K03294	zmr:A254_01373
ko:K05788	zmr:A254_01374
ko:K02945	zmr:A254_01376
ko:K00945	zmr:A254_01377
ko:K00800	zmr:A254_01378
ko:K01687	zmr:A254_01382
ko:K06147	zmr:A254_01384
ko:K09799	zmr:A254_01391
ko:K01256	zmr:A254_01393
ko:K00568	zmr:A254_01505
ko:K00928	zmr:A254_01506
ko:K02371	zmr:A254_01507
ko:K08484	zmr:A254_01508
ko:K01053	zmr:A254_01510
ko:K00950	zmr:A254_01512
ko:K03723	zmr:A254_01514
ko:K03655	zmr:A254_01515
ko:K01866	zmr:A254_01516
ko:K09001	zmr:A254_01517
ko:K01867	zmr:A254_01520
ko:K03980	zmr:A254_01521
ko:K03071	zmr:A254_01522
ko:K08304	zmr:A254_01525
ko:K01439	zmr:A254_01528
ko:K02014	zmr:A254_01529
ko:K03978	zmr:A254_01533
ko:K03217	zmr:A254_01534
ko:K03536	zmr:A254_01535
ko:K07391	zmr:A254_01536
ko:K03086	zmr:A254_01537
ko:K09117	zmr:A254_01540
ko:K01956	zmr:A254_01541
ko:K01955	zmr:A254_01542
ko:K03624	zmr:A254_01543
ko:K07323	zmr:A254_01545
ko:K01689	zmr:A254_01549
ko:K00161	zmr:A254_01551
ko:K00162	zmr:A254_01552
ko:K03469	zmr:A254_01556
ko:K02204	zmr:A254_01557
ko:K01903	zmr:A254_01662
ko:K03521	zmr:A254_01663
ko:K03522	zmr:A254_01664
ko:K01057	zmr:A254_01665
ko:K02014	zmr:A254_01667
ko:K06207	zmr:A254_01669
ko:K01669	zmr:A254_01680
ko:K00045	zmr:A254_01681
ko:K09973	zmr:A254_01684
ko:K01878	zmr:A254_01685
ko:K01879	zmr:A254_01686
ko:K01869	zmr:A254_01695
ko:K03643	zmr:A254_01696
ko:K02340	zmr:A254_01697
ko:K03630	zmr:A254_01703
ko:K00788	zmr:A254_01704
ko:K03695	zmr:A254_01705
ko:K01589	zmr:A254_01708
ko:K01588	zmr:A254_01709
ko:K03179	zmr:A254_01710
ko:K11927	zmr:A254_01711
ko:K02529	zmr:A254_00060
ko:K02078	zmr:A254_00061
ko:K09458	zmr:A254_00062
ko:K07082	zmr:A254_00063
ko:K01754	zmr:A254_00065
ko:K06447	zmr:A254_00067
ko:K02303	zmr:A254_00068
ko:K00652	zmr:A254_00069
ko:K01951	zmr:A254_00072
ko:K15555	zmr:A254_00075
ko:K15554	zmr:A254_00076
ko:K15553	zmr:A254_00077
ko:K02014	zmr:A254_00078
ko:K02195	zmr:A254_00079
ko:K02197	zmr:A254_00081
ko:K02198	zmr:A254_00082
