ko:K07050	bsf:BSS2_I1026
ko:K13967	bsf:BSS2_II0393
ko:K22617	bsf:BSS2_I2086
ko:K21909	bsf:BSS2_II0821
ko:K01271	bsf:BSS2_I1034
ko:K00344	bsf:BSS2_II0543
ko:K03297	bsf:BSS2_I0906
ko:K07492	bsf:BSS2_I0501
ko:K07492	bsf:BSS2_I0518
ko:K02031	bsf:BSS2_II0387
ko:K00035	bsf:BSS2_II0893
ko:K11741	bsf:BSS2_I0762
ko:K01271	bsf:BSS2_I1488
ko:K07005	bsf:BSS2_I1334
ko:K21911	bsf:BSS2_II0824
ko:K00130	bsf:BSS2_I0536
ko:K19233	bsf:BSS2_I1787
ko:K19231	bsf:BSS2_II1086
ko:K19232	bsf:BSS2_I0071
ko:K11209	bsf:BSS2_I0608
ko:K00249	bsf:BSS2_I0405
ko:K00001	bsf:BSS2_II0696
ko:K00065	bsf:BSS2_II0931
ko:K00076	bsf:BSS2_I1571
ko:K01144	bsf:BSS2_I1347
ko:K11079	bsf:BSS2_II1050
ko:K00108	bsf:BSS2_I0537
ko:K04771	bsf:BSS2_I0593
ko:K19270	bsf:BSS2_I0843
ko:K21686	bsf:BSS2_I1156
ko:K03446	bsf:BSS2_II0112
ko:K13010	bsf:BSS2_I0508
ko:K02313	bsf:BSS2_I0001
ko:K02338	bsf:BSS2_I0002
ko:K03629	bsf:BSS2_I0003
ko:K12972	bsf:BSS2_I0005
ko:K13896	bsf:BSS2_I0006
ko:K07018	bsf:BSS2_I0907
ko:K04487	bsf:BSS2_I0908
ko:K09014	bsf:BSS2_I0909
ko:K09013	bsf:BSS2_I0910
ko:K09015	bsf:BSS2_I0911
ko:K11717	bsf:BSS2_I0912
ko:K00858	bsf:BSS2_I0915
ko:K13628	bsf:BSS2_I0917
ko:K07213	bsf:BSS2_I0920
ko:K00573	bsf:BSS2_I0922
ko:K12340	bsf:BSS2_I0923
ko:K09991	bsf:BSS2_I0924
ko:K01873	bsf:BSS2_I0926
ko:K02029	bsf:BSS2_I0929
ko:K02029	bsf:BSS2_I0930
ko:K02030	bsf:BSS2_I0932
ko:K03753	bsf:BSS2_I0933
ko:K03752	bsf:BSS2_I0934
ko:K03639	bsf:BSS2_I0935
ko:K01676	bsf:BSS2_I0938
