ko:K02058	mhae:F382_00370
ko:K03297	mhae:F382_07455
ko:K02487	mhae:F382_13515
ko:K07464	mhae:F382_02555
ko:K18893	mhae:F382_05145
ko:K18136	mhae:F382_01900
ko:K18843	mhae:F382_02470
ko:K01185	mhae:F382_02200
ko:K19227	mhae:F382_02275
ko:K01791	mhae:F382_08120
ko:K01139	mhae:F382_09965
ko:K19230	mhae:F382_04290
ko:K07316	mhae:F382_01425
ko:K07012	mhae:F382_02605
ko:K19229	mhae:F382_02265
ko:K01420	mhae:F382_01945
ko:K04017	mhae:F382_10705
ko:K01185	mhae:F382_00885
ko:K08316	mhae:F382_04755
ko:K11070	mhae:F382_04805
ko:K03777	mhae:F382_00070
ko:K03701	mhae:F382_00100
ko:K03321	mhae:F382_00105
ko:K02494	mhae:F382_00150
ko:K00919	mhae:F382_00155
ko:K00948	mhae:F382_00160
ko:K00163	mhae:F382_00170
ko:K00627	mhae:F382_00175
ko:K00382	mhae:F382_00180
ko:K04042	mhae:F382_00210
ko:K03798	mhae:F382_00225
ko:K00817	mhae:F382_00235
ko:K00800	mhae:F382_00240
ko:K07184	mhae:F382_00245
ko:K03306	mhae:F382_00250
ko:K07220	mhae:F382_00255
ko:K00831	mhae:F382_00260
ko:K07301	mhae:F382_00265
ko:K00990	mhae:F382_00270
ko:K02013	mhae:F382_00275
ko:K02015	mhae:F382_00285
ko:K02016	mhae:F382_00290
ko:K05881	mhae:F382_04570
ko:K05838	mhae:F382_04575
ko:K02439	mhae:F382_04580
ko:K03561	mhae:F382_04585
ko:K03832	mhae:F382_04595
ko:K06203	mhae:F382_04600
ko:K03528	mhae:F382_04605
ko:K01972	mhae:F382_04610
ko:K05851	mhae:F382_04625
ko:K05775	mhae:F382_04635
ko:K02024	mhae:F382_04640
ko:K10111	mhae:F382_04645
ko:K10108	mhae:F382_04650
ko:K10109	mhae:F382_04655
ko:K10110	mhae:F382_04660
ko:K03556	mhae:F382_04670
ko:K00688	mhae:F382_04675
ko:K00705	mhae:F382_04680
ko:K07085	mhae:F382_04685
ko:K07084	mhae:F382_04690
ko:K01142	mhae:F382_04695
ko:K11719	mhae:F382_04700
ko:K09774	mhae:F382_04705
ko:K06861	mhae:F382_04710
ko:K06958	mhae:F382_04720
ko:K09811	mhae:F382_04740
ko:K09812	mhae:F382_04745
ko:K03110	mhae:F382_04750
ko:K09901	mhae:F382_04760
ko:K16868	mhae:F382_04770
ko:K01933	mhae:F382_04775
ko:K01744	mhae:F382_04785
ko:K03656	mhae:F382_04790
ko:K15581	mhae:F382_04810
ko:K16087	mhae:F382_04830
ko:K02016	mhae:F382_04835
ko:K02015	mhae:F382_04840
ko:K02013	mhae:F382_04845
ko:K11175	mhae:F382_04850
ko:K09911	mhae:F382_08760
ko:K04770	mhae:F382_08765
ko:K01716	mhae:F382_08770
ko:K03274	mhae:F382_08775
ko:K01462	mhae:F382_08780
ko:K04096	mhae:F382_08785
ko:K03073	mhae:F382_08800
ko:K02601	mhae:F382_08805
ko:K02867	mhae:F382_08810
ko:K02863	mhae:F382_08815
ko:K03655	mhae:F382_08830
ko:K02682	mhae:F382_12925
ko:K02504	mhae:F382_12930
ko:K02505	mhae:F382_12935
ko:K00859	mhae:F382_12945
ko:K09862	mhae:F382_12950
ko:K02340	mhae:F382_12955
ko:K03643	mhae:F382_12960
ko:K01869	mhae:F382_12965
ko:K01875	mhae:F382_12985
ko:K03664	mhae:F382_12990
ko:K06918	mhae:F382_13005
ko:K09917	mhae:F382_13020
ko:K06175	mhae:F382_13025
ko:K13498	mhae:F382_13035
ko:K00677	mhae:F382_13045
ko:K02372	mhae:F382_13050
ko:K02536	mhae:F382_13055
ko:K07277	mhae:F382_13065
ko:K11749	mhae:F382_13070
ko:K00981	mhae:F382_13075
ko:K00806	mhae:F382_13080
ko:K01012	mhae:F382_13090
ko:K01610	mhae:F382_13095
ko:K05589	mhae:F382_13100
ko:K00991	mhae:F382_13105
ko:K01770	mhae:F382_13110
ko:K06872	mhae:F382_13115
ko:K03744	mhae:F382_13125
ko:K02769	mhae:F382_13145
ko:K02770	mhae:F382_13145
ko:K02768	mhae:F382_13155
ko:K11183	mhae:F382_13155
ko:K00975	mhae:F382_13170
ko:K00703	mhae:F382_13175
ko:K15396	mhae:F382_13180
ko:K00324	mhae:F382_13185
ko:K00134	mhae:F382_02245
ko:K00052	mhae:F382_02255
ko:K03721	mhae:F382_02285
ko:K03271	mhae:F382_02290
ko:K09160	mhae:F382_02295
ko:K07082	mhae:F382_06530
ko:K00943	mhae:F382_06535
ko:K02341	mhae:F382_06540
ko:K03424	mhae:F382_06555
ko:K03269	mhae:F382_06565
ko:K00375	mhae:F382_06595
ko:K06215	mhae:F382_06600
ko:K08681	mhae:F382_06605
ko:K06077	mhae:F382_06615
ko:K09907	mhae:F382_06620
ko:K01887	mhae:F382_06625
ko:K03979	mhae:F382_06630
ko:K02198	mhae:F382_06640
ko:K02197	mhae:F382_06645
ko:K02196	mhae:F382_06650
ko:K02195	mhae:F382_06655
ko:K02194	mhae:F382_06660
ko:K10763	mhae:F382_06670
ko:K12368	mhae:F382_06675
ko:K12369	mhae:F382_06680
ko:K12370	mhae:F382_06685
ko:K12371	mhae:F382_06690
ko:K12372	mhae:F382_06695
ko:K03088	mhae:F382_06700
ko:K12267	mhae:F382_06705
ko:K03658	mhae:F382_06750
ko:K07391	mhae:F382_06760
ko:K03184	mhae:F382_06770
ko:K03591	mhae:F382_06775
ko:K15984	mhae:F382_06780
ko:K04014	mhae:F382_10685
ko:K04016	mhae:F382_10695
ko:K02199	mhae:F382_10700
ko:K02065	mhae:F382_10720
ko:K02066	mhae:F382_10725
ko:K07323	mhae:F382_10735
ko:K07122	mhae:F382_10740
ko:K00790	mhae:F382_10750
ko:K01159	mhae:F382_10755
ko:K08310	mhae:F382_10770
ko:K03823	mhae:F382_02310
ko:K07674	mhae:F382_02315
ko:K07462	mhae:F382_02330
ko:K03981	mhae:F382_02335
ko:K09817	mhae:F382_02345
ko:K00164	mhae:F382_02350
ko:K00658	mhae:F382_02355
ko:K01903	mhae:F382_02360
ko:K01902	mhae:F382_02365
ko:K03310	mhae:F382_02370
ko:K02897	mhae:F382_02380
ko:K00029	mhae:F382_02385
ko:K03814	mhae:F382_02400
ko:K03720	mhae:F382_02405
ko:K03634	mhae:F382_02410
ko:K01695	mhae:F382_02490
ko:K01696	mhae:F382_02495
ko:K16066	mhae:F382_02500
ko:K01433	mhae:F382_02515
ko:K00641	mhae:F382_02525
ko:K04567	mhae:F382_02530
ko:K08301	mhae:F382_02535
ko:K15342	mhae:F382_02545
ko:K06915	mhae:F382_02575
ko:K03786	mhae:F382_06800
ko:K02160	mhae:F382_06810
ko:K01961	mhae:F382_06815
ko:K02884	mhae:F382_06840
ko:K00554	mhae:F382_06845
ko:K02860	mhae:F382_06850
ko:K02959	mhae:F382_06855
ko:K02761	mhae:F382_06875
ko:K03338	mhae:F382_06885
ko:K03336	mhae:F382_06890
ko:K03335	mhae:F382_06895
ko:K17209	mhae:F382_06920
ko:K17210	mhae:F382_06925
ko:K17208	mhae:F382_06930
ko:K00140	mhae:F382_06935
ko:K03337	mhae:F382_06940
ko:K07791	mhae:F382_06950
ko:K01779	mhae:F382_06955
ko:K02529	mhae:F382_06975
ko:K02879	mhae:F382_06980
ko:K03040	mhae:F382_06985
ko:K02986	mhae:F382_06990
ko:K02948	mhae:F382_06995
ko:K02952	mhae:F382_07000
ko:K02919	mhae:F382_07005
ko:K03076	mhae:F382_07010
ko:K09902	mhae:F382_00300
ko:K07738	mhae:F382_00305
ko:K07112	mhae:F382_00345
ko:K02057	mhae:F382_00355
ko:K02057	mhae:F382_00360
ko:K03704	mhae:F382_00385
ko:K00773	mhae:F382_00400
ko:K09979	mhae:F382_00445
ko:K03186	mhae:F382_00450
ko:K07150	mhae:F382_00455
ko:K09889	mhae:F382_00465
ko:K03592	mhae:F382_00470
ko:K00760	mhae:F382_00475
ko:K16087	mhae:F382_04855
ko:K00600	mhae:F382_04865
ko:K00549	mhae:F382_04880
ko:K00858	mhae:F382_04890
ko:K03214	mhae:F382_04895
ko:K01662	mhae:F382_04905
ko:K03424	mhae:F382_04915
ko:K01868	mhae:F382_04930
ko:K09808	mhae:F382_04935
ko:K09810	mhae:F382_04940
ko:K09808	mhae:F382_04945
ko:K01627	mhae:F382_04955
ko:K02493	mhae:F382_04965
ko:K02835	mhae:F382_04975
ko:K09760	mhae:F382_04985
ko:K01665	mhae:F382_04990
ko:K03565	mhae:F382_05005
ko:K09900	mhae:F382_05010
ko:K07479	mhae:F382_05015
ko:K07566	mhae:F382_05020
ko:K00014	mhae:F382_05025
ko:K03657	mhae:F382_05050
ko:K07071	mhae:F382_05055
ko:K03402	mhae:F382_05060
ko:K00024	mhae:F382_05065
ko:K09767	mhae:F382_05080
ko:K01079	mhae:F382_05085
ko:K02518	mhae:F382_05095
ko:K07007	mhae:F382_05100
ko:K06901	mhae:F382_05110
ko:K03839	mhae:F382_05125
ko:K09458	mhae:F382_09095
ko:K00648	mhae:F382_09100
ko:K02864	mhae:F382_09110
ko:K02935	mhae:F382_09115
ko:K14441	mhae:F382_09140
ko:K03745	mhae:F382_09150
ko:K07235	mhae:F382_09165
ko:K07236	mhae:F382_09170
ko:K07237	mhae:F382_09175
ko:K03043	mhae:F382_09190
ko:K03046	mhae:F382_09200
ko:K01845	mhae:F382_09210
ko:K02472	mhae:F382_09220
ko:K16704	mhae:F382_09225
ko:K01915	mhae:F382_09230
ko:K12582	mhae:F382_09235
ko:K02853	mhae:F382_09240
ko:K00325	mhae:F382_13190
ko:K03576	mhae:F382_13195
ko:K00133	mhae:F382_13205
ko:K03075	mhae:F382_13235
ko:K07261	mhae:F382_13240
ko:K01736	mhae:F382_13245
ko:K05802	mhae:F382_13250
ko:K01911	mhae:F382_13255
ko:K03645	mhae:F382_13260
ko:K15256	mhae:F382_13270
ko:K01494	mhae:F382_13290
ko:K00876	mhae:F382_13295
ko:K06895	mhae:F382_13300
ko:K03569	mhae:F382_13305
ko:K03570	mhae:F382_13310
ko:K03571	mhae:F382_13315
ko:K07478	mhae:F382_13320
ko:K09816	mhae:F382_13325
ko:K00795	mhae:F382_13335
ko:K03602	mhae:F382_13340
ko:K07140	mhae:F382_13345
ko:K07574	mhae:F382_13375
ko:K01940	mhae:F382_13390
ko:K03558	mhae:F382_13400
ko:K00764	mhae:F382_13405
ko:K08304	mhae:F382_13415
ko:K12055	mhae:F382_13435
ko:K02876	mhae:F382_07015
ko:K02907	mhae:F382_07020
ko:K02988	mhae:F382_07025
ko:K02881	mhae:F382_07030
ko:K02933	mhae:F382_07035
ko:K02994	mhae:F382_07040
ko:K02954	mhae:F382_07045
ko:K01876	mhae:F382_11065
ko:K02346	mhae:F382_11075
ko:K03799	mhae:F382_11080
ko:K00656	mhae:F382_11095
ko:K04069	mhae:F382_11105
ko:K01414	mhae:F382_11110
ko:K14170	mhae:F382_11115
ko:K09794	mhae:F382_11120
ko:K16088	mhae:F382_11135
ko:K02016	mhae:F382_11145
ko:K02013	mhae:F382_11150
ko:K08218	mhae:F382_11155
ko:K01154	mhae:F382_11170
ko:K02013	mhae:F382_11185
ko:K02015	mhae:F382_11190
ko:K00297	mhae:F382_11205
ko:K09791	mhae:F382_11220
ko:K00912	mhae:F382_11225
ko:K03544	mhae:F382_11250
ko:K01358	mhae:F382_11255
ko:K09136	mhae:F382_02610
ko:K15257	mhae:F382_02615
ko:K02470	mhae:F382_02620
ko:K03179	mhae:F382_02640
ko:K02444	mhae:F382_02645
ko:K01756	mhae:F382_02650
ko:K07153	mhae:F382_02655
ko:K09800	mhae:F382_02665
ko:K07278	mhae:F382_02670
ko:K09798	mhae:F382_02675
ko:K02838	mhae:F382_02690
ko:K09903	mhae:F382_02695
ko:K02357	mhae:F382_02705
ko:K02967	mhae:F382_02710
ko:K02012	mhae:F382_02715
ko:K02011	mhae:F382_02720
ko:K06915	mhae:F382_02735
ko:K03732	mhae:F382_02740
ko:K03584	mhae:F382_02745
ko:K03595	mhae:F382_02750
ko:K03685	mhae:F382_02755
ko:K03100	mhae:F382_02760
ko:K03596	mhae:F382_02765
ko:K15977	mhae:F382_02785
ko:K09930	mhae:F382_02795
