ko:K14222	aan:D7S_t00689
ko:K14226	aan:D7S_t00369
ko:K10109	aan:D7S_02404
ko:K18923	aan:D7S_00510
ko:K17215	aan:D7S_00537
ko:K03297	aan:D7S_00899
ko:K03297	aan:D7S_02331
ko:K00127	aan:D7S_02180
ko:K01156	aan:D7S_02124
ko:K07464	aan:D7S_00185
ko:K18831	aan:D7S_01565
ko:K18136	aan:D7S_01071
ko:K18991	aan:D7S_00808
ko:K14234	aan:D7S_t00880
ko:K16087	aan:D7S_00649
ko:K01977	aan:D7S_r00367
ko:K01977	aan:D7S_r02257
ko:K01977	aan:D7S_r01432
ko:K01977	aan:D7S_r01641
ko:K01977	aan:D7S_r00763
ko:K01977	aan:D7S_r01781
ko:K06148	aan:D7S_01217
ko:K22015	aan:D7S_02164
ko:K02358	aan:D7S_00955
ko:K07126	aan:D7S_01402
ko:K14234	aan:D7S_t00877
ko:K14227	aan:D7S_t00366
ko:K14227	aan:D7S_t01433
ko:K02424	aan:D7S_01205
ko:K10009	aan:D7S_01206
ko:K16087	aan:D7S_00533
ko:K16087	aan:D7S_01534
ko:K16087	aan:D7S_00028
ko:K03435	aan:D7S_00296
ko:K00641	aan:D7S_00298
ko:K09901	aan:D7S_00301
ko:K13634	aan:D7S_00303
ko:K06178	aan:D7S_00304
ko:K14187	aan:D7S_00306
ko:K04773	aan:D7S_00307
ko:K00382	aan:D7S_00311
ko:K00627	aan:D7S_00312
ko:K00163	aan:D7S_00314
ko:K03556	aan:D7S_00316
ko:K00688	aan:D7S_00317
ko:K00705	aan:D7S_00318
ko:K03558	aan:D7S_00320
ko:K09899	aan:D7S_00321
ko:K00925	aan:D7S_00323
ko:K13788	aan:D7S_00324
ko:K00950	aan:D7S_00326
ko:K06204	aan:D7S_00328
ko:K00912	aan:D7S_00331
ko:K09791	aan:D7S_00332
ko:K03703	aan:D7S_00334
ko:K02053	aan:D7S_00336
ko:K01491	aan:D7S_01280
ko:K04077	aan:D7S_01281
ko:K04078	aan:D7S_01282
ko:K07113	aan:D7S_01283
ko:K01744	aan:D7S_01284
ko:K01711	aan:D7S_01297
ko:K03315	aan:D7S_01303
ko:K14155	aan:D7S_01304
ko:K10545	aan:D7S_01306
ko:K10543	aan:D7S_01307
ko:K01805	aan:D7S_01308
ko:K03089	aan:D7S_01314
ko:K01142	aan:D7S_02201
ko:K10805	aan:D7S_02213
ko:K00384	aan:D7S_02216
ko:K05838	aan:D7S_02217
ko:K03750	aan:D7S_02219
ko:K01495	aan:D7S_02220
ko:K07259	aan:D7S_02221
ko:K03624	aan:D7S_02222
ko:K07574	aan:D7S_02223
ko:K00793	aan:D7S_02226
ko:K03327	aan:D7S_02227
ko:K02471	aan:D7S_02229
ko:K01887	aan:D7S_02232
ko:K09907	aan:D7S_02233
ko:K06077	aan:D7S_02234
ko:K02835	aan:D7S_02235
ko:K02493	aan:D7S_02236
ko:K01627	aan:D7S_02237
ko:K13694	aan:D7S_02238
ko:K09902	aan:D7S_02239
ko:K03610	aan:D7S_02240
ko:K08296	aan:D7S_02242
ko:K03431	aan:D7S_02243
ko:K00796	aan:D7S_02244
ko:K03524	aan:D7S_02255
ko:K04062	aan:D7S_02256
ko:K06180	aan:D7S_00829
ko:K05807	aan:D7S_00830
ko:K09888	aan:D7S_00832
ko:K02959	aan:D7S_00835
ko:K02860	aan:D7S_00836
ko:K00554	aan:D7S_00837
ko:K02884	aan:D7S_00838
ko:K03571	aan:D7S_00839
ko:K03570	aan:D7S_00840
ko:K03569	aan:D7S_00841
ko:K12573	aan:D7S_00842
ko:K03218	aan:D7S_00843
ko:K02445	aan:D7S_00845
ko:K01126	aan:D7S_00846
ko:K04096	aan:D7S_00847
ko:K02939	aan:D7S_00848
ko:K02963	aan:D7S_00849
ko:K02990	aan:D7S_00852
ko:K01356	aan:D7S_00853
ko:K00631	aan:D7S_00854
ko:K11211	aan:D7S_00859
ko:K00954	aan:D7S_00860
ko:K02527	aan:D7S_00861
ko:K00998	aan:D7S_00865
ko:K03214	aan:D7S_00866
ko:K00927	aan:D7S_00869
ko:K01624	aan:D7S_00870
ko:K01652	aan:D7S_00873
ko:K02358	aan:D7S_00876
ko:K02470	aan:D7S_00882
ko:K03654	aan:D7S_00883
ko:K06202	aan:D7S_00884
ko:K01586	aan:D7S_00886
ko:K08996	aan:D7S_00887
ko:K03282	aan:D7S_01789
ko:K09893	aan:D7S_01790
ko:K03775	aan:D7S_01792
ko:K14441	aan:D7S_01794
ko:K09890	aan:D7S_01795
