ko:K14222	sum:SMCARI_032
ko:K07052	sum:SMCARI_171
ko:K14218	sum:SMCARI_091
ko:K14226	sum:SMCARI_065
ko:K14233	sum:SMCARI_160
ko:K14233	sum:SMCARI_180
ko:K14231	sum:SMCARI_057
ko:K14233	sum:SMCARI_145
ko:K14219	sum:SMCARI_157
ko:K14228	sum:SMCARI_101
ko:K14219	sum:SMCARI_274
ko:K14223	sum:SMCARI_223
ko:K14225	sum:SMCARI_078
ko:K14232	sum:SMCARI_158
ko:K01985	sum:SMCARI_093
ko:K14224	sum:SMCARI_220
ko:K14225	sum:SMCARI_100
ko:K14237	sum:SMCARI_127
ko:K14229	sum:SMCARI_138
ko:K14230	sum:SMCARI_020
ko:K01977	sum:SMCARI_089
ko:K01980	sum:SMCARI_092
ko:K14234	sum:SMCARI_080
ko:K14227	sum:SMCARI_090
ko:K14236	sum:SMCARI_079
ko:K14234	sum:SMCARI_077
ko:K14228	sum:SMCARI_172
ko:K14230	sum:SMCARI_181
ko:K14230	sum:SMCARI_201
ko:K14220	sum:SMCARI_023
ko:K14237	sum:SMCARI_191
ko:K14235	sum:SMCARI_075
ko:K14221	sum:SMCARI_137
ko:K01903	sum:SMCARI_094
ko:K02343	sum:SMCARI_095
ko:K03116	sum:SMCARI_096
ko:K01358	sum:SMCARI_097
ko:K03544	sum:SMCARI_098
ko:K03555	sum:SMCARI_099
ko:K02357	sum:SMCARI_102
ko:K02967	sum:SMCARI_103
ko:K02996	sum:SMCARI_104
ko:K03070	sum:SMCARI_149
ko:K02884	sum:SMCARI_150
ko:K01880	sum:SMCARI_152
ko:K02548	sum:SMCARI_153
ko:K01733	sum:SMCARI_154
ko:K00872	sum:SMCARI_155
ko:K12524	sum:SMCARI_156
ko:K00029	sum:SMCARI_161
ko:K00406	sum:SMCARI_163
ko:K03977	sum:SMCARI_166
ko:K03644	sum:SMCARI_167
ko:K02914	sum:SMCARI_168
ko:K02356	sum:SMCARI_169
ko:K01902	sum:SMCARI_170
ko:K03118	sum:SMCARI_205
ko:K03664	sum:SMCARI_206
ko:K04077	sum:SMCARI_209
